Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,3,DiscoveredLabels,2.999997,7.666659000000001,11.333322,7.3333260000000005,70.666696
3,3,FrequencyRecall,,,1.0000012,0.1139897,0.041077332
3,3,Lift,2.999997,7.666659000000001,17.95999,2.047254,0.7377479199999999
3,3,OracleDistribution,1.666665,7.666659000000001,11.333322,7.3333260000000005,72.000028
3,3,OracleLift,1.666665,7.666659000000001,17.95999,2.047254,0.7516675599999999
3,3,Recall,0.03249116999999999,0.008437941000000001,0.003694406,0.007991082,0.78228736
3,3,SampleDistribution,2.999997,7.666659000000001,11.333322,7.3333260000000005,70.666696
6,4,DiscoveredLabels,18.000024,8.000009,12.833345,7.000009,54.166670999999994
6,4,FrequencyRecall,,,0.7166681,0.09803919999999999,0.014116186
6,4,Lift,32.999972,8.333327,19.753726999999998,2.7022809999999997,0.38908854
6,4,OracleDistribution,32.333304000000005,8.333327,14.333319000000001,6.666661,38.333310000000004
6,4,OracleLift,32.333304000000005,8.333327,19.753726999999998,2.7022809999999997,0.39597508000000003
6,4,Recall,0.38989344,0.017609196,0.008366756999999999,0.015255696999999999,1.19926034
6,4,SampleDistribution,32.999972,8.333327,14.333319000000001,6.666661,37.666642
9,5,DiscoveredLabels,12.111099000000001,7.666659000000001,34.888861,8.444436000000001,36.888859000000004
9,5,FrequencyRecall,,,59.25,0.9714278999999999,0.004682266000000001
9,5,Lift,0.333333,6.999995,302.96513,4.967231000000001,0.02394203
9,5,OracleDistribution,0.333333,6.999995,79.000013,10.999991999999999,2.666667
9,5,OracleLift,0.333333,6.999995,302.96513,4.821136,0.027362320000000002
9,5,Recall,0.39350352,0.025313041,0.034114226,0.027605539000000002,1.22509074
9,5,SampleDistribution,0.333333,6.999995,79.000013,11.333325,2.3333340000000002
12,6,DiscoveredLabels,9.0833349,8.500005999999999,39.000007000000004,15.750013899999999,27.666664
12,6,FrequencyRecall,0.0,,154.0,,0.0
