Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,3,DiscoveredLabels,0.999999,9.333324,53.000006000000006,36.66664,0.0
3,3,FrequencyRecall,3.0,4.666676,11.3571356,55.0,0.0
3,3,Lift,0.23000009999999999,0.3577784,0.87071539,4.216664,0.0
3,3,OracleDistribution,0.999999,9.333324,53.000006000000006,36.66664,0.0
3,3,OracleLift,0.23000009999999999,0.3577784,0.87071539,4.216664,0.0
3,3,Recall,3.0,0.9032268000000001,1.432431,3.235297,0.0
3,3,SampleDistribution,0.999999,9.333324,53.000006000000006,36.66664,0.0
6,4,DiscoveredLabels,0.5000009999999999,10.166678,34.999985,53.000006000000006,1.3333359999999999
6,4,FrequencyRecall,0.0,2.5384623,2.3181795,41.6,4.0
6,4,Lift,0.0,0.3553836,0.32454564,5.824,0.56
6,4,OracleDistribution,0.0,10.999989000000001,16.999983,69.333364,2.666664
6,4,OracleLift,0.0,0.3553836,0.32454564,5.824,0.56
6,4,Recall,3.0,1.9677432,1.8918900000000003,9.3529406,2.0
6,4,SampleDistribution,0.0,10.999989000000001,16.999983,69.333364,2.666664
9,5,DiscoveredLabels,0.333333,7.444437000000001,33.111078,58.222260999999996,0.888888
9,5,FrequencyRecall,0.0,0.8571420000000001,2.6666645,22.888866000000004,0.0
9,5,Lift,0.0,0.1399998,0.43555516999999994,3.7385181,0.0
9,5,OracleDistribution,0.0,1.999998,29.333309,68.66669300000001,0.0
9,5,OracleLift,0.0,0.1399998,0.43555516999999994,3.7385181,0.0
9,5,Recall,3.0,2.1612914,2.6846820000000005,15.411783,2.0
9,5,SampleDistribution,0.0,1.999998,29.333309,68.66669300000001,0.0
12,6,DiscoveredLabels,0.2499999,5.916671099999999,30.666664,62.083328,1.0833329
12,6,FrequencyRecall,0.0,1.0,2.500001,31.571397,2.5
12,6,Lift,0.0,0.1366668,0.3416665,4.3147598,0.34166650000000004
12,6,OracleDistribution,0.0,1.333332,23.333313000000004,73.66669,1.666665
12,6,OracleLift,0.0,0.1366668,0.3416665,4.3147598,0.34166650000000004
12,6,Recall,3.0,2.2903234,3.3153123,21.911743,3.25
12,6,SampleDistribution,0.0,1.333332,23.333313000000004,73.66669,1.666665
15,7,DiscoveredLabels,0.2000001,4.8666629,34.199996,59.866665000000005,0.8666670999999999
15,7,FrequencyRecall,0.0,2.0,10.357137600000001,13.909081899999999,0.0
15,7,Lift,0.0,0.1733334,0.89762148,1.20545591,0.0
15,7,OracleDistribution,0.0,0.666666,48.333332,51.0,0.0
15,7,OracleLift,0.0,0.1733334,0.89762148,1.20545591,0.0
15,7,Recall,3.0,2.3548396,4.621620500000001,26.411775,3.25
15,7,SampleDistribution,0.0,0.666666,48.333332,51.0,0.0
18,6,DiscoveredLabels,0.1666668,4.3333336,32.555547000000004,60.833343000000006,2.1111128
18,6,FrequencyRecall,0.0,2.25,5.1071452,59.71432,15.0
18,6,Lift,0.0,0.1583335,0.33697877,5.1933351000000005,1.5833325
18,6,OracleDistribution,0.0,1.666665,24.333315000000002,65.666686,8.333325
18,6,OracleLift,0.0,0.1583335,0.33697877,5.1933351000000005,1.5833325
18,6,Recall,3.0,2.5161298,5.2792804,32.205868,9.5
18,6,SampleDistribution,0.0,1.666665,24.333315000000002,65.666686,8.333325
21,5,DiscoveredLabels,0.14285699999999998,3.8571408,31.761873,62.42860400000001,1.809522
