Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,3,DiscoveredLabels,0.0,7.999992,57.000014,34.999970000000005,0.0
3,3,FrequencyRecall,0.0,4.000007999999999,12.214276400000001,52.5,0.0
3,3,Lift,0.0,0.3066672,0.93642991,4.024997,0.0
3,3,OracleDistribution,4.666665,11.999993,38.999999,38.333317,5.999996000000001
3,3,OracleLift,1.0733325999999999,0.4600008,0.6407150500000001,4.4083317,5.999996000000001
3,3,Recall,0.0,0.7741944000000001,1.5405389999999999,3.0882385,0.0
3,3,SampleDistribution,0.0,7.999992,57.000014,34.999970000000005,0.0
6,4,DiscoveredLabels,0.0,7.000011,41.999996,50.500001000000005,0.5000009999999999
6,4,FrequencyRecall,0.0,1.3846158,3.6818152999999993,39.6,1.5
6,4,Lift,0.0,0.1938456,0.515455,5.544,0.21
6,4,OracleDistribution,2.666664,8.666658,21.999988000000002,54.000006000000006,12.666657
6,4,OracleLift,2.666664,0.2799992,0.42000032,4.536,2.66
6,4,Recall,0.0,1.3548399,2.270268,8.911764100000001,0.75
6,4,SampleDistribution,0.0,5.999994,26.999981000000002,66.000024,0.999999
9,5,DiscoveredLabels,0.0,6.444438,40.444425,52.777793,0.333333
9,5,FrequencyRecall,0.0,2.285712,3.3939383,19.111092,0.0
9,5,Lift,0.0,0.3733328,0.55434321,3.1214805,0.0
9,5,OracleDistribution,4.333331,9.999993,33.999983,43.00000800000001,8.666658
9,5,OracleLift,4.333331,0.6999993000000001,0.50484821,2.34111,8.666658
9,5,Recall,0.0,1.8709689,3.2792765000000004,13.970602999999999,0.75
9,5,SampleDistribution,0.0,5.333328,37.333319,57.333349000000005,0.0
12,6,DiscoveredLabels,0.0,5.0000016,39.583337,54.833327,0.5833330999999999
12,6,FrequencyRecall,0.0,0.5,3.9642879,26.142831,2.0
12,6,Lift,0.0,0.0683334,0.5417857500000001,3.5728554000000003,0.2733332
12,6,OracleDistribution,2.666664,5.333328,26.999983,47.666666000000006,17.333322
12,6,OracleLift,2.666664,0.5466672,0.39535695,2.7919034,3.553334
12,6,Recall,0.0,1.9354851,4.2792775,19.352930999999998,1.75
12,6,SampleDistribution,0.0,0.666666,36.999985,61.00001300000001,1.333332
15,7,DiscoveredLabels,0.0,4.1999973,41.533339,53.800003,0.46666690000000005
15,7,FrequencyRecall,0.0,3.0,10.571426200000001,13.545445399999998,0.0
15,7,Lift,0.0,0.2600001,0.91619236,1.17394076,0.0
15,7,OracleDistribution,3.6666630000000002,5.999994,35.999995000000006,48.000001000000005,6.333329
15,7,OracleLift,3.6666630000000002,1.5600006,0.66857308,1.13454681,6.333329
15,7,Recall,0.0,2.0322591,5.6126138,23.735294,1.75
15,7,SampleDistribution,0.0,0.999999,49.333333,49.666665,0.0
