Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,3,DiscoveredLabels,0.999999,8.333325,54.333342,36.333306,0.0
3,3,FrequencyRecall,,,,109.0,0.0
3,3,Lift,0.999999,8.333325,54.333342,8.3566667,0.0
3,3,OracleDistribution,0.999999,8.333325,54.333342,36.333306,0.0
3,3,OracleLift,0.999999,8.333325,54.333342,8.3566667,0.0
3,3,Recall,3.0,0.8064525,1.468467,3.2058853,0.0
3,3,SampleDistribution,0.999999,8.333325,54.333342,36.333306,0.0
6,4,DiscoveredLabels,0.5000009999999999,7.000014,37.666654,53.500007000000004,1.3333359999999999
6,4,FrequencyRecall,0.0,17.0,,,0.1951216
6,4,Lift,0.0,2.38,20.999979000000003,70.666696,0.02731704
6,4,OracleDistribution,0.0,5.666661,20.999979000000003,70.666696,2.666664
6,4,OracleLift,0.0,2.38,20.999979000000003,70.666696,0.02731704
6,4,Recall,3.0,1.3548402000000002,2.0360340000000003,9.4411757,2.0
6,4,SampleDistribution,0.0,5.666661,20.999979000000003,70.666696,2.666664
9,5,DiscoveredLabels,0.333333,5.55555,34.666632,58.55559100000001,0.888888
9,5,FrequencyRecall,0.0,,86.0,,0.0
9,5,Lift,0.0,2.666664,14.046649,68.666687,0.0
9,5,OracleDistribution,0.0,2.666664,28.666649000000003,68.666687,0.0
9,5,OracleLift,0.0,2.666664,14.046649,68.666687,0.0
9,5,Recall,3.0,1.6129048,2.810808,15.500018,2.0
9,5,SampleDistribution,0.0,2.666664,28.666649000000003,68.666687,0.0
12,6,DiscoveredLabels,0.2499999,4.1666658000000005,32.4999976,61.166656,1.9166659000000001
12,6,FrequencyRecall,0.0,0.0,78.0,103.5,0.416667
12,6,Lift,0.0,0.0,10.660018,14.1450254,0.05694450000000001
12,6,OracleDistribution,0.0,0.0,25.999982,69.000023,4.999995
12,6,OracleLift,0.0,0.0,10.660018,14.1450254,0.05694450000000001
12,6,Recall,3.0,1.6129048,3.5135106,21.588213999999997,5.75
12,6,SampleDistribution,0.0,0.0,25.999982,69.000023,4.999995
15,7,DiscoveredLabels,0.2000001,3.3333342,36.666659,58.266659,1.5333340999999998
15,7,FrequencyRecall,0.0,0.0,160.0,,0.0
15,7,Lift,0.0,0.0,13.866646800000002,46.66665700000001,0.0
15,7,OracleDistribution,0.0,0.0,53.333343000000006,46.66665700000001,0.0
15,7,OracleLift,0.0,0.0,13.866646800000002,46.66665700000001,0.0
15,7,Recall,3.0,1.6129048,4.9549552,25.705889000000003,5.75
15,7,SampleDistribution,0.0,0.0,53.333343000000006,46.66665700000001,0.0
18,6,DiscoveredLabels,0.1666668,3.0000020000000003,35.888885,59.33335,1.6111124000000001
18,6,FrequencyRecall,0.0,3.0,112.0,104.0,7.6111092
18,6,Lift,0.0,0.2533332,16.706684,13.6800238,0.023030280000000004
18,6,OracleDistribution,0.0,1.333332,31.99998,64.66669,1.999998
18,6,OracleLift,0.0,0.2533332,16.706684,13.6800238,0.023030280000000004
18,6,Recall,3.0,1.7419372000000002,5.819822,31.41176,7.25
