Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,3,DiscoveredLabels,0.0,40.999982,59.000018,0.0,0.0
3,3,FrequencyRecall,0.0,61.5,44.25,0.0,0.0
3,3,Lift,0.0,1.23,0.885,0.0,0.0
3,3,OracleDistribution,0.0,40.999982,59.000018,0.0,0.0
3,3,OracleLift,0.0,1.23,0.885,0.0,0.0
3,3,Recall,0.0,0.56944341,0.23167422000000001,0.0,0.0
3,3,SampleDistribution,0.0,40.999982,59.000018,0.0,0.0
6,4,DiscoveredLabels,6.666679999999999,20.83335,40.999982,13.500027,18.000028
6,4,FrequencyRecall,10.0,2.0,13.8,81.0,54.0
6,4,Lift,0.433332,0.0866666,0.59799991,3.5099973,2.3400027999999997
6,4,OracleDistribution,13.33332,0.666666,22.999985000000002,26.999973,35.999972
6,4,OracleLift,0.433332,0.0866666,0.59799991,3.5099973,2.3400027999999997
6,4,Recall,1.1111119999999999,0.57870275,0.32198785999999996,0.25077437999999996,1.9285675999999998
6,4,SampleDistribution,13.33332,0.666666,22.999985000000002,26.999973,35.999972
9,5,DiscoveredLabels,5.777772,15.999984,31.888857,20.111091000000002,26.222196
9,5,FrequencyRecall,3.0,2.1111090000000003,2.1578956,25.0,21.333348
9,5,Lift,0.42,0.2955564,0.30210522,3.5,2.9866652
9,5,OracleDistribution,3.999996,6.333327000000001,13.666653000000002,33.3333,42.666652000000006
9,5,OracleLift,0.42,0.2955564,0.30210522,3.5,2.9866652
9,5,Recall,1.4444455999999999,0.66666613,0.37565331999999996,0.56037319,4.2142858
9,5,SampleDistribution,3.999996,6.333327000000001,13.666653000000002,33.3333,42.666652000000006
12,6,DiscoveredLabels,5.4166665,13.2500092,26.666667000000004,25.916663,28.749992000000002
12,6,FrequencyRecall,0.8125,0.2205885,0.27499988999999997,1.884061,4.5416694
12,6,Lift,0.804375,0.218382,0.27225,1.865217,4.49625
12,6,OracleDistribution,4.333329,4.999995,10.999989000000001,43.33332,36.333306
12,6,OracleLift,0.804375,0.218382,0.27225,1.865217,4.49625
12,6,Recall,1.805557,0.73611084,0.41884761,0.96285009,6.1607133
12,6,SampleDistribution,4.333329,4.999995,10.999989000000001,43.33332,36.333306
15,7,DiscoveredLabels,4.3333335,11.333320099999998,26.066673,35.26665,23.000007999999998
15,7,FrequencyRecall,0.0,0.08088234,0.11525998000000001,0.87550226,0.0
15,7,Lift,0.0,0.2795837,0.39841437,3.0263196,0.0
15,7,OracleDistribution,0.0,3.6666630000000002,23.666643,72.666694,0.0
15,7,OracleLift,0.0,0.2795837,0.39841437,3.0263196,0.0
15,7,Recall,1.805557,0.78703721,0.51178053,1.6377709999999999,6.1607133
15,7,SampleDistribution,0.0,3.6666630000000002,23.666643,72.666694,0.0
18,6,DiscoveredLabels,4.0000029999999995,10.777782400000001,23.944449,41.444432,19.833346
18,6,FrequencyRecall,1.25,0.5735301,0.60833353,5.0289869000000005,5.0416688
18,6,Lift,0.42875,0.34588319999999995,0.32728430000000003,3.1393966,0.5151779999999999
18,6,OracleDistribution,2.333331,7.999992,13.333322,72.333357,3.999996
18,6,OracleLift,0.42875,0.34588319999999995,0.32728430000000003,3.1393966,0.5151779999999999
18,6,Recall,2.0000012999999996,0.89814854,0.56413689,2.3095960000000004,6.374999300000001
18,6,SampleDistribution,2.333331,7.999992,13.333322,72.333357,3.999996
21,5,DiscoveredLabels,3.6190445999999996,10.1428505,23.142833999999997,39.380913,23.714261999999998
21,5,FrequencyRecall,4.0,4.222218000000001,5.0526292,45.25,44.833323
21,5,Lift,0.13,0.2780548,0.38467847,3.5099973,3.9194999999999998
21,5,OracleDistribution,1.333332,6.333327000000001,18.333315,26.999973,46.999990000000004
21,5,OracleLift,0.13,0.2780548,0.38467847,3.5099973,3.9194999999999998
21,5,Recall,2.1111125,0.98611149,0.63612596,2.5603716000000003,8.8928597
21,5,SampleDistribution,1.333332,6.333327000000001,18.333315,26.999973,46.999990000000004
24,4,DiscoveredLabels,8.874998900000001,9.1250018,25.541660999999998,35.249992,21.20834
24,4,FrequencyRecall,44.25,8.0,39.2,100.0,59.5
24,4,Lift,1.2444453,0.1999998,0.9566663,0.6333327,0.3666663
24,4,OracleDistribution,45.666666000000006,1.999998,42.333325,6.333327000000001,3.6666630000000002
24,4,OracleLift,1.2444453,0.1999998,0.9566663,0.6333327,0.3666663
24,4,Recall,5.9166692,1.01388909,0.80235655,2.6191953,9.089288400000001
24,4,SampleDistribution,45.666666000000006,1.999998,42.333325,6.333327000000001,3.6666630000000002
27,3,DiscoveredLabels,8.0128247,11.1410303,29.868927,31.829038,19.148135
27,3,FrequencyRecall,0.0,100.0,89.75,0.0,0.0
27,3,Lift,0.0,0.86,0.955,0.0,0.0
27,3,OracleDistribution,0.0,28.666647,71.333353,0.0,0.0
27,3,OracleLift,0.0,0.86,0.955,0.0,0.0
27,3,Recall,5.9166692,1.37037094,1.04057584,2.6191953,9.089288400000001
27,3,SampleDistribution,0.0,28.666647,71.333353,0.0,0.0
30,4,DiscoveredLabels,9.4264289,10.6482644,31.605755,28.600008,19.719545
30,4,FrequencyRecall,60.75,27.0,67.4,100.0,96.5
30,4,Lift,0.6455569200000001,0.44333269999999997,1.05583544,0.0,1.7266642
30,4,OracleDistribution,21.999982,6.333327000000001,46.999997,0.0,24.666642000000003
30,4,OracleLift,0.6455569200000001,0.44333269999999997,1.05583544,0.0,1.7266642
30,4,Recall,7.7499983,1.4583335199999998,1.22513047,2.6191953,10.410716500000001
30,4,SampleDistribution,21.999982,6.333327000000001,46.999997,0.0,24.666642000000003
33,5,DiscoveredLabels,8.558712,10.2206416,32.683692,29.743354,18.79355
33,5,FrequencyRecall,4.0,6.222216,11.894736600000002,76.0,49.666666000000006
33,5,Lift,0.0,0.24833289999999997,0.8638796200000001,6.62,0.95
33,5,OracleDistribution,0.0,5.999994,43.333330000000004,40.999982,9.666657
33,5,OracleLift,0.0,0.24833289999999997,0.8638796200000001,6.62,0.95
33,5,Recall,7.7499983,1.5416664800000002,1.3952874499999999,2.9999979999999997,10.928575200000001
33,5,SampleDistribution,0.0,5.999994,43.333330000000004,40.999982,9.666657
36,6,DiscoveredLabels,8.08889,9.9460344,36.535719,27.88493,17.544452
36,6,FrequencyRecall,1.8125,0.882354,2.566667,5.3623199999999995,5.541668
36,6,Lift,0.545625,0.30126189999999997,1.9116393,0.34029200000000004,0.5060868
36,6,OracleDistribution,2.999997,6.999993000000001,78.333355,7.666659000000001,3.999996
36,6,OracleLift,0.545625,0.30126189999999997,1.9116393,0.34029200000000004,0.5060868
36,6,Recall,7.9999976,1.6388883200000002,1.7028789,3.0712047,11.1428618
36,6,SampleDistribution,2.999997,6.999993000000001,78.333355,7.666659000000001,3.999996
39,7,DiscoveredLabels,7.5371114,9.3778632,40.616034,26.289462,16.179484
39,7,FrequencyRecall,0.2499999,0.13970586000000002,0.54870144,0.96385601,0.0
39,7,Lift,0.861666,0.2027448,1.4956300999999999,0.3073871,0.0
39,7,OracleDistribution,0.999999,2.666664,89.000011,7.3333260000000005,0.0
39,7,OracleLift,0.861666,0.2027448,1.4956300999999999,0.3073871,0.0
39,7,Recall,8.0833307,1.67592512,2.0523552,3.1393163,11.1428618
39,7,SampleDistribution,0.999999,2.666664,89.000011,7.3333260000000005,0.0
42,6,DiscoveredLabels,7.1387931,8.9883898,43.100452999999995,25.639951999999997,15.132401199999999
42,6,FrequencyRecall,2.1875,1.0588246000000001,4.4416666,6.1159433000000005,5.7500013
42,6,Lift,0.376,0.17195339999999998,1.8468090000000001,0.7624195,0.21438740000000003
42,6,OracleDistribution,1.999998,3.999996,75.000011,17.333322,1.666665
42,6,OracleLift,0.376,0.17195339999999998,1.8468090000000001,0.7624195,0.21438740000000003
42,6,Recall,8.249997500000001,1.73148052,2.3468576999999997,3.3003069999999997,11.2321468
42,6,SampleDistribution,1.999998,3.999996,75.000011,17.333322,1.666665
45,5,DiscoveredLabels,6.6585851,8.6979726,42.71514200000001,25.867163,16.061128
45,5,FrequencyRecall,4.0,7.77777,17.789465,97.75,64.166684
45,5,Lift,0.0,0.1741664,0.72563929,9.57,2.9241675
45,5,OracleDistribution,0.0,4.666662,37.333330000000004,28.999971000000002,28.999992000000002
45,5,OracleLift,0.0,0.1741664,0.72563929,9.57,2.9241675
45,5,Recall,8.249997500000001,1.7962951999999999,2.4934545,3.569658,12.785712
45,5,SampleDistribution,0.0,4.666662,37.333330000000004,28.999971000000002,28.999992000000002
48,4,DiscoveredLabels,8.5957495,9.644069100000001,42.330235,24.235827,15.194151999999999
48,4,FrequencyRecall,88.75,98.0,89.4,100.0,100.0
48,4,Lift,0.9533316099999999,0.9466642999999999,0.86666522,0.0,0.09333309999999999
48,4,OracleDistribution,37.33332,23.666643,36.666655,0.0,2.333331
48,4,OracleLift,0.9533316099999999,0.9466642999999999,0.86666522,0.0,0.09333309999999999
48,4,Recall,11.3611077,2.12499846,2.6374335,3.569658,12.910711000000001
48,4,SampleDistribution,37.33332,23.666643,36.666655,0.0,2.333331
51,4,DiscoveredLabels,9.044488690476191,9.386649166666666,42.757935714285715,23.78372380952381,15.027220238095238
51,4,FrequencyRecall,100.0,100.0,100.0,100.0,100.0
51,4,Lift,0.34523809523809523,0.023809523809523808,0.6309523809523809,0.0,0.0
51,4,OracleDistribution,34.523809523809526,2.380952380952381,63.095238095238095,0.0,0.0
51,4,OracleLift,0.34523809523809523,0.023809523809523808,0.6309523809523809,0.0,0.0
51,4,Recall,12.202378571428572,2.110889166666667,2.719083928571428,3.5751128571428574,13.031458333333333
51,4,SampleDistribution,34.523809523809526,2.380952380952381,63.095238095238095,0.0,0.0
51,5,DiscoveredLabels,8.5049025,10.47304125,41.56618125,22.5637125,16.89216875
51,5,FrequencyRecall,25.0,16.66665,17.763175,100.0,85.4166375
51,5,Lift,0.0,0.546875,0.52910525,0.0,6.562501875
51,5,OracleDistribution,0.0,14.58331875,29.1666375,0.0,56.250012500000004
51,5,OracleLift,0.0,0.546875,0.52910525,0.0,6.562501875
51,5,Recall,11.979162500000001,2.459489375,2.756870625,3.54102,15.29015625
51,5,SampleDistribution,0.0,14.58331875,29.1666375,0.0,56.250012500000004
54,5,DiscoveredLabels,8.518280476190476,9.51213857142857,42.89979404761905,22.606461904761904,16.46332142857143
54,5,FrequencyRecall,0.0,10.84655,25.814524999999996,100.0,85.31743095238095
54,5,Lift,0.0,0.4235164285714286,0.8707146071428572,1.0714285714285714,5.277778452380953
54,5,OracleDistribution,0.0,11.507925,45.23809404761905,3.571425,39.68253214285715
54,5,OracleLift,0.0,0.4235164285714286,0.8707146071428572,1.0714285714285714,5.277778452380953
54,5,Recall,12.202378571428572,2.270722023809524,2.8967203571428572,3.608284285714286,15.157295238095239
54,5,SampleDistribution,0.0,11.507925,45.23809404761905,3.571425,39.68253214285715
54,6,DiscoveredLabels,8.029788125,9.8881975,41.33690625,24.7969125,15.9481875
54,6,FrequencyRecall,1.953125,0.735295,5.572915625,8.786223125,5.9895837499999995
54,6,Lift,0.0,0.0,0.9290505,2.743414375,0.0
54,6,OracleDistribution,0.0,0.0,37.499975,62.50002500000001,0.0
54,6,OracleLift,0.0,0.0,0.9290505,2.743414375,0.0
54,6,Recall,11.979162500000001,2.459489375,2.904121875,4.12152,15.29015625
54,6,SampleDistribution,0.0,0.0,37.499975,62.50002500000001,0.0
57,6,DiscoveredLabels,8.159373333333333,9.272090476190476,42.04905476190476,24.961517857142855,15.557973809523808
57,6,FrequencyRecall,2.6041666666666665,1.3480405952380952,5.089285952380952,8.971695,5.704366547619047
57,6,Lift,0.35342261904761907,0.21794916666666667,0.6797317142857143,2.879351785714286,0.0
57,6,OracleDistribution,1.9841250000000001,5.158725,27.3809380952381,65.47620833333333,0.0
57,6,OracleLift,0.35342261904761907,0.21794916666666667,0.6797317142857143,2.879351785714286,0.0
57,6,Recall,12.36772380952381,2.3423711904761904,3.004237142857143,4.216425357142858,15.157295238095239
57,6,SampleDistribution,1.9841250000000001,5.158725,27.3809380952381,65.47620833333333,0.0
57,7,DiscoveredLabels,7.6049493749999995,10.1425425,40.90890625,26.23943125,15.104175
57,7,FrequencyRecall,0.0,0.5514705,0.7203734374999999,1.531128125,0.0
57,7,Lift,0.0,1.105545,0.560574375,2.174006875,0.0
57,7,OracleDistribution,0.0,14.58331875,33.3333125,52.08335,0.0
57,7,OracleLift,0.0,1.105545,0.560574375,2.174006875,0.0
57,7,Recall,11.979162500000001,2.66203625,3.035011875,4.6052625,15.29015625
57,7,SampleDistribution,0.0,14.58331875,33.3333125,52.08335,0.0
60,6,DiscoveredLabels,7.431143125,9.8411125,41.78671875,26.59604375,14.34496875
60,6,FrequencyRecall,2.734375,0.91911875,7.031250625,10.23549375,5.9895837499999995
60,6,Lift,0.734375,0.17537375,1.452136125,1.493754375,0.0
60,6,OracleDistribution,4.1666625,4.1666625,58.33335,33.3333,0.0
60,6,OracleLift,0.734375,0.17537375,1.452136125,1.493754375,0.0
60,6,Recall,12.3263875,2.7199075,3.264069375,4.91486,15.29015625
60,6,SampleDistribution,4.1666625,4.1666625,58.33335,33.3333,0.0
60,7,DiscoveredLabels,7.795707023809523,8.850427976190478,41.203582142857144,27.403283333333338,14.74699523809524
60,7,FrequencyRecall,0.5952392857142856,0.14880949999999998,0.6725417976190476,1.8406980952380951,0.0
60,7,Lift,1.1158,0.09024857142857143,0.4340833571428572,3.003652738095238,0.0
60,7,OracleDistribution,1.190475,1.190475,25.793629761904764,71.82542023809525,0.0
