Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,3,DiscoveredLabels,0.0,43.999988,56.000012000000005,0.0,0.0
3,3,FrequencyRecall,0.0,66.0,48.766670000000005,0.0,0.0
3,3,Lift,0.0,1.32,0.84,0.0,0.0
3,3,OracleDistribution,0.0,35.666657,64.333343,0.0,0.0
3,3,OracleLift,0.0,1.07,0.965,0.0,0.0
3,3,Recall,0.0,0.61111044,0.21989448,0.0,0.0
3,3,SampleDistribution,0.0,43.999988,56.000012000000005,0.0,0.0
6,4,DiscoveredLabels,5.666677999999999,22.833343999999997,40.999984000000005,13.000025999999998,17.50003
6,4,FrequencyRecall,8.5,5.0,18.866662,80.83333400000001,52.5
6,4,Lift,0.3683322,0.2166665,0.6759997799999999,3.3799974,2.275003
6,4,OracleDistribution,9.99999,0.999999,26.666652000000003,36.666657,25.666644
6,4,OracleLift,0.324999,0.1299999,0.6933331199999999,4.7666657,1.6683355999999998
6,4,Recall,0.9444452,0.63425869,0.32198796,0.24148643999999997,1.8749959999999999
6,4,SampleDistribution,11.333322,1.666665,25.999986,25.999974,34.999970000000005
9,5,DiscoveredLabels,4.222218000000001,17.444427,34.888854,17.111094,26.333307
9,5,FrequencyRecall,1.0,2.22222,5.327318,23.333332999999996,22.000009999999996
9,5,Lift,0.14,0.311112,0.50105228,2.66,3.0799990000000004
9,5,OracleDistribution,0.666666,4.666662,32.333319,27.999983,34.333321
9,5,OracleLift,0.07,0.2177784,0.71473602,2.94,2.4033321
9,5,Recall,1.0555564,0.72685189,0.41099407,0.47678151,4.2321427
9,5,SampleDistribution,1.333332,6.66666,22.666651,25.333308000000002,43.99999
12,6,DiscoveredLabels,3.9166678999999998,15.916684799999999,28.333326000000003,22.500004399999998,29.333322
12,6,FrequencyRecall,0.5625,0.5000006,0.33236902,2.3238808,4.791669
12,6,Lift,0.556875,0.49499920000000003,0.2145,1.6643466999999998,4.74375
12,6,OracleDistribution,2.999997,6.66666,12.333321000000002,46.66665700000001,31.333314
12,6,OracleLift,0.556875,0.29117600000000005,0.30524999999999997,2.0086957,3.8775
12,6,Recall,1.3055565999999998,0.88426008,0.44502593000000007,0.8359151300000001,6.2857138
12,6,SampleDistribution,2.999997,11.333322,8.666658,38.666647000000005,38.333310000000004
15,7,DiscoveredLabels,3.2666654999999998,13.666651199999999,26.600002,32.866662,23.600012000000003
15,7,FrequencyRecall,0.1666666,0.10294116,0.15567875,1.03429864,0.0833334
15,7,Lift,0.576112,0.3558338,0.33107665,3.0957306,0.288056
15,7,OracleDistribution,0.666666,2.333331,26.666653,69.666682,0.666666
15,7,OracleLift,0.576112,0.1779169,0.44891708,2.9013797999999995,0.288056
