Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,3,DiscoveredLabels,0.0,45.999992,54.00000800000001,0.0,0.0
3,3,FrequencyRecall,0.0,69.0,40.5,0.0,0.0
3,3,Lift,0.0,1.38,0.81,0.0,0.0
3,3,OracleDistribution,11.333327000000002,44.666661000000005,39.999993,2.333331,1.666665
3,3,OracleLift,11.333327000000002,1.34,0.6,2.333331,1.666665
3,3,Recall,0.0,0.63888846,0.21204132,0.0,0.0
3,3,SampleDistribution,0.0,45.999992,54.00000800000001,0.0,0.0
6,4,DiscoveredLabels,8.833347999999999,23.666673999999997,39.833315,12.000023999999998,15.666697999999998
6,4,FrequencyRecall,13.25,4.0,15.4,72.0,47.0
6,4,Lift,0.5741651999999999,0.1733332,0.66733307,3.1199976000000005,2.0366698
6,4,OracleDistribution,14.999988,4.9999970000000005,22.333321,27.333320000000004,30.333311000000002
6,4,OracleLift,0.48749879999999995,0.6499997000000001,0.58066649,3.553332,1.9716689
6,4,Recall,1.4722234,0.6574070399999999,0.31282559,0.22291055999999998,1.6785674
6,4,SampleDistribution,17.666652000000003,1.333332,25.666654000000005,23.999976,31.333302000000003
9,5,DiscoveredLabels,7.222215,17.555538000000002,34.777746,15.777762000000001,24.666642000000003
9,5,FrequencyRecall,3.0,1.777776,3.8947363999999998,17.5,21.333343
9,5,Lift,0.42,0.2488894,0.54526268,2.45,2.9866656999999996
9,5,OracleDistribution,4.999995,5.999995999999999,25.666659,22.666652000000003,40.666663
9,5,OracleLift,0.525,0.2800006,0.5673680999999999,2.38,2.8466663
9,5,Recall,1.805557,0.7314814199999999,0.40968514,0.43962965,3.9642856999999996
9,5,SampleDistribution,3.999996,5.333330000000001,24.666658,23.33331,42.66665700000001
12,6,DiscoveredLabels,6.4166725,15.3333433,29.33333,20.3333436,28.583325
12,6,FrequencyRecall,0.75,0.3823534,0.32499986999999997,1.4782643999999998,5.0416685999999995
12,6,Lift,0.7425,0.3785288,0.32175,1.4634768,4.99125
12,6,OracleDistribution,3.33333,8.333325,16.999987,35.333319,35.999988
12,6,OracleLift,0.61875,0.36396999999999996,0.42074999999999996,1.5208689000000002,4.455
12,6,Recall,2.1388906,0.8518519499999999,0.46073283000000004,0.7554197899999999,6.1249997
12,6,SampleDistribution,3.999996,8.666658,12.999987,33.999978,40.333314
15,7,DiscoveredLabels,5.2666601,13.7999893,28.266673,29.799998000000002,22.866675
15,7,FrequencyRecall,0.1666666,0.16911762,0.11688331,0.8152612099999998,0.0
15,7,Lift,0.576112,0.5845841,0.40402563999999996,2.8180865999999996,0.0
15,7,OracleDistribution,1.333332,9.666657,18.66665,61.00001700000001,9.333328
15,7,OracleLift,1.152224,0.7370842999999999,0.31424224,2.5404426,4.0327839999999995
15,7,Recall,2.1944462,0.95833371,0.5549742400000001,1.38390175,6.1249997
15,7,SampleDistribution,0.666666,7.666659000000001,23.999981000000002,67.666694,0.0
18,6,DiscoveredLabels,5.0000006,12.944448399999999,26.555549999999997,35.111109,20.3888938
18,6,FrequencyRecall,1.4375,0.7647068,0.7750007499999999,4.1594217,6.0416688
18,6,Lift,0.67375,0.37621249999999995,0.44292149999999997,2.6696673,1.0315318
18,6,OracleDistribution,5.333328,7.666659000000001,19.666653,53.99999900000001,13.333325
18,6,OracleLift,0.98,0.3329771,0.48389201,2.3356478000000003,1.7032182
18,6,Recall,2.5000017,1.0787042900000001,0.6256548200000001,1.9566548500000003,6.553571799999999
18,6,SampleDistribution,3.6666630000000002,8.666658,17.999986,61.666677,7.999992
21,5,DiscoveredLabels,4.714283099999999,11.952373,25.1904514,33.476157,24.6666423
21,5,FrequencyRecall,5.25,3.777774,6.578943000000001,35.25,46.499993
21,5,Lift,0.3141666,0.2599992,0.36746691,2.8924982,4.1751667
21,5,OracleDistribution,5.666661,6.333327000000001,14.99999,30.333320000000004,42.666659
21,5,OracleLift,0.5741666,0.2780548,0.32849368,3.6508325999999998,3.5728334999999998
21,5,Recall,2.7500017,1.16203772,0.69240875,2.17646995,9.2500027
21,5,SampleDistribution,2.999997,5.999994,16.999988000000002,23.666646,50.33332600000001
24,4,DiscoveredLabels,8.5416661,10.666671200000001,27.666666,30.291655000000002,22.833332999999996
24,4,FrequencyRecall,39.75,9.0,42.4,96.0,62.0
24,4,Lift,0.99166697,0.1666665,1.02888826,0.7999992,0.8999994000000001
24,4,OracleDistribution,26.333329000000003,13.333326999999999,38.333328,11.666660000000002,10.333327000000002
24,4,OracleLift,0.7194447700000001,1.3333327,0.8788887099999999,5.366663600000001,0.9833329000000001
24,4,Recall,5.6944466,1.18518593,0.86911006,2.2507733500000002,9.7857158
24,4,SampleDistribution,35.333330000000004,1.666665,44.99999400000001,7.999992,9.99999
27,3,DiscoveredLabels,7.7179472,11.962965899999999,32.306251,27.351831999999998,20.66096
