Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,3,DiscoveredLabels,0.0,43.666654,56.333346,0.0,0.0
3,3,FrequencyRecall,0.0,43.666654,169.0,0.0,0.0
3,3,Lift,0.0,0.87333253,3.38,0.0,0.0
3,3,OracleDistribution,0.0,43.666654,56.333346,0.0,0.0
3,3,OracleLift,0.0,0.87333253,3.38,0.0,0.0
3,3,Recall,0.0,0.60648077,0.22120334,0.0,0.0
3,3,SampleDistribution,0.0,43.666654,56.333346,0.0,0.0
6,4,DiscoveredLabels,6.000011999999999,22.666678,41.499983,12.833358999999998,17.000031999999997
6,4,FrequencyRecall,,1.0,,,12.75
6,4,Lift,11.999988,0.04333335,26.666651,25.666641,0.55250026
6,4,OracleDistribution,11.999988,1.666665,26.666651,25.666641,33.999968
6,4,OracleLift,11.999988,0.04333335,26.666651,25.666641,0.55250026
6,4,Recall,1.0000008,0.62962902,0.32591459,0.23839046,1.8214244
6,4,SampleDistribution,11.999988,1.666665,26.666651,25.666641,33.999968
9,5,DiscoveredLabels,4.777773,17.77776,31.888857,19.888869,25.666641
9,5,FrequencyRecall,,12.0,,,3.225
9,5,Lift,2.333331,1.68,12.666654000000001,33.999968,0.4515
9,5,OracleDistribution,1.666665,7.999992,12.666654000000001,33.999968,43.666654
9,5,OracleLift,1.666665,1.68,12.666654000000001,33.999968,0.45849999999999996
9,5,Recall,1.1944454,0.74074065,0.37565335,0.55418121,4.125000099999999
9,5,SampleDistribution,2.333331,7.999992,12.666654000000001,33.999968,42.999986
12,6,DiscoveredLabels,4.249999900000001,14.5833484,26.499994,26.333328,28.333321
12,6,FrequencyRecall,,3.0,1.4090895,27.4,0.41132031
12,6,Lift,2.666664,2.97,1.395,27.125999999999998,0.40720765
12,6,OracleDistribution,2.666664,4.333329,10.333323,45.666658000000005,36.999974
12,6,OracleLift,2.666664,2.5740000000000003,1.395,27.125999999999998,0.41467934999999995
12,6,Recall,1.4166678,0.8101855600000001,0.41622970000000004,0.9783298100000001,6.0714279
12,6,SampleDistribution,2.666664,4.999995,10.333323,45.666658000000005,36.333306
15,7,DiscoveredLabels,3.5333327,12.1999855,25.600012000000003,35.999990000000004,22.666679
15,7,FrequencyRecall,,0.4210528,4.125,9.3333308,0.0
15,7,Lift,0.666666,1.45544,14.258771999999999,32.262248,0.0
15,7,OracleDistribution,0.666666,2.666664,20.999979000000003,74.666692,0.999999
15,7,OracleLift,0.666666,1.45544,13.610646,32.262248,0.010603259999999998
15,7,Recall,1.4722234,0.8472226700000001,0.50261834,1.6718261,6.0714279
15,7,SampleDistribution,0.666666,2.666664,21.999978000000002,74.666692,0.0
18,6,DiscoveredLabels,3.5555564,11.055556200000002,23.888889,42.277762,19.222231
18,6,FrequencyRecall,,3.2,2.6818163,44.8,1.0943429199999999
18,6,Lift,3.6666630000000002,3.136,2.06182,43.61,0.022442760000000003
18,6,OracleDistribution,3.6666630000000002,5.333328,14.999987,73.666691,2.333331
18,6,OracleLift,3.6666630000000002,3.136,2.0172745,43.61,0.02618322
18,6,Recall,1.7777792,0.92129695,0.56282802,2.3560358000000003,6.1785711
18,6,SampleDistribution,3.6666630000000002,5.333328,15.33332,73.666691,1.999998
21,5,DiscoveredLabels,3.4285693999999993,10.1428507,22.476167999999998,40.666628,23.285691
21,5,FrequencyRecall,,13.0,,,10.775
21,5,Lift,2.666664,1.3,13.999986000000002,30.999975,0.5007680400000001
21,5,OracleDistribution,1.333332,4.666662,13.999986000000002,30.999975,48.99999400000001
21,5,OracleLift,1.333332,1.3,13.999986000000002,30.999975,0.5148221199999999
21,5,Recall,2.0000014,0.9861116299999999,0.61780186,2.643962,8.7321472
21,5,SampleDistribution,2.666664,4.666662,13.999986000000002,30.999975,47.666658000000005
24,4,DiscoveredLabels,8.666667,9.125001600000001,24.958329,36.541664999999995,20.708341
24,4,FrequencyRecall,,20.2,,,26.625
24,4,Lift,45.333324000000005,0.04999998,42.333325,7.666659000000001,0.04444448
24,4,OracleDistribution,45.333324000000005,1.999998,42.333325,7.666659000000001,2.666664
24,4,OracleLift,45.333324000000005,0.04999998,42.333325,7.666659000000001,0.04444448
24,4,Recall,5.777779399999999,1.01388941,0.78403188,2.7151696,8.875004
24,4,SampleDistribution,45.333324000000005,1.999998,42.333325,7.666659000000001,2.666664
27,3,DiscoveredLabels,7.8418817,10.8475837,29.455823,33.091147,18.76352
27,3,FrequencyRecall,0.0,67.000033,233.0,0.0,58.5
27,3,Lift,0.0,0.3975,35.200017,0.0,0.0
27,3,OracleDistribution,0.0,25.999983,74.00001700000001,0.0,0.0
27,3,OracleLift,0.0,0.3975,35.200017,0.0,0.0
27,3,Recall,5.777779399999999,1.3333340599999999,1.02225114,2.7151696,8.875004
27,3,SampleDistribution,0.0,25.999983,74.00001700000001,0.0,0.0
30,4,DiscoveredLabels,9.5183836,10.125276,31.096556,29.725297,19.534496
30,4,FrequencyRecall,,36.6,,0.0,63.375
30,4,Lift,24.333321,0.08750007,45.666663,0.0,0.52111107
30,4,OracleDistribution,24.333321,3.6666630000000002,45.666663,0.0,26.333307
30,4,OracleLift,24.333321,0.08750007,45.666663,0.0,0.52111107
30,4,Recall,7.8055549,1.3842598000000002,1.2015702400000001,2.7151696,10.285717
30,4,SampleDistribution,24.333321,3.6666630000000002,45.666663,0.0,26.333307
33,5,DiscoveredLabels,8.6401509,9.3759449,32.959263,30.586159000000002,18.438438
33,5,FrequencyRecall,0.0,17.0,,,14.875
33,5,Lift,0.0,0.66,51.333341,38.999978,0.08016803
33,5,OracleDistribution,0.0,1.999998,51.333341,38.999978,7.666659000000001
33,5,OracleLift,0.0,0.66,51.333341,38.999978,0.08016803
33,5,Recall,7.8055549,1.41203742,1.4031407999999999,3.0773973999999997,10.6964319
33,5,SampleDistribution,0.0,1.999998,51.333341,38.999978,7.666659000000001
36,6,DiscoveredLabels,7.9658745,9.369846,37.41747,28.367467,16.879369
36,6,FrequencyRecall,,25.6,12.5000185,3.6,1.7999972
36,6,Lift,0.666666,6.79,11.427952,2.522,0.0
36,6,OracleDistribution,0.666666,9.333324,85.66668100000001,4.333329,0.0
36,6,OracleLift,0.666666,6.79,11.427952,2.522,0.0
36,6,Recall,7.8611103,1.5416664,1.7395281,3.1176447,10.6964319
36,6,SampleDistribution,0.666666,9.333324,85.66668100000001,4.333329,0.0
39,7,DiscoveredLabels,7.345479299999999,8.8987812,41.570836,26.621447,15.563427999999998
39,7,FrequencyRecall,0.0,0.526316,17.0,0.7916672,0.30572551000000003
39,7,Lift,0.0,1.8140399999999999,58.593324,2.5912420000000003,0.0
39,7,OracleDistribution,0.0,3.33333,90.66667600000001,5.999994,0.0
39,7,OracleLift,0.0,1.8140399999999999,58.593324,2.5912420000000003,0.0
39,7,Recall,7.8611103,1.5879624,2.0955489,3.1733724,10.6964319
39,7,SampleDistribution,0.0,3.33333,90.66667600000001,5.999994,0.0
42,6,DiscoveredLabels,6.936701500000001,8.5220722,43.961668,26.070264,14.5092913
42,6,FrequencyRecall,,23.0,16.181828699999997,12.4,2.4981132
42,6,Lift,1.666665,2.64,10.4135987,11.088,0.01116279
42,6,OracleDistribution,1.666665,3.6666630000000002,74.666682,18.999988000000002,0.999999
42,6,OracleLift,1.666665,2.64,10.4135987,11.088,0.01116279
42,6,Recall,7.999998799999999,1.6388880000000001,2.3887424999999998,3.3498430999999997,10.7500035
42,6,SampleDistribution,1.666665,3.6666630000000002,74.666682,18.999988000000002,0.999999
45,5,DiscoveredLabels,6.6025225,8.2403981,44.033834999999996,26.087373000000003,15.035867000000001
45,5,FrequencyRecall,,31.0,,,22.95
45,5,Lift,1.999998,1.1,45.0,26.333307,0.23219763000000002
45,5,OracleDistribution,1.999998,4.333329,45.0,26.333307,22.333316
45,5,OracleLift,1.999998,1.1,45.0,26.333307,0.23219763000000002
45,5,Recall,8.1666662,1.69907304,2.565444,3.5944260000000003,11.946430600000001
45,5,SampleDistribution,1.999998,4.333329,45.0,26.333307,22.333316
48,4,DiscoveredLabels,8.714544100000001,9.1715493,43.357265,24.439728,14.316935
48,4,FrequencyRecall,,80.4,,0.0,72.25
48,4,Lift,39.999992,0.6599991299999999,33.33332,0.0,0.08666663
48,4,OracleDistribution,39.999992,22.999976999999998,33.33332,0.0,3.6666630000000002
48,4,OracleLift,39.999992,0.6599991299999999,33.33332,0.0,0.08666663
