Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,3,DiscoveredLabels,5.333328,14.999985000000002,78.000022,1.666665,0.0
3,3,FrequencyRecall,3.2,4.5,33.428538,5.0,0.0
3,3,Lift,0.24533280000000002,0.34500014999999995,2.5628582,0.38333349999999994,0.0
3,3,OracleDistribution,5.333328,14.999985000000002,78.000022,1.666665,0.0
3,3,OracleLift,0.24533280000000002,0.34500014999999995,2.5628582,0.38333349999999994,0.0
3,3,Recall,0.8421056,0.33088275,0.6077913,0.0396827,0.0
3,3,SampleDistribution,5.333328,14.999985000000002,78.000022,1.666665,0.0
6,4,DiscoveredLabels,3.0000059999999995,10.500010999999999,66.50001200000001,20.00002,0.0
6,4,FrequencyRecall,0.4,0.9473688,6.874999,14.375,0.0
6,4,Lift,0.0746666,0.17684207999999998,1.2833363,2.683331,0.0
6,4,OracleDistribution,0.666666,5.999994,55.00001,38.333310000000004,0.0
6,4,OracleLift,0.0746666,0.17684207999999998,1.2833363,2.683331,0.0
6,4,Recall,0.9473688,0.46323585,1.0363632600000001,0.9523832,0.0
6,4,SampleDistribution,0.666666,5.999994,55.00001,38.333310000000004,0.0
9,5,DiscoveredLabels,1.999998,9.555546,60.444472000000005,27.111084,0.888888
9,5,FrequencyRecall,0.0,0.7931044,2.589284,6.5263136,2.0
9,5,Lift,0.0,0.29609280000000004,0.96666535,2.4364884,0.7466664000000001
9,5,OracleDistribution,0.0,7.666659000000001,48.333330000000004,41.333316,2.666664
9,5,OracleLift,0.0,0.29609280000000004,0.96666535,2.4364884,0.7466664000000001
9,5,Recall,0.9473688,0.63235365,1.4129856,1.936509,0.470588
9,5,SampleDistribution,0.0,7.666659000000001,48.333330000000004,41.333316,2.666664
12,6,DiscoveredLabels,1.4999994,7.5833404,58.83333400000001,22.583344999999998,9.5000004
12,6,FrequencyRecall,0.0,0.131579,1.49999886,0.6136371,15.142842
12,6,Lift,0.0,0.088158,1.0049994,0.4111371,10.1457175
12,6,OracleDistribution,0.0,1.666665,54.000009,8.999991,35.333303
12,6,OracleLift,0.0,0.088158,1.0049994,0.4111371,10.1457175
12,6,Recall,0.9473688,0.6691184,1.8337644,2.1507946,6.7058789999999995
12,6,SampleDistribution,0.0,1.666665,54.000009,8.999991,35.333303
15,7,DiscoveredLabels,1.2000005999999999,6.466659600000001,51.333336,33.066663,7.9333322
15,7,FrequencyRecall,0.0,0.15,0.33684221999999997,4.1666652,0.8333349999999998
15,7,Lift,0.0,0.1455,0.32673662,4.0416651,0.8083349999999999
15,7,OracleDistribution,0.0,1.999998,21.333313000000004,75.000024,1.666665
15,7,OracleLift,0.0,0.1455,0.32673662,4.0416651,0.8083349999999999
15,7,Recall,0.9473688,0.713236,1.999998,3.9365089999999996,6.999998
15,7,SampleDistribution,0.0,1.999998,21.333313000000004,75.000024,1.666665
18,6,DiscoveredLabels,1.1111119999999999,5.8333352000000005,49.000001000000005,31.333330999999998,12.722218
18,6,FrequencyRecall,0.5,0.3421054,2.53703644,2.159091,30.857113
18,6,Lift,0.33,0.1389472,0.69503192,1.0297669,12.243
18,6,OracleDistribution,0.666666,2.666664,37.333329000000006,22.666651,36.666643
18,6,OracleLift,0.33,0.1389472,0.69503192,1.0297669,12.243
18,6,Recall,1.052632,0.7720594,2.2909068,4.4761919,13.47059
18,6,SampleDistribution,0.666666,2.666664,37.333329000000006,22.666651,36.666643
21,5,DiscoveredLabels,0.95238,5.5714251,45.380933000000006,27.9999721,20.095218
21,5,FrequencyRecall,0.0,1.2068973,3.8571419000000002,7.7894708,50.25
21,5,Lift,0.0,0.1534769,0.47257804,0.4915686,17.803363
21,5,OracleDistribution,0.0,3.999996,23.666647,7.999992,64.33336200000001
21,5,OracleLift,0.0,0.1534769,0.47257804,0.4915686,17.803363
21,5,Recall,1.052632,0.86029465,2.4753222,4.6666681,24.823525
21,5,SampleDistribution,0.0,3.999996,23.666647,7.999992,64.33336200000001
24,4,DiscoveredLabels,0.9583341,5.791667199999999,46.875001000000005,28.791669000000002,17.583354999999997
24,4,FrequencyRecall,1.0,2.1052626,14.041681999999998,27.25,0.0
24,4,Lift,0.1059999,0.20817742,1.3581681,2.6289683999999998,0.0
24,4,OracleDistribution,0.999999,7.3333260000000005,57.333342,34.333310000000004,0.0
