Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,3,DiscoveredLabels,5.666661,13.999986000000002,79.666687,0.666666,0.0
3,3,FrequencyRecall,,,239.0,,0.0
3,3,Lift,5.666661,13.999986000000002,18.323313,0.666666,0.0
3,3,OracleDistribution,5.666661,13.999986000000002,79.666687,0.666666,0.0
3,3,OracleLift,5.666661,13.999986000000002,18.323313,0.666666,0.0
3,3,Recall,0.8947372,0.3088239,0.62077855,0.015873079999999998,0.0
3,3,SampleDistribution,5.666661,13.999986000000002,79.666687,0.666666,0.0
6,4,DiscoveredLabels,3.666674,10.833351,65.166678,20.333352,0.0
6,4,FrequencyRecall,,,,120.0,0.0
6,4,Lift,1.666665,7.666659000000001,50.666668,22.400019999999998,0.0
6,4,OracleDistribution,1.666665,7.666659000000001,50.666668,39.99998,0.0
6,4,OracleLift,1.666665,7.666659000000001,50.666668,22.400019999999998,0.0
6,4,Recall,1.1578952,0.47794175000000005,1.01558424,0.9682561199999999,0.0
6,4,SampleDistribution,1.666665,7.666659000000001,50.666668,39.99998,0.0
9,5,DiscoveredLabels,2.4444420000000004,8.999991,61.111133,26.333307,1.11111
9,5,FrequencyRecall,0.0,8.0,,,0.09090909999999999
9,5,Lift,0.0,2.986672,53.000006000000006,38.333310000000004,0.033939399999999995
9,5,OracleDistribution,0.0,5.333328,53.000006000000006,38.333310000000004,3.33333
9,5,OracleLift,0.0,2.986672,53.000006000000006,38.333310000000004,0.033939399999999995
9,5,Recall,1.1578952,0.5955888500000001,1.42857,1.8809529999999999,0.588235
9,5,SampleDistribution,0.0,5.333328,53.000006000000006,38.333310000000004,3.33333
12,6,DiscoveredLabels,1.8333325999999999,7.7500043,57.916665,23.166676,9.3333344
12,6,FrequencyRecall,0.0,2.0000039999999997,,,0.52307738
12,6,Lift,0.0,1.3400040000000002,48.333332,13.666653000000002,0.3504618
12,6,OracleDistribution,0.0,3.999996,48.333332,13.666653000000002,33.999968
12,6,OracleLift,0.0,1.3400040000000002,48.333332,13.666653000000002,0.3504618
12,6,Recall,1.1578952,0.68382425,1.805193,2.2063508,6.588232
12,6,SampleDistribution,0.0,3.999996,48.333332,13.666653000000002,33.999968
15,7,DiscoveredLabels,1.4666674,6.6666598,50.266662,33.866664,7.7333308
15,7,FrequencyRecall,0.0,1.75,59.0,230.0,0.01403508
15,7,Lift,0.0,1.6975,57.23,223.1,0.01361404
15,7,OracleDistribution,0.0,2.333331,18.999981000000002,76.66669,1.999998
15,7,OracleLift,0.0,1.6975,55.29,223.1,0.02042106
15,7,Recall,1.1578952,0.7352949000000001,1.9584396000000002,4.0317464,6.823525999999999
15,7,SampleDistribution,0.0,2.333331,19.666647,76.66669,1.333332
18,6,DiscoveredLabels,1.2222232,5.7777774,48.555554,32.55555,11.8888812
18,6,FrequencyRecall,0.0,0.6666679999999999,,,2.0410236
18,6,Lift,0.0,0.44,39.999998000000005,25.999990000000004,0.336875
18,6,OracleDistribution,0.0,1.333332,39.999998000000005,25.999990000000004,32.666642
18,6,OracleLift,0.0,0.44,39.999998000000005,25.999990000000004,0.336875
18,6,Recall,1.1578952,0.7647067,2.2701276000000004,4.650795,12.588233
18,6,SampleDistribution,0.0,1.333332,39.999998000000005,25.999990000000004,32.666642
21,5,DiscoveredLabels,1.047618,5.714283699999999,44.095211,29.714258,19.428552
21,5,FrequencyRecall,0.0,8.0,,,4.490905
21,5,Lift,0.0,2.906672,17.333316,12.666654000000001,0.6587540799999999
21,5,OracleDistribution,0.0,5.333328,17.333316,12.666654000000001,64.666692
21,5,OracleLift,0.0,2.906672,17.333316,12.666654000000001,0.6587540799999999
21,5,Recall,1.1578952,0.8823538000000001,2.4051924,4.9523818,23.999998
21,5,SampleDistribution,0.0,5.333328,17.333316,12.666654000000001,64.666692
24,4,DiscoveredLabels,1.0000006,6.291666800000001,45.125,30.583337,17.000021999999998
24,4,FrequencyRecall,,,,110.0,5.45455
24,4,Lift,0.666666,10.333323,52.333336,19.433353,0.0
24,4,OracleDistribution,0.666666,10.333323,52.333336,36.666647000000005,0.0
24,4,OracleLift,0.666666,10.333323,52.333336,19.433353,0.0
24,4,Recall,1.263158,1.11029445,2.8129845999999996,5.8253992,23.999998
24,4,SampleDistribution,0.666666,10.333323,52.333336,36.666647000000005,0.0
27,3,DiscoveredLabels,1.3703695999999999,11.5925837,44.370339,27.555528,15.111096
27,3,FrequencyRecall,,,134.0,,12.7727569
27,3,Lift,4.333329,54.00000300000001,14.3333276,3.33333,0.0
27,3,OracleDistribution,4.333329,54.00000300000001,38.333317,3.33333,0.0
27,3,OracleLift,4.333329,54.00000300000001,14.3333276,3.33333,0.0
27,3,Recall,1.9473680000000002,2.30147075,3.1116865000000002,5.9047644,23.999998
27,3,SampleDistribution,4.333329,54.00000300000001,38.333317,3.33333,0.0
30,4,DiscoveredLabels,1.2333327,11.633329999999999,48.200004,25.33333,13.599977999999998
30,4,FrequencyRecall,0.0,,,16.0,10.9091
30,4,Lift,0.0,11.999988,82.666683,2.6666719999999997,0.0
30,4,OracleDistribution,0.0,11.999988,82.666683,5.333328,0.0
30,4,OracleLift,0.0,11.999988,82.666683,2.6666719999999997,0.0
30,4,Recall,1.9473680000000002,2.5661768499999997,3.7558457,6.031748400000001,23.999998
30,4,SampleDistribution,0.0,11.999988,82.666683,5.333328,0.0
33,5,DiscoveredLabels,1.1818176,11.1212058,48.484837,26.515124999999998,12.696958
33,5,FrequencyRecall,,9.0,,,5.5545499000000005
33,5,Lift,0.666666,3.1800059999999997,51.333335000000005,38.333318000000006,0.03737184
33,5,OracleDistribution,0.666666,5.999994,51.333335000000005,38.333318000000006,3.6666630000000002
33,5,OracleLift,0.666666,3.1800059999999997,51.333335000000005,38.333318000000006,0.03737184
33,5,Recall,2.0526312,2.69852935,4.155842600000001,6.944448700000001,24.647057999999998
