Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,3,DiscoveredLabels,6.999993000000001,16.999983,76.000024,0.0,0.0
3,3,FrequencyRecall,21.0,25.5,76.000024,0.0,0.0
3,3,Lift,0.42,0.51,1.5199975999999997,0.0,0.0
3,3,OracleDistribution,6.999993000000001,16.999983,76.000024,0.0,0.0
3,3,OracleLift,0.42,0.51,1.5199975999999997,0.0,0.0
3,3,Recall,10.5,3.6428586000000003,6.0000024,0.0,0.0
3,3,SampleDistribution,6.999993000000001,16.999983,76.000024,0.0,0.0
6,4,DiscoveredLabels,4.000007999999999,10.833346999999998,75.000005,2.333338,7.833348999999999
6,4,FrequencyRecall,3.0,3.5,55.5,14.0,47.0
6,4,Lift,0.11000009999999999,0.12833338,2.0349974,0.5133338,1.7233348999999998
6,4,OracleDistribution,0.999999,4.666662,74.000026,4.666662,15.666651000000002
6,4,OracleLift,0.11000009999999999,0.12833338,2.0349974,0.5133338,1.7233348999999998
6,4,Recall,12.0,4.6428574,11.8421,1.999998,15.666651000000002
6,4,SampleDistribution,0.999999,4.666662,74.000026,4.666662,15.666651000000002
9,5,DiscoveredLabels,2.666664,10.222212,73.555582,8.333325,5.2222170000000006
9,5,FrequencyRecall,0.0,8.999991,26.5,61.0,0.0
9,5,Lift,0.0,0.3599991,1.06,2.44,0.0
9,5,OracleDistribution,0.0,8.999991,70.66668,20.333313,0.0
9,5,OracleLift,0.0,0.3599991,1.06,2.44,0.0
9,5,Recall,12.0,6.5714268,17.421076,10.714275,15.666651000000002
9,5,SampleDistribution,0.0,8.999991,70.66668,20.333313,0.0
12,6,DiscoveredLabels,1.9999992,8.0000072,70.416659,11.083348099999998,8.5000154
12,6,FrequencyRecall,0.0,4.0,16.6363509,29.0,55.0
12,6,Lift,0.0,0.2,0.8318194,1.45,2.75
12,6,OracleDistribution,0.0,1.333332,60.999992,19.333322,18.333315
12,6,OracleLift,0.0,0.2,0.8318194,1.45,2.75
12,6,Recall,12.0,6.8571404,22.236853999999997,18.999981000000002,34.000013
12,6,SampleDistribution,0.0,1.333332,60.999992,19.333322,18.333315
15,7,DiscoveredLabels,1.6000008,7.3333232,67.400008,16.200006799999997,7.4666513
15,7,FrequencyRecall,0.0,3.5,13.8333391,36.66667700000001,10.0
15,7,Lift,0.0,0.2333338,0.9222231200000001,2.4444420000000004,0.6666669999999999
15,7,OracleDistribution,0.0,4.666662,55.333328,36.66667700000001,3.33333
15,7,OracleLift,0.0,0.2333338,0.9222231200000001,2.4444420000000004,0.6666669999999999
15,7,Recall,12.0,7.8571396,26.605257,34.714298,37.333346
15,7,SampleDistribution,0.0,4.666662,55.333328,36.66667700000001,3.33333
18,6,DiscoveredLabels,1.3333344,6.7222230000000005,66.388903,17.1111054,8.4444416
18,6,FrequencyRecall,0.0,15.0,33.363603,61.5,95.0
18,6,Lift,0.0,0.44,0.76827275,1.46,1.6
18,6,OracleDistribution,0.0,3.6666630000000002,61.333326,21.666656000000003,13.33332
18,6,OracleLift,0.0,0.44,0.76827275,1.46,1.6
18,6,Recall,12.0,8.642856,31.447363,44.000012999999996,50.66667
18,6,SampleDistribution,0.0,3.6666630000000002,61.333326,21.666656000000003,13.33332
21,5,DiscoveredLabels,1.1428559999999999,7.619043399999999,67.666699,16.3333195,7.2380930999999995
21,5,FrequencyRecall,0.0,21.999983999999998,54.75,96.0,0.0
21,5,Lift,0.0,0.42,1.1508565899999998,1.05,0.0
21,5,OracleDistribution,0.0,12.999987,75.333352,11.666655,0.0
21,5,OracleLift,0.0,0.42,1.1508565899999998,1.05,0.0
21,5,Recall,12.0,11.4285724,37.394734,49.00001099999999,50.66667
21,5,SampleDistribution,0.0,12.999987,75.333352,11.666655,0.0
24,4,DiscoveredLabels,1.6666676999999999,8.125002,64.541662,17.1249934,8.541664
24,4,FrequencyRecall,19.0,12.25,87.5,82.0,100.0
24,4,Lift,0.42666719999999997,0.23333345000000003,1.9066668999999998,1.8133355999999998,1.4133350999999998
24,4,OracleDistribution,5.333328,11.666655,42.666659,22.666644,17.666649
24,4,OracleLift,0.42666719999999997,0.23333345000000003,1.9066668999999998,1.8133355999999998,1.4133350999999998
24,4,Recall,20.0,13.9285724,40.763154,58.714291,68.33336
24,4,SampleDistribution,5.333328,11.666655,42.666659,22.666644,17.666649
27,3,DiscoveredLabels,4.4821626,12.106093900000001,60.298265,15.416233199999999,7.6972672
27,3,FrequencyRecall,100.0,89.5,95.333338,0.0,0.0
27,3,Lift,0.845,1.025,0.67,0.0,0.0
27,3,OracleDistribution,28.166644,49.499996,22.33332,0.0,0.0
27,3,OracleLift,0.845,1.025,0.67,0.0,0.0
27,3,Recall,59.5,23.07143,42.28947600000001,58.714291,68.33336
27,3,SampleDistribution,28.166644,49.499996,22.33332,0.0,0.0
30,4,DiscoveredLabels,6.1085398,16.618229999999997,55.893339999999995,14.4621582,6.9177345
30,4,FrequencyRecall,81.0,54.75,100.0,100.0,100.0
30,4,Lift,1.0333354,0.8027775300000001,0.833335,0.3000006,0.0
30,4,OracleDistribution,20.666646,56.66668000000001,16.66665,5.999994,0.0
30,4,OracleLift,1.0333354,0.8027775300000001,0.833335,0.3000006,0.0
30,4,Recall,90.5,35.214278,43.60527,61.28572200000001,68.33336
30,4,SampleDistribution,20.666646,56.66668000000001,16.66665,5.999994,0.0
33,5,DiscoveredLabels,5.5467697,17.263030999999998,57.652002,13.256589799999999,6.281618599999999
33,5,FrequencyRecall,0.0,45.666658000000005,82.875,100.0,0.0
33,5,Lift,0.0,0.59999986,1.2533322900000001,0.08,0.0
33,5,OracleDistribution,0.0,23.666652000000003,75.000016,1.333332,0.0
33,5,OracleLift,0.0,0.59999986,1.2533322900000001,0.08,0.0
33,5,Recall,90.5,40.285699,49.526313,61.857150000000004,68.33336
33,5,SampleDistribution,0.0,23.666652000000003,75.000016,1.333332,0.0
36,6,DiscoveredLabels,5.0796487,16.088667,59.369474,13.570699499999998,5.8915535
36,6,FrequencyRecall,0.0,25.0,54.636396999999995,87.0,100.0
36,6,Lift,0.0,0.3,0.95142814,1.44,0.15
36,6,OracleDistribution,0.0,3.33333,78.000015,16.999985000000002,1.666665
36,6,OracleLift,0.0,0.3,0.95142814,1.44,0.15
36,6,Recall,90.5,40.999984000000005,55.684214000000004,69.142873,70.00003000000001
36,6,SampleDistribution,0.0,3.33333,78.000015,16.999985000000002,1.666665
39,7,DiscoveredLabels,4.6851071,15.464668,58.064516999999995,16.272691,5.5130433000000005
39,7,FrequencyRecall,0.0,9.5,24.499997800000003,85.000015,13.0
39,7,Lift,0.0,0.3541674,0.6839199499999999,4.7411135,0.1700001
39,7,OracleDistribution,0.0,7.999992,42.666667000000004,48.333330000000004,0.999999
39,7,OracleLift,0.0,0.3541674,0.6839199499999999,4.7411135,0.1700001
39,7,Recall,90.5,42.714270000000006,59.052628,89.857153,71.000029
39,7,SampleDistribution,0.0,7.999992,42.666667000000004,48.333330000000004,0.999999
42,6,DiscoveredLabels,4.347442,15.358652999999999,59.450503,15.727675999999999,5.1157349
42,6,FrequencyRecall,0.0,67.0,75.727297,100.0,100.0
42,6,Lift,0.0,0.84,0.925,0.52,0.0
42,6,OracleDistribution,0.0,13.999986000000002,77.33335100000001,8.666658,0.0
42,6,OracleLift,0.0,0.84,0.925,0.52,0.0
42,6,Recall,90.5,45.714275,65.157916,93.57143500000001,71.000029
42,6,SampleDistribution,0.0,13.999986000000002,77.33335100000001,8.666658,0.0
45,5,DiscoveredLabels,4.0551877,17.976188999999998,58.526081,14.670713000000001,4.7718544000000005
45,5,FrequencyRecall,0.0,100.0,100.0,100.0,0.0
45,5,Lift,0.0,0.95,0.95,0.0,0.0
45,5,OracleDistribution,0.0,54.333342,45.666658000000005,0.0,0.0
45,5,OracleLift,0.0,0.95,0.95,0.0,0.0
45,5,Recall,90.5,57.357161,68.76317599999999,93.57143500000001,71.000029
45,5,SampleDistribution,0.0,54.333342,45.666658000000005,0.0,0.0
48,4,DiscoveredLabels,4.360966086956521,19.548288405797102,56.939689855072466,14.37631884057971,4.774745072463768
48,4,FrequencyRecall,100.0,78.26086956521739,100.0,100.0,100.0
48,4,Lift,0.42028985507246375,0.855072463768116,0.0,0.0,0.0
48,4,OracleDistribution,21.014492753623188,78.98550724637681,0.0,0.0,0.0
48,4,OracleLift,0.42028985507246375,0.855072463768116,0.0,0.0,0.0
48,4,Recall,100.0,64.07868405797102,68.72617971014492,94.20290434782609,72.94688695652175
48,4,SampleDistribution,21.014492753623188,78.98550724637681,0.0,0.0,0.0
48,6,DiscoveredLabels,4.215658064516129,17.19275483870968,60.779364516129036,13.596596774193548,4.215658064516129
48,6,FrequencyRecall,0.0,100.0,100.0,100.0,100.0
48,6,Lift,0.0,0.3225806451612903,1.0,0.0,0.0
48,6,OracleDistribution,0.0,10.75267741935484,89.24732258064516,0.0,0.0
48,6,OracleLift,0.0,0.3225806451612903,1.0,0.0,0.0
48,6,Recall,100.0,58.294964516129035,75.89134838709678,92.1659064516129,66.6667
48,6,SampleDistribution,0.0,10.75267741935484,89.24732258064516,0.0,0.0
51,6,DiscoveredLabels,4.093166956521739,19.030184057971013,58.901673913043474,13.493607246376811,4.481365797101449
51,6,FrequencyRecall,0.0,100.0,100.0,100.0,100.0
51,6,Lift,0.0,0.3333333333333333,1.0,0.0,0.0
51,6,OracleDistribution,0.0,11.1111,88.8889,0.0,0.0
51,6,OracleLift,0.0,0.3333333333333333,1.0,0.0,0.0
51,6,Recall,100.0,66.45962898550724,75.74371304347827,94.20290434782609,72.94688695652175
51,6,SampleDistribution,0.0,11.1111,88.8889,0.0,0.0
51,7,DiscoveredLabels,3.9648896774193547,16.2971064516129,61.76950322580645,13.877116129032258,4.091391612903226
51,7,FrequencyRecall,0.0,8.064516129032258,46.77419677419355,100.0,6.451612903225806
51,7,Lift,0.0,0.07526903225806453,1.2312945806451614,2.559141612903226,0.3010754838709677
51,7,OracleDistribution,0.0,2.150535483870968,77.41936451612904,18.279551612903226,2.150535483870968
51,7,OracleLift,0.0,0.07526903225806453,1.2312945806451614,2.559141612903226,0.3010754838709677
51,7,Recall,100.0,58.755790322580644,82.00336774193549,100.0,68.81723548387097
51,7,SampleDistribution,0.0,2.150535483870968,77.41936451612904,18.279551612903226,2.150535483870968
54,7,DiscoveredLabels,3.8209951,17.612802,61.082426000000005,13.373475,4.1102947
54,7,FrequencyRecall,0.0,16.25,51.083346,100.0,15.0
54,7,Lift,0.0,0.27305597000000004,1.30091422,1.3066676000000002,0.0
54,7,OracleDistribution,0.0,8.333325,82.333343,9.333324,0.0
54,7,OracleLift,0.0,0.27305597000000004,1.30091422,1.3066676000000002,0.0
54,7,Recall,100.0,65.857151,84.184191,100.0,71.666695
54,7,SampleDistribution,0.0,8.333325,82.333343,9.333324,0.0
57,7,DiscoveredLabels,3.6138049,17.414201000000002,62.382827,12.648344,3.9408488999999998
57,7,FrequencyRecall,0.0,26.75,72.333341,100.0,18.0
57,7,Lift,0.0,0.36111096000000004,1.48180145,0.0,0.08000009999999999
57,7,OracleDistribution,0.0,13.999989000000001,85.000009,0.0,0.999999
57,7,OracleLift,0.0,0.36111096000000004,1.48180145,0.0,0.08000009999999999
57,7,Recall,100.0,68.857151,90.894741,100.0,72.666694
57,7,SampleDistribution,0.0,13.999989000000001,85.000009,0.0,0.999999
60,7,DiscoveredLabels,3.4279367,18.262458,62.333177,11.997795000000002,3.978663
60,7,FrequencyRecall,0.0,52.25,87.666657,100.0,32.0
60,7,Lift,0.0,0.8033329899999999,1.3940003300000001,0.0,0.33333379999999996
60,7,OracleDistribution,0.0,33.999981000000005,61.33335,0.0,4.666662
60,7,OracleLift,0.0,0.8033329899999999,1.3940003300000001,0.0,0.33333379999999996
60,7,Recall,100.0,76.14285,95.73682500000001,100.0,77.33335600000001
60,7,SampleDistribution,0.0,33.999981000000005,61.33335,0.0,4.666662
63,7,DiscoveredLabels,3.2764156000000004,19.272753,61.411406,11.467447,4.5719455
63,7,FrequencyRecall,0.0,80.0,96.916674,100.0,79.0
63,7,Lift,0.0,0.8266667,0.8944455400000001,0.0,0.6366675
63,7,OracleDistribution,0.0,43.666661000000005,36.999999,0.0,19.333325
63,7,OracleLift,0.0,0.8266667,0.8944455400000001,0.0,0.6366675
63,7,Recall,100.0,84.071425,98.657884,100.0,93.00000700000001
63,7,SampleDistribution,0.0,43.666661000000005,36.999999,0.0,19.333325
66,7,DiscoveredLabels,3.181489565217391,20.46271304347826,60.44833913043479,11.135204347826088,4.772233043478261
66,7,FrequencyRecall,0.0,100.0,100.0,100.0,100.0
66,7,Lift,0.0,0.8985507246376812,0.463768115942029,0.0,0.30434782608695654
66,7,OracleDistribution,0.0,57.971014492753625,26.81159420289855,0.0,15.217391304347826
66,7,OracleLift,0.0,0.8985507246376812,0.463768115942029,0.0,0.30434782608695654
66,7,Recall,100.0,91.92544347826087,100.0,100.0,100.0
66,7,SampleDistribution,0.0,57.971014492753625,26.81159420289855,0.0,15.217391304347826
