Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,3,DiscoveredLabels,8.333325,16.333317,75.333358,0.0,0.0
3,3,FrequencyRecall,25.0,24.5,78.016681,0.0,0.0
3,3,Lift,0.5,0.49,1.5066642,0.0,0.0
3,3,OracleDistribution,8.333325,14.333319000000001,77.33335600000001,0.0,0.0
3,3,OracleLift,0.5,0.43,1.5466644,0.0,0.0
3,3,Recall,12.5,3.5000014,5.9473708,0.0,0.0
3,3,SampleDistribution,8.333325,16.333317,75.333358,0.0,0.0
6,4,DiscoveredLabels,4.666676,9.500015999999999,76.499999,3.0000059999999995,6.333345999999999
6,4,FrequencyRecall,3.0,2.0,63.033334,18.0,38.0
6,4,Lift,0.11000009999999999,0.07333336,2.1358311,0.6600005999999999,1.3933346
6,4,OracleDistribution,0.999999,1.666665,82.000018,5.999994,9.333324
6,4,OracleLift,0.11000009999999999,0.04583335,2.2549982,0.6600005999999999,1.0266676
6,4,Recall,14.0,4.0714296,12.078944000000002,2.571426,12.666654000000001
6,4,SampleDistribution,0.999999,2.666664,77.666689,5.999994,12.666654000000001
9,5,DiscoveredLabels,3.111108,9.777768000000002,77.444467,5.444439,4.222218000000001
9,5,FrequencyRecall,0.0,10.333323,33.980538,31.0,0.0
9,5,Lift,0.0,0.4133323,1.19,1.24,0.0
9,5,OracleDistribution,0.0,7.999992,82.33334500000001,9.666657,0.0
9,5,OracleLift,0.0,0.3199992,1.235,1.16,0.0
9,5,Recall,14.0,6.285712599999999,18.342123,6.999993000000001,12.666654000000001
9,5,SampleDistribution,0.0,10.333323,79.333348,10.333323,0.0
12,6,DiscoveredLabels,2.3333323999999998,8.2500068,74.749995,8.5000106,6.1666761999999995
12,6,FrequencyRecall,0.0,11.0,20.5926439,27.500002,36.0
12,6,Lift,0.0,0.55,0.90909216,1.325,1.8
12,6,OracleDistribution,0.0,1.999998,70.00000800000001,16.999989,10.999989000000001
12,6,OracleLift,0.0,0.3,0.9545467999999999,1.275,1.65
12,6,Recall,14.0,7.0714266,23.605273999999998,14.571413999999999,24.666672000000002
12,6,SampleDistribution,0.0,3.6666630000000002,66.666672,17.666649,11.999988
15,7,DiscoveredLabels,1.8666676000000002,8.5333233,73.666662,10.4000026,5.533325
15,7,FrequencyRecall,0.0,7.25,19.8406614,19.533329000000002,13.5
15,7,Lift,0.0,0.4833343,1.15555618,1.1999988000000001,0.6000002999999999
15,7,OracleDistribution,0.0,6.999993000000001,68.333346,18.666664,5.999994
