Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,3,DiscoveredLabels,7.3333260000000005,11.333322,81.333352,0.0,0.0
3,3,FrequencyRecall,22.0,17.0,81.333352,0.0,0.0
3,3,Lift,0.44,0.34,1.6266648000000001,0.0,0.0
3,3,OracleDistribution,7.3333260000000005,25.999974,33.3333,33.3333,0.0
3,3,OracleLift,0.44,0.78,0.666667,33.3333,0.0
3,3,Recall,11.0,2.4285723999999997,6.4210552,0.0,0.0
3,3,SampleDistribution,7.3333260000000005,11.333322,81.333352,0.0,0.0
6,4,DiscoveredLabels,3.666674,9.500012,79.333328,2.8333389999999996,4.666676
6,4,FrequencyRecall,0.0,5.75,58.0,17.0,28.0
6,4,Lift,0.0,0.21083341,2.1266644,0.6233339,1.0266676
6,4,OracleDistribution,0.0,33.3333,33.3333,33.3333,0.0
6,4,OracleLift,0.0,0.916667,0.916667,3.66667,0.0
6,4,Recall,11.0,4.0714288,12.526316,2.428569,9.333324
6,4,SampleDistribution,0.0,7.666659000000001,77.33335600000001,5.666661,9.333324
9,5,DiscoveredLabels,2.4444420000000004,19.111092,71.444473,3.888885,3.111108
9,5,FrequencyRecall,0.0,38.333324000000005,20.875,18.0,0.0
9,5,Lift,0.0,1.5333324,0.835,0.72,0.0
9,5,OracleDistribution,0.0,62.000024,4.666662,33.3333,0.0
9,5,OracleLift,0.0,2.4800024,0.07,4.0,0.0
9,5,Recall,11.0,12.285710400000001,16.921076,4.999995,9.333324
9,5,SampleDistribution,0.0,38.333324000000005,55.666669,5.999994,0.0
12,6,DiscoveredLabels,1.8333325999999999,15.416676299999999,68.833336,11.583345,2.3333323999999998
12,6,FrequencyRecall,0.0,13.0,16.636349199999998,52.0,0.0
12,6,Lift,0.0,0.65,0.8318183299999999,2.6,0.0
12,6,OracleDistribution,0.0,33.3333,26.999973,39.666646,0.0
12,6,OracleLift,0.0,5.0,0.36818145,2.975,0.0
12,6,Recall,11.0,13.2142856,21.736838000000002,19.857123,9.333324
12,6,SampleDistribution,0.0,4.333329,61.00001700000001,34.666643,0.0
15,7,DiscoveredLabels,1.4666674,13.866658399999999,72.93333,9.8666559,1.8666676000000002
15,7,FrequencyRecall,0.0,5.75,22.333343999999997,2.999997,0.0
15,7,Lift,0.0,0.3833341,1.4888908,0.1999998,0.0
15,7,OracleDistribution,0.0,33.3333,33.3333,33.3333,0.0
15,7,OracleLift,0.0,1.66667,0.555556,2.22222,0.0
15,7,Recall,11.0,14.857140199999998,28.789474,21.142836000000003,9.333324
15,7,SampleDistribution,0.0,7.666659000000001,89.333344,2.999997,0.0
18,6,DiscoveredLabels,1.2222232,13.5000036,72.944445,10.111115999999999,2.2222234
18,6,FrequencyRecall,0.0,48.0,36.545418,69.0,12.0
18,6,Lift,0.0,1.4,0.95177743,1.28,0.48
18,6,OracleDistribution,0.0,42.333318,19.333314,36.666645,1.666665
18,6,OracleLift,0.0,8.893329,0.24966652,7.466663,0.2
18,6,Recall,11.0,17.3571426,34.552615,25.999974,13.333323
18,6,SampleDistribution,0.0,11.666655,73.000018,11.333322,3.999996
21,5,DiscoveredLabels,1.047618,16.714271099999998,68.000032,12.3333256,1.9047602999999997
21,5,FrequencyRecall,0.0,74.333357,35.25,95.0,0.0
21,5,Lift,0.0,1.65,0.52585704,2.31,0.0
21,5,OracleDistribution,0.0,38.999978,7.3333260000000005,53.666674,0.0
21,5,OracleLift,0.0,2.075,0.0957142,10.289994,0.0
21,5,Recall,11.0,25.07142,37.578945000000004,36.999978,13.333323
21,5,SampleDistribution,0.0,35.999993,38.333326,25.666641,0.0
24,4,DiscoveredLabels,1.2500010000000001,18.749993200000002,62.999993999999994,12.958341699999998,4.0416687
24,4,FrequencyRecall,8.0,30.5,79.0,69.0,85.0
24,4,Lift,0.21333359999999998,0.6822219300000001,1.3333331999999998,1.3866683999999998,1.5200019
24,4,OracleDistribution,2.666664,35.333312,12.333321000000002,31.666652000000003,17.999982
24,4,OracleLift,0.21333359999999998,0.75111086,0.5333323,5.293331500000001,1.4400018
24,4,Recall,15.0,32.142854,39.789477000000005,44.42855900000001,32.333313000000004
24,4,SampleDistribution,2.666664,32.999985,27.999988000000002,17.333316,18.999981000000002
27,3,DiscoveredLabels,4.0398828,22.159526,58.552741000000005,11.623927900000002,3.6239292
27,3,FrequencyRecall,100.0,89.0,99.000001,0.0,0.0
27,3,Lift,0.795,0.96,0.64,0.0,0.0
27,3,OracleDistribution,22.333311,38.499982,1.666665,37.499975,0.0
27,3,OracleLift,0.67,0.745,0.05,37.499975,0.0
27,3,Recall,54.0,42.428561,41.184215,44.42855900000001,32.333313000000004
27,3,SampleDistribution,26.499975,52.16667100000001,21.333323,0.0,0.0
30,4,DiscoveredLabels,5.857718200000001,23.408134,55.463055999999995,11.4981792,3.7729055
30,4,FrequencyRecall,74.0,56.25,99.5,100.0,100.0
30,4,Lift,1.1000022,0.6083334300000001,1.11666886,0.5416676,0.2500005
30,4,OracleDistribution,21.333312,31.499975,10.333323,31.833309,4.999995
30,4,OracleLift,1.0666688,0.55833351,0.40000052,19.641648200000002,0.2500005
30,4,Recall,87.0,49.785717000000005,43.342101,48.857138000000006,37.333308
30,4,SampleDistribution,21.999978000000002,34.833313000000004,27.333320000000004,10.833324,4.999995
33,5,DiscoveredLabels,5.3242927,22.775182,57.865103,10.6069111,3.4285174
33,5,FrequencyRecall,0.0,90.666674,65.75,100.0,0.0
33,5,Lift,0.0,0.96,0.9440000000000001,0.1,0.0
33,5,OracleDistribution,0.0,34.666636000000004,29.999970000000005,35.333304000000005,0.0
33,5,OracleLift,0.0,10.499991,0.34199991,32.199969,0.0
33,5,Recall,87.0,53.285717999999996,49.763156,49.571426,37.333308
33,5,SampleDistribution,0.0,16.666651,81.666684,1.666665,0.0
36,6,DiscoveredLabels,4.876521,21.590049,57.51312,11.3690469,4.6512633
36,6,FrequencyRecall,0.0,74.0,51.181824,98.5,66.0
36,6,Lift,0.0,0.78,0.68660706,1.725,1.62
36,6,OracleDistribution,0.0,33.999968,22.666644,35.333313000000004,7.999992
36,6,OracleLift,0.0,17.619984,0.29196407999999996,12.841656,0.72
36,6,Recall,87.0,55.142861,54.000022,58.000038999999994,55.333344000000004
36,6,SampleDistribution,0.0,8.666658,53.66667100000001,19.666647,17.999982
39,7,DiscoveredLabels,4.4982334,20.639899999999997,57.138720000000006,13.2233563,4.4998016000000005
39,7,FrequencyRecall,0.0,12.75,35.500008,38.333332,8.0
39,7,Lift,0.0,0.42500080000000007,0.9645926800000001,2.0588898,0.4533336
39,7,OracleDistribution,0.0,34.999970000000005,13.33332,50.666668,0.999999
39,7,OracleLift,0.0,1.5961136000000002,0.2455557,2.9844459,0.1700001
39,7,Recall,87.0,57.142864,58.157896,73.142881,58.00000800000001
39,7,SampleDistribution,0.0,9.333324,52.666675000000005,35.333329000000006,2.666664
42,6,DiscoveredLabels,4.1763395,19.718823,58.996567999999996,12.2780992,4.8301858
42,6,FrequencyRecall,0.0,97.0,73.63639,98.5,93.0
42,6,Lift,0.0,0.46,0.926,0.0,0.54
42,6,OracleDistribution,0.0,33.833301,27.999972000000003,30.499971000000002,7.666659000000001
42,6,OracleLift,0.0,25.216642,0.30733319000000003,29.089971000000002,0.46
42,6,Recall,87.0,58.785731000000006,64.657907,73.142881,67.000026
42,6,SampleDistribution,0.0,7.666659000000001,83.33334699999999,0.0,8.999991
45,5,DiscoveredLabels,3.9033474999999997,18.996485,61.102174999999995,11.4801005,4.5178707000000005
45,5,FrequencyRecall,0.0,99.000001,98.875,100.0,0.0
45,5,Lift,0.0,0.25,0.995,0.0,0.0
