Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,3,DiscoveredLabels,7.999992,9.666657,82.33335100000001,0.0,0.0
3,3,FrequencyRecall,24.0,14.5,82.33335100000001,0.0,0.0
3,3,Lift,0.48,0.29,1.6466648999999998,0.0,0.0
3,3,OracleDistribution,10.999989000000001,12.999991999999999,64.00001200000001,9.666657,2.333331
3,3,OracleLift,0.66,0.39,1.27999826,9.666657,2.333331
3,3,Recall,12.0,2.0714294,6.5000026,0.0,0.0
3,3,SampleDistribution,7.999992,9.666657,82.33335100000001,0.0,0.0
6,4,DiscoveredLabels,5.333343999999999,8.666678999999998,77.499999,2.8333389999999996,5.666677999999999
6,4,FrequencyRecall,8.0,5.75,54.5,17.0,34.0
6,4,Lift,0.29333359999999997,0.21083341,1.99833116,0.6233339,1.2466678
6,4,OracleDistribution,7.999994,16.666653,55.000005,9.999993,10.333323
6,4,OracleLift,0.8800005999999999,0.45833337999999996,1.5124983900000002,1.1000006999999998,1.1366677
6,4,Recall,16.0,3.7142861999999996,12.2368416,2.428569,11.333322
6,4,SampleDistribution,2.666664,7.666659000000001,72.666686,5.666661,11.333322
9,5,DiscoveredLabels,3.555552,8.555547,78.66668800000001,5.444439,3.777774
9,5,FrequencyRecall,0.0,8.333328,30.375,32.0,0.0
9,5,Lift,0.0,0.33333279999999993,1.215,1.28,0.0
9,5,OracleDistribution,4.333329,16.333326000000003,56.00000300000001,14.666656,8.666661
9,5,OracleLift,4.333329,0.6533325999999999,0.84,1.76,8.666661
9,5,Recall,16.0,5.4999986000000005,18.631590000000003,6.999993000000001,11.333322
9,5,SampleDistribution,0.0,8.333328,81.000005,10.666656,0.0
12,6,DiscoveredLabels,2.6666656,7.2500067,77.166668,7.000009599999999,5.9166742999999995
12,6,FrequencyRecall,0.0,10.0,19.818163600000002,17.5,37.0
12,6,Lift,0.0,0.5,0.99091086,0.875,1.85
12,6,OracleDistribution,1.666665,11.999988,44.999996,23.999987,17.333322
12,6,OracleLift,1.666665,1.8,0.6136364,1.8,2.6
12,6,Recall,16.0,6.2142834,24.368434999999998,11.999988,23.666668
12,6,SampleDistribution,0.0,3.33333,72.66667000000001,11.666657,12.333321000000002
15,7,DiscoveredLabels,2.1333344,7.5333232,74.533336,10.8666721,4.9333267
15,7,FrequencyRecall,0.0,6.5,16.000009,26.333334000000004,3.0
15,7,Lift,0.0,0.43333420000000006,1.0666677,1.7555538000000002,0.2000001
15,7,OracleDistribution,3.33333,11.333324,50.000006000000006,25.666659,9.666657
15,7,OracleLift,3.33333,0.5666676,0.8333332,1.7111096000000001,1.9333342999999998
15,7,Recall,16.0,8.0714256,29.421049000000004,23.285717999999996,24.666667000000004
15,7,SampleDistribution,0.0,8.666658,64.000003,26.333334000000004,0.999999
18,6,DiscoveredLabels,1.7777792,7.2222214,72.388894,12.6111104,5.9999996
18,6,FrequencyRecall,0.0,27.0,36.636331999999996,49.5,71.0
18,6,Lift,0.0,0.68,0.82605035,1.5,1.36
18,6,OracleDistribution,3.999996,9.666657,42.999998000000005,29.666658,13.666653000000002
18,6,OracleLift,3.999996,1.16,0.5710707,2.1,3.986664
18,6,Recall,16.0,9.2857114,34.289469,32.428571000000005,35.999996
18,6,SampleDistribution,0.0,5.666661,61.666667000000004,21.333319000000003,11.333322
21,5,DiscoveredLabels,1.5238079999999998,9.5238035,70.95241,12.8571325,5.1428549
21,5,FrequencyRecall,0.0,31.666656000000003,53.75,75.0,0.0
21,5,Lift,0.0,0.72,1.01499961,1.29,0.0
21,5,OracleDistribution,8.333325,23.999993,43.99999400000001,14.666652000000001,8.999994000000001
21,5,OracleLift,8.333325,0.815,0.70742831,2.229999,8.999994000000001
21,5,Recall,16.0,14.285714800000001,39.210528,38.571428,35.999996
21,5,SampleDistribution,0.0,23.333328,62.33334000000001,14.333319000000001,0.0
24,4,DiscoveredLabels,2.458334,10.7916678,66.33332999999999,13.4166616,6.9999985
24,4,FrequencyRecall,35.0,20.5,80.0,69.0,94.0
24,4,Lift,0.7200009,0.40666667000000006,1.5288893799999999,1.3866683999999998,1.6000020000000001
24,4,OracleDistribution,12.999987,15.333327000000002,32.666658000000005,18.333321,20.666649000000003
24,4,OracleLift,1.9600002,0.32444422,1.5333329599999999,3.306669,4.1066655
24,4,Recall,29.5,18.500003200000002,41.894735,45.999998000000005,56.000015000000005
24,4,SampleDistribution,8.999991,19.666653,33.999994,17.333316,19.99998
27,3,DiscoveredLabels,4.4237024,15.5115062,61.49318,12.2059788,6.3656429
27,3,FrequencyRecall,82.0,90.0,93.33334,0.0,0.0
27,3,Lift,0.61,1.1925,0.41,0.0,0.0
27,3,OracleDistribution,30.166659,54.166669,11.66666,2.499999,1.5
27,3,OracleLift,6.886666,1.01,3.9066630000000004,2.499999,1.5
27,3,Recall,58.5,29.285706,42.763159,45.999998000000005,56.000015000000005
27,3,SampleDistribution,20.333316,66.000008,13.666661,0.0,0.0
30,4,DiscoveredLabels,5.637770408163265,18.889223469387755,57.85642244897959,11.766361734693879,5.850229081632653
30,4,FrequencyRecall,82.65306122448979,55.86734693877551,93.87755102040816,92.85714285714286,96.93877551020408
30,4,Lift,0.8163281632653062,0.8723073571428571,0.6717699591836734,0.4421773469387755,0.08503408163265305
30,4,OracleDistribution,21.768698979591836,44.55781836734695,20.40815306122449,10.544213265306123,2.7210867346938774
30,4,OracleLift,6.581630510204081,0.669643030612245,3.035712387755102,1.4965979591836736,1.105441224489796
30,4,Recall,82.14285714285714,39.28571020408163,44.33405102040816,48.97959285714286,56.802734693877554
30,4,SampleDistribution,16.326514285714286,55.782312244897966,17.346931632653064,8.843532653061224,1.7006795918367348
30,5,DiscoveredLabels,6.66667,26.6667,46.6667,13.3333,6.66667
30,5,FrequencyRecall,0.0,100.0,62.5,100.0,0.0
30,5,Lift,0.0,2.0,0.8,0.0,0.0
30,5,OracleDistribution,33.3333,0.0,66.6667,0.0,0.0
30,5,OracleLift,33.3333,0.0,0.8,0.0,0.0
30,5,Recall,100.0,57.1429,36.8421,57.1429,66.6667
30,5,SampleDistribution,0.0,33.3333,66.6667,0.0,0.0
33,5,DiscoveredLabels,5.1322395918367345,19.1913806122449,59.170844897959185,11.190543367346939,5.314988163265306
33,5,FrequencyRecall,0.0,52.380955102040815,80.10204081632654,90.81632653061224,0.0
33,5,Lift,0.0,0.5646255816326531,1.1846934897959185,0.37755102040816324,0.0
33,5,OracleDistribution,9.013601020408164,23.469383673469387,54.421769387755106,10.034009183673469,3.0612214285714288
33,5,OracleLift,9.013601020408164,0.646258224489796,0.9061222857142857,3.159861224489796,3.0612214285714288
33,5,Recall,82.14285714285714,43.877542857142856,49.812024489795924,51.31195204081632,56.802734693877554
33,5,SampleDistribution,0.0,21.93876734693878,71.76871428571428,6.292513265306122,0.0
33,6,DiscoveredLabels,6.06061,24.2424,48.4848,15.1515,6.06061
33,6,FrequencyRecall,0.0,0.0,54.5455,100.0,100.0
33,6,Lift,0.0,0.0,0.857143,3.0,0.0
33,6,OracleDistribution,0.0,0.0,66.6667,33.3333,0.0
33,6,OracleLift,0.0,0.0,0.857143,3.0,0.0
33,6,Recall,100.0,57.1429,42.1053,71.4286,66.6667
33,6,SampleDistribution,0.0,0.0,66.6667,33.3333,0.0
36,6,DiscoveredLabels,4.692081836734694,18.00562448979592,60.54676122448979,11.192891224489797,5.5626515306122455
36,6,FrequencyRecall,0.0,43.87755102040816,57.142881632653065,66.3265306122449,94.89795918367346
36,6,Lift,0.0,0.4897959183673469,0.9718650510204081,0.7653061224489796,0.7346938775510204
36,6,OracleDistribution,4.7619,9.863940816326531,55.10204081632653,16.666657142857144,13.605431632653062
36,6,OracleLift,4.7619,2.435372448979592,0.7055026020408164,1.5340132653061225,5.557818367346939
36,6,Recall,82.14285714285714,45.043723469387764,55.74651530612245,56.12245510204082,64.96601632653062
36,6,SampleDistribution,0.0,5.442171428571429,75.17007448979592,11.224481632653061,8.163257142857143
36,7,DiscoveredLabels,5.55556,22.2222,50.0,16.6667,5.55556
36,7,FrequencyRecall,0.0,0.0,25.0,100.0,0.0
36,7,Lift,0.0,0.0,1.0303,5.66667,0.0
36,7,OracleDistribution,0.0,0.0,66.6667,33.3333,0.0
36,7,OracleLift,0.0,0.0,1.0303,5.66667,0.0
36,7,Recall,100.0,57.1429,47.3684,85.7143,66.6667
36,7,SampleDistribution,0.0,0.0,66.6667,33.3333,0.0
39,6,DiscoveredLabels,5.12821,20.5128,53.8462,15.3846,5.12821
39,6,FrequencyRecall,0.0,0.0,81.8182,100.0,100.0
39,6,Lift,0.0,0.0,1.2,0.0,0.0
39,6,OracleDistribution,0.0,33.3333,66.6667,0.0,0.0
39,6,OracleLift,0.0,2.0,0.8,0.0,0.0
39,6,Recall,100.0,57.1429,55.2632,85.7143,66.6667
39,6,SampleDistribution,0.0,0.0,100.0,0.0,0.0
39,7,DiscoveredLabels,4.321512244897959,17.418401020408165,59.762663265306124,13.216818877551018,5.280629285714285
39,7,FrequencyRecall,0.0,14.540816326530612,28.826533163265307,62.244905102040825,9.183673469387756
39,7,Lift,0.0,0.4866788775510204,0.8656234897959184,3.1031756122448977,0.3469389795918367
39,7,OracleDistribution,3.7414928571428576,14.965974489795919,41.15645714285714,31.63264897959184,8.503392857142856
39,7,OracleLift,3.7414928571428576,0.7131527551020408,0.6996889285714285,2.5731303061224486,1.445579081632653
39,7,Recall,82.14285714285714,47.30320306122449,59.74758571428571,71.86589795918367,67.00683061224491
39,7,SampleDistribution,0.0,10.544207142857143,50.6802724489796,36.734684693877554,2.0408142857142857
42,5,DiscoveredLabels,5.0,20.0,55.0,15.0,5.0
42,5,FrequencyRecall,0.0,100.0,75.0,100.0,0.0
42,5,Lift,0.0,0.0,1.0,0.0,0.0
42,5,OracleDistribution,0.0,0.0,100.0,0.0,0.0
42,5,OracleLift,0.0,0.0,1.0,0.0,0.0
42,5,Recall,100.0,57.1429,57.8947,85.7143,66.6667
42,5,SampleDistribution,0.0,0.0,100.0,0.0,0.0
42,6,DiscoveredLabels,4.020653673469388,16.512107142857143,61.389653061224486,13.124381020408162,4.9532224489795915
42,6,FrequencyRecall,0.0,57.142857142857146,78.57145,83.6734693877551,96.93877551020408
42,6,Lift,0.0,0.2653061224489796,1.116326530612245,0.6938775510204082,0.04081632653061224
42,6,OracleDistribution,11.564620408163266,13.945567346938775,55.782312244897966,17.00678979591837,1.7006785714285715
42,6,OracleLift,11.564620408163266,5.632647959183673,0.7340136020408163,5.816321428571428,1.0612234693877551
42,6,Recall,82.14285714285714,48.250724489795914,65.95059285714285,76.82216734693877,67.68710408163265
42,6,SampleDistribution,0.0,4.421764285714286,83.33334489795918,11.564614285714287,0.6802714285714286
45,4,DiscoveredLabels,4.87805,14.634099999999998,60.97560000000001,14.634099999999998,4.87805
45,4,FrequencyRecall,100.0,50.0,100.0,100.0,100.0
45,4,Lift,0.0,0.0,3.0,0.0,0.0
45,4,OracleDistribution,0.0,0.0,100.0,0.0,0.0
45,4,OracleLift,0.0,0.0,3.0,0.0,0.0
45,4,Recall,100.0,42.8571,65.7895,85.7143,66.6667
45,4,SampleDistribution,0.0,0.0,100.0,0.0,0.0
45,5,DiscoveredLabels,3.715765731707317,18.840612195121953,59.61780609756098,12.996667926829268,4.829153048780488
45,5,FrequencyRecall,0.0,94.30894634146341,95.88414634146342,100.0,0.0
45,5,Lift,0.0,0.9512193902439025,0.8170731707317073,0.036585365853658534,0.0
45,5,OracleDistribution,13.211379268292683,33.13007317073171,47.560979268292684,5.284548780487805,0.8130073170731708
45,5,OracleLift,13.211379268292683,4.283536585365853,0.7957317073170732,4.101623170731707,0.8130073170731708
45,5,Recall,81.09756097560975,58.79791585365854,68.58151829268293,81.18468170731707,70.32523292682927
45,5,SampleDistribution,0.0,47.15446219512195,51.62602317073171,1.219510975609756,0.0
45,6,DiscoveredLabels,4.7619,9.52381,69.0476,11.9048,4.7619
45,6,FrequencyRecall,0.0,0.0,100.0,50.0,100.0
45,6,Lift,0.0,0.0,3.0,0.0,0.0
45,6,OracleDistribution,0.0,0.0,100.0,0.0,0.0
45,6,OracleLift,0.0,0.0,3.0,0.0,0.0
45,6,Recall,100.0,28.5714,76.3158,71.4286,66.6667
45,6,SampleDistribution,0.0,0.0,100.0,0.0,0.0
45,7,DiscoveredLabels,4.00009,13.908516666666666,68.63925,9.917636666666667,3.5345116666666665
45,7,FrequencyRecall,0.0,10.416666666666666,53.472225,72.22223333333334,0.0
45,7,Lift,0.0,0.2916675,1.31636,1.6203708333333333,0.0
45,7,OracleDistribution,8.333325,0.0,69.44445,13.888875,8.333325
45,7,OracleLift,8.333325,0.0,1.2361142500000002,0.8425925,1.1666675
45,7,Recall,83.33333333333333,41.666666666666664,75.43861666666668,59.523799999999994,50.000025
45,7,SampleDistribution,0.0,8.333325,72.22225,19.444425,0.0
48,4,DiscoveredLabels,3.888182244897959,20.718506122448982,58.42198571428571,12.318087551020408,4.653242244897959
48,4,FrequencyRecall,100.0,82.65306122448979,100.0,100.0,100.0
48,4,Lift,0.4489795918367347,0.8367346938775511,0.0,0.0,0.0
48,4,OracleDistribution,22.448979591836736,71.42857142857143,6.122448979591836,0.0,0.0
48,4,OracleLift,6.448979591836735,0.8367346938775511,6.122448979591836,0.0,0.0
48,4,Recall,88.77551020408163,67.49271836734694,70.19334081632653,80.17494081632653,70.74832857142857
48,4,SampleDistribution,22.448979591836736,77.55102040816327,0.0,0.0,0.0
48,5,DiscoveredLabels,4.65116,18.6047,62.790699999999994,9.30233,4.65116
48,5,FrequencyRecall,0.0,100.0,87.5,100.0,0.0
48,5,Lift,0.0,2.0,0.0,0.0,0.0
48,5,OracleDistribution,0.0,100.0,0.0,0.0,0.0
48,5,OracleLift,0.0,2.0,0.0,0.0,0.0
48,5,Recall,100.0,57.1429,71.0526,57.1429,66.6667
48,5,SampleDistribution,0.0,100.0,0.0,0.0,0.0
48,6,DiscoveredLabels,4.0627236363636365,17.939018181818184,59.74516666666667,13.579720606060606,4.673375454545455
48,6,FrequencyRecall,0.0,72.72727272727273,94.49036363636363,100.0,100.0
48,6,Lift,0.0,0.22727272727272727,1.1136363636363635,0.06060606060606061,0.0
48,6,OracleDistribution,7.575754545454545,4.545454545454546,73.23233030303031,8.080806060606061,6.565654545454546
48,6,OracleLift,7.575754545454545,0.13636363636363635,0.9797980000000001,8.080806060606061,6.565654545454546
48,6,Recall,90.9090909090909,57.359321212121216,70.49443030303031,87.013,69.697
48,6,SampleDistribution,0.0,7.575754545454545,88.3838393939394,4.040406060606061,0.0
48,7,DiscoveredLabels,3.8738693333333334,13.367191333333333,67.54717333333333,10.651382,4.560387333333334
48,7,FrequencyRecall,0.0,21.666666666666668,62.222240000000006,86.66668,46.666666666666664
48,7,Lift,0.0,0.5907400666666667,0.9687299333333333,1.4222233333333334,1.9111126666666667
48,7,OracleDistribution,4.44444,6.666659999999999,42.22222,26.666653333333336,19.99998
48,7,OracleLift,4.44444,0.1833334,0.8057674,6.5999973333333335,2.4000019999999997
48,7,Recall,86.66666666666667,42.85712,79.64912,68.57142,68.88889999999999
48,7,SampleDistribution,0.0,17.77776,51.111113333333336,15.555553333333334,15.55554
51,6,DiscoveredLabels,3.678394583333333,19.8838125,60.263425000000005,11.763430833333333,4.410927916666666
51,6,FrequencyRecall,0.0,95.83333333333333,98.10606250000001,100.0,100.0
51,6,Lift,0.0,0.22916666666666666,1.0208333333333333,0.0625,0.0
51,6,OracleDistribution,10.416660416666668,14.583325,66.66667083333333,4.861108333333333,3.47221875
51,6,OracleLift,10.416660416666668,6.499993750000001,0.7638889791666666,4.861108333333333,3.47221875
51,6,Recall,88.54166666666667,68.4524,76.42543958333333,80.9524,70.8333625
51,6,SampleDistribution,0.0,7.638881250000001,90.27778124999999,2.08333125,0.0
51,7,DiscoveredLabels,3.791502115384615,16.55434019230769,62.306615384615384,12.633763653846152,4.713775384615385
51,7,FrequencyRecall,0.0,27.884615384615383,49.51923846153846,90.38462115384615,36.53846153846154
51,7,Lift,0.0,0.3899576923076923,1.0254017115384615,1.6602573076923077,0.7307694230769232
51,7,OracleDistribution,3.8461499999999997,12.5,45.19230576923077,29.166657692307695,9.294865384615385
51,7,OracleLift,3.8461499999999997,0.3899571153846154,0.7142430192307692,11.22435,1.1282057692307692
51,7,Recall,90.38461538461539,56.456048076923075,78.23885769230769,86.26373846153845,75.00001923076924
51,7,SampleDistribution,0.0,12.499994230769232,65.06411346153847,14.74358076923077,7.69230576923077
54,4,DiscoveredLabels,4.12415,17.517,63.90305,10.331635,4.12415
54,4,FrequencyRecall,100.0,75.0,75.0,50.0,100.0
54,4,Lift,0.0,0.0,1.833335,0.0,0.0
54,4,OracleDistribution,0.0,0.0,100.0,0.0,0.0
54,4,OracleLift,0.0,0.0,1.833335,0.0,0.0
54,4,Recall,100.0,60.7143,81.57894999999999,71.42859999999999,66.6667
54,4,SampleDistribution,0.0,0.0,100.0,0.0,0.0
54,7,DiscoveredLabels,3.5279602325581396,17.89036930232558,61.42197325581396,12.74644046511628,4.41325976744186
54,7,FrequencyRecall,0.0,23.546511627906977,55.03876162790697,89.92248720930233,25.58139534883721
54,7,Lift,0.0,0.2403100581395349,1.2293823837209301,1.193798953488372,0.29844988372093023
54,7,OracleDistribution,3.100772093023256,17.05425,50.38759302325582,21.705423255813955,7.751933720930234
54,7,OracleLift,3.100772093023256,0.6172484418604651,0.8102389302325581,6.810076046511629,1.9806193023255814
54,7,Recall,90.11627906976744,65.36545813953488,82.64993372093024,93.02326279069767,75.19382325581395
54,7,SampleDistribution,0.0,7.364333720930233,75.96900465116279,13.953483720930233,2.713175581395349
57,6,DiscoveredLabels,3.8914020000000002,18.68776,61.08597999999999,12.44342,3.8914020000000002
57,6,FrequencyRecall,0.0,100.0,96.36364,100.0,100.0
57,6,Lift,0.0,0.0,1.0,0.0,0.0
57,6,OracleDistribution,0.0,0.0,100.0,0.0,0.0
57,6,OracleLift,0.0,0.0,1.0,0.0,0.0
57,6,Recall,100.0,68.57144000000001,82.63154,91.42858,66.6667
57,6,SampleDistribution,0.0,0.0,100.0,0.0,0.0
57,7,DiscoveredLabels,3.338821294117647,17.8189,62.11819882352942,12.467395294117646,4.256693647058824
57,7,FrequencyRecall,0.0,36.76470588235294,72.8431294117647,98.03921764705883,29.41176470588235
57,7,Lift,0.0,0.5385618470588236,1.2366804705882353,0.8202618823529413,0.12941188235294118
57,7,OracleDistribution,4.7058776470588235,26.274498823529413,46.666668235294125,17.25489176470588,5.0980341176470585
57,7,OracleLift,4.7058776470588235,0.7807183529411764,0.8286745529411764,7.260124941176471,2.6548998823529413
57,7,Recall,90.0,68.7395011764706,88.23529411764706,96.13445764705882,76.4706117647059
57,7,SampleDistribution,0.0,19.999989411764705,69.41178,9.411757647058824,1.1764694117647059
60,5,DiscoveredLabels,3.77358,16.9811,62.2642,13.2075,3.77358
60,5,FrequencyRecall,0.0,100.0,100.0,100.0,0.0
60,5,Lift,0.0,0.0,1.0,0.0,0.0
60,5,OracleDistribution,0.0,0.0,0.0,100.0,0.0
60,5,OracleLift,0.0,0.0,0.0,100.0,0.0
60,5,Recall,100.0,64.2857,86.8421,100.0,66.6667
60,5,SampleDistribution,0.0,0.0,100.0,0.0,0.0
60,7,DiscoveredLabels,3.1739304705882354,18.63916941176471,61.796418823529415,11.954537647058824,4.435944705882353
60,7,FrequencyRecall,0.0,56.470588235294116,85.9803905882353,98.82353058823529,51.76470588235294
60,7,Lift,0.0,0.7480391647058824,1.2536604117647059,0.1921570588235294,0.5549027058823529
60,7,OracleDistribution,11.7647,23.72548,47.45097882352941,5.882350588235295,11.176463529411766
60,7,OracleLift,11.7647,0.6058817764705882,1.0092161058823528,4.113725294117647,1.7941170588235296
60,7,Recall,90.0,75.63025058823528,92.38389529411764,96.97479294117647,83.92158470588235
60,7,SampleDistribution,0.0,29.21567411764706,59.60785529411765,1.9607823529411765,9.215678823529412
63,7,DiscoveredLabels,2.9519878260869565,19.435328985507248,61.32788115942029,11.554837681159421,4.7299476811594205
63,7,FrequencyRecall,0.0,73.55072463768116,94.44445797101449,100.0,81.15942028985508
63,7,Lift,0.0,0.7894526231884058,0.8619165362318841,0.07246391304347827,0.5700492753623189
63,7,OracleDistribution,8.212555072463768,35.26569420289855,28.985500000000002,10.628014492753625,16.908204347826086
63,7,OracleLift,8.212555072463768,0.6710951594202899,0.5962160579710145,7.874389710144928,4.845411449275362
63,7,Recall,87.68115942028986,82.60868985507247,95.95727246376812,98.13664782608696,93.71981304347825
63,7,SampleDistribution,0.0,42.02897971014493,42.51208695652174,1.4492739130434782,14.009652173913045
66,7,DiscoveredLabels,2.7928650000000004,20.59185263157895,60.54146315789474,11.273257894736842,4.800529736842106
