Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,3,DiscoveredLabels,9.333324,9.666657,81.00001900000001,0.0,0.0
3,3,FrequencyRecall,,,121.5,0.0,0.0
3,3,Lift,9.333324,9.666657,2.43,0.0,0.0
3,3,OracleDistribution,9.333324,9.666657,81.00001900000001,0.0,0.0
3,3,OracleLift,9.333324,9.666657,2.43,0.0,0.0
3,3,Recall,14.0,2.0714294,6.3947394,0.0,0.0
3,3,SampleDistribution,9.333324,9.666657,81.00001900000001,0.0,0.0
6,4,DiscoveredLabels,5.833340999999999,6.666677999999999,78.499994,3.1666729999999994,5.833345
6,4,FrequencyRecall,,,,19.0,3.5
6,4,Lift,2.333331,3.6666630000000002,76.000024,0.6966673,0.12833345000000002
6,4,OracleDistribution,2.333331,3.6666630000000002,76.000024,6.333327000000001,11.666655
6,4,OracleLift,2.333331,3.6666630000000002,76.000024,0.6966673,0.12833345000000002
6,4,Recall,17.5,2.8571436,12.394736,2.714283,11.666655
6,4,SampleDistribution,2.333331,3.6666630000000002,76.000024,6.333327000000001,11.666655
9,5,DiscoveredLabels,3.888885,7.3333260000000005,78.444466,6.444438,3.888885
9,5,FrequencyRecall,0.0,,,39.0,0.0
9,5,Lift,0.0,8.666658,78.333355,1.56,0.0
9,5,OracleDistribution,0.0,8.666658,78.333355,12.999987,0.0
9,5,OracleLift,0.0,8.666658,78.333355,1.56,0.0
9,5,Recall,17.5,4.7142848,18.578967,8.285706,11.666655
9,5,SampleDistribution,0.0,8.666658,78.333355,12.999987,0.0
12,6,DiscoveredLabels,2.9166671,6.166671,75.333328,9.0000112,6.5833447000000005
12,6,FrequencyRecall,0.0,8.0,99.0,,3.6666651999999997
12,6,Lift,0.0,0.4,4.95,16.66665,0.18333348000000002
12,6,OracleDistribution,0.0,2.666664,65.999999,16.66665,14.666652000000001
12,6,OracleLift,0.0,0.4,4.95,16.66665,0.18333348000000002
12,6,Recall,17.5,5.285712999999999,23.789485,15.428556,26.333342000000002
12,6,SampleDistribution,0.0,2.666664,65.999999,16.66665,14.666652000000001
15,7,DiscoveredLabels,2.3333329000000003,6.0666604,72.46666,13.3333424,5.799988600000001
15,7,FrequencyRecall,0.0,5.666661,,,0.470588
15,7,Lift,0.0,0.37777740000000004,61.000001000000005,30.666671,0.03137256
15,7,OracleDistribution,0.0,5.666661,60.333335000000005,30.666671,3.33333
15,7,OracleLift,0.0,0.37777740000000004,60.333335000000005,30.666671,0.0392157
15,7,Recall,17.5,6.4999991999999995,28.605246,28.571435,29.000009
15,7,SampleDistribution,0.0,5.666661,61.000001000000005,30.666671,2.666664
18,6,DiscoveredLabels,1.9444452,5.5000022,70.222225,14.833328799999999,7.4999991999999995
18,6,FrequencyRecall,0.0,10.0,94.0,,27.916655000000002
18,6,Lift,0.0,0.32,3.78,22.333328,0.2097776
