Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,3,DiscoveredLabels,3.33333,3.33333,83.00001700000001,5.333328,4.999995
3,3,FrequencyRecall,3.33333,2.0,20.750017,4.0,15.0
3,3,Lift,0.27777799999999997,0.166667,1.7291656,0.33333280000000004,1.2499995
3,3,OracleDistribution,3.33333,3.33333,83.00001700000001,5.333328,4.999995
3,3,OracleLift,0.27777799999999997,0.166667,1.7291656,0.33333280000000004,1.2499995
3,3,Recall,0.37037,0.040816099999999994,0.42710176,0.11347488,0.6
3,3,SampleDistribution,3.33333,3.33333,83.00001700000001,5.333328,4.999995
6,4,DiscoveredLabels,2.66667,4.000004000000001,80.83332999999999,3.6666679999999996,8.833336
6,4,FrequencyRecall,1.999998,0.636363,6.7428589,1.2,19.0
6,4,Lift,0.4466664,0.142121,1.5059068500000001,0.26800019999999997,4.243331
6,4,OracleDistribution,1.999998,4.666662,78.666673,1.999998,12.666669000000002
6,4,OracleLift,0.4466664,0.142121,1.5059068500000001,0.26800019999999997,4.243331
6,4,Recall,0.5925922,0.09795884,0.83190461,0.1560282,2.12
6,4,SampleDistribution,1.999998,4.666662,78.666673,1.999998,12.666669000000002
9,5,DiscoveredLabels,1.999998,4.222218000000001,77.888892,3.999996,11.888892
9,5,FrequencyRecall,0.666666,0.2978724,2.7,1.2727274,10.8
9,5,Lift,0.324444,0.1449644,1.31400089,0.6193936,5.2560052
9,5,OracleDistribution,0.666666,4.666662,72.000005,4.666662,18.000001
9,5,OracleLift,0.324444,0.1449644,1.31400089,0.6193936,5.2560052
9,5,Recall,0.6666662,0.15510152,1.20240157,0.25531896,4.28
9,5,SampleDistribution,0.666666,4.666662,72.000005,4.666662,18.000001
12,6,DiscoveredLabels,1.5000002000000001,5.0000016,62.833330000000004,16.2500117,14.4166642
12,6,FrequencyRecall,0.0,0.2650604,0.31736497999999996,4.5428593,8.25
12,6,Lift,0.0,0.2659448,0.31842302000000006,4.5579985999999995,8.277491
12,6,OracleDistribution,0.0,7.3333260000000005,17.666651,53.000014,22.000009
12,6,OracleLift,0.0,0.2659448,0.31842302000000006,4.5579985999999995,8.277491
12,6,Recall,0.6666662,0.24489728,1.29331143,1.38297862,6.92
12,6,SampleDistribution,0.0,7.3333260000000005,17.666651,53.000014,22.000009
15,7,DiscoveredLabels,1.1999997999999998,5.0666644,59.199999,22.7333364,11.800001199999999
15,7,FrequencyRecall,0.0,0.1818176,0.46366814000000006,1.6976734,0.444444
15,7,Lift,0.0,0.2921216,0.7449595999999999,2.7275975,0.714076
15,7,OracleDistribution,0.0,5.333328,44.666667000000004,48.666655,1.333332
15,7,OracleLift,0.0,0.2921216,0.7449595999999999,2.7275975,0.714076
15,7,Recall,0.6666662,0.31020336,1.5231568500000001,2.4184401600000003,7.08
15,7,SampleDistribution,0.0,5.333328,44.666667000000004,48.666655,1.333332
18,6,DiscoveredLabels,1.1111116,4.8888896,53.555558,28.9999982,11.4444408
18,6,FrequencyRecall,0.25,0.40963879999999997,0.7724533,9.7142958,11.875
18,6,Lift,0.248334,0.14449019999999999,0.45370511999999996,5.4240522,4.453456
18,6,OracleDistribution,0.666666,3.999996,25.333325,60.33335,9.666657
18,6,OracleLift,0.248334,0.14449019999999999,0.45370511999999996,5.4240522,4.453456
18,6,Recall,0.7407402000000001,0.35918312,1.65351738,3.7021283600000006,8.24
