Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,3,DiscoveredLabels,2.666664,5.333328,82.000018,6.66666,3.33333
3,3,FrequencyRecall,2.666664,3.2,24.187727,5.4,10.0
3,3,Lift,0.2222224,0.2666672,1.7083324,0.41666600000000004,0.8333330000000001
3,3,OracleDistribution,1.999998,4.666662,85.333348,5.333328,2.666664
3,3,OracleLift,0.1666668,0.2333338,1.7777764000000003,0.33333280000000004,0.6666664
3,3,Recall,0.296296,0.06530576,0.42195604000000003,0.1418436,0.4
3,3,SampleDistribution,2.666664,5.333328,82.000018,6.66666,3.33333
6,4,DiscoveredLabels,2.0000039999999997,6.666677999999999,81.66666000000001,4.33334,5.333335999999999
6,4,FrequencyRecall,1.333332,1.090908,8.531613499999999,1.771428,11.0
6,4,Lift,0.29777760000000003,0.243636,1.5569545,0.26800019999999997,2.4566660000000002
6,4,OracleDistribution,1.333332,5.333328,84.000008,3.3333320000000004,6.0
6,4,OracleLift,0.29777760000000003,0.162424,1.6080025,0.4466668,2.01
6,4,Recall,0.444444,0.1632645,0.84048102,0.18439676,1.28
6,4,SampleDistribution,1.333332,7.999992,81.33334400000001,1.999998,7.333334000000001
9,5,DiscoveredLabels,1.333332,6.888882,80.111123,4.777773,6.888888
9,5,FrequencyRecall,0.0,0.46808520000000003,3.5408402,1.8636371,6.0
9,5,Lift,0.0,0.2278012,1.4052513400000002,0.7521208,2.920003
9,5,OracleDistribution,0.0,4.666662,79.666675,6.333327000000001,9.333332
9,5,OracleLift,0.0,0.1449644,1.45391774,0.8406056000000001,2.7253355999999997
9,5,Recall,0.444444,0.25306016,1.23670688,0.3049639,2.48
9,5,SampleDistribution,0.0,7.3333260000000005,77.000011,5.666661,10.0
12,6,DiscoveredLabels,1.166667,6.7500023,64.666666,18.4166748,8.9999978
12,6,FrequencyRecall,0.25,0.2289158,0.64284036,5.407939,5.75
12,6,Lift,0.250834,0.22967959999999998,0.33043890000000004,5.1026646,5.769162
12,6,OracleDistribution,0.0,4.999995,32.666654,49.66667,12.666668
12,6,OracleLift,0.0,0.181326,0.58878292,4.271332999999999,4.7658320000000005
12,6,Recall,0.5185181999999999,0.33061115,1.331047,1.5673760799999998,4.32
12,6,SampleDistribution,0.666666,6.333327000000001,18.333315,59.333354,15.333338000000001
15,7,DiscoveredLabels,1.1999997999999998,6.4666643,60.933325999999994,24.1999998,7.2000022
15,7,FrequencyRecall,0.4,0.1818176,0.66927938,1.7861527999999998,0.0
15,7,Lift,0.642668,0.2921216,0.7671971999999999,2.6528685999999997,0.0
15,7,OracleDistribution,1.333332,3.33333,55.666669,39.666665,0.0
15,7,OracleLift,0.642668,0.182576,0.9284198,2.223178,0.0
15,7,Recall,0.6666662,0.39591732999999996,1.56775318,2.57446852,4.32
15,7,SampleDistribution,1.333332,5.333328,46.000002,47.333324000000005,0.0
18,6,DiscoveredLabels,1.2222228,5.9444476,53.88889,32.0555442,6.8888891999999995
18,6,FrequencyRecall,0.75,0.3493978,0.88288868,11.795169799999998,7.75
18,6,Lift,0.496668,0.12055439999999999,0.33434808,6.445485,2.4667839999999996
18,6,OracleDistribution,1.333332,2.666664,26.666658,64.66667600000001,4.666662
18,6,OracleLift,0.496668,0.0963268,0.47767612,5.8328224,2.21845
18,6,Recall,0.8148142,0.43673355,1.6638082,4.09219936,4.96
18,6,SampleDistribution,1.333332,3.33333,18.666657999999998,71.33335,5.333328
21,5,DiscoveredLabels,1.2380942,6.0476149999999995,56.047635,29.6190188,7.0476122
21,5,FrequencyRecall,1.333332,0.8936172,6.0322648,5.9696944,10.8
21,5,Lift,0.635556,0.203718,1.27126238,1.9933329,3.0347798
21,5,OracleDistribution,1.333332,4.666662,71.666683,15.666657,6.66666
21,5,OracleLift,0.635556,0.1428672,1.3198417,2.0799993,2.5581137999999997
21,5,Recall,0.9629622000000001,0.51836643,2.0188685,4.41134836,5.92
21,5,SampleDistribution,1.333332,6.66666,69.000011,14.999993000000002,7.999994
24,4,DiscoveredLabels,1.2500006,5.9583367,58.750005,27.249995199999997,6.7916705
24,4,FrequencyRecall,2.666664,1.8181804,14.7394934,7.6,19.166666
24,4,Lift,0.2844444,0.15699844000000002,1.52894284,1.3653342000000002,1.8133350000000001
24,4,OracleDistribution,1.333332,3.999996,79.000013,9.999992,5.666663000000001
24,4,OracleLift,0.2844444,0.11728709999999999,1.55520554,1.2800008,2.026669
24,4,Recall,1.1111104,0.58367237,2.418525,4.6382988,6.52
24,4,SampleDistribution,1.333332,5.333328,77.666679,10.666658,4.9999970000000005
27,3,DiscoveredLabels,1.4074065999999998,6.8148117,57.888911,26.66664,7.2222157000000005
27,3,FrequencyRecall,5.333328,11.4,36.628187,22.85,43.0
27,3,Lift,0.1955552,0.6380007,1.17170453,1.2588868,2.3466656
27,3,OracleDistribution,1.333332,9.99999,59.666674,19.333318000000002,9.666657
27,3,OracleLift,0.0977776,0.4620006,1.37377841,1.0999983999999998,2.6466651000000003
27,3,Recall,1.4074065999999998,0.75102005,2.6809591999999998,5.106384,7.8
27,3,SampleDistribution,2.666664,13.666653000000002,51.00000300000001,21.99998,10.666656
30,4,DiscoveredLabels,1.3666659,7.0666633,58.16667100000001,25.66667,7.733330100000001
30,4,FrequencyRecall,3.6666630000000002,3.0909076,20.0256696,19.50476,38.666664999999995
30,4,Lift,0.2033334,0.2640692,1.23358582,2.2908912,5.083327000000001
30,4,OracleDistribution,0.999999,7.3333260000000005,62.666669,18.333327,10.666658
30,4,OracleLift,0.2033334,0.20773443999999996,1.2751874600000002,2.5552241,4.575
30,4,Recall,1.5185175999999998,0.86530545,2.9931387999999997,5.4609939999999995,9.28
30,4,SampleDistribution,0.999999,9.333324,60.666669,16.66666,12.333331000000001
33,5,DiscoveredLabels,1.2424236,6.9090891,57.939412000000004,25.363611000000002,8.5454466
33,5,FrequencyRecall,1.333332,1.2340428,7.8563264,13.4731871,21.200001999999998
33,5,Lift,0.0,0.16059183999999999,1.02806328,2.9607400999999998,5.0555632
33,5,OracleDistribution,0.0,5.333328,52.333332,26.999993,15.333327000000002
33,5,OracleLift,0.0,0.16059183999999999,0.9689023400000001,3.5923907,5.3977812
33,5,Recall,1.5185175999999998,0.93061165,3.2795870000000003,5.936171399999999,11.28
33,5,SampleDistribution,0.0,5.333328,55.666666000000006,22.333319000000003,16.666663
36,6,DiscoveredLabels,1.2777787999999999,6.6111108000000005,55.194444999999995,26.694454,10.2222182
36,6,FrequencyRecall,1.375,0.4698798,1.30168924,15.1748694,18.666666
36,6,Lift,0.614585,0.11934099999999999,0.44493717000000005,3.9777459,12.097337
36,6,OracleDistribution,1.666665,3.33333,30.666654000000005,40.000002,24.333331
36,6,OracleLift,0.614585,0.11934099999999999,0.5455664800000001,3.840807,10.382359
36,6,Recall,1.7037028,0.97142773,3.4082317,6.8156042,14.72
36,6,SampleDistribution,1.666665,3.33333,24.999983,41.333343000000006,28.666669000000002
39,7,DiscoveredLabels,1.1794868,6.3589723000000005,53.512831999999996,29.410227,9.5384528
39,7,FrequencyRecall,0.4,0.29545360000000004,0.93633218,3.9903992,0.644444
39,7,Lift,0.0,0.181439,0.55467192,3.5082886,0.709628
39,7,OracleDistribution,0.0,2.666664,37.666662,57.666672000000005,1.999998
39,7,OracleLift,0.0,0.1451512,0.62699498,3.2645291000000003,1.0644419999999999
39,7,Recall,1.7037028,1.0122441899999999,3.5797582,8.134752200000001,14.88
39,7,SampleDistribution,0.0,3.33333,33.33332,62.000014,1.333332
