Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,3,DiscoveredLabels,1.999998,7.999992,82.666684,3.999996,3.33333
3,3,FrequencyRecall,1.999998,4.8,20.666684,3.0,10.0
3,3,Lift,0.1666668,0.40000080000000005,1.7222212000000001,0.24999960000000002,0.8333330000000001
3,3,OracleDistribution,1.999998,31.333302000000003,33.3333,33.3333,0.0
3,3,OracleLift,0.1666668,1.5666698,0.6944440000000001,2.08333,0.0
3,3,Recall,0.222222,0.09795864,0.42538652,0.08510616,0.4
3,3,SampleDistribution,1.999998,7.999992,82.666684,3.999996,3.33333
6,4,DiscoveredLabels,1.666668,7.33334,84.999992,4.000007999999999,2.0000039999999997
6,4,FrequencyRecall,1.333332,0.90909,7.4857168000000005,2.4,1.0
6,4,Lift,0.29777760000000003,0.20303000000000002,1.6718119999999999,0.5360003999999999,0.223334
6,4,OracleDistribution,1.333332,31.999968,33.3333,33.3333,0.0
6,4,OracleLift,0.29777760000000003,0.974544,0.638095,4.46667,0.0
6,4,Recall,0.3703702,0.17959123999999999,0.87478636,0.17021232,0.48
6,4,SampleDistribution,1.333332,6.66666,87.333346,3.999996,0.666666
9,5,DiscoveredLabels,1.11111,6.66666,86.00001400000001,3.999996,2.22222
9,5,FrequencyRecall,0.0,0.3404256,3.3,1.0909091999999998,1.6
9,5,Lift,0.0,0.1656736,1.6060012000000001,0.5309088,0.7786664000000001
9,5,OracleDistribution,0.0,33.3333,33.3333,33.3333,0.0
9,5,OracleLift,0.0,1.03546,0.608333,4.42424,0.0
9,5,Recall,0.3703702,0.24489719999999998,1.3276164,0.25531856,0.8
9,5,SampleDistribution,0.0,5.333328,88.00001200000001,3.999996,2.666664
12,6,DiscoveredLabels,1.3333336,6.500003799999999,68.58333900000001,21.083350999999997,2.4999998
12,6,FrequencyRecall,0.75,0.2168676,0.29341298,6.200003799999999,1.25
12,6,Lift,0.7525020000000001,0.21759119999999998,0.29439102,6.2206639,1.25417
12,6,OracleDistribution,1.999998,31.333302000000003,0.0,66.6667,0.0
12,6,OracleLift,0.7525020000000001,1.1363096,0.0,5.73333,0.0
12,6,Recall,0.5925922,0.31836638,1.4116639,1.7943266,1.2
12,6,SampleDistribution,1.999998,5.999994,16.333317,72.33336100000001,3.33333
15,7,DiscoveredLabels,1.0666664,6.0666609,65.26667,25.466677,2.1333328
15,7,FrequencyRecall,0.0,0.14772680000000002,0.5397927600000001,1.4999991,0.222222
15,7,Lift,0.0,0.2373488,0.8672664,2.4100009,0.357038
15,7,OracleDistribution,0.0,33.3333,0.0,66.6667,0.0
15,7,OracleLift,0.0,1.8257599999999998,0.0,3.73643,0.0
15,7,Recall,0.5925922,0.37142761,1.6792464,2.7092204,1.28
15,7,SampleDistribution,0.0,4.333329,52.00000400000001,42.999986,0.666666
18,6,DiscoveredLabels,0.8888891999999999,6.0000018,57.833351,33.499988,1.7777783999999999
18,6,FrequencyRecall,0.75,0.42168700000000003,0.6646691,12.514301,1.25
18,6,Lift,0.0,0.2037461,0.36978572,6.6871252000000005,0.0
18,6,OracleDistribution,0.0,33.3333,0.0,66.6667,0.0
18,6,OracleLift,0.0,1.1994162,0.0,6.0521821,0.0
