Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,3,DiscoveredLabels,1.666665,18.666648,76.66669,2.999997,0.0
3,3,FrequencyRecall,1.25,5.6,32.857110000000006,4.5,0.0
3,3,Lift,0.09583350000000002,0.42933351999999997,2.519049,0.3449997,0.0
3,3,OracleDistribution,1.666665,18.666648,76.66669,2.999997,0.0
3,3,OracleLift,0.09583350000000002,0.42933351999999997,2.519049,0.3449997,0.0
3,3,Recall,0.357143,0.38888752,0.6199452,0.07758612,0.0
3,3,SampleDistribution,1.666665,18.666648,76.66669,2.999997,0.0
6,4,DiscoveredLabels,1.166669,14.66668,79.166656,5.00001,0.0
6,4,FrequencyRecall,0.666666,1.5238079999999998,10.652182500000002,3.500007,0.0
6,4,Lift,0.12,0.27428576,1.9173945000000001,0.63,0.0
6,4,OracleDistribution,0.666666,10.666656,81.666685,6.999993000000001,0.0
6,4,OracleLift,0.12,0.27428576,1.9173945000000001,0.63,0.0
6,4,Recall,0.5000002,0.61110992,1.2803219,0.2586204,0.0
6,4,SampleDistribution,0.666666,10.666656,81.666685,6.999993000000001,0.0
9,5,DiscoveredLabels,0.777777,13.111098,80.888908,4.999995,0.222222
9,5,FrequencyRecall,0.0,1.034484,4.4385967,0.8823525,1.0
9,5,Lift,0.0,0.37586099999999995,1.6126879,0.32058749999999997,0.363334
9,5,OracleDistribution,0.0,9.99999,84.333349,4.999995,0.666666
9,5,OracleLift,0.0,0.37586099999999995,1.6126879,0.32058749999999997,0.363334
9,5,Recall,0.5000002,0.8194430800000001,1.9622649,0.38793071999999995,0.125
9,5,SampleDistribution,0.0,9.99999,84.333349,4.999995,0.666666
12,6,DiscoveredLabels,0.5833330999999999,11.500009,81.750001,5.5833355,0.5833330999999999
12,6,FrequencyRecall,0.0,0.487804,2.36448738,0.628571,0.8333349999999998
12,6,Lift,0.0,0.308944,1.497507,0.3980946,0.52778
12,6,OracleDistribution,0.0,6.66666,84.333346,7.333328,1.666665
12,6,OracleLift,0.0,0.308944,1.497507,0.3980946,0.52778
12,6,Recall,0.5000002,0.9583322,2.6442042,0.5775859999999999,0.4375
12,6,SampleDistribution,0.0,6.66666,84.333346,7.333328,1.666665
15,7,DiscoveredLabels,0.46666690000000005,10.1333238,81.399999,7.1999968,0.7999992
15,7,FrequencyRecall,0.0,0.3255812,1.3559338399999998,0.7321422,0.714285
15,7,Lift,0.0,0.30930199999999997,1.2881369599999999,0.6955363,0.67857
15,7,OracleDistribution,0.0,4.666662,80.000006,13.666664,1.666665
15,7,OracleLift,0.0,0.30930199999999997,1.2881369599999999,0.6955363,0.67857
15,7,Recall,0.5000002,1.05555458,3.2911032000000002,0.93103492,0.75
15,7,SampleDistribution,0.0,4.666662,80.000006,13.666664,1.666665
18,6,DiscoveredLabels,0.3888892,8.9444452,71.722226,17.888897999999998,1.0555557999999998
18,6,FrequencyRecall,0.0,0.7073161,3.0186933999999996,6.7428612,2.0000020000000003
18,6,Lift,0.0,0.1379697,0.41732837000000006,3.8332996,0.768779
