Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,3,DiscoveredLabels,3.999996,16.999983,75.00002500000001,3.999996,0.0
3,3,FrequencyRecall,3.0,5.1,32.142825,6.0,0.0
3,3,Lift,0.23000040000000002,0.39100017000000004,2.4642875,0.4599996,0.0
3,3,OracleDistribution,3.999996,29.333304000000002,33.3333,33.3333,0.0
3,3,OracleLift,0.23000040000000002,0.67466696,1.09524,3.83333,0.0
3,3,Recall,0.8571432,0.35416542,0.6064679999999999,0.10344816,0.0
3,3,SampleDistribution,3.999996,16.999983,75.00002500000001,3.999996,0.0
6,4,DiscoveredLabels,2.333338,14.166684,79.66666000000001,3.833341,0.0
6,4,FrequencyRecall,0.666666,1.619046,11.0000105,1.833337,0.0
6,4,Lift,0.12,0.29142862,1.9800033000000001,0.33,0.0
6,4,OracleDistribution,0.666666,32.666634,33.3333,33.3333,0.0
6,4,OracleLift,0.12,0.8400001399999999,0.7826090000000001,3.0,0.0
6,4,Recall,1.0000004,0.59027636,1.2884077999999999,0.19827563999999998,0.0
6,4,SampleDistribution,0.666666,11.333322,84.333349,3.6666630000000002,0.0
9,5,DiscoveredLabels,1.555554,12.22221,81.00001900000001,4.999995,0.222222
9,5,FrequencyRecall,0.0,0.8620699999999999,4.4035089,1.294117,1.0
9,5,Lift,0.0,0.3132175,1.5999393,0.4701949999999999,0.363334
9,5,OracleDistribution,0.0,33.3333,33.3333,33.3333,0.0
9,5,OracleLift,0.0,1.25287,0.637427,2.13725,0.0
9,5,Recall,1.0000004,0.76388808,1.9649593,0.38793084,0.125
9,5,SampleDistribution,0.0,8.333325,83.666683,7.3333260000000005,0.666666
12,6,DiscoveredLabels,1.1666661999999999,10.6666774,82.083327,5.666668499999999,0.41666650000000005
12,6,FrequencyRecall,0.0,0.4390236,2.3925248,0.6571422,0.5000009999999999
12,6,Lift,0.0,0.2780496,1.515264,0.4161896,0.316668
12,6,OracleDistribution,0.0,33.3333,33.3333,33.3333,0.0
12,6,OracleLift,0.0,1.54472,0.5919,1.80952,0.0
12,6,Recall,1.0000004,0.88888816,2.6549863,0.5862067,0.3125
12,6,SampleDistribution,0.0,5.999994,85.333348,7.666659000000001,0.999999
15,7,DiscoveredLabels,1.1333339,9.5333222,82.066668,6.6666616,0.6000002999999999
15,7,FrequencyRecall,1.5,0.34883699999999995,1.38983152,0.5714275999999999,0.571428
15,7,Lift,1.425,0.331395,1.32034078,0.5428576,0.542856
15,7,OracleDistribution,0.999999,32.333301,28.999971000000002,37.666642,0.0
15,7,OracleLift,1.425,2.143021,0.46694900999999994,1.9169659000000001,0.0
15,7,Recall,1.2142861999999999,0.9930549200000001,3.3180579,0.86206924,0.5625
15,7,SampleDistribution,0.999999,4.999995,82.00001200000001,10.66666,1.333332
18,6,DiscoveredLabels,1.0000008,9.2777762,76.555556,12.444446800000001,0.7222227999999999
18,6,FrequencyRecall,1.0,1.0243887,3.7663574,4.2000001,1.166669
18,6,Lift,0.623333,0.3660192,0.8774047500000001,2.2204259,0.415556
18,6,OracleDistribution,0.333333,32.999967,14.666652000000001,52.000004,0.0
18,6,OracleLift,0.623333,1.5115867,0.26240512,2.7945206000000002,0.0
18,6,Recall,1.2857148,1.15972184,3.7142836999999997,1.93103634,0.8125
18,6,SampleDistribution,0.333333,7.999992,48.999996,41.333321999999995,1.333332
