Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,3,DiscoveredLabels,3.6666630000000002,15.333318000000002,76.66669,4.333329,0.0
3,3,FrequencyRecall,,,,,0.0
3,3,Lift,3.6666630000000002,15.333318000000002,76.66669,4.333329,0.0
3,3,OracleDistribution,3.6666630000000002,15.333318000000002,76.66669,4.333329,0.0
3,3,OracleLift,3.6666630000000002,15.333318000000002,76.66669,4.333329,0.0
3,3,Recall,0.7857146,0.31944332,0.6199452,0.11206883999999999,0.0
3,3,SampleDistribution,3.6666630000000002,15.333318000000002,76.66669,4.333329,0.0
6,4,DiscoveredLabels,2.0000039999999997,13.500013999999998,78.33332999999999,6.166675000000001,0.0
6,4,FrequencyRecall,,,,,0.0
6,4,Lift,0.333333,11.666655,80.00002,7.999992,0.0
6,4,OracleDistribution,0.333333,11.666655,80.00002,7.999992,0.0
6,4,OracleLift,0.333333,11.666655,80.00002,7.999992,0.0
6,4,Recall,0.8571432,0.5624988,1.2668439999999999,0.31896532,0.0
6,4,SampleDistribution,0.333333,11.666655,80.00002,7.999992,0.0
9,5,DiscoveredLabels,1.555554,10.888878,80.22224200000001,7.111104,0.222222
9,5,FrequencyRecall,,5.666661,,,0.01886792
9,5,Lift,0.666666,2.058887,84.000016,8.999991,0.00685534
9,5,OracleDistribution,0.666666,5.666661,84.000016,8.999991,0.666666
9,5,OracleLift,0.666666,2.058887,84.000016,8.999991,0.00685534
9,5,Recall,1.0000004,0.6805545599999999,1.9460921000000002,0.55172404,0.125
9,5,SampleDistribution,0.666666,5.666661,84.000016,8.999991,0.666666
12,6,DiscoveredLabels,1.2499995,9.666675399999999,80.416662,7.8333412,0.8333330000000001
12,6,FrequencyRecall,,2.571426,243.0,,0.04395608
12,6,Lift,0.333333,1.6285716,153.900142,9.999994000000001,0.0278388
12,6,OracleDistribution,0.333333,5.999994,81.000013,9.999994000000001,2.666664
12,6,OracleLift,0.333333,1.6285716,153.900142,9.999994000000001,0.0278388
12,6,Recall,1.071429,0.80555476,2.6010785,0.8103451199999999,0.625
12,6,SampleDistribution,0.333333,5.999994,81.000013,9.999994000000001,2.666664
15,7,DiscoveredLabels,1.0000005,8.933328,79.933336,8.933325,1.1999978
15,7,FrequencyRecall,0.0,18.0,234.0,13.333328000000002,0.02857144
15,7,Lift,0.0,17.1,222.3,12.666671999999998,0.027142879999999998
15,7,OracleDistribution,0.0,5.333328,78.00001,13.333328000000002,3.33333
15,7,OracleLift,0.0,15.2,222.3,12.666671999999998,0.033928599999999996
15,7,Recall,1.071429,0.9305542,3.2318040999999997,1.1551732,1.125
15,7,SampleDistribution,0.0,5.999994,78.00001,13.333328000000002,2.666664
18,6,DiscoveredLabels,0.833334,8.5555596,70.388896,18.444446,1.7777787999999999
18,6,FrequencyRecall,0.0,3.285711,70.0,,1.6978004999999998
18,6,Lift,0.0,1.8106347999999999,42.38666,66.000021,0.048713639999999996
18,6,OracleDistribution,0.0,6.66666,22.666648,66.000021,4.666662
18,6,OracleLift,0.0,1.8106347999999999,42.38666,66.000021,0.048713639999999996
18,6,Recall,1.071429,1.06944322,3.4150925,2.8620721,2.0
18,6,SampleDistribution,0.0,6.66666,22.666648,66.000021,4.666662
21,5,DiscoveredLabels,0.809523,8.8095187,65.90479,21.6666453,2.8095216999999995
21,5,FrequencyRecall,,10.333323,,,3.0849053
21,5,Lift,0.666666,3.6511179999999994,38.999997,40.999984000000005,0.09262134
21,5,OracleDistribution,0.666666,10.333323,38.999997,40.999984000000005,8.999991
21,5,OracleLift,0.666666,3.6511179999999994,38.999997,40.999984000000005,0.09262134
21,5,Recall,1.2142861999999999,1.28472168,3.7304575,3.92241616,3.6875
