Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,3.0,DiscoveredLabels,1.999998,15.999991999999999,63.666674,15.999991,2.333331
3,3.0,HiddenLabels,0.021660779999999998,0.017609135,0.020752379999999997,0.017435080999999998,0.02583042
3,3.0,Lift,0.6693180000000001,0.8823743999999999,1.05679498,0.9686297,1.102808
3,3.0,OracleDistribution,0.666666,38.999978,21.333312,36.666646,2.333331
3,3.0,OracleLift,0.223106,2.1507875999999997,0.35410944,2.2197764,1.102808
3,3.0,Rappel,0.037267079999999994,0.04912992,0.058841632,0.05393273,0.06140351
3,3.0,SampleDistribution,1.999998,15.999991999999999,63.666674,15.999991,2.333331
6,4.0,DiscoveredLabels,1.500002,16.333339000000002,62.33333400000001,18.500007,1.3333359999999999
6,4.0,HiddenLabels,0.03249112,0.035951339,0.040633489999999994,0.040318658,0.02952048
6,4.0,Lift,0.7875240000000001,0.972595,0.9964615499999999,1.1210407,0.202672
6,4.0,OracleDistribution,0.333333,37.999977,21.999979000000003,39.333313000000004,0.333333
6,4.0,OracleLift,0.262508,2.2175165999999997,0.3593799,2.0997274000000004,0.202672
6,4.0,Rappel,0.028571430000000002,0.035285778,0.036151721,0.040671434,0.00735294
6,4.0,SampleDistribution,0.999999,16.666661,61.00001,20.999988000000002,0.333333
9,5.0,DiscoveredLabels,1.11111,18.666651,60.222238,18.666648,1.333332
9,5.0,HiddenLabels,0.0361012,0.061630161,0.05888766,0.061022885,0.04428072
9,5.0,Lift,0.464848,1.1291280000000001,0.9806398999999999,0.943236,0.973968
9,5.0,OracleDistribution,0.333333,40.999982,19.99998,37.999976000000004,0.666666
9,5.0,OracleLift,0.464848,1.9840392,0.35022839999999994,1.886472,0.486984
9,5.0,Rappel,0.09090909999999999,0.22082003999999997,0.19178059,0.18446616,0.19047599999999998
9,5.0,SampleDistribution,0.333333,23.333324,56.000001000000005,18.99999,1.333332
12,6.0,DiscoveredLabels,0.8333338,23.166675599999998,58.166664,16.8333418,0.9999996
12,6.0,HiddenLabels,0.0361012,0.101982296,0.07583704499999999,0.073373239,0.04428072
12,6.0,Lift,0.0,0.97777848,1.03999855,0.9066673000000001,0.0
12,6.0,OracleDistribution,0.0,50.0,14.666652000000001,35.333304000000005,0.0
12,6.0,OracleLift,0.0,1.3333345,0.29333348000000004,2.8266696000000002,0.0
12,6.0,Rappel,0.0,7.333327399999999,7.8,6.8,0.0
12,6.0,SampleDistribution,0.0,36.666657,52.000004,11.333327000000002,0.0
15,5.0,DiscoveredLabels,0.6666662,23.5999993,57.133333,17.1333276,1.4666666000000002
15,5.0,HiddenLabels,0.0361012,0.129861801,0.093111899,0.093351595,0.08118122
15,5.0,Lift,0.0,1.2260108,0.92807014,0.9100777999999999,2.4301600000000003
15,5.0,OracleDistribution,0.0,41.333316999999994,18.999982,36.666643,2.999997
15,5.0,OracleLift,0.0,2.0005932,0.33269269,1.8199940000000001,2.187144
15,5.0,Rappel,0.09090909999999999,0.4605677,0.37328762,0.36245964999999997,0.666666
15,5.0,SampleDistribution,0.0,25.333323,52.999997,18.333323,3.33333
18,4.0,DiscoveredLabels,0.7222224,22.2777836,57.611116,17.9444438,1.444445
18,4.0,HiddenLabels,0.046931589999999995,0.147103342,0.112668299,0.117325927,0.09594141
18,4.0,Lift,0.787239,0.9142228,0.9801226199999999,1.1743972999999999,0.8103919999999999
18,4.0,OracleDistribution,0.666666,38.999978,19.666647,39.333313000000004,1.333332
18,4.0,OracleLift,0.524826,2.2758276,0.32125897000000003,2.0997999000000003,0.8103919999999999
18,4.0,Rappel,0.057142860000000004,0.068454424,0.07171079899999999,0.083279636,0.036764700000000004
18,4.0,SampleDistribution,0.999999,15.666660000000002,60.000005,21.999990000000004,1.333332
21,3.0,DiscoveredLabels,1.4285704,20.904741599999998,58.428593,17.7618884,1.4761894999999998
21,3.0,HiddenLabels,0.1083037,0.16104299600000002,0.13331132199999998,0.135488086,0.11439161
21,3.0,Lift,1.896044,0.6985161,1.05130123,1.0090390999999999,0.790068
21,3.0,OracleDistribution,0.0,37.333308,23.33331,37.999978,1.333332
21,3.0,OracleLift,0.0,2.0587277,0.38732025,2.3005503,0.6326120000000001
21,3.0,Rappel,0.14285718,0.08802444,0.117375443,0.11011252,0.10526324000000001
21,3.0,SampleDistribution,5.666661,12.666658,63.333342,16.66666,1.666665
24,4.0,DiscoveredLabels,1.4583339999999998,20.7916657,58.583333,17.7083344,1.4583337
24,4.0,HiddenLabels,0.1263543,0.18305302099999998,0.152759382,0.154376728,0.1291517
24,4.0,Lift,1.311585,1.167064,0.9746612,0.9253569,0.8101
24,4.0,OracleDistribution,0.333333,41.33331700000001,20.333313,36.666641,1.333332
24,4.0,OracleLift,0.262317,2.4119204,0.33215612,1.9576088999999999,0.8101
24,4.0,Rappel,0.10476191,0.11079744,0.10707220699999999,0.11684968,0.06617645999999999
24,4.0,SampleDistribution,1.666665,19.999993000000003,59.666673,17.33332,1.333332
27,5.0,DiscoveredLabels,1.4074064999999998,20.814794499999998,58.111135000000004,18.1110933,1.5555549
27,5.0,HiddenLabels,0.1371846,0.206163654,0.170469448,0.17762419699999998,0.15498193000000002
27,5.0,Lift,1.435393,1.0170333,0.9513659699999999,1.0586339,1.7220330000000001
27,5.0,OracleDistribution,0.999999,39.666647000000005,20.333313,37.999979,0.999999
27,5.0,OracleLift,1.435393,1.9207831999999998,0.35603923000000004,1.8858587,0.72762
27,5.0,Rappel,0.36363619999999997,0.6593060300000001,0.55936078,0.56957953,0.9999992999999999
27,5.0,SampleDistribution,0.999999,20.999995,54.333336,21.333319000000003,2.3333320000000004
30,6.0,DiscoveredLabels,1.266666,22.2999977,57.333331,17.6999943,1.3999993000000002
30,6.0,HiddenLabels,0.1371846,0.245414864,0.18687572,0.192880483,0.15498193000000002
30,6.0,Lift,0.0,0.94374784,1.01192353,1.0915003,0.0
30,6.0,OracleDistribution,0.0,48.666664,13.33332,37.999976000000004,0.0
30,6.0,OracleLift,0.0,1.2965122,0.26793286,3.0812790000000003,0.0
30,6.0,Rappel,0.0,14.4666553,15.35,15.2,0.0
