Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,3.0,DiscoveredLabels,3.999997,18.333326000000003,60.333337,15.666659,1.666665
3,3.0,HiddenLabels,0.043321509999999994,0.020177025,0.019665783,0.017071849,0.0184503
3,3.0,Lift,3.999997,18.333326000000003,81.26899999999999,4.4427392999999995,0.017409849999999998
3,3.0,OracleDistribution,3.666664,18.333326000000003,60.333337,15.333326000000001,2.333331
3,3.0,OracleLift,3.666664,18.333326000000003,81.26899999999999,4.348212999999999,0.02437379
3,3.0,Rappel,,,4.525,0.24736836,0.00096937
3,3.0,SampleDistribution,3.999997,18.333326000000003,60.333337,15.666659,1.666665
6,4.0,DiscoveredLabels,2.5000020000000003,15.83334,62.499998000000005,17.33334,1.8333359999999999
6,4.0,HiddenLabels,0.05415179999999999,0.034850859,0.040742392,0.037776096,0.04059061
6,4.0,Lift,0.999999,13.333321000000002,116.24561,7.517274,0.020636400000000003
6,4.0,OracleDistribution,0.666666,13.333321000000002,64.66667699999999,18.333325000000002,2.999997
6,4.0,OracleLift,0.666666,13.333321000000002,116.24561,7.25351,0.030954600000000002
6,4.0,Rappel,,,4.2173929,0.27272736,0.000748692
6,4.0,SampleDistribution,0.999999,13.333321000000002,64.66667699999999,18.999991,1.999998
9,5.0,DiscoveredLabels,1.999998,16.222206,60.888903,19.111095,1.777776
9,5.0,HiddenLabels,0.06498219,0.05355962500000001,0.059539435,0.062476103,0.05904086
9,5.0,Lift,0.999999,16.99999,73.717146,10.226655999999998,0.0171819
9,5.0,OracleDistribution,0.666666,16.666656,57.33333400000001,21.999988000000002,3.33333
9,5.0,OracleLift,0.666666,16.666656,73.29103500000001,9.925872,0.0343638
9,5.0,Rappel,,,14.4166784,2.0000014000000004,0.0033602149999999997
9,5.0,SampleDistribution,0.999999,16.99999,57.666667000000004,22.666654000000005,1.666665
12,6.0,DiscoveredLabels,1.5000006,22.2500045,57.499995,17.416675,1.3333336
12,6.0,HiddenLabels,0.06498219,0.097946695,0.074967705,0.07591585,0.05904086
12,6.0,Lift,0.0,40.333332,2.7047602,12.333323,0.0
12,6.0,OracleDistribution,0.0,40.333332,47.333331,12.333323,0.0
12,6.0,OracleLift,0.0,40.333332,2.7047602,12.333323,0.0
12,6.0,Rappel,0.0,,20.285694,,0.0
12,6.0,SampleDistribution,0.0,40.333332,47.333331,12.333323,0.0
15,5.0,DiscoveredLabels,1.4666654,21.3999926,57.866667,17.7999962,1.4666666000000002
15,5.0,HiddenLabels,0.07942260999999999,0.11775606599999999,0.094306677,0.09698389199999999,0.08118122
15,5.0,Lift,1.333332,17.999986,75.699396,8.714780000000001,0.020617229999999997
15,5.0,OracleDistribution,0.666666,17.999986,59.333337,18.999989,2.9999979999999997
15,5.0,OracleLift,0.666666,17.999986,75.699396,8.564682,0.030924689999999998
15,5.0,Rappel,,,14.833345999999999,1.9411778000000002,0.20026892
15,5.0,SampleDistribution,1.333332,17.999986,59.333337,19.333322,1.999998
18,4.0,DiscoveredLabels,1.3333334,20.888892000000002,57.888897,18.2777792,1.6111115999999999
18,4.0,HiddenLabels,0.08664287,0.137932191,0.113211537,0.11950525000000001,0.10701154
18,4.0,Lift,0.666666,18.333323,104.276744,8.17878,0.024076080000000003
18,4.0,OracleDistribution,0.333333,18.333323,58.000006000000006,20.333319000000003,2.999997
18,4.0,OracleLift,0.333333,18.333323,104.276744,8.046946,0.030954960000000004
18,4.0,Rappel,,,3.8260881,0.33971302000000003,0.036935372
18,4.0,SampleDistribution,0.666666,18.333323,58.000006000000006,20.666652,2.333331
21,3.0,DiscoveredLabels,1.6190465,20.904742000000002,57.666684000000004,18.14284,1.6666654
21,3.0,HiddenLabels,0.12274417,0.161042788,0.13157319,0.138393799,0.12915182
21,3.0,Lift,3.33333,20.999991,75.87327,4.9176441,0.020892360000000002
21,3.0,OracleDistribution,2.666664,20.999991,56.333333,17.333323,2.666664
21,3.0,OracleLift,2.666664,20.999991,75.87327,4.9176441,0.027856480000000003
21,3.0,Rappel,,,4.25,0.34210522,0.056611104
21,3.0,SampleDistribution,3.33333,20.999991,56.333333,17.333323,1.999998
24,4.0,DiscoveredLabels,1.6250007,20.6250025,57.5,18.625002,1.6250006
24,4.0,HiddenLabels,0.14079473,0.181585472,0.14993441000000002,0.16236814200000002,0.14391196
24,4.0,Lift,1.666665,18.666659000000003,101.298346,8.704858,0.01375792
24,4.0,OracleDistribution,0.999999,18.666659000000003,56.333336,21.666654000000005,2.333331
