Source,Target
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,10
1,11
1,12
1,14
1,15
1,19
1,20
1,23
2,12
2,16
2,21
2,24
3,13
3,14
3,16
3,25
3,26
4,15
4,25
4,27
5,17
5,18
5,19
5,21
5,26
5,27
5,29
5,30
5,31
5,32
6,18
6,20
6,32
7,22
7,23
7,24
7,28
8,28
8,33
9,29
10,30
11,34
11,35
11,36
11,37
11,41
11,42
11,43
11,53
11,54
11,55
11,61
12,35
12,37
12,38
12,39
12,44
12,45
12,46
12,47
12,56
12,57
12,58
12,59
12,62
12,63
13,40
13,64
14,40
14,41
14,43
14,45
14,46
14,65
14,66
14,69
15,42
15,47
15,65
15,68
16,44
16,45
17,48
17,49
17,51
17,67
17,71
17,72
18,50
18,52
18,73
19,49
19,53
19,55
19,57
19,58
19,68
19,69
19,74
20,50
20,54
20,59
21,51
21,52
21,56
21,57
22,60
23,60
23,61
23,63
23,70
24,62
25,64
25,65
27,67
27,68
28,70
28,75
31,71
32,72
32,73
33,75
34,76
34,77
34,78
34,79
34,88
34,89
34,90
34,106
34,107
35,77
35,79
35,80
35,81
35,84
35,95
35,112
36,78
37,79
37,81
37,82
37,91
37,108
38,80
38,82
38,83
38,92
38,93
38,94
38,109
38,110
38,111
39,81
39,96
39,113
39,114
39,120
39,124
40,85
40,86
40,87
41,85
41,88
41,90
41,95
41,115
41,116
42,89
42,91
42,115
42,119
43,86
43,90
43,116
44,94
44,114
45,94
45,96
46,92
46,96
47,91
47,93
48,97
49,97
49,98
49,100
49,101
49,104
49,105
49,117
49,118
49,122
50,102
51,99
51,100
51,105
52,103
53,98
53,106
53,107
53,108
53,112
53,119
55,107
56,99
56,103
56,111
56,120
56,123
57,100
57,111
57,113
58,101
58,108
58,109
58,113
58,123
59,102
59,110
62,124
65,115
66,116
67,117
67,118
68,117
68,119
71,121
71,122
76,125
76,126
76,128
76,142
76,143
76,144
76,158
77,127
77,129
78,126
78,128
79,129
79,130
80,127
80,130
80,131
80,132
80,136
81,129
81,132
81,133
82,130
82,133
82,134
83,131
83,132
83,133
83,134
83,135
83,137
83,138
83,145
83,146
83,147
83,148
83,149
83,150
83,159
83,160
83,161
83,162
83,163
84,136
85,139
85,140
86,139
86,141
87,140
87,141
88,142
88,144
89,143
90,139
90,144
92,146
92,149
93,150
94,147
94,148
96,146
96,147
97,151
98,151
98,152
98,156
98,164
98,165
99,154
99,155
99,157
100,154
101,153
104,156
105,157
106,152
106,158
109,153
109,160
109,163
111,154
111,161
111,162
113,160
113,161
117,164
118,165
119,164
120,155
125,166
127,167
129,167
129,168
130,168
130,169
131,169
131,170
131,171
131,172
131,177
132,167
132,171
132,172
132,173
133,168
133,173
133,174
134,169
134,174
134,175
135,170
135,173
135,175
135,176
135,178
135,179
135,180
135,184
135,185
135,186
136,177
137,171
137,181
137,188
137,190
137,191
138,172
138,189
145,179
145,190
146,180
147,180
147,181
148,179
148,181
149,178
152,182
153,183
158,182
159,185
159,189
159,191
160,186
160,187
160,189
161,186
161,188
161,189
162,185
162,188
162,189
163,183
163,184
163,187
163,189
167,192
168,192
173,192
