Source,Target,Distance
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,10
1,11,1
1,12,1
1,14,1
1,15,1
1,19,1
1,20,1
1,23,1
2,12,1
2,16,1
2,21,1
2,24,1
3,13,1
3,14,1
3,16,1
3,25,1
3,26,1
4,15,1
4,25,1
4,27,1
5,17,1
5,18,1
5,19,1
5,21,1
5,26,1
5,27,1
5,29,1
5,30,1
5,31,1
5,32,1
6,18,1
6,20,1
6,32,1
7,22,1
7,23,1
7,24,1
7,28,1
8,28,1
8,33,1
9,29,1
10,30,1
11,34,1
11,35,1
11,36,1
11,37,1
11,41,1
11,42,1
11,43,1
11,53,1
11,54,1
11,55,1
11,61,1
12,35,1
12,37,1
12,38,1
12,39,1
12,44,1
12,45,1
12,46,1
12,47,1
12,56,1
12,57,1
12,58,1
12,59,1
12,62,1
12,63,1
13,40,1
13,64,1
14,40,1
14,41,1
14,43,1
14,45,1
14,46,1
14,65,1
14,66,1
14,69,1
15,42,1
15,47,1
15,65,1
15,68,1
16,44,1
16,45,1
17,48,1
17,49,1
17,51,1
17,67,1
17,71,1
17,72,1
18,50,1
18,52,1
18,73,1
19,49,1
19,53,1
19,55,1
19,57,1
19,58,1
19,68,1
19,69,1
19,74,1
20,50,1
20,54,1
20,59,1
21,51,1
21,52,1
21,56,1
21,57,1
22,60,1
23,60,1
23,61,1
23,63,1
23,70,1
24,62,1
25,64,1
25,65,1
27,67,1
27,68,1
28,70,1
28,75,1
31,71,1
32,72,1
32,73,1
33,75,1
34,76,1
34,77,1
34,78,1
34,79,1
34,88,1
34,89,1
34,90,1
34,106,1
34,107,1
35,77,1
35,79,1
35,80,1
35,81,1
35,84,1
35,95,1
35,112,1
36,78,1
37,79,1
37,81,1
37,82,1
37,91,1
37,108,1
38,80,1
38,82,1
38,83,1
38,92,1
38,93,1
38,94,1
38,109,1
38,110,1
38,111,1
39,81,1
39,96,1
39,113,1
39,114,1
39,120,1
39,124,1
40,85,1
40,86,1
40,87,1
41,85,1
41,88,1
41,90,1
41,95,1
41,115,1
41,116,1
42,89,1
42,91,1
42,115,1
42,119,1
43,86,1
43,90,1
43,116,1
44,94,1
44,114,1
45,94,1
45,96,1
46,92,1
46,96,1
47,91,1
47,93,1
48,97,1
49,97,1
49,98,1
49,100,1
49,101,1
49,104,1
49,105,1
49,117,1
49,118,1
49,122,1
50,102,1
51,99,1
51,100,1
51,105,1
52,103,1
53,98,1
53,106,1
53,107,1
53,108,1
53,112,1
53,119,1
55,107,1
56,99,1
56,103,1
56,111,1
56,120,1
56,123,1
57,100,1
57,111,1
57,113,1
58,101,1
58,108,1
58,109,1
58,113,1
58,123,1
59,102,1
59,110,1
62,124,1
65,115,1
66,116,1
67,117,1
67,118,1
68,117,1
68,119,1
71,121,1
71,122,1
76,125,1
76,126,1
76,128,1
76,142,1
76,143,1
76,144,1
76,158,1
77,127,1
77,129,1
78,126,1
78,128,1
79,129,1
79,130,1
80,127,1
80,130,1
80,131,1
80,132,1
80,136,1
81,129,1
81,132,1
81,133,1
82,130,1
82,133,1
82,134,1
83,131,1
83,132,1
83,133,1
83,134,1
83,135,1
83,137,1
83,138,1
83,145,1
83,146,1
83,147,1
83,148,1
83,149,1
83,150,1
83,159,1
83,160,1
83,161,1
83,162,1
83,163,1
84,136,1
85,139,1
85,140,1
86,139,1
86,141,1
87,140,1
87,141,1
88,142,1
88,144,1
89,143,1
90,139,1
90,144,1
92,146,1
92,149,1
93,150,1
94,147,1
94,148,1
96,146,1
96,147,1
97,151,1
98,151,1
98,152,1
98,156,1
98,164,1
98,165,1
99,154,1
99,155,1
99,157,1
100,154,1
101,153,1
104,156,1
105,157,1
106,152,1
106,158,1
109,153,1
109,160,1
109,163,1
111,154,1
111,161,1
111,162,1
113,160,1
113,161,1
117,164,1
118,165,1
119,164,1
120,155,1
125,166,1
127,167,1
129,167,1
129,168,1
130,168,1
130,169,1
131,169,1
131,170,1
131,171,1
131,172,1
131,177,1
132,167,1
132,171,1
132,172,1
132,173,1
133,168,1
133,173,1
133,174,1
134,169,1
134,174,1
134,175,1
135,170,1
135,173,1
135,175,1
135,176,1
135,178,1
135,179,1
135,180,1
135,184,1
135,185,1
135,186,1
136,177,1
137,171,1
137,181,1
137,188,1
137,190,1
137,191,1
138,172,1
138,189,1
145,179,1
145,190,1
146,180,1
147,180,1
147,181,1
148,179,1
148,181,1
149,178,1
152,182,1
153,183,1
158,182,1
159,185,1
159,189,1
159,191,1
160,186,1
160,187,1
160,189,1
161,186,1
161,188,1
161,189,1
162,185,1
162,188,1
162,189,1
163,183,1
163,184,1
163,187,1
163,189,1
167,192,1
168,192,1
173,192,1
