Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,3.0,DiscoveredLabels,3.6666630000000002,31.666654000000005,59.000004,5.666661,0.0
3,3.0,HiddenLabels,11.0,3.0645176,1.5945930000000001,0.5000006,0.0
3,3.0,Lift,0.8433337000000001,1.2138908,0.96928709,0.6516661,0.0
3,3.0,OracleDistribution,2.666664,25.333321,66.00000700000001,5.999994,0.0
3,3.0,OracleLift,0.6133336,0.9711126999999999,1.08428736,0.6899994,0.0
3,3.0,Rappel,11.0,15.833345999999999,15.7999999,9.166666,0.0
3,3.0,SampleDistribution,3.6666630000000002,31.666654000000005,59.000004,5.666661,0.0
6,4.0,DiscoveredLabels,1.833337,30.33333,53.666669,10.833344,3.333338
6,4.0,HiddenLabels,11.0,5.870966599999999,2.9008983,1.9117659,5.0
6,4.0,Lift,0.0,0.9369223,0.9227283,1.3439999999999999,1.4
6,4.0,OracleDistribution,0.0,23.999991,56.0,15.333323,4.666663000000001
6,4.0,OracleLift,0.0,0.7753839,1.06909192,1.2879999999999998,0.98
6,4.0,Rappel,0.0,6.6923057,9.2243145,10.2,10.0
6,4.0,SampleDistribution,0.0,28.999990000000004,48.333330000000004,15.999989000000001,6.666662
9,5.0,DiscoveredLabels,1.2222210000000002,25.333311,57.222232999999996,13.999987,2.22222
9,5.0,HiddenLabels,11.0,7.3548347000000005,4.6396391,3.7058826,5.0
9,5.0,Lift,0.0,1.0733325,0.95525281,1.107035,0.0
9,5.0,OracleDistribution,0.0,12.999991999999999,62.66667600000001,23.999989,0.333333
9,5.0,OracleLift,0.0,0.9099992,0.9305053,1.3066645,0.333333
9,5.0,Rappel,0.0,6.571422,6.7052463,8.755550000000001,1.0
9,5.0,SampleDistribution,0.0,15.333325,64.333343,20.333322,0.0
12,6.0,DiscoveredLabels,0.9166662999999999,21.916671499999996,59.500001000000005,14.5000072,3.1666672
12,6.0,HiddenLabels,11.0,8.4838641,6.432434,5.1176468999999996,9.5
12,6.0,Lift,0.0,1.1958343,0.9713104,0.9371424,1.2299998
12,6.0,OracleDistribution,0.0,9.666657,60.000004,25.333326000000003,4.999996
12,6.0,OracleLift,0.0,0.9908343,0.87857215,1.4838087999999998,1.0249999
12,6.0,Rappel,0.0,8.75,8.0371917,11.081342,9.833333
12,6.0,SampleDistribution,0.0,11.666657,66.333343,15.999994000000001,5.999995
