Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,3.0,DiscoveredLabels,4.333329,23.999989,61.333338000000005,10.333325,0.0
3,3.0,HiddenLabels,13.0,2.3225819,1.657656,0.9117656000000001,0.0
3,3.0,Lift,0.9966670999999999,0.9200014999999999,1.00762051,1.1883325,0.0
3,3.0,OracleDistribution,12.333326,25.999992000000002,43.333327,11.999991,6.333327000000001
3,3.0,OracleLift,2.8366659,0.9966683,0.7119055299999999,1.3799991,6.333327000000001
3,3.0,Rappel,13.0,12.000010999999999,13.1428584,15.5,0.0
3,3.0,SampleDistribution,4.333329,23.999989,61.333338000000005,10.333325,0.0
6,4.0,DiscoveredLabels,2.1666709999999996,26.833333000000003,58.333337,10.500003999999999,2.1666709999999996
6,4.0,HiddenLabels,13.0,5.1935478,3.1531506,1.8529417000000001,3.25
6,4.0,Lift,0.0,0.9584609000000001,1.0563649199999998,0.8959999999999999,0.91
6,4.0,OracleDistribution,7.666659000000001,29.666658,41.666664,11.999993,8.999991
6,4.0,OracleLift,7.666659000000001,0.9584609000000001,0.7954555000000001,1.008,1.89
6,4.0,Rappel,0.0,6.8461514999999995,7.5454582,6.4,6.5
6,4.0,SampleDistribution,0.0,29.666658,55.333338000000005,10.666657,4.333329
9,5.0,DiscoveredLabels,1.444443,20.777759999999997,62.44446,13.888875,1.444443
9,5.0,HiddenLabels,13.0,6.032256199999999,5.0630635,3.6764709,3.25
9,5.0,Lift,0.0,0.6066661000000001,1.0492934200000001,1.1251832,0.0
9,5.0,OracleDistribution,2.9999990000000003,13.666657,50.666665,22.999991,9.666658
9,5.0,OracleLift,2.9999990000000003,0.9566657000000001,0.75232319,1.2522203,9.666658
9,5.0,Rappel,0.0,3.714282,6.424243799999999,6.888882,0.0
9,5.0,SampleDistribution,0.0,8.666661,70.666674,20.666656000000003,0.0
12,6.0,DiscoveredLabels,1.0833329,18.3333384,63.916665,14.6666761,2.0
12,6.0,HiddenLabels,13.0,7.0967696,6.909912100000001,5.176470500000001,6.0
