Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,3.0,DiscoveredLabels,4.666662,29.999987,59.000009,6.333329,0.0
3,3.0,HiddenLabels,14.0,2.9032272999999997,1.5945930000000001,0.558824,0.0
3,3.0,Lift,4.666662,29.999987,59.000009,1.4566665,0.0
3,3.0,OracleDistribution,4.666662,29.999987,59.000009,6.333329,0.0
3,3.0,OracleLift,4.666662,29.999987,59.000009,1.4566665,0.0
3,3.0,Rappel,,,,19.0,0.0
3,3.0,SampleDistribution,4.666662,29.999987,59.000009,6.333329,0.0
6,4.0,DiscoveredLabels,2.333338,32.333333,54.999998999999995,8.666674,1.6666699999999997
6,4.0,HiddenLabels,14.0,6.258062499999999,2.9729703,1.5294125,2.5
6,4.0,Lift,0.0,14.56,50.99999900000001,10.999991999999999,0.034146300000000004
6,4.0,OracleDistribution,0.0,34.666663,50.99999900000001,10.999991999999999,3.33333
6,4.0,OracleLift,0.0,14.56,50.99999900000001,10.999991999999999,0.034146300000000004
6,4.0,Rappel,0.0,104.0,,,0.243902
6,4.0,SampleDistribution,0.0,34.666663,50.99999900000001,10.999991999999999,3.33333
9,5.0,DiscoveredLabels,1.555554,26.222204,58.888899,12.22221,1.11111
9,5.0,HiddenLabels,14.0,7.612896899999999,4.7747747,3.2352951,2.5
9,5.0,Lift,0.0,13.999994000000001,32.666673,19.333323,0.0
9,5.0,OracleDistribution,0.0,13.999994000000001,66.666673,19.333323,0.0
9,5.0,OracleLift,0.0,13.999994000000001,32.666673,19.333323,0.0
9,5.0,Rappel,0.0,,200.0,,0.0
9,5.0,SampleDistribution,0.0,13.999994000000001,66.666673,19.333323,0.0
12,6.0,DiscoveredLabels,1.1666661999999999,21.6666755,61.666667,13.2500079,2.2499995
12,6.0,HiddenLabels,14.0,8.3870887,6.6666684,4.676471,6.75
12,6.0,Lift,0.0,1.6400004000000001,28.699993,3.3483345000000004,0.0645371
12,6.0,OracleDistribution,0.0,7.999995,70.00000700000001,16.333324,5.666661
12,6.0,OracleLift,0.0,1.6400004000000001,28.699993,3.3483345000000004,0.0645371
12,6.0,Rappel,0.0,12.0,210.0,24.5,0.4722226
12,6.0,SampleDistribution,0.0,7.999995,70.00000700000001,16.333324,5.666661
15,7.0,DiscoveredLabels,0.9333338000000001,17.933325500000002,59.466668,19.8666685,1.8000005
15,7.0,HiddenLabels,14.0,8.6774109,8.036037,8.7647062,6.75
15,7.0,Lift,0.0,0.38999970000000006,13.1733204,46.333329000000006,0.0
15,7.0,OracleDistribution,0.0,2.999997,50.66667,46.333329000000006,0.0
15,7.0,OracleLift,0.0,0.38999970000000006,13.1733204,46.333329000000006,0.0
15,7.0,Rappel,0.0,4.5,152.0,,0.0
15,7.0,SampleDistribution,0.0,2.999997,50.66667,46.333329000000006,0.0
18,6.0,DiscoveredLabels,0.7777784,16.7777844,60.888889,19.1666712,2.3888906
18,6.0,HiddenLabels,14.0,9.7419258,9.87387,10.1470626,10.75
18,6.0,Lift,0.0,2.4700019,29.766661,3.1666686,0.06063676
18,6.0,OracleDistribution,0.0,10.999991,68.000009,15.666657,5.333329
18,6.0,OracleLift,0.0,2.4700019,29.766661,3.1666686,0.06063676
18,6.0,Rappel,0.0,23.5,213.0,29.5,7.8055538
18,6.0,SampleDistribution,0.0,10.999991,68.000009,15.666657,5.333329
21,5.0,DiscoveredLabels,0.666666,16.1428427,62.190498,18.952363000000002,2.0476172
21,5.0,HiddenLabels,14.0,10.9354706,11.7657565,11.705887299999999,10.75
21,5.0,Lift,0.0,12.333324,34.720009,17.666655000000002,0.0
21,5.0,OracleDistribution,0.0,12.333324,70.000009,17.666655000000002,0.0
21,5.0,OracleLift,0.0,12.333324,34.720009,17.666655000000002,0.0
21,5.0,Rappel,0.0,,218.0,,6.0833336
21,5.0,SampleDistribution,0.0,12.333324,70.000009,17.666655000000002,0.0
24,4.0,DiscoveredLabels,0.5833338,17.5833336,60.999997,18.4166686,2.4166678
24,4.0,HiddenLabels,14.0,13.6128866,13.189177200000001,13.0000042,14.5
24,4.0,Lift,0.0,11.806665,52.666667000000004,14.666656,0.05105259
24,4.0,OracleDistribution,0.0,27.666657,52.666667000000004,14.666656,4.999995
24,4.0,OracleLift,0.0,11.806665,52.666667000000004,14.666656,0.05105259
24,4.0,Rappel,0.0,92.0,,,7.463412399999999
24,4.0,SampleDistribution,0.0,27.666657,52.666667000000004,14.666656,4.999995
27,3.0,DiscoveredLabels,1.0370359999999998,18.7036855,60.740765,17.3703535,2.1481467
27,3.0,HiddenLabels,28.0,16.2903025,14.774760100000002,13.794120499999998,14.5
27,3.0,Lift,4.666662,27.666654000000005,58.66667600000001,2.3333331,0.0
27,3.0,OracleDistribution,4.666662,27.666654000000005,58.66667600000001,8.999992,0.0
27,3.0,OracleLift,4.666662,27.666654000000005,58.66667600000001,2.3333331,0.0
27,3.0,Rappel,,,,46.0,12.7727569
27,3.0,SampleDistribution,4.666662,27.666654000000005,58.66667600000001,8.999992,0.0
30,4.0,DiscoveredLabels,0.9333324000000001,20.1999967,59.766664,16.5666641,2.5333324
30,4.0,HiddenLabels,28.0,19.5483681,16.153137,14.6176523,19.0
30,4.0,Lift,0.0,15.32,51.000002,9.333325,0.061619020000000004
30,4.0,OracleDistribution,0.0,33.666657,51.000002,9.333325,5.999994
30,4.0,OracleLift,0.0,15.32,51.000002,9.333325,0.061619020000000004
30,4.0,Rappel,0.0,117.0,,,14.682897
30,4.0,SampleDistribution,0.0,33.666657,51.000002,9.333325,5.999994
33,5.0,DiscoveredLabels,0.848484,19.3030114,60.969727000000006,16.575742299999998,2.3030296
33,5.0,HiddenLabels,28.0,20.548372800000003,18.126108000000002,16.0882407,19.0
33,5.0,Lift,0.0,10.333325,38.230009,16.666659000000003,0.0
33,5.0,OracleDistribution,0.0,10.333325,73.000009,16.666659000000003,0.0
33,5.0,OracleLift,0.0,10.333325,38.230009,16.666659000000003,0.0
33,5.0,Rappel,0.0,,236.0,,12.145839
33,5.0,SampleDistribution,0.0,10.333325,73.000009,16.666659000000003,0.0
36,6.0,DiscoveredLabels,0.7777784,18.4722213,61.500005,16.6666625,2.583335
36,6.0,HiddenLabels,28.0,21.4516018,19.945926,17.6470613,23.25
36,6.0,Lift,0.0,2.2750035,29.416660999999998,4.5166713000000005,0.0642529
36,6.0,OracleDistribution,0.0,9.333325,67.333343,17.666659000000003,5.666661
36,6.0,OracleLift,0.0,2.2750035,29.416660999999998,4.5166713000000005,0.0642529
36,6.0,Rappel,0.0,32.0,217.0,37.0,15.138905599999998
36,6.0,SampleDistribution,0.0,9.333325,67.333343,17.666659000000003,5.666661
39,7.0,DiscoveredLabels,0.7179479999999999,17.3589573,60.692341,18.846135399999998,2.3846151
39,7.0,HiddenLabels,28.0,21.838699599999998,21.324303,21.6176502,23.25
39,7.0,Lift,0.0,0.498333,15.0666543,44.999997,0.0
39,7.0,OracleDistribution,0.0,3.999996,51.00000300000001,44.999997,0.0
39,7.0,OracleLift,0.0,0.498333,15.0666543,44.999997,0.0
39,7.0,Rappel,0.0,14.0,163.0,,11.913059599999999
39,7.0,SampleDistribution,0.0,3.999996,51.00000300000001,44.999997,0.0
42,6.0,DiscoveredLabels,0.666666,16.8809591,61.26191300000001,18.595247299999997,2.5952362
42,6.0,HiddenLabels,28.0,22.8709606,23.180156999999998,22.9705893,27.25
42,6.0,Lift,0.0,2.8533355,33.759998,2.9333375,0.060869660000000006
42,6.0,OracleDistribution,0.0,10.666659,68.66667600000001,15.333324,5.333328
42,6.0,OracleLift,0.0,2.8533355,33.759998,2.9333375,0.060869660000000006
42,6.0,Rappel,0.0,45.0,231.0,41.5,22.111094
42,6.0,SampleDistribution,0.0,10.666659,68.66667600000001,15.333324,5.333328
45,5.0,DiscoveredLabels,0.6222216,16.6888917,61.888891,18.3777784,2.4222205
45,5.0,HiddenLabels,28.0,24.225807500000002,25.090065,24.3235283,27.25
45,5.0,Lift,0.0,13.999991,38.466674,15.333322,0.0
45,5.0,OracleDistribution,0.0,13.999991,70.666674,15.333322,0.0
45,5.0,OracleLift,0.0,13.999991,38.466674,15.333322,0.0
45,5.0,Rappel,0.0,,236.0,,18.250008
45,5.0,SampleDistribution,0.0,13.999991,70.666674,15.333322,0.0
48,4.0,DiscoveredLabels,0.5833324000000001,17.5000043,61.375002,17.9583326,2.5833328
48,4.0,HiddenLabels,28.0,27.0967914,26.540514,25.352937299999997,31.0
48,4.0,Lift,0.0,14.479997000000001,53.666667000000004,11.666658,0.05104165
48,4.0,OracleDistribution,0.0,29.666661000000005,53.666667000000004,11.666658,4.999995
48,4.0,OracleLift,0.0,14.479997000000001,53.666667000000004,11.666658,0.05104165
48,4.0,Rappel,0.0,111.0,,,21.78047
48,4.0,SampleDistribution,0.0,29.666661000000005,53.666667000000004,11.666658,4.999995
51,3.0,DiscoveredLabels,0.7647042000000001,17.9215717,61.431376,17.450977299999998,2.431371
51,3.0,HiddenLabels,39.0,29.4838912,28.225197,26.176466299999998,31.0
51,3.0,Lift,3.6666630000000002,24.666655000000002,62.33334000000001,3.2466656,0.0
51,3.0,OracleDistribution,3.6666630000000002,24.666655000000002,62.33334000000001,9.333327,0.0
51,3.0,OracleLift,3.6666630000000002,24.666655000000002,62.33334000000001,3.2466656,0.0
51,3.0,Rappel,,,,55.0,26.045441999999998
51,3.0,SampleDistribution,3.6666630000000002,24.666655000000002,62.33334000000001,9.333327,0.0
54,4.0,DiscoveredLabels,0.7222215,18.5185262,61.148163000000004,17.0926011,2.518517
54,4.0,HiddenLabels,39.0,32.2580862,29.747718,27.1470493,34.0
54,4.0,Lift,0.0,14.666663000000002,56.333336,10.999991999999999,0.040919559999999994
54,4.0,OracleDistribution,0.0,28.666655000000002,56.333336,10.999991999999999,3.999996
54,4.0,OracleLift,0.0,14.666663000000002,56.333336,10.999991999999999,0.040919559999999994
54,4.0,Rappel,0.0,115.0,,,28.85367
54,4.0,SampleDistribution,0.0,28.666655000000002,56.333336,10.999991999999999,3.999996
57,5.0,DiscoveredLabels,0.6842121,18.245613900000002,61.47368900000001,17.210523600000002,2.3859661
57,5.0,HiddenLabels,39.0,33.5484102,31.567536,28.852936,34.0
57,5.0,Lift,0.0,13.333322,37.513343,19.333324,0.0
57,5.0,OracleDistribution,0.0,13.333322,67.333343,19.333324,0.0
57,5.0,OracleLift,0.0,13.333322,37.513343,19.333324,0.0
57,5.0,Rappel,0.0,,232.0,,24.375009999999996
57,5.0,SampleDistribution,0.0,13.333322,67.333343,19.333324,0.0
60,6.0,DiscoveredLabels,0.6500013,18.000001,61.700002000000005,17.1000006,2.5500001
60,6.0,HiddenLabels,39.0,34.8387352,33.351318,30.176468,38.25
60,6.0,Lift,0.0,4.2766646,33.8133288,3.9483322,0.06445275
60,6.0,OracleDistribution,0.0,13.333325,66.000004,14.99999,5.666662
60,6.0,OracleLift,0.0,4.2766646,33.8133288,3.9483322,0.06445275
60,6.0,Rappel,0.0,56.0,228.0,48.0,29.555569000000002
60,6.0,SampleDistribution,0.0,13.333325,66.000004,14.99999,5.666662
63,7.0,DiscoveredLabels,0.619047,17.3015701,61.539719000000005,18.1110932,2.4285693999999998
63,7.0,HiddenLabels,39.0,35.1613152,34.927893,33.558819,38.25
63,7.0,Lift,0.0,0.3666664,26.5999934,38.333325,0.0
63,7.0,OracleDistribution,0.0,3.33333,58.33334000000001,38.333325,0.0
63,7.0,OracleLift,0.0,0.3666664,26.5999934,38.333325,0.0
63,7.0,Rappel,0.0,23.5,203.0,,23.260876
63,7.0,SampleDistribution,0.0,3.33333,58.33334000000001,38.333325,0.0
66,6.0,DiscoveredLabels,0.5909085000000001,16.9242482,61.848495,18.1363721,2.4999979
66,6.0,HiddenLabels,39.0,36.032282,36.774738,35.205881,41.25
66,6.0,Lift,0.0,2.9366651999999998,37.0066599,5.0899971,0.045837260000000005
66,6.0,OracleDistribution,0.0,8.999993,68.333341,18.666654,3.999997
66,6.0,OracleLift,0.0,2.9366651999999998,37.0066599,5.0899971,0.045837260000000005
66,6.0,Rappel,0.0,60.0,239.0,58.5,36.777777
66,6.0,SampleDistribution,0.0,8.999993,68.333341,18.666654,3.999997
69,5.0,DiscoveredLabels,0.5652191999999999,16.8550745,62.115938,18.0724785,2.391306
69,5.0,HiddenLabels,39.0,37.516151,38.612574,36.676472,41.25
69,5.0,Lift,0.0,15.333323,37.420007,16.666656,0.0
69,5.0,OracleDistribution,0.0,15.333323,68.00000700000001,16.666656,0.0
69,5.0,OracleLift,0.0,15.333323,37.420007,16.666656,0.0
69,5.0,Rappel,0.0,,237.0,,30.562511
69,5.0,SampleDistribution,0.0,15.333323,68.00000700000001,16.666656,0.0
72,4.0,DiscoveredLabels,0.5416671,17.4861166,61.666665,17.791669199999998,2.5138909
72,4.0,HiddenLabels,39.0,40.61292,39.99996,37.67647,45.25
72,4.0,Lift,0.0,16.913331,51.333330000000004,11.333326999999999,0.05423076
72,4.0,OracleDistribution,0.0,31.999996,51.333330000000004,11.333326999999999,5.333330000000001
72,4.0,OracleLift,0.0,16.913331,51.333330000000004,11.333326999999999,0.05423076
72,4.0,Rappel,0.0,133.0,,,36.073181
72,4.0,SampleDistribution,0.0,31.999996,51.333330000000004,11.333326999999999,5.333330000000001
75,3.0,DiscoveredLabels,0.6799982999999998,17.9333353,61.653335,17.3199993,2.4133335
75,3.0,HiddenLabels,51.0,43.387109,41.657619000000004,38.205879,45.25
75,3.0,Lift,3.999996,28.666654000000005,61.333342,4.2799962,0.0
75,3.0,OracleDistribution,3.999996,28.666654000000005,61.333342,5.999994,0.0
75,3.0,OracleLift,3.999996,28.666654000000005,61.333342,4.2799962,0.0
75,3.0,Rappel,,,,57.0,39.136355
75,3.0,SampleDistribution,3.999996,28.666654000000005,61.333342,5.999994,0.0
78,4.0,DiscoveredLabels,0.6538454999999999,18.4487296,61.141040000000004,17.2435966,2.5128185
78,4.0,HiddenLabels,51.0,46.419361,42.963924,39.558819,49.0
78,4.0,Lift,0.0,17.906662,48.333329000000006,15.333322,0.05159418
78,4.0,OracleDistribution,0.0,31.333326000000003,48.333329000000006,15.333322,4.999995
78,4.0,OracleLift,0.0,17.906662,48.333329000000006,15.333322,0.05159418
78,4.0,Rappel,0.0,138.0,,,43.195101
78,4.0,SampleDistribution,0.0,31.333326000000003,48.333329000000006,15.333322,4.999995
81,5.0,DiscoveredLabels,0.6296307,18.2839564,61.283955000000006,17.3827224,2.4197539
