Source,Target
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
1,9
3,10
3,12
3,13
4,11
5,14
6,13
7,27
8,22
9,92
9,93
9,95
9,96
9,97
9,98
9,99
9,100
9,101
9,102
9,103
9,104
9,31
9,32
9,33
9,34
10,15
10,16
10,17
10,18
10,20
10,21
11,23
12,16
12,17
12,24
12,25
13,19
14,26
15,35
16,28
16,35
16,40
16,43
17,29
17,35
17,41
17,44
18,30
18,42
18,45
18,46
18,47
19,36
19,48
19,49
21,148
21,241
21,242
21,243
21,269
21,50
22,37
23,38
24,40
24,41
24,51
24,52
24,53
25,117
25,234
25,39
25,51
25,52
25,53
25,55
25,56
25,57
25,58
25,59
25,60
25,61
25,62
25,63
25,64
25,65
25,66
25,67
25,68
25,69
26,771
26,141
26,224
26,225
26,226
26,227
26,54
28,76
28,90
28,119
28,149
29,503
29,76
29,91
29,862
29,122
29,1069
29,1070
29,1071
30,492
30,561
30,562
30,123
30,150
30,187
31,127
31,154
31,172
31,191
31,204
31,208
32,378
32,379
32,386
32,427
32,429
32,432
32,435
32,462
32,463
32,464
32,465
32,484
32,485
32,486
32,487
32,520
32,522
32,524
32,538
32,539
32,540
32,555
32,556
32,557
32,570
32,572
32,582
32,583
32,596
32,597
32,615
32,617
32,632
32,633
32,652
32,653
32,70
32,73
32,77
32,78
32,79
32,80
32,88
32,89
32,105
32,124
32,125
32,126
32,128
32,129
32,130
32,151
32,152
32,153
32,155
32,156
32,157
32,169
32,170
32,171
32,173
32,174
32,175
32,188
32,189
32,190
32,192
32,193
32,194
32,205
32,206
32,207
32,209
33,382
33,383
33,385
33,428
33,430
33,434
33,436
33,470
33,471
33,472
33,473
33,480
33,481
33,482
33,483
33,521
33,523
33,525
33,545
33,546
33,547
33,552
33,553
33,554
33,571
33,573
33,588
33,589
33,594
33,595
33,616
33,618
33,642
33,643
33,650
33,651
33,71
33,74
33,81
33,82
33,83
33,84
33,86
33,87
33,106
33,131
33,132
33,133
33,136
33,137
33,138
33,158
33,159
33,160
33,163
33,164
33,165
33,176
33,177
33,178
33,181
33,182
33,183
33,195
33,196
33,197
33,200
33,201
33,202
33,210
33,211
33,212
33,214
34,72
34,75
34,85
34,134
34,135
34,139
34,161
34,162
34,166
34,179
34,180
34,184
34,198
34,199
34,203
34,213
35,76
35,901
35,142
35,1096
35,1097
35,1098
36,94
36,167
36,168
36,218
36,219
36,220
36,221
36,222
36,223
37,185
37,186
38,1410
38,1471
38,1472
38,1531
38,1532
38,1533
38,1619
38,396
38,397
38,398
38,399
38,400
38,401
38,402
38,403
38,404
38,405
38,406
38,414
38,415
38,416
38,420
38,421
38,422
38,423
38,424
38,425
38,488
38,706
38,707
38,708
38,709
38,710
38,711
38,712
38,713
38,714
38,715
38,716
38,717
38,718
38,719
38,720
38,721
38,722
38,723
38,724
38,725
38,726
38,727
38,728
38,729
38,730
38,731
38,732
38,733
38,734
38,741
38,742
38,744
38,786
38,787
38,788
38,789
38,790
38,791
38,795
38,796
38,797
38,798
38,799
38,803
38,805
38,807
38,808
38,809
38,811
38,813
38,814
38,815
38,816
38,817
38,818
38,819
38,820
38,821
38,822
38,824
38,826
38,827
38,828
38,829
38,830
38,831
38,837
38,946
38,947
38,948
38,949
38,950
38,951
38,952
38,953
38,954
38,955
38,956
38,957
38,958
38,959
38,960
38,961
38,962
38,963
38,964
38,965
38,966
38,967
38,968
38,969
38,970
38,971
38,972
38,973
38,107
38,108
38,109
38,110
38,111
38,112
38,113
38,114
38,115
38,116
38,140
39,439
39,229
39,230
39,235
39,236
39,237
39,238
39,239
39,240
39,253
39,254
39,255
39,260
39,261
39,262
40,118
40,119
40,142
40,245
40,246
40,247
41,120
41,122
41,142
41,249
41,250
41,251
42,121
42,123
42,231
42,232
42,233
42,252
42,257
42,258
42,259
42,264
42,265
42,266
43,143
43,145
43,149
43,244
43,246
43,247
43,270
43,271
43,272
44,144
44,146
44,248
44,250
44,251
44,273
44,274
44,275
45,858
45,859
45,861
45,865
45,867
45,147
45,150
45,1275
45,1276
45,1277
45,1282
45,1283
45,1284
45,1285
45,1286
45,1290
45,1291
45,1292
45,1353
45,1357
45,1358
45,1359
45,1364
45,1371
45,1372
45,1386
45,1393
45,1394
45,276
45,277
45,278
45,280
45,281
45,282
45,284
45,285
45,286
46,1613
46,1724
46,256
46,258
46,259
46,279
46,281
46,282
47,187
47,263
47,265
47,266
47,283
47,285
47,286
48,1034
48,215
48,216
48,218
48,1311
48,1312
48,1316
48,1395
48,1400
48,267
48,268
48,287
48,288
48,289
48,290
48,291
48,293
48,294
48,295
49,662
49,1045
49,1046
49,1253
49,217
49,219
49,221
49,1313
49,1314
49,1396
49,289
49,290
49,292
51,296
51,298
52,228
52,229
52,230
52,297
52,299
55,300
55,307
55,308
55,309
55,310
55,311
55,314
55,316
55,317
55,322
55,324
55,325
55,329
55,331
55,338
55,339
55,340
55,341
55,342
55,343
56,840
56,234
56,235
56,236
56,301
56,310
56,311
56,312
56,315
56,318
56,323
56,326
56,330
56,332
56,344
56,347
56,357
57,237
57,302
57,313
57,314
57,319
57,333
57,345
57,346
58,841
58,296
58,297
58,303
58,316
58,317
58,318
58,319
58,320
58,334
58,348
58,360
58,361
58,362
58,363
59,240
59,304
59,321
59,322
59,323
59,335
59,349
59,350
59,351
61,238
61,298
61,299
61,305
61,324
61,325
61,326
61,327
61,336
61,352
61,364
61,365
61,366
62,239
62,306
62,328
62,329
62,330
62,337
62,353
62,354
62,355
65,253
65,254
66,255
67,339
67,340
67,346
67,350
67,354
67,356
67,357
67,360
67,361
67,364
67,365
68,974
68,975
68,1374
68,260
68,261
68,341
68,342
68,347
68,351
68,355
68,358
68,362
68,366
69,262
69,343
69,359
69,363
70,367
70,369
70,375
70,377
70,418
70,512
70,513
70,514
70,518
70,607
70,608
70,609
70,613
71,368
71,370
71,376
71,381
71,419
71,515
71,516
71,517
71,519
71,610
71,611
71,612
71,614
73,371
73,373
73,431
73,442
73,444
73,447
73,526
73,527
73,528
73,533
73,535
73,574
73,575
73,576
73,580
73,619
73,620
73,621
73,625
73,627
74,372
74,374
74,433
74,448
74,449
74,450
74,529
74,530
74,531
74,534
74,536
74,577
74,578
74,579
74,581
74,622
74,623
74,624
74,626
74,628
76,387
76,1562
76,454
76,1702
76,1703
79,369
79,373
79,380
79,466
79,467
79,468
79,469
79,477
79,541
79,542
79,543
79,544
79,584
79,585
79,586
79,587
79,634
79,635
79,636
79,641
79,648
83,370
83,374
83,384
83,474
83,475
83,476
83,478
83,479
83,548
83,549
83,550
83,551
83,590
83,591
83,592
83,593
83,644
83,645
83,646
83,647
83,649
90,387
90,489
90,560
91,1424
91,1426
91,387
91,1586
91,491
91,1709
91,1710
92,1404
92,1405
92,1427
92,1428
92,1429
92,1573
92,1574
92,1575
92,1576
92,1577
92,1782
92,1783
92,1784
95,391
95,630
95,637
95,668
95,683
95,689
95,697
95,699
96,1406
96,1407
96,1433
