Source,Target,Distance
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
1,9,1
2,10,1
2,11,1
3,12,1
3,14,1
3,16,1
4,13,1
5,19,1
6,15,1
6,16,1
7,17,1
8,18,1
9,20,1
12,21,1
12,22,1
12,23,1
12,24,1
12,26,1
12,27,1
13,29,1
14,22,1
14,23,1
14,31,1
14,32,1
16,25,1
17,34,1
18,28,1
19,30,1
19,33,1
20,35,1
20,39,1
20,40,1
20,41,1
20,42,1
21,43,1
22,36,1
22,43,1
22,50,1
22,55,1
23,37,1
23,43,1
23,51,1
23,56,1
24,38,1
24,52,1
24,57,1
24,58,1
24,59,1
25,44,1
25,60,1
25,61,1
26,53,1
27,54,1
27,62,1
28,45,1
29,46,1
30,47,1
30,64,1
30,65,1
31,50,1
31,51,1
31,66,1
31,67,1
31,68,1
32,48,1
32,49,1
32,66,1
32,67,1
32,68,1
32,75,1
32,76,1
32,77,1
32,78,1
32,79,1
32,80,1
32,81,1
32,82,1
32,83,1
32,84,1
32,85,1
32,86,1
32,87,1
32,88,1
32,89,1
32,90,1
33,47,1
33,69,1
33,70,1
33,71,1
33,72,1
33,73,1
33,74,1
34,63,1
35,128,1
35,129,1
35,131,1
35,132,1
35,133,1
35,134,1
35,135,1
35,136,1
35,137,1
35,138,1
35,139,1
35,140,1
36,100,1
36,125,1
36,169,1
36,201,1
37,100,1
37,126,1
37,172,1
37,202,1
38,127,1
38,173,1
38,203,1
38,224,1
38,244,1
39,115,1
39,177,1
39,207,1
39,228,1
39,248,1
39,261,1
39,265,1
40,91,1
40,94,1
40,97,1
40,101,1
40,102,1
40,103,1
40,104,1
40,105,1
40,106,1
40,120,1
40,121,1
40,122,1
40,123,1
40,141,1
40,142,1
40,174,1
40,175,1
40,176,1
40,178,1
40,179,1
40,180,1
40,204,1
40,205,1
40,206,1
40,208,1
40,209,1
40,210,1
40,225,1
40,226,1
40,227,1
40,229,1
40,230,1
40,231,1
40,245,1
40,246,1
40,247,1
40,249,1
40,250,1
40,251,1
40,262,1
40,263,1
40,264,1
40,266,1
41,92,1
41,95,1
41,98,1
41,107,1
41,108,1
41,109,1
41,110,1
41,112,1
41,113,1
41,116,1
41,117,1
41,118,1
41,119,1
41,143,1
41,144,1
41,181,1
41,182,1
41,183,1
41,186,1
41,187,1
41,188,1
41,211,1
41,212,1
41,213,1
41,216,1
41,217,1
41,218,1
41,232,1
41,233,1
41,234,1
41,237,1
41,238,1
41,239,1
41,252,1
41,253,1
41,254,1
41,257,1
41,258,1
41,259,1
41,267,1
41,268,1
41,269,1
41,271,1
42,93,1
42,96,1
42,99,1
42,111,1
42,114,1
42,124,1
42,184,1
42,185,1
42,189,1
42,214,1
42,215,1
42,219,1
42,235,1
42,236,1
42,240,1
42,255,1
42,256,1
42,260,1
42,270,1
43,100,1
43,194,1
43,220,1
44,130,1
44,221,1
44,222,1
44,277,1
44,278,1
44,279,1
44,280,1
44,281,1
44,282,1
45,241,1
45,242,1
46,145,1
46,146,1
46,147,1
46,148,1
46,149,1
46,150,1
46,151,1
46,152,1
46,153,1
46,154,1
46,155,1
46,156,1
46,157,1
46,158,1
46,159,1
46,160,1
46,161,1
46,162,1
46,163,1
46,190,1
46,191,1
47,164,1
47,165,1
47,192,1
47,285,1
47,286,1
47,288,1
47,289,1
47,290,1
47,291,1
48,166,1
48,167,1
48,296,1
48,297,1
48,303,1
48,304,1
48,305,1
48,306,1
48,307,1
48,308,1
48,332,1
48,333,1
48,334,1
48,344,1
48,345,1
48,346,1
49,166,1
49,193,1
49,298,1
49,299,1
49,309,1
49,310,1
49,311,1
49,312,1
49,313,1
49,314,1
49,335,1
49,336,1
49,337,1
49,347,1
49,348,1
49,349,1
50,168,1
50,169,1
50,194,1
50,319,1
50,320,1
50,321,1
51,170,1
51,172,1
51,194,1
51,323,1
51,324,1
51,325,1
52,171,1
52,173,1
52,300,1
52,301,1
52,302,1
52,327,1
52,328,1
52,329,1
52,339,1
52,340,1
52,341,1
52,351,1
52,352,1
52,353,1
54,200,1
54,315,1
54,316,1
54,317,1
54,359,1
54,360,1
54,361,1
55,195,1
55,197,1
55,201,1
55,220,1
55,318,1
55,320,1
55,321,1
55,362,1
55,363,1
55,364,1
56,196,1
56,198,1
56,202,1
56,220,1
56,322,1
56,324,1
56,325,1
56,365,1
56,366,1
56,367,1
57,199,1
57,203,1
57,326,1
57,328,1
57,329,1
57,368,1
57,369,1
57,370,1
57,372,1
57,373,1
57,374,1
57,376,1
57,377,1
57,378,1
58,223,1
58,224,1
58,338,1
58,340,1
58,341,1
58,371,1
58,373,1
58,374,1
59,243,1
59,244,1
59,350,1
59,352,1
59,353,1
59,375,1
59,377,1
59,378,1
60,272,1
60,274,1
60,275,1
60,277,1
60,354,1
60,356,1
60,357,1
60,379,1
60,380,1
60,381,1
60,382,1
60,383,1
60,385,1
60,386,1
60,387,1
61,273,1
61,276,1
61,278,1
61,280,1
61,355,1
61,381,1
61,382,1
61,384,1
62,358,1
62,359,1
62,361,1
64,289,1
64,290,1
66,388,1
66,389,1
66,390,1
66,393,1
66,395,1
67,295,1
67,296,1
67,297,1
67,298,1
67,299,1
67,391,1
67,392,1
67,394,1
67,396,1
67,398,1
69,283,1
69,285,1
69,286,1
69,292,1
70,284,1
70,293,1
71,287,1
71,288,1
71,289,1
71,294,1
75,389,1
75,397,1
75,398,1
75,405,1
75,406,1
75,407,1
75,408,1
75,409,1
75,412,1
75,414,1
75,415,1
75,420,1
75,422,1
75,423,1
75,427,1
75,429,1
75,430,1
75,431,1
75,432,1
75,433,1
75,434,1
75,447,1
75,448,1
75,449,1
75,450,1
75,451,1
75,452,1
76,303,1
76,304,1
76,309,1
76,310,1
76,390,1
76,392,1
76,399,1
76,408,1
76,409,1
76,410,1
76,413,1
76,416,1
76,421,1
76,424,1
76,428,1
76,435,1
76,438,1
76,453,1
76,456,1
76,466,1
76,477,1
77,305,1
77,311,1
77,400,1
77,411,1
77,412,1
77,417,1
77,436,1
77,437,1
77,454,1
77,455,1
78,306,1
78,393,1
78,394,1
78,401,1
78,414,1
78,415,1
78,416,1
78,417,1
78,418,1
78,439,1
78,457,1
78,469,1
78,470,1
78,471,1
78,472,1
78,480,1
78,481,1
78,482,1
78,483,1
79,307,1
79,314,1
79,402,1
79,419,1
79,420,1
79,421,1
79,440,1
79,441,1
79,442,1
79,458,1
79,459,1
79,460,1
81,312,1
81,395,1
81,396,1
81,403,1
81,422,1
81,423,1
81,424,1
81,425,1
81,443,1
81,461,1
81,473,1
81,474,1
81,475,1
81,484,1
81,485,1
81,486,1
82,308,1
82,313,1
82,404,1
82,426,1
82,427,1
82,428,1
82,444,1
82,445,1
82,446,1
82,462,1
82,463,1
82,464,1
85,430,1
85,431,1
85,437,1
85,441,1
85,445,1
85,465,1
85,466,1
85,469,1
85,470,1
85,473,1
85,474,1
86,330,1
86,332,1
86,333,1
86,335,1
86,336,1
86,432,1
86,433,1
