Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,3.0,DiscoveredLabels,0.0,29.333316,70.666684,0.0,0.0
3,3.0,HiddenLabels,0.0,0.4074064,0.27748552,0.0,0.0
3,3.0,Lift,0.0,0.88,1.06,0.0,0.0
3,3.0,OracleDistribution,0.0,22.666652,77.333348,0.0,0.0
3,3.0,OracleLift,0.0,0.68,1.16,0.0,0.0
3,3.0,Rappel,0.0,44.0,58.200001,0.0,0.0
3,3.0,SampleDistribution,0.0,29.333316,70.666684,0.0,0.0
6,4.0,DiscoveredLabels,15.333345999999999,17.666677,54.333331,4.833343,7.833345
6,4.0,HiddenLabels,2.5555573999999996,0.49074016,0.42670121,0.08978342,0.8392841
6,4.0,Lift,0.9966653999999999,0.7799994000000001,0.9879992400000001,1.2566657,1.0183345
6,4.0,OracleDistribution,24.666652,5.333328,38.999992999999996,17.666656,13.333322
6,4.0,OracleLift,0.8016652,0.6933328,1.01399923,2.2966656,0.8666677999999999
6,4.0,Rappel,23.0,18.0,27.319045000000003,37.5,23.5
6,4.0,SampleDistribution,30.666654000000005,5.999994,37.999992,9.666657,15.666655
9,5.0,DiscoveredLabels,13.888876,18.444426,52.111112000000006,5.666661,9.888879000000001
9,5.0,HiddenLabels,3.4722242,0.7685187600000001,0.61387499,0.15789502,1.5892841999999998
9,5.0,Lift,1.155,0.9333353,1.05368298,0.77,0.9799989000000001
9,5.0,OracleDistribution,8.999992,15.666655,53.333336,8.333326000000001,13.666656
9,5.0,OracleLift,0.945,0.7311128000000001,1.1789458400000001,0.875,0.9566656
9,5.0,Rappel,8.25,6.66666,9.9481186,6.85,7.285725
9,5.0,SampleDistribution,10.999993,19.999987,47.666664,7.333327000000001,13.999989000000001
12,6.0,DiscoveredLabels,11.833340699999999,20.750006499999998,47.666669,10.3333414,9.4166715
12,6.0,HiddenLabels,3.9444464,1.15277811,0.7486913300000001,0.38390187,2.0178554
12,6.0,Lift,1.051875,1.2083807,0.8497499999999999,1.047391,0.99
12,6.0,OracleDistribution,3.999996,20.666654000000005,43.333325,25.666657,6.333328
12,6.0,OracleLift,0.7425,0.9026458,1.0725,1.1047821999999998,0.78375
12,6.0,Rappel,1.0625,1.2205894000000002,1.31627844,1.3118198,1.0400006
12,6.0,SampleDistribution,5.666661,27.666654000000005,34.333329000000006,24.333325,7.999994
15,7.0,DiscoveredLabels,9.799992199999998,18.466664,50.199997999999994,13.5999903,7.9333285
15,7.0,HiddenLabels,4.0833352000000005,1.28240748,0.98560215,0.63158026,2.1249983
15,7.0,Lift,1.44028,0.7116674999999999,1.0156742699999999,1.110576,0.8641679999999999
15,7.0,OracleDistribution,1.333332,7.66666,60.666669,28.333328,1.999998
15,7.0,OracleLift,1.152224,0.584584,1.02128583,1.179987,0.8641679999999999
15,7.0,Rappel,0.41666650000000005,0.20588234,0.33907004999999996,0.41683621000000004,0.33000019999999997
15,7.0,SampleDistribution,1.666665,9.333325,60.333336,26.666661000000005,1.999998
18,6.0,DiscoveredLabels,9.1666688,19.722225599999998,48.888887999999994,14.277781399999999,7.944445399999999
18,6.0,HiddenLabels,4.5833352000000005,1.6435178,1.15183215,0.7956669500000001,2.55357
18,6.0,Lift,1.1106666,1.1366869,1.0463456599999998,0.7596904999999999,0.9888763
18,6.0,OracleDistribution,5.333328,22.999987,44.333333,19.666657,7.666661
18,6.0,OracleLift,0.9881666,1.0056837,1.09575874,0.8459585,0.948043
18,6.0,Rappel,2.1875,2.3676485,2.15904856,2.0354344,2.0366676
18,6.0,SampleDistribution,5.999994,25.999985000000002,42.333330000000004,17.666657,7.999994
21,5.0,DiscoveredLabels,9.0952323,19.714267,48.761900000000004,13.809512999999999,8.6190417
21,5.0,HiddenLabels,5.3055568,1.91666593,1.34031365,0.8978341400000001,3.2321416
21,5.0,Lift,0.9208332,0.9192847000000001,1.06441041,1.1483332,0.894834
21,5.0,OracleDistribution,7.333328,14.99999,53.666669,13.999991,9.999993
21,5.0,OracleLift,0.7799999,0.7039078999999999,1.19638392,1.4841665,0.6976671999999999
21,5.0,Rappel,14.75,13.222209,17.165207,15.75,13.452392
21,5.0,SampleDistribution,8.666661,19.666656,48.0,10.999991999999999,12.666658
24,4.0,DiscoveredLabels,11.6666674,18.1666715,47.54166599999999,13.1250017,9.500001300000001
24,4.0,HiddenLabels,7.7777784,2.0185175699999998,1.49345492,0.97523348,4.0714278
24,4.0,Lift,0.96111119,0.7333326,1.00222219,0.8333325,0.9500006000000001
24,4.0,OracleDistribution,23.999983999999998,5.666661,43.333332,14.666653000000002,12.333323
24,4.0,OracleLift,0.7833334200000001,0.5666661000000001,1.13111107,3.5666632000000003,0.7666671
24,4.0,Rappel,45.25,40.0,49.509525000000004,59.5,47.0
