Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,3.0,DiscoveredLabels,0.0,30.333318000000006,69.666682,0.0,0.0
3,3.0,HiddenLabels,0.0,0.42129541000000004,0.27355894,0.0,0.0
3,3.0,Lift,0.0,0.91,1.045,0.0,0.0
3,3.0,OracleDistribution,0.0,41.999984000000005,24.666642000000003,33.3333,0.0
3,3.0,OracleLift,0.0,1.26,0.37,33.3333,0.0
3,3.0,Rappel,0.0,45.5,52.25,0.0,0.0
3,3.0,SampleDistribution,0.0,30.333318000000006,69.666682,0.0,0.0
6,4.0,DiscoveredLabels,15.500012,18.666675,53.500004,4.000007999999999,8.333347
6,4.0,HiddenLabels,2.5833350999999998,0.51851808,0.42015678,0.07430352,0.8928552999999999
6,4.0,Lift,1.0074987999999998,0.9099993000000001,0.97066593,1.0399992,1.0833347
6,4.0,OracleDistribution,22.999986,26.99998,11.333322,25.999975,12.666656
6,4.0,OracleLift,0.7474986,3.509998,0.29466677999999996,3.3799975,0.8233343999999999
6,4.0,Rappel,23.25,21.0,22.4,24.0,25.0
6,4.0,SampleDistribution,30.999988000000002,6.999993000000001,37.333326,7.999992,16.666653
9,5.0,DiscoveredLabels,13.444432,19.222203,51.666674,6.444438,9.222213
9,5.0,HiddenLabels,3.3611127,0.80092618,0.60863931,0.17956695,1.4821406
9,5.0,Lift,0.98,0.9488907000000001,1.06105148,1.19,0.7699991
9,5.0,OracleDistribution,6.666662,38.666651,16.999983,26.999978000000002,10.666658
9,5.0,OracleLift,0.7,1.8044472999999999,0.37578942,2.835,0.7466658000000002
9,5.0,Rappel,7.0,6.777771,7.5789454,8.5,5.500009
9,5.0,SampleDistribution,9.333326000000001,20.333322,47.999998999999995,11.333325,10.999991
12,6.0,DiscoveredLabels,11.500005799999999,19.5000061,49.083331,10.7500063,9.166673
12,6.0,HiddenLabels,3.8333348999999997,1.08333377,0.77094277,0.39938176,1.9642838
12,6.0,Lift,1.051875,0.8880869,1.023,1.0186951,1.11375
12,6.0,OracleDistribution,2.666664,38.999981000000005,17.333316,33.333312,7.666659000000001
12,6.0,OracleLift,0.495,1.7033796,0.429,1.4347812,0.94875
12,6.0,Rappel,1.0625,0.8970598,1.0333341,1.0289875,1.1250009
12,6.0,SampleDistribution,5.666662,20.333323,41.333329000000006,23.666656000000003,8.999991
15,7.0,DiscoveredLabels,9.266660499999999,18.3333321,50.999998000000005,13.5333285,7.8666588
15,7.0,HiddenLabels,3.8611127,1.27314831,1.00130883,0.62848425,2.1071413
15,7.0,Lift,0.288056,1.0420842,0.98761685,1.0272828,1.152224
15,7.0,OracleDistribution,0.0,36.66664,18.999981000000002,41.99998500000001,2.333331
15,7.0,OracleLift,0.0,2.795836,0.31985378999999997,1.7491572,1.0081959999999999
15,7.0,Rappel,0.0833333,0.3014706,0.28571427,0.29718857,0.3333336
15,7.0,SampleDistribution,0.333333,13.666658,58.666669,24.666654000000005,2.666664
18,6.0,DiscoveredLabels,8.611113,19.722225,49.166663,14.444448399999999,8.055556000000001
18,6.0,HiddenLabels,4.305557599999999,1.64351779,1.1583767,0.80495479,2.5892844999999998
18,6.0,Lift,0.9881666,1.1624524,0.98975482,0.8173377000000001,1.1220287999999998
