Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,3.0,DiscoveredLabels,0.0,29.999983,70.00001700000001,0.0,0.0
3,3.0,HiddenLabels,0.0,0.41666568,0.27486775,0.0,0.0
3,3.0,Lift,0.0,0.59999978,4.2,0.0,0.0
3,3.0,OracleDistribution,0.0,29.999983,70.00001700000001,0.0,0.0
3,3.0,OracleLift,0.0,0.59999978,4.2,0.0,0.0
3,3.0,Rappel,0.0,29.999983,210.0,0.0,0.0
3,3.0,SampleDistribution,0.0,29.999983,70.00001700000001,0.0,0.0
6,4.0,DiscoveredLabels,16.000014999999998,18.83334,54.166669,4.333341999999999,6.666677999999999
6,4.0,HiddenLabels,2.6666687000000002,0.52314781,0.42539227,0.08049548,0.7142842
6,4.0,Lift,31.999985000000002,0.19933341,38.333324000000005,8.666658,0.21666672
6,4.0,OracleDistribution,31.999985000000002,7.666659000000001,38.333324000000005,8.666658,13.333322
6,4.0,OracleLift,31.999985000000002,0.19933341,38.333324000000005,8.666658,0.21666672
6,4.0,Rappel,,4.6,,,5.0
6,4.0,SampleDistribution,31.999985000000002,7.666659000000001,38.333324000000005,8.666658,13.333322
9,5.0,DiscoveredLabels,13.33332,19.99998,50.555555000000005,5.444439,10.666656
9,5.0,HiddenLabels,3.3333353999999997,0.83333364,0.5955502100000001,0.15170308,1.7142840999999998
9,5.0,Lift,7.999994,4.69,43.33333400000001,7.666661,0.19599999999999998
9,5.0,OracleDistribution,7.999994,22.333325,43.33333400000001,7.666661,18.666654
9,5.0,OracleLift,7.999994,4.69,43.33333400000001,7.666661,0.19599999999999998
9,5.0,Rappel,,33.5,,,1.4
9,5.0,SampleDistribution,7.999994,22.333325,43.33333400000001,7.666661,18.666654
12,6.0,DiscoveredLabels,11.166675,20.833337999999998,47.666666000000006,10.3333403,10.0000053
12,6.0,HiddenLabels,3.7222244,1.15740724,0.74869157,0.38390185000000004,2.1428554
12,6.0,Lift,4.666662,34.65,5.7915,12.375,0.0883272
12,6.0,OracleDistribution,4.666662,21.666655000000002,36.333327000000004,24.999989,12.333325
12,6.0,OracleLift,4.666662,32.175,5.395500000000001,12.375,0.13617106
12,6.0,Rappel,,35.0,5.85,12.500010999999999,0.08921928
12,6.0,SampleDistribution,4.666662,23.333321,38.999995000000006,24.999989,7.999992
15,7.0,DiscoveredLabels,9.2666579,19.7333295,48.800004,13.5333292,8.6666603
15,7.0,HiddenLabels,3.8611131999999997,1.37036989,0.95811515,0.62848416,2.3214269
15,7.0,Lift,1.666665,7.2275659999999995,39.504780000000004,18.205092999999998,0.035057500000000005
15,7.0,OracleDistribution,1.333332,14.999991999999999,52.33333400000001,26.333324,4.999995
15,7.0,OracleLift,1.333332,7.070444999999999,38.764066,18.205092999999998,0.05258625
15,7.0,Rappel,,2.0909077,11.4285732,5.2666631,0.010142
15,7.0,SampleDistribution,1.666665,15.333325,53.33333400000001,26.333324,3.33333
18,6.0,DiscoveredLabels,8.9444454,20.6111082,47.388889,14.6111158,8.4444478
18,6.0,HiddenLabels,4.4722241,1.7175917699999999,1.116492,0.81424274,2.7142841
18,6.0,Lift,7.333329000000001,37.24,5.9934743,9.963327,0.08101122
18,6.0,OracleDistribution,7.333329000000001,23.333325,38.999996,19.999993000000003,10.333325
18,6.0,OracleLift,7.333329000000001,34.79,5.7923162999999995,9.963327,0.11411402000000001
18,6.0,Rappel,,38.0,7.1,11.500007,1.08178358
18,6.0,SampleDistribution,7.333329000000001,24.999991,40.333330000000004,19.999993000000003,7.3333260000000005
21,5.0,DiscoveredLabels,8.9047564,20.809504,46.095225,14.428558800000001,9.7618978
21,5.0,HiddenLabels,5.1944455000000005,2.02314725,1.26701537,0.9380817,3.6607135
21,5.0,Lift,8.666662,4.615,38.333329000000006,13.333321000000002,0.18584625
21,5.0,OracleDistribution,8.666662,21.999986,38.333329000000006,13.333321000000002,17.666655000000002
21,5.0,OracleLift,8.666662,4.615,38.333329000000006,13.333321000000002,0.18584625
21,5.0,Rappel,,36.5,,,8.65
21,5.0,SampleDistribution,8.666662,21.999986,38.333329000000006,13.333321000000002,17.666655000000002
24,4.0,DiscoveredLabels,11.416668199999998,19.2500021,45.333332,13.5000027,10.500001600000001
24,4.0,HiddenLabels,7.6111113,2.13888802,1.4240832399999999,1.00309703,4.4999991999999995
24,4.0,Lift,28.999989,0.2455555,39.999991,6.999993000000001,0.2586905
24,4.0,OracleDistribution,28.999989,8.333325,39.999991,6.999993000000001,15.666656
24,4.0,OracleLift,28.999989,0.2455555,39.999991,6.999993000000001,0.2586905
24,4.0,Rappel,,28.4,,,28.75
24,4.0,SampleDistribution,28.999989,8.333325,39.999991,6.999993000000001,15.666656
27,3.0,DiscoveredLabels,10.1481408,21.1851642,47.33333,11.999989800000002,9.3333265
27,3.0,HiddenLabels,7.6111113,2.64814746,1.6727742,1.00309703,4.4999991999999995
27,3.0,Lift,0.0,0.6900000199999999,33.910006,0.0,0.0
27,3.0,OracleDistribution,0.0,36.666653000000004,63.333347,0.0,0.0
27,3.0,OracleLift,0.0,0.6900000199999999,33.910006,0.0,0.0
27,3.0,Rappel,0.0,83.666683,246.0,0.0,51.5
27,3.0,SampleDistribution,0.0,36.666653000000004,63.333347,0.0,0.0
30,4.0,DiscoveredLabels,12.299994,19.8666644,46.566666,11.433330899999998,9.833329599999999
30,4.0,HiddenLabels,10.2500001,2.75925866,1.8285333,1.0619204400000002,5.2678566
30,4.0,Lift,31.666654000000005,0.25666698,39.666658000000005,6.333327000000001,0.24211112
30,4.0,OracleDistribution,31.666654000000005,7.999992,39.666658000000005,6.333327000000001,14.333321000000002
30,4.0,OracleLift,31.666654000000005,0.25666698,39.666658000000005,6.333327000000001,0.24211112
30,4.0,Rappel,,50.8,,,51.625
30,4.0,SampleDistribution,31.666654000000005,7.999992,39.666658000000005,6.333327000000001,14.333321000000002
33,5.0,DiscoveredLabels,12.5757475,19.6363447,46.575743,11.2424168,9.9696915
33,5.0,HiddenLabels,11.5277745,2.99999946,2.0117793,1.14860756,5.875
33,5.0,Lift,15.333321000000002,4.14,46.666669,9.333324,0.11929406000000001
33,5.0,OracleDistribution,15.333321000000002,17.333325,46.666669,9.333324,11.333325
33,5.0,OracleLift,15.333321000000002,4.14,46.666669,9.333324,0.11929406000000001
33,5.0,Rappel,,38.5,,,15.225
33,5.0,SampleDistribution,15.333321000000002,17.333325,46.666669,9.333324,11.333325
36,6.0,DiscoveredLabels,11.916665499999999,19.8055498,46.444442,12.0277775,9.8055559
36,6.0,HiddenLabels,11.916665499999999,3.3009249799999996,2.1884808000000002,1.34055727,6.3035723
36,6.0,Lift,4.666664,32.495,6.721226399999999,10.088007,0.08836371
36,6.0,OracleDistribution,4.666664,19.666655000000002,43.333328,20.666659,11.666657
36,6.0,OracleLift,4.666664,29.585,6.470784699999999,10.088007,0.12883634
36,6.0,Rappel,,34.0,8.85,12.833344,2.0966539
36,6.0,SampleDistribution,4.666664,21.666655000000002,44.999995,20.666659,7.999993000000001
39,7.0,DiscoveredLabels,11.1281965,19.1538273,47.512809,12.9487068,9.2564046
39,7.0,HiddenLabels,12.0555543,3.4583323999999998,2.4253917,1.56346724,6.4464298
39,7.0,Lift,1.666665,5.349056000000001,44.730892000000004,16.593251,0.0280466
39,7.0,OracleDistribution,1.333332,10.333325,60.000001000000005,23.999991,4.333329
39,7.0,OracleLift,1.333332,4.879055,44.484702,16.593251,0.045577950000000006
39,7.0,Rappel,,1.9999984999999998,13.2142874,5.2666624,0.2910754
39,7.0,SampleDistribution,1.666665,11.333324,60.33333400000001,23.999991,2.666664
42,6.0,DiscoveredLabels,10.785723800000001,19.3571481,47.166665,13.7381055,8.9523877
42,6.0,HiddenLabels,12.5833329,3.7638882000000002,2.5929309000000003,1.7863771,6.714286500000001
42,6.0,Lift,6.333329,34.56,6.3351280999999995,12.08,0.05514487
42,6.0,OracleDistribution,6.333329,20.333321,39.666657,23.999993000000003,9.666659000000001
42,6.0,OracleLift,6.333329,32.16,5.8927418,12.08,0.10668211
42,6.0,Rappel,,36.0,9.4,16.000006,3.0669128999999997
42,6.0,SampleDistribution,6.333329,21.999989,42.666658,23.999993000000003,4.999995
45,5.0,DiscoveredLabels,10.6444433,19.2666664,47.199994,13.577779900000001,9.311108
