Source,Target,Distance
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,10
2,11,1
2,12,1
2,14,1
2,15,1
2,16,1
3,11,1
3,13,1
3,17,1
4,20,1
4,21,1
5,12,1
5,13,1
5,18,1
5,19,1
5,20,1
5,22,1
5,23,1
5,24,1
5,25,1
6,19,1
6,21,1
6,25,1
6,26,1
7,14,1
7,17,1
7,22,1
7,26,1
7,27,1
7,28,1
7,30,1
7,32,1
8,15,1
8,23,1
8,28,1
8,31,1
8,33,1
9,29,1
9,30,1
9,31,1
10,32,1
10,33,1
11,35,1
11,36,1
12,38,1
12,39,1
13,41,1
13,42,1
14,34,1
14,35,1
14,37,1
14,43,1
14,44,1
14,45,1
14,46,1
14,48,1
15,46,1
15,47,1
15,49,1
16,36,1
16,39,1
16,48,1
16,49,1
17,35,1
17,40,1
17,41,1
17,50,1
17,51,1
17,52,1
18,55,1
19,56,1
19,57,1
19,58,1
20,59,1
21,60,1
22,37,1
22,40,1
22,41,1
22,53,1
22,56,1
22,59,1
22,61,1
22,62,1
22,63,1
22,64,1
22,66,1
22,68,1
23,54,1
23,64,1
23,65,1
23,67,1
23,69,1
24,38,1
24,42,1
24,55,1
24,57,1
24,66,1
24,67,1
24,70,1
25,58,1
25,68,1
25,69,1
25,71,1
26,56,1
26,60,1
26,71,1
26,72,1
26,73,1
26,74,1
27,43,1
27,45,1
27,50,1
27,52,1
27,61,1
27,63,1
27,72,1
27,74,1
27,75,1
27,76,1
27,77,1
27,78,1
27,83,1
28,44,1
28,46,1
28,47,1
28,51,1
28,62,1
28,64,1
28,65,1
28,73,1
28,76,1
28,78,1
28,79,1
28,80,1
28,84,1
28,85,1
28,86,1
28,87,1
28,88,1
28,89,1
29,81,1
29,82,1
30,81,1
30,83,1
30,85,1
30,86,1
31,82,1
31,84,1
31,85,1
32,88,1
32,89,1
33,87,1
33,88,1
34,91,1
34,92,1
35,93,1
35,94,1
35,96,1
36,95,1
36,96,1
37,98,1
37,99,1
40,102,1
41,103,1
41,104,1
41,107,1
42,105,1
42,106,1
42,107,1
42,108,1
43,90,1
43,91,1
43,93,1
43,97,1
43,109,1
43,110,1
43,111,1
43,112,1
43,114,1
43,115,1
43,121,1
44,94,1
44,112,1
44,113,1
44,116,1
44,122,1
45,91,1
45,114,1
45,123,1
46,115,1
46,116,1
46,117,1
46,124,1
47,117,1
47,118,1
47,119,1
47,120,1
47,125,1
48,95,1
48,96,1
48,99,1
48,121,1
48,122,1
48,123,1
48,124,1
48,126,1
48,127,1
49,124,1
49,125,1
50,93,1
50,100,1
50,103,1
50,128,1
50,129,1
50,130,1
50,131,1
50,133,1
51,94,1
51,101,1
51,104,1
51,131,1
51,132,1
51,134,1
52,133,1
52,134,1
53,137,1
55,138,1
55,139,1
55,140,1
55,141,1
57,142,1
57,143,1
57,146,1
58,144,1
58,145,1
58,146,1
61,97,1
61,100,1
61,103,1
61,135,1
61,147,1
61,148,1
61,149,1
61,150,1
61,152,1
61,153,1
61,159,1
61,164,1
62,104,1
62,136,1
62,150,1
62,151,1
62,154,1
62,160,1
62,165,1
63,152,1
63,161,1
64,153,1
64,154,1
64,155,1
64,162,1
64,166,1
65,101,1
65,136,1
65,155,1
65,156,1
65,157,1
65,158,1
65,163,1
65,167,1
66,142,1
66,159,1
66,160,1
66,161,1
66,162,1
66,168,1
66,169,1
66,171,1
67,162,1
67,163,1
67,170,1
67,172,1
68,144,1
68,164,1
68,165,1
68,166,1
68,173,1
69,166,1
69,167,1
69,174,1
70,108,1
70,140,1
70,171,1
70,172,1
71,173,1
71,174,1
71,175,1
71,176,1
72,175,1
72,177,1
72,178,1
72,180,1
73,176,1
73,178,1
73,179,1
73,181,1
74,180,1
74,181,1
75,109,1
75,114,1
75,128,1
75,133,1
75,147,1
75,152,1
75,180,1
75,182,1
75,183,1
75,184,1
75,185,1
76,110,1
76,115,1
76,118,1
76,129,1
76,134,1
76,148,1
76,153,1
76,156,1
76,177,1
76,181,1
76,183,1
76,185,1
76,186,1
76,187,1
76,188,1
76,192,1
77,111,1
77,130,1
77,149,1
77,184,1
77,187,1
77,189,1
78,112,1
78,120,1
78,131,1
78,150,1
78,158,1
78,178,1
78,185,1
78,188,1
78,190,1
79,113,1
79,117,1
79,132,1
79,151,1
79,155,1
79,179,1
79,186,1
79,190,1
79,191,1
79,194,1
79,195,1
79,197,1
79,198,1
80,116,1
80,154,1
80,188,1
80,196,1
80,199,1
80,200,1
80,201,1
82,193,1
84,193,1
84,195,1
84,200,1
85,195,1
85,196,1
86,194,1
86,196,1
87,198,1
87,201,1
88,198,1
88,199,1
89,197,1
89,199,1
92,202,1
93,203,1
93,205,1
95,204,1
95,206,1
96,205,1
96,206,1
97,207,1
98,208,1
101,209,1
103,210,1
103,211,1
103,212,1
103,218,1
104,212,1
104,213,1
104,219,1
105,214,1
105,215,1
105,216,1
105,220,1
105,222,1
106,216,1
106,217,1
106,221,1
107,218,1
107,219,1
107,220,1
107,221,1
107,223,1
108,222,1
108,223,1
109,203,1
109,224,1
109,225,1
109,226,1
109,227,1
109,229,1
109,230,1
109,236,1
109,246,1
110,227,1
110,228,1
110,231,1
110,247,1
111,229,1
112,230,1
112,231,1
112,232,1
112,248,1
113,232,1
113,233,1
113,234,1
113,235,1
113,237,1
113,249,1
114,236,1
114,238,1
114,250,1
115,239,1
116,237,1
116,240,1
116,251,1
117,239,1
117,240,1
117,241,1
117,242,1
117,252,1
118,241,1
118,243,1
118,244,1
118,253,1
119,242,1
119,244,1
119,245,1
119,254,1
121,204,1
121,205,1
121,246,1
121,247,1
121,248,1
121,250,1
121,255,1
122,248,1
122,249,1
122,251,1
122,256,1
123,250,1
123,257,1
124,251,1
124,252,1
124,258,1
125,252,1
125,253,1
125,254,1
126,206,1
126,255,1
126,256,1
126,257,1
126,258,1
127,259,1
128,203,1
128,210,1
128,260,1
128,261,1
128,262,1
128,263,1
128,265,1
128,266,1
128,271,1
129,211,1
129,263,1
129,264,1
129,267,1
129,272,1
130,265,1
131,212,1
131,266,1
131,267,1
131,268,1
131,273,1
132,213,1
132,268,1
132,269,1
132,270,1
132,274,1
133,271,1
133,272,1
133,273,1
133,275,1
133,276,1
134,273,1
134,274,1
134,277,1
136,278,1
137,279,1
137,280,1
137,284,1
138,281,1
138,282,1
138,285,1
139,283,1
141,285,1
142,286,1
142,289,1
144,287,1
144,290,1
145,287,1
145,288,1
145,291,1
146,289,1
146,290,1
146,291,1
147,210,1
147,292,1
147,293,1
147,294,1
147,296,1
147,301,1
147,302,1
147,317,1
148,211,1
148,294,1
148,295,1
148,297,1
148,303,1
148,318,1
150,212,1
150,296,1
150,297,1
150,298,1
150,304,1
150,319,1
151,213,1
151,298,1
151,299,1
151,300,1
151,305,1
151,320,1
151,328,1
152,301,1
152,321,1
153,302,1
153,303,1
153,304,1
153,306,1
153,322,1
154,304,1
154,305,1
154,307,1
154,323,1
154,329,1
155,306,1
