Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,3.0,DiscoveredLabels,23.666656000000003,39.333329000000006,32.999992,3.999996,0.0
3,3.0,HiddenLabels,3.736841,0.8676478,0.25714161,0.09523847999999999,0.0
3,3.0,Lift,1.0886656000000001,0.9046658399999999,1.0842876,0.9200003999999999,0.0
3,3.0,OracleDistribution,17.666655000000002,32.999992999999996,46.666666000000006,2.666664,0.0
3,3.0,OracleLift,0.8126654999999999,0.7589994099999999,1.5333353,0.6133336,0.0
3,3.0,Rappel,14.2,11.8,20.640863,12.0,0.0
3,3.0,SampleDistribution,23.666656000000003,39.333329000000006,32.999992,3.999996,0.0
6,4.0,DiscoveredLabels,14.500007,40.0,36.500001000000005,9.00001,0.0
6,4.0,HiddenLabels,4.578946,1.7647063500000002,0.56883071,0.42857251999999996,0.0
6,4.0,Lift,0.5973328,1.19859622,0.9333349599999999,0.9799989000000001,0.0
6,4.0,OracleDistribution,4.333329,34.666656,47.333335000000005,13.666656,0.0
6,4.0,OracleLift,0.4853329,1.02175412,1.10444592,0.9566656,0.0
6,4.0,Rappel,3.2,6.4210541999999995,6.6341034,5.98611,0.0
6,4.0,SampleDistribution,5.333328,40.666657,40.00000000000001,13.999989000000001,0.0
9,5.0,DiscoveredLabels,10.666656,35.555533,40.222208,12.111099000000001,1.444443
9,5.0,HiddenLabels,5.052630000000001,2.35294185,0.9402590000000001,0.8650807399999999,0.7647055
9,5.0,Lift,0.8399997,1.0298863,0.95333219,1.0807004999999998,1.2133329000000002
9,5.0,OracleDistribution,1.999998,21.333324,54.333336,18.666653,3.6666630000000002
9,5.0,OracleLift,0.5599998,0.8239092000000001,1.0866653800000001,1.1003496,1.0266663
9,5.0,Rappel,2.25,2.7586214,3.3210281,3.6422302,3.6
9,5.0,SampleDistribution,2.999997,26.666657,47.666667000000004,18.333322,4.333329
12,6.0,DiscoveredLabels,8.4166729,31.2499985,43.833329000000006,14.1666757,2.333334
12,6.0,HiddenLabels,5.315787800000001,2.75735325,1.36623269,1.34920786,1.647058
12,6.0,Lift,0.8375,0.969738,1.0174068,0.9288641,1.4357145
12,6.0,OracleDistribution,1.333332,14.333325,55.666667000000004,24.666656000000003,3.999996
12,6.0,OracleLift,0.67,0.7581588,1.0360179,1.1268188,1.1485716
12,6.0,Rappel,1.25,1.447369,1.8517209499999998,1.8874615,2.267855
12,6.0,SampleDistribution,1.666665,18.333324,54.666667000000004,20.333325000000002,4.999995
