Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,3.0,DiscoveredLabels,22.666657,44.666664,28.666653,3.999996,0.0
3,3.0,HiddenLabels,3.5789466,0.98529495,0.22337565999999998,0.09523847999999999,0.0
3,3.0,Lift,1.0426657,1.02733231,0.9419061999999999,0.9200003999999999,0.0
3,3.0,OracleDistribution,19.666655000000002,35.999989,8.666658,35.666638000000006,0.0
3,3.0,OracleLift,0.9046655,0.8279993600000001,0.2847624,8.2033341,0.0
3,3.0,Rappel,13.6,13.4,12.285702,12.0,0.0
3,3.0,SampleDistribution,22.666657,44.666664,28.666653,3.999996,0.0
6,4.0,DiscoveredLabels,16.500006,38.000004,36.0,9.500008000000001,0.0
6,4.0,HiddenLabels,5.2105246,1.6764709500000001,0.56103831,0.45238195999999997,0.0
6,4.0,Lift,1.1573326,0.92350822,1.0111124,1.0499992,0.0
6,4.0,OracleDistribution,9.666659000000001,35.66665,14.999985000000002,39.666646,0.0
6,4.0,OracleLift,1.0826658999999998,1.05122754,0.3500001,2.7766646,0.0
6,4.0,Rappel,6.2,4.9473662,5.4166666999999995,5.625,0.0
6,4.0,SampleDistribution,10.333326,31.333325,43.333333,14.999992000000002,0.0
9,5.0,DiscoveredLabels,11.999988,33.777759,40.333322,12.666654000000001,1.2222210000000002
9,5.0,HiddenLabels,5.684209200000001,2.2352948,0.9428563400000001,0.90476316,0.6470585
9,5.0,Lift,0.8399997,0.9783921999999999,0.9799986799999999,1.1199987999999999,1.0266663
9,5.0,OracleDistribution,2.666664,40.333319,15.666651000000002,39.333315,1.999998
9,5.0,OracleLift,0.7466664000000001,1.5577029999999998,0.31333349,2.3185938,0.5599998
9,5.0,Rappel,2.25,2.6206907999999998,2.6249989,2.9999998,2.75
9,5.0,SampleDistribution,2.999997,25.333322000000003,49.00000300000001,18.99999,3.6666630000000002
12,6.0,DiscoveredLabels,9.500006599999999,30.000005700000003,43.9166693,15.1666726,1.4166660999999998
12,6.0,HiddenLabels,5.9999982,2.64705885,1.36883014,1.44444648,0.9999994999999999
12,6.0,Lift,1.005,0.9873696000000001,1.0174068,1.0354550999999999,0.5742858
12,6.0,OracleDistribution,1.999998,38.666648,16.66665,40.666651,1.999998
12,6.0,OracleLift,1.005,2.0452656,0.310185,1.8577280999999999,0.5742858
12,6.0,Rappel,1.5,1.4736848,1.5185182599999998,1.5454551,0.8571420000000001
12,6.0,SampleDistribution,1.999998,18.666656,54.666667000000004,22.666657,1.999998
15,7.0,DiscoveredLabels,7.733327399999999,26.9999989,48.200002000000005,15.7333281,1.3333339999999998
