Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,3.0,DiscoveredLabels,20.666652,42.333329000000006,31.666656000000003,5.333328,0.0
3,3.0,HiddenLabels,3.2631584,0.9338244,0.24675217,0.12698463999999998,0.0
3,3.0,Lift,0.9506652,0.9736657200000001,1.0404778000000001,1.2266672,0.0
3,3.0,OracleDistribution,23.333323,38.666666000000006,27.333325,7.666661,2.999997
3,3.0,OracleLift,1.0733323,0.88933229,0.8980968,1.7633333,2.999997
3,3.0,Rappel,12.4,12.7,13.571415,16.0,0.0
3,3.0,SampleDistribution,20.666652,42.333329000000006,31.666656000000003,5.333328,0.0
6,4.0,DiscoveredLabels,13.833343,36.833332,38.833331,10.50001,0.0
6,4.0,HiddenLabels,4.3684196,1.62500065,0.6051942499999999,0.5000011999999999,0.0
6,4.0,Lift,0.7839994,0.92350824,1.07333444,1.0966655,0.0
6,4.0,OracleDistribution,13.666659,28.333326000000003,37.66666,17.333322,2.999997
6,4.0,OracleLift,1.5306658999999998,0.83508726,0.8788900599999999,1.2133322000000002,2.999997
6,4.0,Rappel,4.2,4.9473664,5.7500004,5.875,0.0
6,4.0,SampleDistribution,6.999994,31.333326000000003,45.999996,15.666655,0.0
9,5.0,DiscoveredLabels,10.999989000000001,32.666646,42.444436,12.333321000000002,1.555554
9,5.0,HiddenLabels,5.2105254,2.1617649500000002,0.99220715,0.88095342,0.823529
9,5.0,Lift,1.4933328000000001,0.9397714,0.99333213,0.9431568,1.3066666
9,5.0,OracleDistribution,10.999993,26.333323,39.999999,15.666661000000001,6.999993000000001
9,5.0,OracleLift,3.0800004999999997,1.0170128,0.79999899,0.9235076999999999,1.9599993
9,5.0,Rappel,4.0,2.5172424,2.6607128999999996,2.5263154,3.5
9,5.0,SampleDistribution,5.333328,24.333323,49.666667000000004,15.999991,4.666663000000001
12,6.0,DiscoveredLabels,9.0000061,29.666668800000004,44.9166673,14.5833406,1.8333334
12,6.0,HiddenLabels,5.684209200000001,2.6176474,1.3999987100000002,1.3888910799999998,1.294117
12,6.0,Lift,1.5075,1.0931589,0.9739808999999999,0.974546,0.7657143999999999
12,6.0,OracleDistribution,6.999993000000001,20.333319000000003,43.333328,22.333324,6.999995999999999
12,6.0,OracleLift,3.5175,1.0755276,0.806481,1.0202278,2.0100015
12,6.0,Rappel,2.25,1.6315796,1.4537034,1.454546,1.142856
12,6.0,SampleDistribution,2.999997,20.666656000000003,52.33333400000001,21.333324,2.666664
15,7.0,DiscoveredLabels,7.3333272,26.5333338,48.799996,15.5333271,1.7999996999999999
15,7.0,HiddenLabels,5.7894726,2.9264708,1.90129681,1.84920812,1.5882344999999998
15,7.0,Lift,1.94,1.0185,0.98531498,1.041853,0.808334
15,7.0,OracleDistribution,6.66666,16.666656,51.66667,18.999991,5.999995
15,7.0,OracleLift,19.4,1.2125,0.7913146799999999,1.02389,2.910005
15,7.0,Rappel,2.0,1.05,1.0157896800000001,1.0740733,0.833334
15,7.0,SampleDistribution,0.666666,13.99999,64.333341,19.333324,1.6666660000000002
18,6.0,DiscoveredLabels,6.3888904,25.5555538,49.66667,16.2222244,2.1666674
18,6.0,HiddenLabels,6.052630400000001,3.38235295,2.3220756,2.31746196,2.2941165
18,6.0,Lift,0.825,1.0929858000000001,1.00424742,0.8984584,1.131428
