Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,3.0,DiscoveredLabels,19.999988000000002,48.333335000000005,27.999991,3.6666630000000002,0.0
3,3.0,HiddenLabels,3.1578944,1.0661774,0.21818088,0.08730194,0.0
3,3.0,Lift,19.999988000000002,48.333335000000005,6.4399958,3.6666630000000002,0.0
3,3.0,OracleDistribution,19.999988000000002,48.333335000000005,27.999991,3.6666630000000002,0.0
3,3.0,OracleLift,19.999988000000002,48.333335000000005,6.4399958,3.6666630000000002,0.0
3,3.0,Rappel,,,84.0,,0.0
3,3.0,SampleDistribution,19.999988000000002,48.333335000000005,27.999991,3.6666630000000002,0.0
6,4.0,DiscoveredLabels,13.500008000000001,42.833333,35.499997,8.166673,0.0
6,4.0,HiddenLabels,4.2631562,1.8897065499999999,0.5532460100000001,0.38888965999999997,0.0
6,4.0,Lift,6.999995,37.333330000000004,43.0,7.0933399999999995,0.0
6,4.0,OracleDistribution,6.999995,37.333330000000004,43.0,12.666660000000002,0.0
6,4.0,OracleLift,6.999995,37.333330000000004,43.0,7.0933399999999995,0.0
6,4.0,Rappel,,,,38.0,0.0
6,4.0,SampleDistribution,6.999995,37.333330000000004,43.0,12.666660000000002,0.0
9,5.0,DiscoveredLabels,10.111101,37.111093000000004,41.222212,9.777768000000002,1.777776
9,5.0,HiddenLabels,4.7894724,2.45588265,0.96363582,0.69841402,0.941176
9,5.0,Lift,3.33333,14.373346999999999,52.666669,12.99999,0.05430304
9,5.0,OracleDistribution,3.33333,25.666653,52.666669,12.99999,5.333328
9,5.0,OracleLift,3.33333,14.373346999999999,52.666669,12.99999,0.05430304
9,5.0,Rappel,,38.5,,,0.14545456
9,5.0,SampleDistribution,3.33333,25.666653,52.666669,12.99999,5.333328
12,6.0,DiscoveredLabels,8.0000048,32.9999981,43.4166633,13.5833398,2.0
12,6.0,HiddenLabels,5.0526306,2.9117647499999997,1.3532456300000002,1.29365284,1.411764
12,6.0,Lift,1.666665,6.923344000000001,49.999993,24.999989,0.0274872
12,6.0,OracleDistribution,1.666665,19.666656,49.999993,24.999989,3.666666
12,6.0,OracleLift,1.666665,6.588344000000001,49.999993,24.999989,0.0377949
12,6.0,Rappel,,10.333344,,,0.04102564
12,6.0,SampleDistribution,1.666665,20.666656000000003,49.999993,24.999989,2.666666
15,7.0,DiscoveredLabels,6.5333282,29.266666100000002,47.399999,14.5333231,2.2666654
15,7.0,HiddenLabels,5.1578935999999995,3.2279409500000003,1.8467514600000001,1.7301606200000001,1.9999989999999999
15,7.0,Lift,0.666666,10.4275,184.3,53.35,0.034035100000000006
15,7.0,OracleDistribution,0.666666,13.666661000000001,62.666675000000005,18.333324,4.666663000000001
15,7.0,OracleLift,0.666666,9.9425,182.36,53.35,0.04764914
15,7.0,Rappel,,10.75,190.0,55.0,0.0350877
15,7.0,SampleDistribution,0.666666,14.333327000000002,63.333341,18.333324,3.333331
18,6.0,DiscoveredLabels,5.6111132,27.8888886,48.611109,15.777783,2.1111109999999997
18,6.0,HiddenLabels,5.3157892,3.6911757499999998,2.272725,2.2539705999999997,2.235293
18,6.0,Lift,0.999999,7.062,54.666668,21.999990000000004,0.01375
18,6.0,OracleDistribution,0.999999,20.666655000000002,54.666668,21.999990000000004,1.666665
18,6.0,OracleLift,0.999999,6.952000000000001,54.666668,21.999990000000004,0.0171875
18,6.0,Rappel,,12.166678,,,1.5076908
18,6.0,SampleDistribution,0.999999,20.999988000000002,54.666668,21.999990000000004,1.333332
21,5.0,DiscoveredLabels,5.3809493,27.1904492,49.42857,15.809510499999998,2.1904749999999997
21,5.0,HiddenLabels,5.9473671999999995,4.1985287,2.6961019,2.6349227600000003,2.7058809999999998
21,5.0,Lift,3.999997,13.261678,54.333335000000005,15.999992000000002,0.02713368
21,5.0,OracleDistribution,3.999997,22.999986,54.333335000000005,15.999992000000002,2.6666650000000005
21,5.0,OracleLift,3.999997,13.261678,54.333335000000005,15.999992000000002,0.02713368
21,5.0,Rappel,,37.5,,,2.7454517999999997
21,5.0,SampleDistribution,3.999997,22.999986,54.333335000000005,15.999992000000002,2.6666650000000005
24,4.0,DiscoveredLabels,6.4166693,27.749998,48.250001000000005,15.6666709,1.9166672
24,4.0,HiddenLabels,8.105261,4.897057950000001,3.0077909,2.9841285999999996,2.7058809999999998
