Source,Target
0,1
0,2
0,3
0,4
0,5
1,23
1,12
1,13
1,20
1,6
1,8
1,11
2,6
2,7
2,9
3,18
3,19
3,10
4,22
4,8
4,9
4,10
5,11
6,35
6,36
6,44
6,24
6,27
6,32
6,13
6,14
6,15
6,16
6,21
7,15
7,17
7,18
8,64
8,44
8,45
8,48
8,30
8,32
8,33
8,49
8,34
8,20
8,21
9,22
12,70
12,71
12,72
12,73
12,74
12,75
12,76
12,79
12,82
12,83
12,84
12,85
12,89
12,50
12,51
12,52
12,53
12,59
12,36
12,37
12,38
12,105
12,45
12,24
12,30
13,72
13,73
13,74
13,79
13,53
13,57
13,38
14,90
14,60
14,43
14,46
14,25
14,28
14,31
15,91
15,39
15,41
15,47
15,26
15,29
16,92
16,61
16,39
16,41
16,28
16,29
20,82
20,83
20,84
20,85
20,88
20,89
20,96
20,97
20,98
20,99
20,100
20,101
20,102
20,57
20,58
20,59
20,63
20,108
20,109
20,67
21,31
21,34
23,55
23,56
23,35
24,54
24,40
25,93
25,94
25,42
26,62
27,54
27,43
30,86
30,106
30,66
32,61
32,107
32,46
32,47
32,48
33,67
33,49
35,70
35,72
35,75
35,81
35,88
35,51
35,56
35,57
35,58
36,77
37,78
37,80
37,86
37,87
37,66
38,54
41,95
44,57
44,60
44,61
44,64
45,87
45,105
45,66
46,65
47,95
47,62
48,65
49,110
49,68
49,69
51,77
52,78
52,106
53,80
57,92
57,97
57,98
57,101
57,102
57,107
58,90
58,91
58,92
58,99
58,100
59,106
60,93
60,94
60,103
60,104
61,94
61,95
63,108
63,109
64,97
64,98
64,101
64,102
64,103
64,104
67,110
