Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,3.0,DiscoveredLabels,16.333317,33.666655,50.0,0.0,0.0
3,3.0,HiddenLabels,24.5,7.2142842,3.9473700000000003,0.0,0.0
3,3.0,Lift,0.98,1.01,0.99999871,0.0,0.0
3,3.0,OracleDistribution,16.333317,33.666655,50.0,0.0,0.0
3,3.0,OracleLift,0.98,1.01,0.99999871,0.0,0.0
3,3.0,Rappel,49.0,50.5,50.0,0.0,0.0
3,3.0,SampleDistribution,16.333317,33.666655,50.0,0.0,0.0
6,4.0,DiscoveredLabels,12.333345,34.499997,44.333331,3.3333399999999993,5.500011
6,4.0,HiddenLabels,37.0,14.785715,6.9999991999999995,2.85714,10.999989000000001
6,4.0,Lift,0.9166675,0.97166602,1.06333251,0.7333339999999999,1.2100011
6,4.0,OracleDistribution,8.333325,35.333326,38.666659,6.66666,10.999989000000001
6,4.0,OracleLift,0.9166675,0.97166602,1.06333251,0.7333339999999999,1.2100011
6,4.0,Rappel,25.0,26.5,29.0,20.0,33.0
6,4.0,SampleDistribution,8.333325,35.333326,38.666659,6.66666,10.999989000000001
9,5.0,DiscoveredLabels,8.222214000000001,31.111085000000003,51.555557,5.444439,3.6666630000000002
9,5.0,HiddenLabels,37.0,19.999998,12.2105296,6.999993000000001,10.999989000000001
9,5.0,Lift,0.0,0.9733323999999999,0.99,1.16,0.0
9,5.0,OracleDistribution,0.0,24.333324,66.00001,9.666657,0.0
9,5.0,OracleLift,0.0,0.9733323999999999,0.99,1.16,0.0
9,5.0,Rappel,0.0,24.333324,24.75,29.0,0.0
9,5.0,SampleDistribution,0.0,24.333324,66.00001,9.666657,0.0
12,6.0,DiscoveredLabels,6.1666694,24.833330500000002,57.666659,7.4166719,3.9166667
12,6.0,HiddenLabels,37.0,21.285715,18.210547,12.714273,15.666655
12,6.0,Lift,0.0,0.9,1.03636514,1.0,0.7
12,6.0,OracleDistribution,0.0,5.999994,76.00001,13.333323,4.666662
12,6.0,OracleLift,0.0,0.9,1.03636514,1.0,0.7
12,6.0,Rappel,0.0,18.0,20.7272534,20.0,14.0
12,6.0,SampleDistribution,0.0,5.999994,76.00001,13.333323,4.666662
15,7.0,DiscoveredLabels,4.9333306,23.733335,58.199999,8.9333284,4.1999987
15,7.0,HiddenLabels,37.0,25.428568,22.973682,19.142841,20.999989
15,7.0,Lift,0.0,0.9666678000000001,1.0055559,0.9999991,1.0666672
15,7.0,OracleDistribution,0.0,19.333322,60.333338000000005,14.999989000000001,5.333328
15,7.0,OracleLift,0.0,0.9666678000000001,1.0055559,0.9999991,1.0666672
15,7.0,Rappel,0.0,14.5,15.083346999999998,14.999989000000001,16.0
15,7.0,SampleDistribution,0.0,19.333322,60.333338000000005,14.999989000000001,5.333328
18,6.0,DiscoveredLabels,4.1111118,21.2777822,60.722231,9.3888916,4.5000013999999995
18,6.0,HiddenLabels,37.0,27.3571412,28.763154,24.14284,26.999990000000004
18,6.0,Lift,0.0,1.08,1.01033266,0.9,0.72
18,6.0,OracleDistribution,0.0,8.999991,73.333348,11.666657,5.999994
18,6.0,OracleLift,0.0,1.08,1.01033266,0.9,0.72
18,6.0,Rappel,0.0,45.0,40.72724,37.5,32.0
18,6.0,SampleDistribution,0.0,8.999991,73.333348,11.666657,5.999994
21,5.0,DiscoveredLabels,3.5238072999999996,22.5237878,61.047648,9.047613,3.8571404
21,5.0,HiddenLabels,37.0,33.7857062,33.736834,27.142842,26.999990000000004
21,5.0,Lift,0.0,1.14,0.93110659,0.63,0.0
21,5.0,OracleDistribution,0.0,29.999992000000002,63.000005,6.999993000000001,0.0
21,5.0,OracleLift,0.0,1.14,0.93110659,0.63,0.0
21,5.0,Rappel,0.0,54.333336,48.375,50.0,0.0
21,5.0,SampleDistribution,0.0,29.999992000000002,63.000005,6.999993000000001,0.0
24,4.0,DiscoveredLabels,4.166667299999999,24.2083359,57.999998999999995,9.1666694,4.4583344
24,4.0,HiddenLabels,50.0,41.499997,36.631576,31.428556,35.666656
24,4.0,Lift,0.6933341999999999,1.0066662199999998,0.9999998800000001,0.8000010000000001,0.6933341999999999
24,4.0,OracleDistribution,8.666658,35.999991,36.666666,9.99999,8.666658
24,4.0,OracleLift,0.6933341999999999,1.0066662199999998,0.9999998800000001,0.8000010000000001,0.6933341999999999
24,4.0,Rappel,51.0,53.5,56.5,50.0,59.0
24,4.0,SampleDistribution,8.666658,35.999991,36.666666,9.99999,8.666658
27,3.0,DiscoveredLabels,5.592592099999999,25.18516,57.111140999999996,8.1481427,3.9629611
27,3.0,HiddenLabels,75.5,48.571431000000004,40.578946,31.428556,35.666656
27,3.0,Lift,0.51,0.78,0.93,0.0,0.0
27,3.0,OracleDistribution,16.999983,32.999988,50.0,0.0,0.0
27,3.0,OracleLift,0.51,0.78,0.93,0.0,0.0
27,3.0,Rappel,100.0,100.0,100.0,0.0,0.0
27,3.0,SampleDistribution,16.999983,32.999988,50.0,0.0,0.0
30,4.0,DiscoveredLabels,6.0666687999999995,26.166667000000004,55.033333,8.4333312,4.299999000000001
30,4.0,HiddenLabels,91.0,56.071437,43.44736700000001,36.142841,42.999990000000004
30,4.0,Lift,0.5166677,0.9166675999999999,0.99583438,0.5500011,0.36666740000000003
30,4.0,OracleDistribution,10.333323,34.999989,36.333324000000005,10.999989000000001,7.3333260000000005
