Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,3.0,DiscoveredLabels,15.666651000000002,34.333318000000006,50.000001000000005,0.0,0.0
3,3.0,HiddenLabels,23.5,7.357142,3.9473700000000003,0.0,0.0
3,3.0,Lift,0.94,1.03,0.99999861,0.0,0.0
3,3.0,OracleDistribution,13.666653000000002,35.999983,16.999983,33.3333,0.0
3,3.0,OracleLift,0.82,1.08,0.34000017,33.3333,0.0
3,3.0,Rappel,47.0,51.5,50.000001000000005,0.0,0.0
3,3.0,SampleDistribution,15.666651000000002,34.333318000000006,50.000001000000005,0.0,0.0
6,4.0,DiscoveredLabels,13.000013,34.833328,43.0,5.333343999999999,3.833341
6,4.0,HiddenLabels,39.0,14.9285736,6.789473,4.571424,7.666659000000001
6,4.0,Lift,1.1366677,0.9716661499999999,0.98999937,1.1733343999999999,0.8433341
6,4.0,OracleDistribution,9.666657,37.666651,12.999987,31.999984000000005,7.666659000000001
6,4.0,OracleLift,1.0633343,1.03583283,0.35750013,3.5200016,0.8433341
6,4.0,Rappel,31.0,26.5,27.0,32.0,23.0
6,4.0,SampleDistribution,10.333323,35.333322,35.999991,10.666656,7.666659000000001
9,5.0,DiscoveredLabels,8.666658,31.333309,52.222227000000004,5.2222170000000006,2.555553
9,5.0,HiddenLabels,39.0,20.142857799999998,12.368425199999999,6.714279,7.666659000000001
9,5.0,Lift,0.0,0.9733323,1.06,0.6,0.0
9,5.0,OracleDistribution,0.0,41.999984000000005,22.999976999999998,34.999970000000005,0.0
9,5.0,OracleLift,0.0,1.6799983999999997,0.345,4.2,0.0
9,5.0,Rappel,0.0,24.333323,26.5,15.0,0.0
9,5.0,SampleDistribution,0.0,24.333323,70.66667699999999,4.999995,0.0
12,6.0,DiscoveredLabels,6.5000026,25.8333367,57.000002,7.1666716,3.4999998
12,6.0,HiddenLabels,39.0,22.1428564,18.000013000000003,12.285702,13.999989000000001
12,6.0,Lift,0.0,1.4,0.97272829,0.975,0.95
12,6.0,OracleDistribution,0.0,37.999976000000004,21.333312,34.999979,5.666661
12,6.0,OracleLift,0.0,5.7,0.29090879999999997,2.625,0.85
12,6.0,Rappel,0.0,28.0,19.4545272,19.5,19.0
12,6.0,SampleDistribution,0.0,9.333324,71.33334900000001,12.999989000000001,6.333327000000001
15,7.0,DiscoveredLabels,5.1999974,24.8666675,57.600005,8.733324,3.5999986
