Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,3.0,DiscoveredLabels,18.333315,35.666654,45.99999400000001,0.0,0.0
3,3.0,HiddenLabels,27.5,7.642855600000001,3.6315804000000003,0.0,0.0
3,3.0,Lift,1.1,1.07,0.91999895,0.0,0.0
3,3.0,OracleDistribution,20.666655000000002,34.666658000000005,37.666656,6.333328,0.666666
3,3.0,OracleLift,1.24,1.04,0.75333269,6.333328,0.666666
3,3.0,Rappel,55.0,53.5,45.99999400000001,0.0,0.0
3,3.0,SampleDistribution,18.333315,35.666654,45.99999400000001,0.0,0.0
6,4.0,DiscoveredLabels,12.000014999999998,35.999992,42.666664,5.333343999999999,4.000007999999999
6,4.0,HiddenLabels,36.0,15.4285688,6.7368418,4.571424,7.999992
6,4.0,Lift,0.6233339,0.99916612,1.08166589,1.1733343999999999,0.8800007999999999
6,4.0,OracleDistribution,14.999991,30.999985000000002,31.666659,12.666658,9.666659000000001
6,4.0,OracleLift,1.6500009,0.85249979,0.87083275,1.3933342,1.0633341
6,4.0,Rappel,17.0,27.25,29.5,32.0,24.0
6,4.0,SampleDistribution,5.666661,36.333322,39.333327000000004,10.666656,7.999992
9,5.0,DiscoveredLabels,7.999992,31.888868000000002,50.222225,7.222215,2.666664
9,5.0,HiddenLabels,36.0,20.5000052,11.894741400000001,9.285705,7.999992
9,5.0,Lift,0.0,0.9466651999999999,0.98,1.32,0.0
9,5.0,OracleDistribution,7.666662,24.999991,45.99999900000001,17.333326000000003,3.9999980000000006
9,5.0,OracleLift,7.666662,0.9999991,0.69,2.08,3.9999980000000006
9,5.0,Rappel,0.0,23.666652,24.5,33.0,0.0
9,5.0,SampleDistribution,0.0,23.666652,65.33334400000001,10.999989000000001,0.0
12,6.0,DiscoveredLabels,6.000001200000001,25.5833421,55.416665,9.0833379,3.9166675
12,6.0,HiddenLabels,36.0,21.9285752,17.500011999999998,15.571415,15.666657
12,6.0,Lift,0.0,1.0,0.96818291,1.1,1.15
12,6.0,OracleDistribution,5.333329,7.333327000000001,52.000002,21.333324,13.999987
12,6.0,OracleLift,5.333329,1.1,0.7090911799999999,1.6,2.1
12,6.0,Rappel,0.0,20.0,19.363618799999998,22.0,23.0
12,6.0,SampleDistribution,0.0,6.66666,71.000011,14.666655,7.666659000000001
15,7.0,DiscoveredLabels,4.7999988,24.266663400000002,56.666670999999994,9.9999941,4.2666648
15,7.0,HiddenLabels,36.0,26.0000012,22.368427,21.428556,21.333322000000003
15,7.0,Lift,0.0,0.9500009,1.0277781400000001,0.9111102,1.1333339
15,7.0,OracleDistribution,7.999994,18.999993000000003,46.333329000000006,17.666656,8.999992
15,7.0,OracleLift,7.999994,0.9500007,0.77222228,1.1777767,1.8000005
15,7.0,Rappel,0.0,14.25,15.416680699999999,13.666658,17.0
15,7.0,SampleDistribution,0.0,18.999991,61.666672000000005,13.666658,5.666661
18,6.0,DiscoveredLabels,4.0000013999999995,21.5000052,59.888897,10.0000024,4.611112
18,6.0,HiddenLabels,36.0,27.6428582,28.368413999999998,25.714268999999998,27.666655000000002
18,6.0,Lift,0.0,0.92,1.03044375,0.76,0.76
18,6.0,OracleDistribution,4.999995,9.999992,59.000001000000005,15.999989000000001,9.999993
18,6.0,OracleLift,4.999995,1.786666,0.79544401,1.3,1.493333
18,6.0,Rappel,0.0,43.0,40.090879,37.0,42.0
18,6.0,SampleDistribution,0.0,7.666659000000001,76.00001200000001,9.999991,6.333327000000001
21,5.0,DiscoveredLabels,3.4285688999999997,21.7618838,61.238121,9.619041099999999,3.9523785
21,5.0,HiddenLabels,36.0,32.6428542,33.842097,28.857125999999997,27.666655000000002
21,5.0,Lift,0.0,0.945,1.03667815,0.66,0.0
21,5.0,OracleDistribution,5.999994,24.666663000000003,48.666668,15.99999,4.666662
21,5.0,OracleLift,5.999994,1.01,0.73349986,5.989996,4.666662
21,5.0,Rappel,0.0,46.999998000000005,50.5,55.0,0.0
21,5.0,SampleDistribution,0.0,23.333323,69.33334400000001,7.3333260000000005,0.0
24,4.0,DiscoveredLabels,4.4166674,23.291668599999998,57.791666000000006,9.708335499999999,4.791667100000001
24,4.0,HiddenLabels,53.0,39.928565,36.499995000000006,33.285697,38.333329000000006
24,4.0,Lift,0.9066677999999999,0.9333331199999999,0.95777754,0.8266677,0.8533343999999999
24,4.0,OracleDistribution,15.333322,31.666658,26.999991,15.333323,10.666657
24,4.0,OracleLift,2.7599993,0.8888888,0.80666674,4.2933307,0.8533342999999999
24,4.0,Rappel,51.0,52.75,54.75,63.0,56.0
24,4.0,SampleDistribution,11.333322,33.999993,33.666656,10.333323,10.666656
27,3.0,DiscoveredLabels,5.592592099999999,24.148124,57.370402000000006,8.6296245,4.2592583
27,3.0,HiddenLabels,75.5,46.571428999999995,40.763161,33.285697,38.333329000000006
27,3.0,Lift,0.45,0.77,0.97,0.0,0.0
27,3.0,OracleDistribution,19.99999,32.666657,38.333321,7.3333260000000005,1.666665
27,3.0,OracleLift,5.449997000000001,4.088332,1.0383330100000001,7.3333260000000005,1.666665
27,3.0,Rappel,100.0,100.0,100.0,0.0,0.0
27,3.0,SampleDistribution,14.999985000000002,30.999985000000002,54.000006000000006,0.0,0.0
30,4.0,DiscoveredLabels,6.000001999999999,25.566668,55.3,8.5666638,4.5666663
30,4.0,HiddenLabels,90.0,54.785717000000005,43.657894,36.714268000000004,45.66666300000001
30,4.0,Lift,0.4833343,1.00277866,0.9236118799999999,0.40000080000000005,0.36666740000000003
30,4.0,OracleDistribution,14.666654000000001,33.333321,30.999990000000004,12.333327000000002,8.666658
30,4.0,OracleLift,3.5833313,0.94861155,1.83611076,3.7833314000000002,1.6999994
30,4.0,Rappel,80.0,81.5,82.25,87.0,78.0
30,4.0,SampleDistribution,9.666657,38.333322,36.666662,7.999992,7.3333260000000005
33,5.0,DiscoveredLabels,5.454548,25.757550000000002,56.151552,8.4848469,4.1515152
33,5.0,HiddenLabels,90.0,60.714298,48.763151,39.999982,45.66666300000001
33,5.0,Lift,0.0,0.9233331200000001,0.97866636,0.46,0.0
33,5.0,OracleDistribution,7.333329,27.666655000000002,49.666668,12.999993000000002,2.333331
33,5.0,OracleLift,7.333329,1.65333255,0.7669997,5.479997000000001,2.333331
33,5.0,Rappel,0.0,74.66668100000001,74.75,78.0,0.0
33,5.0,SampleDistribution,0.0,27.666654000000005,64.66667699999999,7.666659000000001,0.0
36,6.0,DiscoveredLabels,5.000004000000001,24.222222000000002,57.583342,8.8611082,4.3333362
36,6.0,HiddenLabels,90.0,62.285725,54.552636,45.571421,52.000005
36,6.0,Lift,0.0,0.66,1.00057066,0.855,0.57
36,6.0,OracleDistribution,6.66666,10.666659,53.66667100000001,17.333326000000003,11.666661000000001
36,6.0,OracleLift,6.66666,3.689998,0.73099987,1.473333,4.386665000000001
36,6.0,Rappel,0.0,65.0,60.09094,56.5,61.0
36,6.0,SampleDistribution,0.0,7.3333260000000005,73.333341,12.99999,6.333327000000001
39,7.0,DiscoveredLabels,4.615388,23.692284,57.948755,9.4102502,4.3333355000000005
39,7.0,HiddenLabels,90.0,66.000009,59.473684000000006,52.428582,56.333342
39,7.0,Lift,0.0,0.840556,1.0460999,1.0388888,0.7366670999999999
39,7.0,OracleDistribution,7.333327000000001,15.333324,49.999998999999995,18.666659000000003,8.66666
39,7.0,OracleLift,7.333327000000001,0.779167,0.8425582300000001,1.2655557,2.3033323
39,7.0,Rappel,0.0,27.25,31.000002300000002,29.666662000000002,30.0
39,7.0,SampleDistribution,0.0,17.333325,62.333343000000006,15.99999,4.333329
42,6.0,DiscoveredLabels,4.28571,22.428572,59.047631,9.6428675,4.5952354
42,6.0,HiddenLabels,90.0,67.285722,65.263169,57.857155999999996,64.33334400000001
42,6.0,Lift,0.0,0.36,0.99733315,0.58,0.48
42,6.0,OracleDistribution,1.666665,11.666658,54.33333400000001,22.333321,9.999993
42,6.0,OracleLift,1.666665,4.773329,0.7379999700000001,6.17333,2.479998
42,6.0,Rappel,0.0,83.0,80.090929,75.5,85.0
42,6.0,SampleDistribution,0.0,5.999994,73.333345,12.666656,7.999992
45,5.0,DiscoveredLabels,3.999996,22.622208,59.600006,9.4888819,4.2888865
45,5.0,HiddenLabels,90.0,72.714288,70.578953,61.000018,64.33334400000001
45,5.0,Lift,0.0,0.63,0.98,0.22,0.0
45,5.0,OracleDistribution,4.333329,26.999986000000003,54.000002,10.999991999999999,3.6666630000000002
