Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,3.0,DiscoveredLabels,18.333315,32.333321,49.333329000000006,0.0,0.0
3,3.0,HiddenLabels,27.5,6.9285702,3.8947384,0.0,0.0
3,3.0,Lift,18.333315,32.333321,1.48,0.0,0.0
3,3.0,OracleDistribution,18.333315,32.333321,49.333329000000006,0.0,0.0
3,3.0,OracleLift,18.333315,32.333321,1.48,0.0,0.0
3,3.0,Rappel,,,74.0,0.0,0.0
3,3.0,SampleDistribution,18.333315,32.333321,49.333329000000006,0.0,0.0
6,4.0,DiscoveredLabels,14.00001,33.666661,43.833333,4.166675,4.333341999999999
6,4.0,HiddenLabels,42.0,14.4285718,6.9210518,3.5714249999999996,8.666658
6,4.0,Lift,9.666657,34.999991,4.2166675,8.333325,0.09533342000000002
6,4.0,OracleDistribution,9.666657,26.999987,38.333325,8.333325,16.666654
6,4.0,OracleLift,9.666657,26.999987,4.2166675,8.333325,0.18333346000000003
6,4.0,Rappel,,,115.0,,2.6
6,4.0,SampleDistribution,9.666657,34.999991,38.333325,8.333325,8.666658
9,5.0,DiscoveredLabels,9.333324,31.111088,51.22222300000001,5.444439,2.888886
9,5.0,HiddenLabels,42.0,20.0000028,12.1315836,6.999993000000001,8.666658
9,5.0,Lift,0.0,25.999989,7.92,7.999992,0.0
9,5.0,OracleDistribution,0.0,25.999989,66.00000700000001,7.999992,0.0
9,5.0,OracleLift,0.0,25.999989,7.92,7.999992,0.0
9,5.0,Rappel,0.0,,198.0,,0.0
9,5.0,SampleDistribution,0.0,25.999989,66.00000700000001,7.999992,0.0
12,6.0,DiscoveredLabels,7.0000044,24.8333384,56.666665,6.833338199999999,4.6666684
12,6.0,HiddenLabels,42.0,21.2857168,17.8947504,11.714274,18.666657
12,6.0,Lift,0.0,0.9,73.000013,10.999991999999999,0.1071429
12,6.0,OracleDistribution,0.0,5.999994,73.000013,10.999991999999999,9.99999
12,6.0,OracleLift,0.0,0.9,73.000013,10.999991999999999,0.1071429
12,6.0,Rappel,0.0,18.0,,,2.142858
12,6.0,SampleDistribution,0.0,5.999994,73.000013,10.999991999999999,9.99999
15,7.0,DiscoveredLabels,5.5999956,24.2666668,56.533334,8.8666599,4.7333312
15,7.0,HiddenLabels,42.0,25.999995400000003,22.315792000000002,18.999982,23.666655000000002
15,7.0,Lift,0.0,1.4666652,11.199987899999998,3.3999968999999997,0.0666666
15,7.0,OracleDistribution,0.0,21.999987,52.666666000000006,16.999995000000002,8.333328
15,7.0,OracleLift,0.0,1.4666652,10.5333229,3.3999968999999997,0.11111103
15,7.0,Rappel,0.0,21.999987,168.0,51.0,1.0000005
15,7.0,SampleDistribution,0.0,21.999987,56.000001000000005,16.999995000000002,4.999995
18,6.0,DiscoveredLabels,4.6666668,21.555557800000003,59.555568,9.4444496,4.7777782
