Source,Target
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,10
0,11
0,12
0,13
1,14
1,15
1,17
1,18
1,20
1,21
1,25
1,26
2,15
2,19
2,22
2,27
3,16
3,17
3,19
3,28
3,29
3,30
4,18
4,28
4,33
5,20
6,21
6,22
6,30
6,34
6,36
7,23
7,24
7,25
7,27
7,31
7,32
7,33
7,35
7,36
8,24
8,26
10,29
11,31
11,37
12,32
12,37
13,35
13,38
14,39
14,40
14,41
14,42
14,47
14,48
14,49
14,50
14,55
14,56
14,66
15,40
15,42
15,43
15,44
15,51
15,52
15,53
15,54
15,57
15,58
15,59
15,67
15,68
15,69
15,70
16,45
16,46
16,71
16,74
17,45
17,47
17,49
17,52
17,53
17,72
17,73
17,75
17,76
17,77
17,85
18,48
18,50
18,54
18,72
18,78
18,84
19,46
19,51
19,52
19,79
19,80
21,55
21,56
21,58
21,59
21,76
21,77
21,78
21,88
21,89
21,94
21,95
22,57
22,58
22,80
22,90
22,97
23,60
23,61
23,63
23,81
23,91
23,92
24,62
24,64
24,65
25,61
25,64
25,66
25,68
25,69
25,82
25,83
25,84
25,85
25,93
25,94
25,95
26,62
26,70
27,63
27,65
27,67
27,68
27,86
27,87
27,96
27,97
28,71
28,72
29,75
29,79
29,99
30,74
30,76
30,99
30,100
31,82
31,86
31,98
32,83
32,87
32,98
33,81
33,84
33,101
34,88
34,100
34,102
34,105
35,91
35,93
35,96
35,101
35,103
35,104
36,92
36,94
36,104
36,105
37,98
38,103
39,106
39,107
39,108
39,109
39,120
39,121
39,122
39,123
39,133
39,134
39,155
40,107
40,109
40,110
40,111
40,114
40,124
40,130
40,131
40,135
40,136
40,137
40,143
40,156
40,157
40,163
41,108
41,138
42,109
42,111
42,112
42,125
42,126
42,139
42,140
42,158
42,159
43,110
43,112
43,113
43,127
43,128
43,129
43,141
43,142
43,160
43,161
43,162
44,111
44,132
44,144
44,164
44,165
44,197
44,226
45,115
45,117
45,118
45,119
45,167
45,168
45,170
46,116
46,117
46,169
46,171
47,115
47,120
47,122
47,125
47,130
47,166
47,172
47,173
47,174
47,182
48,121
48,123
48,126
48,131
48,166
48,175
48,183
49,122
49,176
49,177
50,123
51,116
51,124
51,129
51,165
51,178
51,179
51,184
52,117
52,129
52,132
52,180
52,181
52,185
53,118
53,125
53,127
53,132
53,186
53,187
53,188
54,126
54,128
54,189
55,133
55,134
55,136
55,138
55,140
55,143
55,173
55,176
55,182
55,183
55,198
55,199
55,202
55,214
55,220
56,134
56,137
56,174
56,175
56,177
56,199
56,200
56,215
57,135
57,139
57,142
57,181
57,187
57,189
57,197
57,201
57,203
57,218
57,222
58,136
58,142
58,144
58,179
58,188
58,201
58,204
58,219
58,223
59,137
59,140
59,141
59,144
59,184
59,185
59,203
59,204
59,205
59,224
59,225
60,145
60,206
61,145
61,146
61,148
61,149
61,152
61,153
61,190
61,207
61,208
61,209
61,211
62,150
62,154
63,147
63,148
63,153
63,210
63,212
65,151
65,154
66,146
66,155
66,157
66,159
66,163
66,213
66,214
66,215
66,220
67,147
67,151
67,156
67,158
67,162
67,191
67,192
67,216
67,219
67,224
67,226
68,148
68,157
68,162
68,164
68,193
68,194
68,217
68,218
68,225
69,149
69,159
69,160
69,164
69,195
69,196
69,221
69,222
69,223
70,150
70,161
72,166
72,227
74,167
74,170
74,171
74,230
75,172
75,180
75,186
75,231
75,233
76,167
76,173
76,177
76,231
76,232
76,234
77,168
77,174
77,176
77,185
77,188
77,227
77,233
77,234
77,235
78,175
78,227
78,236
79,178
79,180
80,169
80,179
80,181
81,190
82,193
82,195
82,228
82,237
83,194
83,196
83,228
83,238
86,191
86,193
86,229
86,239
87,192
87,194
87,229
87,240
88,198
88,200
88,205
88,232
88,235
88,236
88,241
88,242
88,246
88,248
89,199
89,204
89,234
89,242
89,251
90,201
91,207
92,206
92,208
92,211
92,212
92,243
92,244
93,207
93,213
93,217
93,221
93,245
93,247
94,208
94,214
94,246
94,251
95,209
95,215
95,223
95,225
95,237
95,238
95,247
95,248
95,251
96,216
96,217
96,249
96,250
97,210
97,218
97,219
97,239
97,240
97,250
98,228
98,229
99,231
100,230
100,232
102,241
103,245
103,249
105,243
105,246
106,252
106,253
106,254
106,256
106,282
106,283
106,299
106,300
106,303
107,253
107,254
107,255
107,257
107,262
107,269
107,270
107,292
107,301
107,302
107,304
107,311
107,323
108,305
108,324
109,254
109,256
109,257
109,258
109,262
109,263
109,306
109,307
109,312
109,325
110,255
110,258
110,259
110,260
110,261
110,264
110,270
110,271
110,284
110,293
110,296
110,308
110,309
110,310
110,313
110,326
110,339
110,340
110,341
110,351
111,257
111,263
111,264
111,265
111,272
111,297
111,314
111,318
111,342
111,346
111,401
111,466
112,258
112,261
112,265
112,266
112,267
112,285
112,286
112,287
112,315
112,316
112,317
112,343
112,344
112,345
113,260
113,264
113,265
113,266
113,268
113,273
113,274
113,288
113,289
113,290
113,291
113,295
113,298
113,319
113,320
113,321
113,322
113,328
113,347
113,348
113,349
113,350
113,353
113,354
114,262
114,271
114,272
114,402
114,467
114,503
115,275
115,280
115,355
115,356
115,359
115,364
116,277
116,278
116,357
116,360
117,277
117,279
117,358
117,361
118,276
118,279
118,281
118,362
118,363
118,365
119,280
119,281
119,366
119,367
120,275
120,282
120,292
120,368
120,369
120,370
120,372
120,381
121,283
122,371
122,373
122,382
125,286
125,294
125,383
126,287
126,297
126,384
127,276
127,284
127,285
127,286
127,289
127,295
127,374
127,375
127,378
127,385
128,287
128,298
128,379
128,386
129,277
129,290
129,291
129,376
129,377
129,380
129,387
130,293
130,294
130,388
131,296
131,297
131,389
131,390
132,279
132,289
132,290
132,392
132,393
132,394
132,396
133,299
133,300
133,302
133,305
133,307
133,323
133,324
133,325
133,369
133,371
133,381
133,382
133,403
133,404
133,407
133,419
133,454
134,300
134,303
134,304
134,311
134,312
134,370
134,372
134,373
134,404
134,405
134,407
134,408
135,301
135,306
135,309
135,388
135,389
135,401
135,402
135,406
135,409
135,420
135,455
136,302
136,310
136,318
136,390
136,406
136,421
136,503
137,304
137,312
137,313
137,409
137,410
137,422
138,305
138,411
138,412
139,306
139,314
139,316
139,413
140,307
140,312
140,317
140,318
140,327
140,383
140,384
140,413
140,414
140,423
140,446
140,456
141,308
141,313
141,315
141,317
141,320
141,328
141,377
141,385
141,386
141,387
141,415
141,416
141,417
141,424
141,449
141,451
141,457
142,309
142,310
142,316
142,321
142,322
142,375
142,378
142,379
142,380
142,416
142,417
142,418
142,450
142,452
142,458
143,311
143,325
143,326
143,327
143,420
143,421
143,422
143,425
143,459
143,503
144,318
144,320
144,321
144,391
144,395
144,426
144,427
144,428
144,462
144,463
144,465
145,429
145,430
146,334
146,431
146,432
146,434
146,440
147,330
147,331
147,335
147,433
147,438
147,441
148,330
148,332
148,336
148,439
149,329
149,332
149,337
149,435
149,436
149,437
149,442
151,333
151,338
152,334
152,336
152,337
152,443
152,444
152,445
153,335
