Source,Target,Distance
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,10
0,11
0,12
0,13
1,14,1
1,15,1
1,17,1
1,18,1
1,20,1
1,21,1
1,25,1
1,26,1
2,15,1
2,19,1
2,22,1
2,27,1
3,16,1
3,17,1
3,19,1
3,28,1
3,29,1
3,30,1
4,18,1
4,28,1
4,33,1
5,20,1
6,21,1
6,22,1
6,30,1
6,34,1
6,36,1
7,23,1
7,24,1
7,25,1
7,27,1
7,31,1
7,32,1
7,33,1
7,35,1
7,36,1
8,24,1
8,26,1
10,29,1
11,31,1
11,37,1
12,32,1
12,37,1
13,35,1
13,38,1
14,39,1
14,40,1
14,41,1
14,42,1
14,47,1
14,48,1
14,49,1
14,50,1
14,55,1
14,56,1
14,66,1
15,40,1
15,42,1
15,43,1
15,44,1
15,51,1
15,52,1
15,53,1
15,54,1
15,57,1
15,58,1
15,59,1
15,67,1
15,68,1
15,69,1
15,70,1
16,45,1
16,46,1
16,71,1
16,74,1
17,45,1
17,47,1
17,49,1
17,52,1
17,53,1
17,72,1
17,73,1
17,75,1
17,76,1
17,77,1
17,85,1
18,48,1
18,50,1
18,54,1
18,72,1
18,78,1
18,84,1
19,46,1
19,51,1
19,52,1
19,79,1
19,80,1
21,55,1
21,56,1
21,58,1
21,59,1
21,76,1
21,77,1
21,78,1
21,88,1
21,89,1
21,94,1
21,95,1
22,57,1
22,58,1
22,80,1
22,90,1
22,97,1
23,60,1
23,61,1
23,63,1
23,81,1
23,91,1
23,92,1
24,62,1
24,64,1
24,65,1
25,61,1
25,64,1
25,66,1
25,68,1
25,69,1
25,82,1
25,83,1
25,84,1
25,85,1
25,93,1
25,94,1
25,95,1
26,62,1
26,70,1
27,63,1
27,65,1
27,67,1
27,68,1
27,86,1
27,87,1
27,96,1
27,97,1
28,71,1
28,72,1
29,75,1
29,79,1
29,99,1
30,74,1
30,76,1
30,99,1
30,100,1
31,82,1
31,86,1
31,98,1
32,83,1
32,87,1
32,98,1
33,81,1
33,84,1
33,101,1
34,88,1
34,100,1
34,102,1
34,105,1
35,91,1
35,93,1
35,96,1
35,101,1
35,103,1
35,104,1
36,92,1
36,94,1
36,104,1
36,105,1
37,98,1
38,103,1
39,106,1
39,107,1
39,108,1
39,109,1
39,120,1
39,121,1
39,122,1
39,123,1
39,133,1
39,134,1
39,155,1
40,107,1
40,109,1
40,110,1
40,111,1
40,114,1
40,124,1
40,130,1
40,131,1
40,135,1
40,136,1
40,137,1
40,143,1
40,156,1
40,157,1
40,163,1
41,108,1
41,138,1
42,109,1
42,111,1
42,112,1
42,125,1
42,126,1
42,139,1
42,140,1
42,158,1
42,159,1
43,110,1
43,112,1
43,113,1
43,127,1
43,128,1
43,129,1
43,141,1
43,142,1
43,160,1
43,161,1
43,162,1
44,111,1
44,132,1
44,144,1
44,164,1
44,165,1
44,197,1
44,226,1
45,115,1
45,117,1
45,118,1
45,119,1
45,167,1
45,168,1
45,170,1
46,116,1
46,117,1
46,169,1
46,171,1
47,115,1
47,120,1
47,122,1
47,125,1
47,130,1
47,166,1
47,172,1
47,173,1
47,174,1
47,182,1
48,121,1
48,123,1
48,126,1
48,131,1
48,166,1
48,175,1
48,183,1
49,122,1
49,176,1
49,177,1
50,123,1
51,116,1
51,124,1
51,129,1
51,165,1
51,178,1
51,179,1
51,184,1
52,117,1
52,129,1
52,132,1
52,180,1
52,181,1
52,185,1
53,118,1
53,125,1
53,127,1
53,132,1
53,186,1
53,187,1
53,188,1
54,126,1
54,128,1
54,189,1
55,133,1
55,134,1
55,136,1
55,138,1
55,140,1
55,143,1
55,173,1
55,176,1
55,182,1
55,183,1
55,198,1
55,199,1
55,202,1
55,214,1
55,220,1
56,134,1
56,137,1
56,174,1
56,175,1
56,177,1
56,199,1
56,200,1
56,215,1
57,135,1
57,139,1
57,142,1
57,181,1
57,187,1
57,189,1
57,197,1
57,201,1
57,203,1
57,218,1
57,222,1
58,136,1
58,142,1
58,144,1
58,179,1
58,188,1
58,201,1
58,204,1
58,219,1
58,223,1
59,137,1
59,140,1
59,141,1
59,144,1
59,184,1
59,185,1
59,203,1
59,204,1
59,205,1
59,224,1
59,225,1
60,145,1
60,206,1
61,145,1
61,146,1
61,148,1
61,149,1
61,152,1
61,153,1
61,190,1
61,207,1
61,208,1
61,209,1
61,211,1
62,150,1
62,154,1
63,147,1
63,148,1
63,153,1
63,210,1
63,212,1
65,151,1
65,154,1
66,146,1
66,155,1
66,157,1
66,159,1
66,163,1
66,213,1
66,214,1
66,215,1
66,220,1
67,147,1
67,151,1
67,156,1
67,158,1
67,162,1
67,191,1
67,192,1
67,216,1
67,219,1
67,224,1
67,226,1
68,148,1
68,157,1
68,162,1
68,164,1
68,193,1
68,194,1
68,217,1
68,218,1
68,225,1
69,149,1
69,159,1
69,160,1
69,164,1
69,195,1
69,196,1
69,221,1
69,222,1
69,223,1
70,150,1
70,161,1
72,166,1
72,227,1
74,167,1
74,170,1
74,171,1
74,230,1
75,172,1
75,180,1
75,186,1
75,231,1
75,233,1
76,167,1
76,173,1
76,177,1
76,231,1
76,232,1
76,234,1
77,168,1
77,174,1
77,176,1
77,185,1
77,188,1
77,227,1
77,233,1
77,234,1
77,235,1
78,175,1
78,227,1
78,236,1
79,178,1
79,180,1
80,169,1
80,179,1
80,181,1
81,190,1
82,193,1
82,195,1
82,228,1
82,237,1
83,194,1
83,196,1
83,228,1
83,238,1
86,191,1
86,193,1
86,229,1
86,239,1
87,192,1
87,194,1
87,229,1
87,240,1
88,198,1
88,200,1
88,205,1
88,232,1
88,235,1
88,236,1
88,241,1
88,242,1
88,246,1
88,248,1
89,199,1
89,204,1
89,234,1
89,242,1
89,251,1
90,201,1
91,207,1
92,206,1
92,208,1
92,211,1
92,212,1
92,243,1
92,244,1
93,207,1
93,213,1
93,217,1
93,221,1
93,245,1
93,247,1
94,208,1
94,214,1
94,246,1
94,251,1
95,209,1
95,215,1
95,223,1
95,225,1
95,237,1
95,238,1
95,247,1
95,248,1
95,251,1
96,216,1
96,217,1
96,249,1
96,250,1
97,210,1
97,218,1
97,219,1
97,239,1
97,240,1
97,250,1
98,228,1
98,229,1
99,231,1
100,230,1
100,232,1
102,241,1
103,245,1
103,249,1
105,243,1
105,246,1
106,252,1
106,253,1
106,254,1
106,256,1
106,282,1
106,283,1
106,299,1
106,300,1
106,303,1
107,253,1
107,254,1
107,255,1
107,257,1
107,262,1
107,269,1
107,270,1
107,292,1
107,301,1
107,302,1
107,304,1
107,311,1
107,323,1
108,305,1
108,324,1
109,254,1
109,256,1
109,257,1
109,258,1
109,262,1
109,263,1
109,306,1
109,307,1
109,312,1
109,325,1
110,255,1
110,258,1
110,259,1
110,260,1
110,261,1
110,264,1
110,270,1
110,271,1
110,284,1
110,293,1
110,296,1
110,308,1
110,309,1
110,310,1
110,313,1
110,326,1
110,339,1
110,340,1
110,341,1
110,351,1
111,257,1
111,263,1
111,264,1
