Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,3.0,DiscoveredLabels,11.666658,15.666658,52.333330000000004,14.333322,5.999994
3,3.0,HiddenLabels,1.2962953,0.19183603999999999,0.26929611000000003,0.30496386000000003,0.72
3,3.0,Lift,0.972223,0.7833342000000001,1.09027754,0.8958322000000001,1.4999994
3,3.0,OracleDistribution,10.333325,35.333315,14.666652000000001,33.666646,5.999994
3,3.0,OracleLift,0.8611117999999999,1.7666685000000002,0.30555535999999994,2.1041646,1.4999994
3,3.0,Rappel,11.666658,9.4,13.0833438,10.75,18.0
3,3.0,SampleDistribution,11.666658,15.666658,52.333330000000004,14.333322,5.999994
6,4.0,DiscoveredLabels,7.166677,24.833339000000002,52.333337,11.50001,4.1666739999999995
6,4.0,HiddenLabels,1.5925913,0.6081624400000001,0.53859408,0.48936098,1.0
6,4.0,Lift,0.5955552000000001,1.035453,1.0018099999999999,1.1613338999999998,0.781669
6,4.0,OracleDistribution,0.999999,44.666656,17.666649,34.666641,1.999998
6,4.0,OracleLift,0.2233332,1.360301,0.33819035,4.645335899999999,0.6700020000000001
6,4.0,Rappel,2.666664,4.636362299999999,4.4857152,5.2,3.5
6,4.0,SampleDistribution,2.666664,33.999991,52.333335000000005,8.666661,2.333331
9,5.0,DiscoveredLabels,5.333328,27.777758,53.66667,9.666657,3.555552
9,5.0,HiddenLabels,1.7777764999999999,1.02040763,0.8284743299999999,0.61702048,1.28
9,5.0,Lift,0.81111,1.0458146000000001,1.02808469,0.7963631999999999,0.6813331000000001
9,5.0,OracleDistribution,0.666666,44.66665700000001,19.666647,32.666638000000006,2.333331
9,5.0,OracleLift,0.324444,1.3875164,0.35891647,4.3357552,0.6813331000000001
9,5.0,Rappel,1.666665,2.1489366000000003,2.1125,1.6363637999999998,1.4
9,5.0,SampleDistribution,1.666665,33.666659,56.333337,5.999994,2.333331
12,6.0,DiscoveredLabels,4.8333333,27.0833383,55.000003,9.9166729,3.1666662000000003
12,6.0,HiddenLabels,2.1481464,1.32653054,1.13207606,0.84397094,1.52
12,6.0,Lift,1.25417,0.9066285999999999,1.0634153400000002,0.9173341,0.7525020000000001
12,6.0,OracleDistribution,1.333332,38.333312,23.33331,34.999975,1.999998
12,6.0,OracleLift,0.501668,1.3901643,0.4205586,3.0100025,0.7525020000000001
12,6.0,Rappel,1.25,0.903615,1.05987886,0.9142850999999999,0.75
12,6.0,SampleDistribution,3.33333,24.999989,59.000002,10.666659,1.999998
15,7.0,DiscoveredLabels,4.5333328999999996,25.066664999999997,56.399997000000006,10.9333253,3.0666665999999996
15,7.0,HiddenLabels,2.5185166,1.53469356,1.45111537,1.16312022,1.84
15,7.0,Lift,1.60667,0.9311375,1.0340484,0.8406982,1.428152
15,7.0,OracleDistribution,2.666664,37.999978,22.333311,35.333306,1.666665
15,7.0,OracleLift,1.285336,2.0813664,0.37247979999999997,1.9803123999999999,0.892595
15,7.0,Rappel,1.0,0.5795446000000001,0.6435984,0.5232555,0.888888
15,7.0,SampleDistribution,3.33333,16.999993000000003,62.000005,14.999993000000002,2.666664
18,6.0,DiscoveredLabels,4.2777804,25.2777792,56.444444000000004,10.9444488,3.055557
18,6.0,HiddenLabels,2.8518498,1.8571424300000001,1.7427104800000002,1.39716284,2.2
18,6.0,Lift,1.1175030000000001,0.9544218999999999,1.0220742299999999,0.9465891999999999,1.135241
18,6.0,OracleDistribution,1.999998,42.333319,19.333314,33.333305,2.999997
18,6.0,OracleLift,0.745002,1.5341551999999998,0.34899702,2.8640765999999998,1.135241
18,6.0,Rappel,2.375,1.8554228000000001,2.07784398,1.8571426,1.875
18,6.0,SampleDistribution,2.999997,26.333326000000003,56.666672,10.999991999999999,2.999997
21,5.0,DiscoveredLabels,3.904759,25.999975399999997,56.047631,10.619039800000001,3.4285694
21,5.0,HiddenLabels,3.0370350000000004,2.22857081,2.0188686799999997,1.58156012,2.88
21,5.0,Lift,0.7944450000000001,0.9427749,0.9797093800000001,1.1483331,1.6444997999999997
21,5.0,OracleDistribution,0.333333,45.333324000000005,16.999983,31.666643000000004,5.666661
21,5.0,OracleLift,0.158889,1.4101079,0.31076821,4.1989985,1.6444997999999997
21,5.0,Rappel,3.33333,4.0851071999999995,4.125,3.9999987999999997,4.8
21,5.0,SampleDistribution,1.666665,30.333322000000003,53.666667000000004,8.666661,5.666661
24,4.0,DiscoveredLabels,3.9583344,26.4583339,55.666669,10.583335299999998,3.3333343
24,4.0,HiddenLabels,3.5185166,2.5918359900000003,2.2915953,1.8014183600000002,3.2
24,4.0,Lift,0.9955561,0.90280134,1.01548519,1.3546672000000002,0.8533360000000001
24,4.0,OracleDistribution,1.999998,43.666655,16.999983,34.66664,2.666664
24,4.0,OracleLift,0.4266666,1.33386336,0.32605460999999997,4.7146680000000005,0.8533360000000001
24,4.0,Rappel,6.999995,8.6818203,9.028581299999999,11.4,7.5
24,4.0,SampleDistribution,4.333329,29.666653,53.000002,10.333326,2.666664
27,3.0,DiscoveredLabels,4.8518495,25.7407153,54.740758,11.0740652,3.5925911999999998
27,3.0,HiddenLabels,4.8518495,2.83673411,2.535162,2.12056754,3.88
27,3.0,Lift,0.9411103,0.9863337,1.000185,0.8983322,1.2466661
27,3.0,OracleDistribution,10.666658,35.999984000000005,9.99999,37.999981000000005,5.333328
27,3.0,OracleLift,0.8433325,1.7807779,0.21081484,2.3649978000000003,1.1733328
27,3.0,Rappel,23.666655000000002,21.4,24.916670800000002,22.0,35.0
27,3.0,SampleDistribution,11.999991999999999,19.999988000000002,47.333333,14.99999,5.666661
30,4.0,DiscoveredLabels,4.8999988000000005,26.2333337,54.966664,10.599996899999999,3.2999992
30,4.0,HiddenLabels,5.4444416,3.2122439700000003,2.8284719999999997,2.2553194199999997,3.96
30,4.0,Lift,1.1522236,0.92942808,1.09393493,0.8709450000000001,0.20333400000000001
30,4.0,OracleDistribution,2.6666650000000005,43.666656,17.666649,35.333305,0.666666
30,4.0,OracleLift,0.576112,1.32789364,0.33854703999999997,4.9816681,0.20333400000000001
30,4.0,Rappel,12.333326,12.8636445,13.9142962,15.2,8.5
30,4.0,SampleDistribution,5.333329,30.666661000000005,57.000005,6.333328,0.666666
33,5.0,DiscoveredLabels,4.7575757,26.4242161,55.15153,10.4545388,3.2121207
33,5.0,HiddenLabels,5.814812,3.55918297,3.1217821,2.44680886,4.24
33,5.0,Lift,1.633337,0.8821283,1.04031748,1.1845788,0.6533331
33,5.0,OracleDistribution,1.333332,42.333319,19.666647,34.333307,2.333331
33,5.0,OracleLift,0.700001,1.31553314,0.35852298,4.559661500000001,0.6533331
33,5.0,Rappel,6.666661,5.8936186,6.2625,6.454542399999999,6.2
33,5.0,SampleDistribution,3.33333,28.333324,57.0,8.999994000000001,2.333331
36,6.0,DiscoveredLabels,4.5555569,26.361110600000004,55.361112000000006,10.6388907,3.0833352
36,6.0,HiddenLabels,6.0740712,3.8734689700000002,3.4185239999999997,2.7163125000000004,4.44
36,6.0,Lift,0.8779779999999999,0.9285217,1.03992256,1.0811452,0.6321439999999999
36,6.0,OracleDistribution,1.333332,40.333316,20.666646,35.999974,1.666665
36,6.0,OracleLift,0.509227,1.4590272999999998,0.37213644,3.0924680999999996,0.6321439999999999
36,6.0,Rappel,3.25,2.7831342,3.1137718000000003,2.9428571999999997,2.5
36,6.0,SampleDistribution,2.333331,25.666659,57.666673,12.666658,1.666665
39,7.0,DiscoveredLabels,4.4102574,25.6153591,55.897458,11.051273799999999,3.0256412
39,7.0,HiddenLabels,6.3703674,4.0775506,3.7392791,3.0567381399999998,4.72
39,7.0,Lift,1.277334,0.9118035999999999,1.0398227199999999,0.8955364,1.241849
39,7.0,OracleDistribution,1.999998,36.333307,22.999976999999998,36.999976000000004,1.666665
39,7.0,OracleLift,0.9580019999999999,1.9892165,0.38365781,2.0717765,0.887035
39,7.0,Rappel,1.8,1.1477257,1.2906549,1.0813947,1.666665
39,7.0,SampleDistribution,2.666666,16.666656,62.333337,15.99999,2.333331
42,6.0,DiscoveredLabels,4.2619031,25.4999981,56.071436000000006,11.119059,3.0476166
42,6.0,HiddenLabels,6.629626399999999,4.3714286,4.0394516,3.31205736,5.12
42,6.0,Lift,0.86905,0.8681842000000001,1.05311973,1.0352777,1.234051
42,6.0,OracleDistribution,1.333332,37.999979,22.999978000000002,34.333309,3.33333
42,6.0,OracleLift,0.504049,1.3749554000000002,0.41508515,2.9505489999999996,1.234051
42,6.0,Rappel,4.125,3.6506045,4.1616759000000005,3.97143,3.75
42,6.0,SampleDistribution,2.333331,23.999991,58.333336,11.999991,3.33333
45,5.0,DiscoveredLabels,4.1777764,25.822219,56.155558,10.7777761,3.0666645
45,5.0,HiddenLabels,6.9629594,4.7428569,4.3344769,3.43971696,5.52
45,5.0,Lift,1.3699979999999998,0.9414026099999999,1.0489486700000001,0.8040105,0.9818341
45,5.0,OracleDistribution,2.333331,43.333321999999995,17.999982,33.333306,2.999997
45,5.0,OracleLift,1.0655540000000001,1.34238638,0.32989210999999996,4.4558462,0.8905008000000001
45,5.0,Rappel,9.666658,7.8297906,8.4125,8.0909043,8.2
45,5.0,SampleDistribution,2.999997,30.333324,57.333338000000005,5.999995,3.33333
48,4.0,DiscoveredLabels,4.1666667,26.125002,56.083333999999994,10.5208391,3.1041667
48,4.0,HiddenLabels,7.4074038,5.1183672,4.6174968000000005,3.58156098,5.96
48,4.0,Lift,0.9344443,0.9202701000000001,1.05499645,0.9215554,1.16
48,4.0,OracleDistribution,1.999998,42.999988,18.333315,32.999976000000004,3.6666630000000002
48,4.0,OracleLift,0.4833333,1.30420242,0.35232446,4.6689998,1.16
48,4.0,Rappel,16.333327,17.0454618,18.6285726,19.2,14.0
48,4.0,SampleDistribution,3.999996,30.666654000000005,55.00000800000001,6.66666,3.6666630000000002
51,3.0,DiscoveredLabels,4.6862737999999995,25.823528,55.509804,10.8235333,3.1568614000000004
51,3.0,HiddenLabels,8.8518466,5.3755106,4.8559187,3.9148944,6.44
51,3.0,Lift,1.1822223,1.0323331999999998,0.9786057300000001,0.9552773999999999,0.7599996
51,3.0,OracleDistribution,11.999988,35.666656,12.333321000000002,35.999978,3.999996
51,3.0,OracleLift,1.0977778,1.8757219,0.26686140999999997,2.3116658,0.7599996
51,3.0,Rappel,36.666657,34.0,36.499997,33.75,47.0
51,3.0,SampleDistribution,12.999988,20.999989,46.333331,15.666656,3.999996
54,4.0,DiscoveredLabels,4.6111113,26.370367,55.351858,10.5740777,3.0925911999999998
54,4.0,HiddenLabels,9.2222165,5.8122452,5.1269299,4.049646200000001,6.68
54,4.0,Lift,0.6722221999999999,1.06494146,1.0166320899999999,0.8769443,0.5500001999999999
54,4.0,OracleDistribution,2.666664,44.999992,15.999984,34.333307,1.999998
54,4.0,OracleLift,0.5194444,1.35669824,0.3084896,4.9072215,0.5500001999999999
54,4.0,Rappel,19.666659000000003,21.9090973,23.142857,23.0,17.0
54,4.0,SampleDistribution,3.33333,35.666663,52.666661000000005,6.333327000000001,1.999998
57,5.0,DiscoveredLabels,4.4736842999999995,26.894737,55.210528999999994,10.3684199,3.0526324
57,5.0,HiddenLabels,9.4444381,6.2571424,5.397941499999999,4.1914902000000005,6.96
57,5.0,Lift,0.967778,1.12490139,0.96345658,0.8968302999999999,0.7295562
57,5.0,OracleDistribution,1.333332,44.333323,18.333315,33.666639,2.333331
57,5.0,OracleLift,0.67,1.37438314,0.33576704,4.5229533,0.7295562
57,5.0,Rappel,11.666657,10.1489434,10.3875,9.909084499999999,9.6
57,5.0,SampleDistribution,1.999998,36.333329000000006,52.66667100000001,6.66666,2.333331
60,6.0,DiscoveredLabels,4.45,27.150001000000003,54.899997000000006,10.500001500000002,2.9999999
60,6.0,HiddenLabels,9.8888815,6.6489788999999995,5.6500857,4.4680860000000004,7.2
60,6.0,Lift,1.49661,1.1581799,0.8853944699999999,1.124774,0.7798430000000001
60,6.0,OracleDistribution,2.999997,42.333319,17.999982,34.666639,1.999998
60,6.0,OracleLift,1.100955,1.5310135,0.32482254,2.9868070999999996,0.7798430000000001
60,6.0,Rappel,5.625,4.8072307,5.041915599999999,5.0857174,4.5
60,6.0,SampleDistribution,3.999997,31.999987,49.0,12.999991999999999,1.999998
63,7.0,DiscoveredLabels,4.3809504,26.888862,55.079385,10.7618979,2.8888867
63,7.0,HiddenLabels,10.2222146,6.9142853,5.951972,4.8085116,7.28
63,7.0,Lift,1.445632,1.1873023999999999,0.97905194,0.8941298999999999,0.352592
63,7.0,OracleDistribution,2.999997,37.666646,20.999979000000003,37.999976000000004,0.333333
63,7.0,OracleLift,1.445632,2.061311,0.35027437,2.1258104,0.176296
63,7.0,Rappel,2.7,1.8863622,1.89965254,1.6395339000000002,1.888887
63,7.0,SampleDistribution,2.999997,21.666655000000002,58.666669,15.999992000000002,0.666666
66,6.0,DiscoveredLabels,4.3030288,26.909087,54.969707,10.8787989,2.9393919
66,6.0,HiddenLabels,10.5185103,7.2489786,6.2229842,5.0921996,7.76
66,6.0,Lift,1.027104,0.9893651,0.9497610000000001,1.1388361,1.464049
66,6.0,OracleDistribution,1.999998,42.666654,17.999982,33.333309,3.999997
66,6.0,OracleLift,0.78877,1.5441295,0.32458458,2.8730791,1.464049
66,6.0,Rappel,6.625,5.7951828,5.988024,6.228576899999999,6.0
66,6.0,SampleDistribution,2.666664,27.333322000000003,52.666673,13.333324,3.999997
69,5.0,DiscoveredLabels,4.2608714,27.275367000000003,54.739128,10.8260877,2.8985527
69,5.0,HiddenLabels,10.888879999999999,7.6816323,6.478558799999999,5.297873399999999,8.0
69,5.0,Lift,1.601114,1.09588737,0.90885949,1.2685389,0.5458335000000001
69,5.0,OracleDistribution,2.666664,45.666659,14.999985000000002,34.66664,1.999998
69,5.0,OracleLift,1.310002,1.4180169,0.27427079,4.6200351,0.5458335000000001
69,5.0,Rappel,14.999989000000001,12.404263799999999,12.25,12.545444999999999,10.8
69,5.0,SampleDistribution,3.33333,35.333328,49.666666000000006,9.666662,1.999998
72,4.0,DiscoveredLabels,4.3055572,27.500006,54.611104999999995,10.638890400000001,2.9444464
72,4.0,HiddenLabels,11.481471999999998,8.081631999999999,6.7444254,5.4326252,8.48
72,4.0,Lift,1.0977782,0.9918800799999999,1.00257545,0.7655557000000001,1.2999988999999998
72,4.0,OracleDistribution,2.666664,46.333328,12.999987,33.999976000000004,3.999997
72,4.0,OracleLift,0.5200002,1.4103806799999998,0.25304681,4.7782233000000005,1.2999988999999998
72,4.0,Rappel,24.999990000000004,26.363637100000002,27.571424,26.8,23.0
72,4.0,SampleDistribution,5.333329,32.666662,51.666668,6.333327000000001,3.999997
75,3.0,DiscoveredLabels,4.6933329,27.373335,54.186665000000005,10.8533357,2.8933335
75,3.0,HiddenLabels,13.037025100000001,8.3795929,6.9708414,5.7730508,8.68
75,3.0,Lift,1.2088893,1.1582223999999999,0.92988393,1.0222229,0.26666650000000003
75,3.0,OracleDistribution,12.999991,35.333319,10.333323,39.66665,1.666665
75,3.0,OracleLift,1.075556,1.8702226,0.21267733,2.9200011999999997,0.26666650000000003
75,3.0,Rappel,50.666663,48.6,47.499998999999995,45.75,52.0
75,3.0,SampleDistribution,13.99999,24.333321,43.999995,15.999989000000001,1.666665
78,4.0,DiscoveredLabels,4.6666676,27.615382,54.243599,10.5897494,2.8846138000000003
78,4.0,HiddenLabels,13.4814692,8.7918354,7.257290299999999,5.858157200000001,9.0
78,4.0,Lift,0.8166666,1.01420151,1.07589679,0.5199444,0.8166661999999999
78,4.0,OracleDistribution,2.999997,42.666653000000004,19.666647,31.999969,2.666664
78,4.0,OracleLift,0.5988888,1.29388758,0.37922464,4.6059982999999995,0.8166661999999999
78,4.0,Rappel,28.999992000000002,30.954541,32.342857,29.2,27.0
78,4.0,SampleDistribution,3.999996,33.666659,55.666673,3.999997,2.666664
81,5.0,DiscoveredLabels,4.6296291,27.691361999999998,54.345687,10.432094300000001,2.9012349
81,5.0,HiddenLabels,13.8888761,9.1551043,7.5506001000000005,5.992909,9.4
81,5.0,Lift,1.7066640000000002,0.9184374099999999,1.03977257,0.8294142999999999,0.9528891
81,5.0,OracleDistribution,2.999997,42.99998900000001,18.666648,31.999973,3.33333
81,5.0,OracleLift,1.42222,1.34076168,0.34059959,4.2785968,0.9528891
81,5.0,Rappel,18.666654,14.297882199999998,14.3875,14.2727165,12.8
81,5.0,SampleDistribution,3.6666630000000002,29.666656000000003,57.000006000000006,6.333327000000001,3.33333
84,6.0,DiscoveredLabels,4.547618,27.702379,54.345239,10.5119051,2.8928573999999996
84,6.0,HiddenLabels,14.1481351,9.4979609,7.8301884,6.2624126,9.72
84,6.0,Lift,0.859109,1.0090008,0.9784727,1.0937367999999998,0.9994850000000001
84,6.0,OracleDistribution,1.333332,44.333321999999995,18.333315,33.333305,2.6666650000000005
84,6.0,OracleLift,0.48851300000000003,1.6043525,0.33022725,2.8795271000000002,0.9994850000000001
84,6.0,Rappel,7.5,6.8072303,6.9640711,7.3142913,7.0
