Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,3.0,DiscoveredLabels,10.999991999999999,22.666656000000003,46.666665,16.666655000000002,2.999997
3,3.0,HiddenLabels,1.2222213,0.27755008,0.24013674999999998,0.3546092,0.36
3,3.0,Lift,0.9166674,1.1333344,0.97222206,1.0416655,0.7499997
3,3.0,OracleDistribution,16.999991,21.999989,35.666657,17.666656,7.66666
3,3.0,OracleLift,1.4166676999999999,1.1000011,0.74305548,1.1041656,1.9166663
3,3.0,Rappel,10.999991999999999,13.6,11.6666767,12.5,9.0
3,3.0,SampleDistribution,10.999991999999999,22.666656000000003,46.666665,16.666655000000002,2.999997
6,4.0,DiscoveredLabels,8.666675,28.500001,49.0,10.833346999999998,3.000005
6,4.0,HiddenLabels,1.9259249,0.69795857,0.5042889,0.46099204,0.72
6,4.0,Lift,1.4144438,1.0456045,0.98266695,0.6700003999999999,1.005003
6,4.0,OracleDistribution,14.333326000000001,30.999994,39.666662,9.333327,5.666663
6,4.0,OracleLift,3.2011102,0.9440895,0.75933335,1.2506673,1.8983370000000002
6,4.0,Rappel,6.333328,4.6818177,4.4000008,3.0,4.5
6,4.0,SampleDistribution,6.333328,34.333329000000006,51.33333400000001,4.999996,2.999997
9,5.0,DiscoveredLabels,6.222216,31.222206,50.444447,9.666657,2.4444420000000004
9,5.0,HiddenLabels,2.074073,1.14693869,0.77873149,0.6170205200000001,0.88
9,5.0,Lift,0.648888,1.1390060000000002,0.9733344599999999,0.9733328,0.38933320000000005
9,5.0,OracleDistribution,7.999994,32.666662,47.00000300000001,9.333324,2.999997
9,5.0,OracleLift,3.8933280000000003,1.0147508,0.85775132,1.2387872,0.8759996999999999
9,5.0,Rappel,1.333332,2.3404260000000003,2.0,1.9999999999999998,0.8
9,5.0,SampleDistribution,1.333332,36.666665,53.333332,7.333327000000001,1.333332
12,6.0,DiscoveredLabels,5.5833361,30.416672199999997,51.583337,10.2500088,2.1666674
12,6.0,HiddenLabels,2.4814802,1.48979598,1.06175022,0.87233988,1.04
12,6.0,Lift,1.379586,1.0154236,0.9913192399999999,1.0320009,0.501668
12,6.0,OracleDistribution,7.999994,31.999991,40.333326,15.666653000000002,3.999996
12,6.0,OracleLift,3.010006,1.1604841000000001,0.72696708,1.3473347000000002,1.5050040000000002
12,6.0,Rappel,1.375,1.0120488,0.98802286,1.0285707,0.5
12,6.0,SampleDistribution,3.666664,27.999992000000002,54.999998000000005,11.999991,1.333332
15,7.0,DiscoveredLabels,4.7333299,27.5999962,53.666668,11.9333222,2.0666653
15,7.0,HiddenLabels,2.6296283999999996,1.68979554,1.38078996,1.26950328,1.24
15,7.0,Lift,0.642668,0.8946223000000001,1.0340484,1.0462023,0.892595
15,7.0,OracleDistribution,6.666665,19.999991,44.333331,20.333321,8.666659000000001
