Source,Target
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,10
2,11
2,12
2,14
2,15
2,16
3,11
3,13
3,17
4,20
4,21
5,12
5,13
5,18
5,19
5,20
5,22
5,23
5,24
5,25
6,19
6,21
6,25
6,26
7,14
7,17
7,22
7,26
7,27
7,28
7,30
7,32
8,15
8,23
8,28
8,31
8,33
9,29
9,30
9,31
10,32
10,33
11,35
11,36
13,39
13,40
14,34
14,35
14,37
14,41
14,42
14,43
14,44
14,46
15,44
15,45
15,47
16,36
16,46
16,47
17,35
17,38
17,39
17,48
17,49
17,50
18,53
19,54
19,55
19,56
20,57
21,58
22,37
22,38
22,39
22,51
22,54
22,57
22,59
22,60
22,61
22,62
22,64
22,66
23,52
23,62
23,63
23,65
23,67
24,40
24,53
24,55
24,64
24,65
24,68
25,56
25,66
25,67
25,69
26,54
26,58
26,69
26,70
26,71
26,72
27,41
27,43
27,48
27,50
27,59
27,61
27,70
27,72
27,73
27,74
27,75
27,76
27,81
28,42
28,44
28,45
28,49
28,60
28,62
28,63
28,71
28,74
28,76
28,77
28,78
28,82
28,83
28,84
28,85
28,86
28,87
29,79
29,80
30,79
30,81
30,83
30,84
31,80
31,82
31,83
32,86
32,87
33,85
33,86
34,89
35,90
35,91
35,93
36,92
36,93
37,95
37,96
38,99
39,100
39,101
39,104
40,102
40,103
40,104
40,105
41,88
41,90
41,94
41,106
41,107
41,108
41,109
41,111
41,112
41,118
42,91
42,109
42,110
42,113
42,119
43,111
43,120
44,112
44,113
44,114
44,121
45,114
45,115
45,116
45,117
45,122
46,92
46,93
46,96
46,118
46,119
46,120
46,121
46,123
46,124
47,121
47,122
48,90
48,97
48,100
48,125
48,126
48,127
48,128
48,130
49,91
49,98
49,101
49,128
49,129
49,131
50,130
50,131
51,134
53,135
53,136
53,137
55,138
55,141
56,139
56,140
56,141
59,94
59,97
59,100
59,132
59,142
59,143
59,144
59,145
59,147
59,148
59,154
60,101
60,133
60,145
60,146
60,149
60,155
60,159
61,147
61,156
62,148
62,149
62,150
62,157
62,160
63,98
63,133
63,150
63,151
63,152
63,153
63,158
63,161
64,138
64,154
64,155
64,156
64,157
64,162
64,163
64,165
65,157
65,158
65,164
65,166
66,139
66,159
66,160
66,167
67,160
67,161
67,168
68,105
68,165
68,166
69,167
69,168
69,169
69,170
70,169
70,171
70,172
70,173
70,175
71,170
71,173
71,174
71,176
72,175
72,176
73,106
73,111
73,125
73,130
73,142
73,147
73,171
73,175
73,177
73,178
73,179
73,180
74,107
74,112
74,115
74,126
74,131
74,143
74,148
74,151
74,172
74,176
74,178
74,180
74,181
74,182
74,183
74,187
75,108
75,127
75,144
75,179
75,182
75,184
76,109
76,117
76,128
76,145
76,153
76,173
76,180
76,183
76,185
77,110
77,114
77,129
77,146
77,150
77,174
77,181
77,185
77,186
77,189
77,190
77,192
77,193
78,113
78,149
78,183
78,191
78,194
78,195
78,196
80,188
82,188
82,190
82,195
83,190
83,191
84,189
84,191
85,193
85,196
86,193
86,194
87,192
87,194
89,197
90,198
90,200
92,199
92,201
93,200
93,201
95,202
98,203
100,204
100,205
100,206
100,212
101,206
101,207
101,213
102,208
102,209
102,210
102,214
102,216
103,210
103,211
103,215
104,212
104,213
104,214
104,215
104,217
105,216
105,217
106,198
106,218
106,219
106,220
106,221
106,223
106,224
106,230
106,239
107,221
107,222
107,225
107,240
108,223
109,224
109,225
109,226
109,241
110,226
110,227
110,228
110,229
110,231
110,242
111,230
111,232
111,243
112,233
113,231
113,234
113,244
114,233
114,234
114,235
114,236
114,245
115,235
115,237
115,246
116,236
116,238
116,247
118,199
118,200
118,239
118,240
118,241
118,243
118,248
119,241
119,242
119,244
119,249
120,243
120,250
121,244
121,245
121,251
122,245
122,246
122,247
123,201
123,248
123,249
123,250
123,251
124,252
125,198
125,204
125,253
125,254
125,255
125,256
125,258
125,259
125,264
126,205
126,256
126,257
126,260
126,265
127,258
128,206
128,259
128,260
128,261
128,266
129,207
129,261
129,262
129,263
129,267
130,264
130,265
130,266
130,268
130,269
131,266
131,267
131,270
133,271
134,272
134,273
135,274
135,275
136,276
138,278
140,277
141,278
142,204
142,279
142,280
142,281
142,283
142,288
142,289
142,304
143,205
143,281
143,282
143,284
143,290
143,305
145,206
145,283
145,284
145,285
145,291
145,306
146,207
146,285
146,286
146,287
146,292
146,307
146,315
147,288
147,308
148,289
148,290
148,291
148,293
148,309
149,291
149,292
149,294
149,310
149,316
150,293
150,294
150,295
150,296
150,297
150,311
150,317
151,295
151,298
151,299
151,300
151,302
151,312
152,296
152,300
152,301
152,303
152,313
152,318
153,297
153,302
153,303
153,314
154,304
154,305
154,306
154,308
154,309
154,319
154,320
154,327
155,271
155,306
155,307
155,310
155,321
155,322
155,328
156,308
156,323
157,309
157,310
157,311
157,324
157,325
157,329
158,311
158,312
158,313
158,314
158,326
158,330
159,315
159,316
159,331
160,316
160,317
160,332
161,317
161,318
161,333
162,319
162,321
162,323
162,324
162,335
163,320
163,322
163,325
163,334
163,336
164,325
164,326
165,327
165,328
165,329
165,335
165,336
166,329
166,330
167,331
167,332
167,337
167,338
168,332
168,333
168,339
168,340
169,337
169,339
169,341
170,338
170,340
170,341
170,342
172,343
172,344
173,341
173,344
173,345
174,342
174,345
174,346
174,347
176,347
177,218
177,230
177,232
177,253
177,264
177,268
177,279
177,288
177,348
177,349
177,350
177,351
177,353
177,355
177,371
178,219
178,237
178,254
178,265
178,269
178,280
178,289
178,298
178,349
178,351
178,352
178,354
178,356
178,361
178,364
178,372
179,220
179,223
179,255
179,258
179,350
179,353
179,354
179,361
179,362
179,365
180,221
180,224
180,256
180,259
180,266
180,281
180,283
180,302
180,351
180,355
180,356
180,357
180,364
180,365
180,366
181,222
181,227
181,233
181,235
181,257
181,262
181,267
181,282
181,286
181,293
181,295
181,343
181,347
181,352
181,357
181,358
181,359
181,360
181,363
181,367
181,373
182,354
182,363
183,225
183,260
183,284
183,344
183,356
183,366
183,367
183,368
183,374
185,226
185,229
185,261
185,285
185,297
185,345
185,357
185,360
185,368
185,369
186,228
186,231
186,234
186,236
186,238
186,263
186,287
186,292
186,294
186,296
186,301
186,346
186,359
186,367
186,368
186,369
186,370
186,375
186,376
186,377
186,378
186,379
186,380
186,381
186,382
186,383
186,384
186,385
186,386
187,290
187,364
187,373
187,374
189,378
189,381
190,379
190,380
191,378
191,379
192,383
192,386
193,384
193,385
194,383
194,384
198,387
198,388
200,388
204,389
204,399
205,390
206,391
206,400
207,391
207,392
207,401
208,393
208,394
208,402
208,409
209,395
209,397
209,403
210,396
210,397
210,406
211,396
211,398
211,407
212,399
212,400
212,404
212,408
213,400
213,401
213,405
214,402
214,403
214,404
214,405
214,406
215,406
215,407
215,408
216,409
218,387
218,410
218,411
218,412
218,414
218,416
218,426
218,439
219,412
219,413
219,440
220,414
222,415
222,417
222,441
223,416
224,418
225,417
225,419
225,442
226,418
226,419
226,420
226,443
227,421
