Source,Target,Distance
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,10
2,11,1
2,12,1
2,14,1
2,15,1
2,16,1
3,11,1
3,13,1
3,17,1
4,20,1
4,21,1
5,12,1
5,13,1
5,18,1
5,19,1
5,20,1
5,22,1
5,23,1
5,24,1
5,25,1
6,19,1
6,21,1
6,25,1
6,26,1
7,14,1
7,17,1
7,22,1
7,26,1
7,27,1
7,28,1
7,30,1
7,32,1
8,15,1
8,23,1
8,28,1
8,31,1
8,33,1
9,29,1
9,30,1
9,31,1
10,32,1
10,33,1
11,35,1
11,36,1
13,39,1
13,40,1
14,34,1
14,35,1
14,37,1
14,41,1
14,42,1
14,43,1
14,44,1
14,46,1
15,44,1
15,45,1
15,47,1
16,36,1
16,46,1
16,47,1
17,35,1
17,38,1
17,39,1
17,48,1
17,49,1
17,50,1
18,53,1
19,54,1
19,55,1
19,56,1
20,57,1
21,58,1
22,37,1
22,38,1
22,39,1
22,51,1
22,54,1
22,57,1
22,59,1
22,60,1
22,61,1
22,62,1
22,64,1
22,66,1
23,52,1
23,62,1
23,63,1
23,65,1
23,67,1
24,40,1
24,53,1
24,55,1
24,64,1
24,65,1
24,68,1
25,56,1
25,66,1
25,67,1
25,69,1
26,54,1
26,58,1
26,69,1
26,70,1
26,71,1
26,72,1
27,41,1
27,43,1
27,48,1
27,50,1
27,59,1
27,61,1
27,70,1
27,72,1
27,73,1
27,74,1
27,75,1
27,76,1
27,81,1
28,42,1
28,44,1
28,45,1
28,49,1
28,60,1
28,62,1
28,63,1
28,71,1
28,74,1
28,76,1
28,77,1
28,78,1
28,82,1
28,83,1
28,84,1
28,85,1
28,86,1
28,87,1
29,79,1
29,80,1
30,79,1
30,81,1
30,83,1
30,84,1
31,80,1
31,82,1
31,83,1
32,86,1
32,87,1
33,85,1
33,86,1
34,89,1
35,90,1
35,91,1
35,93,1
36,92,1
36,93,1
37,95,1
37,96,1
38,99,1
39,100,1
39,101,1
39,104,1
40,102,1
40,103,1
40,104,1
40,105,1
41,88,1
41,90,1
41,94,1
41,106,1
41,107,1
41,108,1
41,109,1
41,111,1
41,112,1
41,118,1
42,91,1
42,109,1
42,110,1
42,113,1
42,119,1
43,111,1
43,120,1
44,112,1
44,113,1
44,114,1
44,121,1
45,114,1
45,115,1
45,116,1
45,117,1
45,122,1
46,92,1
46,93,1
46,96,1
46,118,1
46,119,1
46,120,1
46,121,1
46,123,1
46,124,1
47,121,1
47,122,1
48,90,1
48,97,1
48,100,1
48,125,1
48,126,1
48,127,1
48,128,1
48,130,1
49,91,1
49,98,1
49,101,1
49,128,1
49,129,1
49,131,1
50,130,1
50,131,1
51,134,1
53,135,1
53,136,1
53,137,1
55,138,1
55,141,1
56,139,1
56,140,1
56,141,1
59,94,1
59,97,1
59,100,1
59,132,1
59,142,1
59,143,1
59,144,1
59,145,1
59,147,1
59,148,1
59,154,1
60,101,1
60,133,1
60,145,1
60,146,1
60,149,1
60,155,1
60,159,1
61,147,1
61,156,1
62,148,1
62,149,1
62,150,1
62,157,1
62,160,1
63,98,1
63,133,1
63,150,1
63,151,1
63,152,1
63,153,1
63,158,1
63,161,1
64,138,1
64,154,1
64,155,1
64,156,1
64,157,1
64,162,1
64,163,1
64,165,1
65,157,1
65,158,1
65,164,1
65,166,1
66,139,1
66,159,1
66,160,1
66,167,1
67,160,1
67,161,1
67,168,1
68,105,1
68,165,1
68,166,1
69,167,1
69,168,1
69,169,1
69,170,1
70,169,1
70,171,1
70,172,1
70,173,1
70,175,1
71,170,1
71,173,1
71,174,1
71,176,1
72,175,1
72,176,1
73,106,1
73,111,1
73,125,1
73,130,1
73,142,1
73,147,1
73,171,1
73,175,1
73,177,1
73,178,1
73,179,1
73,180,1
74,107,1
74,112,1
74,115,1
74,126,1
74,131,1
74,143,1
74,148,1
74,151,1
74,172,1
74,176,1
74,178,1
74,180,1
74,181,1
74,182,1
74,183,1
74,187,1
75,108,1
75,127,1
75,144,1
75,179,1
75,182,1
75,184,1
76,109,1
76,117,1
76,128,1
76,145,1
76,153,1
76,173,1
76,180,1
76,183,1
76,185,1
77,110,1
77,114,1
77,129,1
77,146,1
77,150,1
77,174,1
77,181,1
77,185,1
77,186,1
77,189,1
77,190,1
77,192,1
77,193,1
78,113,1
78,149,1
78,183,1
78,191,1
78,194,1
78,195,1
78,196,1
80,188,1
82,188,1
82,190,1
82,195,1
83,190,1
83,191,1
84,189,1
84,191,1
85,193,1
85,196,1
86,193,1
86,194,1
87,192,1
87,194,1
89,197,1
90,198,1
90,200,1
92,199,1
92,201,1
93,200,1
93,201,1
95,202,1
98,203,1
100,204,1
100,205,1
100,206,1
100,212,1
101,206,1
101,207,1
101,213,1
102,208,1
102,209,1
102,210,1
102,214,1
102,216,1
103,210,1
103,211,1
103,215,1
104,212,1
104,213,1
104,214,1
104,215,1
104,217,1
105,216,1
105,217,1
106,198,1
106,218,1
106,219,1
106,220,1
106,221,1
106,223,1
106,224,1
106,230,1
106,239,1
107,221,1
107,222,1
107,225,1
107,240,1
108,223,1
109,224,1
109,225,1
109,226,1
109,241,1
110,226,1
110,227,1
110,228,1
110,229,1
110,231,1
110,242,1
111,230,1
111,232,1
111,243,1
112,233,1
113,231,1
113,234,1
113,244,1
114,233,1
114,234,1
114,235,1
114,236,1
114,245,1
115,235,1
115,237,1
115,246,1
116,236,1
116,238,1
116,247,1
118,199,1
118,200,1
118,239,1
118,240,1
118,241,1
118,243,1
118,248,1
119,241,1
119,242,1
119,244,1
119,249,1
120,243,1
120,250,1
121,244,1
121,245,1
121,251,1
122,245,1
122,246,1
122,247,1
123,201,1
123,248,1
123,249,1
123,250,1
123,251,1
124,252,1
125,198,1
125,204,1
125,253,1
125,254,1
125,255,1
125,256,1
125,258,1
125,259,1
125,264,1
126,205,1
126,256,1
126,257,1
126,260,1
126,265,1
127,258,1
128,206,1
128,259,1
128,260,1
128,261,1
128,266,1
129,207,1
129,261,1
129,262,1
129,263,1
129,267,1
130,264,1
130,265,1
130,266,1
130,268,1
130,269,1
131,266,1
131,267,1
131,270,1
133,271,1
134,272,1
134,273,1
135,274,1
135,275,1
136,276,1
138,278,1
140,277,1
141,278,1
142,204,1
142,279,1
142,280,1
142,281,1
142,283,1
142,288,1
142,289,1
142,304,1
143,205,1
143,281,1
143,282,1
143,284,1
143,290,1
143,305,1
145,206,1
145,283,1
145,284,1
145,285,1
145,291,1
145,306,1
146,207,1
146,285,1
146,286,1
146,287,1
146,292,1
146,307,1
146,315,1
147,288,1
147,308,1
148,289,1
148,290,1
148,291,1
148,293,1
148,309,1
149,291,1
149,292,1
149,294,1
149,310,1
149,316,1
150,293,1
150,294,1
150,295,1
150,296,1
150,297,1
150,311,1
150,317,1
151,295,1
151,298,1
151,299,1
151,300,1
151,302,1
151,312,1
152,296,1
152,300,1
152,301,1
152,303,1
152,313,1
152,318,1
153,297,1
153,302,1
153,303,1
153,314,1
154,304,1
