Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,3.0,DiscoveredLabels,17.333321,44.999998000000005,29.666657,7.999993000000001,0.0
3,3.0,HiddenLabels,3.7142861999999996,0.93749918,0.23989296,0.20689636,0.0
3,3.0,Lift,0.9966679,1.03499888,0.9747633,0.9199993000000001,0.0
3,3.0,OracleDistribution,13.333321000000002,31.999988000000002,47.666667000000004,6.999994,0.0
3,3.0,OracleLift,0.7666679000000001,0.73599958,1.5661923999999998,0.8049994000000001,0.0
3,3.0,Rappel,13.0,13.5,19.681737000000002,12.0,0.0
3,3.0,SampleDistribution,17.333321,44.999998000000005,29.666657,7.999993000000001,0.0
6,4.0,DiscoveredLabels,11.16668,41.999996,35.499998,10.166673999999999,1.166669
6,4.0,HiddenLabels,4.7857144,1.74999944,0.5741238,0.52586202,0.4375
6,4.0,Lift,0.9,1.0028584,0.9704360099999999,1.11,1.26
6,4.0,OracleDistribution,4.333329,33.666659,49.666669,9.999991,2.333331
6,4.0,OracleLift,0.78,0.86571529,1.16608857,0.9,1.26
6,4.0,Rappel,4.999996,5.571425499999999,7.113481,6.428579999999999,7.0
6,4.0,SampleDistribution,4.999996,38.999995000000006,41.333330000000004,12.333324,2.333331
9,5.0,DiscoveredLabels,8.444436000000001,37.111098,41.666658,11.333322,1.444443
9,5.0,HiddenLabels,5.428571600000001,2.31944366,1.01077994,0.87931066,0.8125
9,5.0,Lift,0.8174997,1.0273553,1.03263014,0.8762729,1.090002
9,5.0,OracleDistribution,1.999998,22.333323,58.66667,15.666659000000003,1.333332
9,5.0,OracleLift,0.5449998,0.8394241,1.12186958,1.0045083,0.726668
9,5.0,Rappel,2.25,2.8275871,3.7598244,3.1846908000000003,3.333334
9,5.0,SampleDistribution,2.999997,27.333325,53.999998000000005,13.666657,1.999998
12,6.0,DiscoveredLabels,6.4166683,33.6666695,44.250002599999995,13.750010099999999,1.9166675
12,6.0,HiddenLabels,5.5000006,2.8055556,1.43126598,1.4224149600000002,1.4375
12,6.0,Lift,0.633333,1.0813028,0.923364,1.1399987,1.0555590000000001
12,6.0,OracleDistribution,0.0,17.666655000000002,57.666672000000005,20.666656000000003,3.999997
12,6.0,OracleLift,0.0,0.8187010000000001,1.023987,1.1219034,1.266671
12,6.0,Rappel,1.0,1.7073152000000003,1.8404643200000002,2.2055550999999998,2.09524
12,6.0,SampleDistribution,0.333333,23.333322000000003,52.000002,20.999990000000004,3.333331
15,7.0,DiscoveredLabels,5.199998399999999,30.3999977,47.266670000000005,14.999992500000001,2.1333333999999997
15,7.0,HiddenLabels,5.5714292,3.16666652,1.91105094,1.9396569,2.0
15,7.0,Lift,0.475,1.148836,0.9553689,1.0178580000000002,1.2214260000000001
15,7.0,OracleDistribution,0.333333,13.333325,58.333337,24.999990000000004,2.999997
15,7.0,OracleLift,0.475,0.8837199999999998,0.93926722,1.2723225,1.2214260000000001
15,7.0,Rappel,0.5,1.2093016,1.22802668,1.453363,1.5178559999999999
15,7.0,SampleDistribution,0.333333,17.333323,59.333338000000005,19.999989,2.999997
18,6.0,DiscoveredLabels,4.3333352000000005,29.333327600000004,48.055554,15.444446000000001,2.833335
18,6.0,HiddenLabels,5.5714292,3.66666722,2.3315359,2.396554,3.1875
18,6.0,Lift,0.0,1.1150164,0.9218290100000001,0.9613802,1.9738909999999998
18,6.0,OracleDistribution,0.0,16.999987,56.00000300000001,21.66666,5.333328
18,6.0,OracleLift,0.0,0.7899668,0.9926792799999999,1.1777450999999999,1.662224
18,6.0,Rappel,1.0,3.4634126000000003,3.2929747299999996,3.8223080999999994,4.976197999999999
18,6.0,SampleDistribution,0.0,23.999987,51.999998000000005,17.666658,6.333328
21,5.0,DiscoveredLabels,4.0952355,28.809497099999998,48.380951,15.857129399999998,2.857141
21,5.0,HiddenLabels,6.1428572,4.20138952,2.7385444000000003,2.87069216,3.75
21,5.0,Lift,0.7066664,0.9643484000000001,0.9637617199999999,1.1829733,1.5900029999999998
21,5.0,OracleDistribution,1.666665,17.333324,58.333336,19.333324,3.33333
21,5.0,OracleLift,0.4416665,0.6503877,1.11717748,1.2466253,1.7666699999999997
21,5.0,Rappel,4.25,5.4827547,6.3912058,6.3758174,8.666667
21,5.0,SampleDistribution,2.666664,25.666653999999998,50.333329000000006,18.333326000000003,2.999997
24,4.0,DiscoveredLabels,4.3750006,30.166666,47.124997,15.5000013,2.8333339
24,4.0,HiddenLabels,7.4999991999999995,5.0277787,3.0485168,3.2068989799999996,4.25
24,4.0,Lift,1.0766673,1.01948857,0.8956205799999999,1.1843328,1.36
24,4.0,OracleDistribution,5.666661,31.999992000000002,48.666667000000004,10.999991999999999,2.666664
24,4.0,OracleLift,0.9633339,0.82242649,1.13901026,1.0086662,1.36
24,4.0,Rappel,11.333323,11.2380874,12.176381200000002,12.92858,15.0
24,4.0,SampleDistribution,6.333327000000001,39.666662,38.333331,12.999991,2.666664
27,3.0,DiscoveredLabels,5.814812,31.666638,45.555545,14.4444316,2.5185174999999997
27,3.0,HiddenLabels,11.214285199999999,5.9375006,3.3153631000000003,3.3620709599999996,4.25
27,3.0,Lift,1.027778,1.0161112300000001,1.0774593300000002,0.6666662999999999,0.0
27,3.0,OracleDistribution,14.666654000000001,32.999993,48.333338000000005,3.999997,0.0
27,3.0,OracleLift,0.877778,0.7695503499999999,1.5911098799999999,0.43333309999999997,0.0
27,3.0,Rappel,26.0,26.6,32.702371,21.0,0.0
27,3.0,SampleDistribution,17.333321,43.666668,32.999995000000006,5.999995,0.0
30,4.0,DiscoveredLabels,5.7999988,32.066666,45.533332,14.2666679,2.3333327
30,4.0,HiddenLabels,12.428571,6.6805562,3.6819406,3.6896573,4.375
30,4.0,Lift,0.9599995,0.91664817,1.05579452,1.162667,0.32
30,4.0,OracleDistribution,4.666662,27.999990000000004,55.66667,10.999991,0.666666
30,4.0,OracleLift,0.7466662,0.7223012099999999,1.29785558,1.0026671,0.32
30,4.0,Rappel,16.999986,16.3333186,18.374873,19.142864,17.0
30,4.0,SampleDistribution,5.666661,35.66666,45.33333400000001,12.666658,0.666666
33,5.0,DiscoveredLabels,5.4545454,31.60603,46.090897000000005,14.6060485,2.2424238
33,5.0,HiddenLabels,12.857142799999998,7.2430549,4.0997305,4.1551737200000005,4.625
33,5.0,Lift,0.5149998,1.0124755,0.9851185499999999,1.1704682,0.8583339999999999
33,5.0,OracleDistribution,1.999998,19.99999,58.666673,17.999992000000002,1.333332
33,5.0,OracleLift,0.5149998,0.7482266,1.11962844,1.1749643,0.8583339999999999
33,5.0,Rappel,5.75,8.275854299999999,9.0309577,9.491572,9.5
33,5.0,SampleDistribution,1.999998,26.999991,51.66667,17.999989,1.333332
36,6.0,DiscoveredLabels,5.0277788,30.777782000000002,46.91667,15.055557499999999,2.2222236
36,6.0,HiddenLabels,12.9285718,7.6944457,4.5525612,4.67241512,5.0
36,6.0,Lift,0.613333,1.0049904,0.99169276,1.0934902,0.6542220000000001
36,6.0,OracleDistribution,0.333333,17.333324,59.333337,21.333323,1.666665
36,6.0,OracleLift,0.613333,0.8048118,1.05107785,1.1641725,0.552
36,6.0,Rappel,2.0,5.0487793,4.7595449,5.449294599999999,5.976197999999999
36,6.0,SampleDistribution,0.333333,21.666655000000002,55.999998000000005,19.99999,1.999998
39,7.0,DiscoveredLabels,4.6666675,29.307664,48.230764,15.6410109,2.1538462999999997
39,7.0,HiddenLabels,13.000000199999999,7.9375015,5.0700818,5.258620560000001,5.25
39,7.0,Lift,0.47,0.7729752999999999,1.02989839,1.1552407,0.559525
39,7.0,OracleDistribution,0.0,10.666659,62.000004,25.666658,1.666665
39,7.0,OracleLift,0.0,0.7068733,0.9977611500000001,1.3078606,0.6938110000000001
39,7.0,Rappel,1.0,2.0232546,2.24418566,2.6438714,1.982141
39,7.0,SampleDistribution,0.333333,11.666658,64.000003,22.666658,1.333332
42,6.0,DiscoveredLabels,4.3809514,28.71428,49.119049999999994,15.6428651,2.1428555
42,6.0,HiddenLabels,13.1428578,8.3750027,5.5606479,5.66379268,5.625
42,6.0,Lift,1.206666,0.9777967,1.07490872,0.8499304999999999,0.6636690000000001
42,6.0,OracleDistribution,0.333333,19.999994,58.333337,19.666657,1.666665
42,6.0,OracleLift,0.603333,0.9313661000000001,1.03349023,1.0708569,0.563113
42,6.0,Rappel,4.0,6.585362,6.4118475,6.838891599999999,6.928578
42,6.0,SampleDistribution,0.666666,20.999994,60.666672,15.666660000000002,1.999998
45,5.0,DiscoveredLabels,4.4666651,28.266669,49.422225,15.7333359,2.1111096000000003
45,5.0,HiddenLabels,14.357141200000001,8.8333353,5.9946099,6.1034483999999996,5.9375
45,5.0,Lift,1.4999992,0.8219167000000001,1.0269389599999998,1.1061986,0.8333349999999998
45,5.0,OracleDistribution,4.333329,15.666660000000002,61.000007000000004,16.99999,1.999998
45,5.0,OracleLift,1.1111106000000002,0.5875219,1.16718914,1.1020321,1.0000019999999998
45,5.0,Rappel,10.0,10.5517175,11.989957200000001,12.226871599999999,12.333333
45,5.0,SampleDistribution,5.666661,21.999992000000002,53.666665,16.999989,1.666665
48,4.0,DiscoveredLabels,4.4375003,29.124998,48.854163,15.458335199999999,2.1249995
48,4.0,HiddenLabels,15.2142856,9.7083374,6.3207563,6.3965511,6.375
48,4.0,Lift,0.75,1.0927661100000001,0.94802064,1.0925,1.05
48,4.0,OracleDistribution,2.999997,31.999991,52.666664,9.999992,2.333331
48,4.0,OracleLift,0.575,0.83714017,1.23522291,0.9575,1.05
48,4.0,Rappel,20.999988000000002,22.3333118,23.531402200000002,25.119052,24.0
48,4.0,SampleDistribution,3.999996,41.99999400000001,40.333326,11.333324,2.333331
51,3.0,DiscoveredLabels,5.2549009,29.980387999999998,47.725492,15.0392253,1.9999984999999998
51,3.0,HiddenLabels,19.1428588,10.618060700000001,6.5606472,6.612068000000001,6.375
51,3.0,Lift,1.0058335999999999,1.01768443,0.9993570599999999,0.878333,0.0
51,3.0,OracleDistribution,13.666659,30.666658,49.333335000000005,6.333328,0.0
51,3.0,OracleLift,0.7602782,0.72110606,1.7279281599999998,0.623333,0.0
51,3.0,Rappel,39.75,39.7,45.107931,33.5,0.0
51,3.0,SampleDistribution,18.333325000000002,43.666666000000006,29.666654000000005,8.333326000000001,0.0
54,4.0,DiscoveredLabels,5.2777783,30.444436999999997,47.611106,14.722229399999998,1.9444433
54,4.0,HiddenLabels,20.3571426,11.4166706,6.929919999999999,6.8534468,6.5625
54,4.0,Lift,1.0266669,0.99178585,1.06303246,0.8469999,0.42
54,4.0,OracleDistribution,4.666662,30.333321,56.00000300000001,7.999993000000001,0.999999
54,4.0,OracleLift,0.8633335,0.78333229,1.3051388,0.7256665999999999,0.42
54,4.0,Rappel,26.666659,27.8094961,29.2818853,29.547620000000002,27.0
54,4.0,SampleDistribution,5.666661,38.333324000000005,45.666665,9.333326000000001,0.999999
57,5.0,DiscoveredLabels,5.122806400000001,30.315790000000003,47.859648,14.719302299999999,1.9824572
57,5.0,HiddenLabels,20.8571414,12.000004899999999,7.3531002999999995,7.232756900000001,7.0625
57,5.0,Lift,0.5927778,1.044642,1.00133698,0.9471404,1.4550020000000001
57,5.0,OracleDistribution,1.999998,21.333322000000003,55.66667,18.666655000000002,2.333331
57,5.0,OracleLift,0.5119445,0.7943376000000001,1.06568181,1.217784,1.293335
57,5.0,Rappel,11.75,13.4482751,14.4941672,15.3335115,16.166667
57,5.0,SampleDistribution,2.333331,27.999991,52.333335000000005,14.666657,2.666664
60,6.0,DiscoveredLabels,4.883333599999999,29.966667,48.116665999999995,15.0166656,2.016667
60,6.0,HiddenLabels,20.9285694,12.4861137,7.7816711,7.7672389,7.5625
