Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,3.0,DiscoveredLabels,15.333324,46.333325,29.666659,8.666662,0.0
3,3.0,HiddenLabels,3.2857144,0.9652764399999999,0.23989283999999997,0.22413784,0.0
3,3.0,Lift,0.8816676000000001,1.06566594,0.9747634,0.9966662,0.0
3,3.0,OracleDistribution,13.666657,39.66665700000001,9.333324,37.333308,0.0
3,3.0,OracleLift,0.7858343000000001,0.91233253,0.3066672,4.2933308,0.0
3,3.0,Rappel,11.5,13.9,12.714273,13.0,0.0
3,3.0,SampleDistribution,15.333324,46.333325,29.666659,8.666662,0.0
6,4.0,DiscoveredLabels,9.666676,43.5,35.666664999999995,10.833342,0.33333399999999996
6,4.0,HiddenLabels,4.142856800000001,1.81249904,0.57681912,0.56034474,0.125
6,4.0,Lift,0.72,1.04571555,0.97826213,1.17,0.36
6,4.0,OracleDistribution,3.999996,43.333321999999995,14.999985000000002,37.666642,0.0
6,4.0,OracleLift,0.72,1.11428718,0.35217405,3.39,0.0
6,4.0,Rappel,3.999996,5.8095205,5.4347851,6.500008,2.0
6,4.0,SampleDistribution,3.999996,40.66666,41.666665,12.999991999999999,0.666666
9,5.0,DiscoveredLabels,8.111103,37.888874,41.66665700000001,11.555544,0.777777
9,5.0,HiddenLabels,5.2142854,2.36805488,1.0107802399999999,0.8965520599999999,0.4375
9,5.0,Lift,1.3624999,1.0022978999999999,1.02625586,0.8335279,0.9083349999999999
9,5.0,OracleDistribution,4.333329,36.666647000000005,20.999979000000003,37.333310000000004,0.666666
9,5.0,OracleLift,1.1808329,1.3781587,0.40157900999999996,2.3937214,0.363334
9,5.0,Rappel,3.75,2.7586221,2.8245625999999997,2.2941165,2.5
9,5.0,SampleDistribution,4.999996,26.666659,53.666666000000006,12.999991,1.666665
12,6.0,DiscoveredLabels,6.2500041,34.1666669,45.0833313,12.583339200000001,1.9166663
12,6.0,HiddenLabels,5.357142199999999,2.8472222599999997,1.4582199,1.3017250200000001,1.4375
12,6.0,Lift,1.266666,1.0658558,0.9825539999999999,0.8504748999999999,1.688896
12,6.0,OracleDistribution,0.666666,40.333315,19.333314,34.999978,4.666662
12,6.0,OracleLift,1.266666,1.869109,0.343302,1.8999973,1.477784
12,6.0,Rappel,2.0,1.6829248,1.55140244,1.3428563,2.6666719999999997
12,6.0,SampleDistribution,0.666666,22.999987,55.333337,15.666656,5.333328
15,7.0,DiscoveredLabels,5.199995599999999,31.3333267,48.533334,13.266661599999999,1.6666663
15,7.0,HiddenLabels,5.5714278,3.2638884200000002,1.96226356,1.71551874,1.5625
15,7.0,Lift,1.425,1.3255801,1.00367383,0.8142864,0.271428
15,7.0,OracleDistribution,0.999999,39.666647000000005,19.666647,38.999978,0.666666
15,7.0,OracleLift,1.425,2.629067,0.31666657,1.9848231,0.271428
15,7.0,Rappel,1.5,1.3953479999999998,1.05649712,0.8571414999999999,0.285714
15,7.0,SampleDistribution,0.999999,19.999987,62.333336,15.999991,0.666666
18,6.0,DiscoveredLabels,4.444445,30.0555536,49.833329000000006,13.666671999999998,2.0000006
18,6.0,HiddenLabels,5.714285,3.75694462,2.41779,2.1206913,2.25
18,6.0,Lift,1.246666,1.1005109,0.99966539,0.8482084000000001,1.163557
18,6.0,OracleDistribution,0.666666,39.666648,19.333314,36.999981000000005,3.33333
18,6.0,OracleLift,1.246666,1.8401887,0.34287306,2.0044161,1.0596679999999998
18,6.0,Rappel,4.0,3.4146324,3.1308429799999997,2.685714,4.500007999999999
18,6.0,SampleDistribution,0.666666,23.666656000000003,56.33334000000001,15.666655,3.6666630000000002
21,5.0,DiscoveredLabels,4.2857122,28.9523551,50.523810999999995,14.3333206,1.9047606
21,5.0,HiddenLabels,6.4285702,4.2222227199999995,2.8598372,2.59482988,2.5
21,5.0,Lift,0.9127777,0.8416393999999999,1.04628535,1.1665187000000001,0.706668
21,5.0,OracleDistribution,2.666664,37.999978,19.333314,38.666647000000005,1.333332
21,5.0,OracleLift,0.7361111,1.4310749,0.36932894,2.4714267000000003,0.706668
21,5.0,Rappel,6.25,5.0689632,5.7017534,5.5294105,4.5
21,5.0,SampleDistribution,3.33333,22.333324,54.666666000000006,18.333325,1.333332
24,4.0,DiscoveredLabels,4.7083335,29.541670599999996,49.708333,14.041670799999999,2.0000006
24,4.0,HiddenLabels,8.071427,4.9236112,3.2156324,2.90517456,3.0
24,4.0,Lift,1.3600006999999998,0.86757525,1.03416949,1.0879993000000001,1.36
24,4.0,OracleDistribution,7.666659000000001,35.99998600000001,17.666649,37.333308,1.333332
24,4.0,OracleLift,1.3600006999999998,0.9267131000000001,0.41482808,3.4538316000000004,0.68
24,4.0,Rappel,11.666657,10.619040199999999,11.173917699999999,12.500010999999999,10.0
24,4.0,SampleDistribution,7.666659000000001,33.666656,43.999992,11.99999,2.666664
27,3.0,DiscoveredLabels,5.9259235,31.296265,47.296288000000004,13.7036915,1.7777769
27,3.0,HiddenLabels,11.4285728,5.868055900000001,3.4420479,3.18965714,3.0
27,3.0,Lift,0.8500007,1.04515831,0.92206287,1.266666,0.0
27,3.0,OracleDistribution,12.999988,39.333323,10.333323,37.333308,0.0
27,3.0,OracleLift,0.7111118000000001,0.9148410199999999,0.348571,5.5999966,0.0
27,3.0,Rappel,23.25,27.5,24.714267,29.5,0.0
27,3.0,SampleDistribution,15.666654000000001,45.333330000000004,27.999991,10.99999,0.0
30,4.0,DiscoveredLabels,5.9333328,32.100005,46.56667,13.6333343,1.766666
30,4.0,HiddenLabels,12.714288799999999,6.6875007,3.7654982,3.52586386,3.3125
30,4.0,Lift,1.0666666,1.0096276899999999,0.94243799,1.1413339,0.8
30,4.0,OracleDistribution,5.999995,40.66665700000001,13.666653000000002,39.333312,0.333333
30,4.0,OracleLift,1.0666666,1.04321694,0.32064421000000004,3.6160003,0.16
30,4.0,Rappel,17.666656,16.2380809,16.3913056,19.000009,15.0
30,4.0,SampleDistribution,5.999995,39.333326,39.999991,12.99999,1.666665
33,5.0,DiscoveredLabels,5.727272899999999,31.393908,47.636360999999994,13.454534599999999,1.7878783999999999
33,5.0,HiddenLabels,13.500001600000001,7.1944451,4.2371966,3.82758758,3.6875
33,5.0,Lift,0.9441663,0.9149294,1.11656281,0.7396334,1.0300019999999999
33,5.0,OracleDistribution,3.33333,37.999981000000005,20.333313,37.666644,0.666666
33,5.0,OracleLift,0.8583330000000001,1.4253528,0.38921886,2.4189969,0.343334
33,5.0,Rappel,9.0,7.5862021,8.7719259,7.5882355,7.5
33,5.0,SampleDistribution,3.6666630000000002,24.333326000000003,58.333332,11.666659,1.999998
36,6.0,DiscoveredLabels,5.3055565,30.638893,48.388894,13.861110900000002,1.8055567
36,6.0,HiddenLabels,13.642858200000001,7.659725,4.6954186,4.30172506,4.0625
36,6.0,Lift,1.226666,1.0343656,1.00567678,0.9865832,0.633777
36,6.0,OracleDistribution,0.666666,39.666646,18.999981000000002,38.666647000000005,1.999998
36,6.0,OracleLift,1.226666,1.8446896000000002,0.33766134000000003,2.0881551,0.633777
36,6.0,Rappel,6.0,5.0487784,4.719629,4.2571436,5.500009
36,6.0,SampleDistribution,0.666666,22.333323,56.666669,18.333322,1.999998
39,7.0,DiscoveredLabels,5.0000008,29.640996,49.128205,14.4102435,1.8205126999999999
39,7.0,HiddenLabels,13.928572200000001,8.0277794,5.1644212000000005,4.84482808,4.4375
39,7.0,Lift,1.88,1.1780922,0.9342208699999999,1.0688706,0.8057159999999999
39,7.0,OracleDistribution,1.333332,37.333311,19.666647,39.666647000000005,1.999998
39,7.0,OracleLift,1.88,2.4850903,0.31682944,2.0162285,0.8057159999999999
39,7.0,Rappel,3.5,2.6279055,2.03954972,1.9821415999999998,1.142856
39,7.0,SampleDistribution,1.333332,17.666657999999998,58.000005,20.999990000000004,1.999998
42,6.0,DiscoveredLabels,4.6428559,29.285714,49.309526,14.785723299999999,1.976189
42,6.0,HiddenLabels,13.928572200000001,8.5416698,5.5822113,5.3534483999999996,5.1875
42,6.0,Lift,0.0,1.1485802999999999,0.91706002,1.0554686,1.2670029999999999
42,6.0,OracleDistribution,0.0,42.666652000000006,16.333317,37.666646,3.333331
42,6.0,OracleLift,0.0,1.9853397999999998,0.28989385,2.0339449,1.065892
42,6.0,Rappel,6.0,6.8536552,6.1682273,5.9428611,7.50001
42,6.0,SampleDistribution,0.0,24.666655000000002,51.666672,19.666658,3.9999979999999997
45,5.0,DiscoveredLabels,4.5111094000000005,29.022224,49.733333,14.844449099999999,1.8888875
45,5.0,HiddenLabels,14.4999996,9.0694467,6.0323457,5.7586203000000005,5.3125
45,5.0,Lift,0.7777778000000001,0.9445021,1.07241834,0.9931946,0.33333399999999996
45,5.0,OracleDistribution,2.666664,41.333318,16.333317,39.666646,0.0
45,5.0,OracleLift,0.7777778000000001,1.5435567000000001,0.31335024,2.5330022,0.0
45,5.0,Rappel,11.0,10.2068929,11.7017558,10.352946,8.5
45,5.0,SampleDistribution,2.666664,25.333324,55.66667100000001,15.666656,0.666666
48,4.0,DiscoveredLabels,4.5000011,29.270836,49.687498,14.6250036,1.9166660999999998
48,4.0,HiddenLabels,15.4285728,9.756949500000001,6.4285721,6.051723399999999,5.75
48,4.0,Lift,0.775,0.84835324,1.1459949600000001,1.045,1.05
48,4.0,OracleDistribution,4.33333,40.666653000000004,18.666648,35.999972,0.333333
48,4.0,OracleLift,0.775,1.048915,0.43782011,3.4125,0.15
48,4.0,Rappel,21.999991,20.9523608,22.7826125,24.666675,22.0
48,4.0,SampleDistribution,4.33333,32.999990000000004,49.000002,11.333326,2.333331
51,3.0,DiscoveredLabels,5.3137244,30.078424,48.549021999999994,14.254907699999999,1.8039202
51,3.0,HiddenLabels,19.3571454,10.652782400000001,6.6738558,6.2672404,5.75
51,3.0,Lift,0.9727783999999999,0.9983683999999999,0.99099216,0.9349997000000001,0.0
51,3.0,OracleDistribution,16.999988000000002,36.666653000000004,10.333323,35.999972,0.0
51,3.0,OracleLift,0.901945,0.85951237,0.32556314000000003,7.2999955,0.0
51,3.0,Rappel,37.0,40.4,37.714272,42.0,0.0
51,3.0,SampleDistribution,18.33332,42.999996,30.333327,8.333325,0.0
54,4.0,DiscoveredLabels,5.3333337,30.648143,48.018516,14.2592678,1.7407396
54,4.0,HiddenLabels,20.571428,11.493058900000001,6.9892182,6.6379293,5.875
54,4.0,Lift,0.9800002999999999,1.02031871,0.9174792700000001,1.4046667,0.28
54,4.0,OracleDistribution,5.333329,40.333322,16.333317,37.999976000000004,0.0
54,4.0,OracleLift,0.9100003,1.0216443,0.38339852,3.6843334999999997,0.0
54,4.0,Rappel,27.666657,26.7142593,27.869575,31.833334,24.0
54,4.0,SampleDistribution,5.666662,40.333331,38.999991,14.333324,0.666666
57,5.0,DiscoveredLabels,5.2631575,30.666658,47.982452,14.438596400000002,1.6491239999999998
57,5.0,HiddenLabels,21.428573,12.1388893,7.3719679,7.0948255,5.875
57,5.0,Lift,1.0508341,1.1560147,0.9123819799999999,1.1226175,0.0
57,5.0,OracleDistribution,3.999997,38.999984000000005,17.999982,38.999978,0.0
57,5.0,OracleLift,1.0508341,1.4583610999999999,0.34779677999999997,2.4961801,0.0
57,5.0,Rappel,14.0,13.413795299999999,14.192991899999999,13.470595999999999,8.5
57,5.0,SampleDistribution,3.999997,30.999992000000002,47.333329000000006,17.666657999999998,0.0
60,6.0,DiscoveredLabels,5.0166674,30.216662999999997,48.566665,14.5000023,1.7000006
60,6.0,HiddenLabels,21.500002,12.590281399999999,7.854447199999999,7.499998000000001,6.375
