Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,3.0,DiscoveredLabels,17.333323,41.999991,32.333326,8.333327,0.0
3,3.0,HiddenLabels,3.7142858000000003,0.87499876,0.26145618,0.21551707999999997,0.0
3,3.0,Lift,17.333323,41.999991,32.333326,8.333327,0.0
3,3.0,OracleDistribution,17.333323,41.999991,32.333326,8.333327,0.0
3,3.0,OracleLift,17.333323,41.999991,32.333326,8.333327,0.0
3,3.0,Rappel,,,,,0.0
3,3.0,SampleDistribution,17.333323,41.999991,32.333326,8.333327,0.0
6,4.0,DiscoveredLabels,11.166673000000001,41.500001000000005,36.000002,9.666671000000001,1.6666699999999997
6,4.0,HiddenLabels,4.785713,1.72916582,0.58220956,0.50000008,0.625
6,4.0,Lift,4.999995,40.999993,39.666667000000004,10.999991,0.0333333
6,4.0,OracleDistribution,4.999995,40.999993,39.666667000000004,10.999991,3.33333
6,4.0,OracleLift,4.999995,40.999993,39.666667000000004,10.999991,0.0333333
6,4.0,Rappel,,,,,0.185185
6,4.0,SampleDistribution,4.999995,40.999993,39.666667000000004,10.999991,3.33333
9,5.0,DiscoveredLabels,8.333325,35.888870000000004,43.111099,10.999989000000001,1.666665
9,5.0,HiddenLabels,5.3571412,2.2430548999999997,1.0458202,0.8534487,0.9375
9,5.0,Lift,2.666664,8.962214,57.333335000000005,13.666657,0.01713835
9,5.0,OracleDistribution,2.666664,24.666655000000002,57.333335000000005,13.666657,1.666665
9,5.0,OracleLift,2.666664,8.962214,57.333335000000005,13.666657,0.01713835
9,5.0,Rappel,,24.666655000000002,,,0.047169800000000005
9,5.0,SampleDistribution,2.666664,24.666655000000002,57.333335000000005,13.666657,1.666665
12,6.0,DiscoveredLabels,6.250005099999999,32.0833362,47.250002,12.583338300000001,1.8333325999999999
12,6.0,HiddenLabels,5.3571412,2.67361088,1.5283009,1.30172508,1.375
12,6.0,Lift,0.0,5.6095204,113.366773,17.333328,0.02435895
12,6.0,OracleDistribution,0.0,19.666657,59.666668,17.333328,3.33333
12,6.0,OracleLift,0.0,5.3380918,113.366773,17.333328,0.034798499999999996
12,6.0,Rappel,0.0,8.857134,179.0,,0.03846157
12,6.0,SampleDistribution,0.0,20.666656000000003,59.666668,17.333328,2.333331
15,7.0,DiscoveredLabels,5.133327899999999,27.7333358,51.200004,13.8666578,2.0666669
15,7.0,HiddenLabels,5.4999982,2.88888908,2.07007998,1.79310472,1.9375
15,7.0,Lift,0.666666,29.45,190.95,18.050010999999998,0.03053574
15,7.0,OracleDistribution,0.666666,10.333327000000002,67.000005,18.999989,2.999997
15,7.0,OracleLift,0.666666,29.45,190.95,18.050010999999998,0.03053574
15,7.0,Rappel,,31.0,201.0,18.999989,0.03214287
15,7.0,SampleDistribution,0.666666,10.333327000000002,67.000005,18.999989,2.999997
18,6.0,DiscoveredLabels,4.6111112,26.5555538,51.611112000000006,15.055559599999999,2.1666678
18,6.0,HiddenLabels,5.9285702,3.31944456,2.50404236,2.33620848,2.4375
18,6.0,Lift,1.999998,5.5654732000000005,100.35677700000001,20.999987,0.02785848
18,6.0,OracleDistribution,1.999998,19.333322,53.666666000000006,20.999987,3.999996
18,6.0,OracleLift,1.999998,5.2092833999999995,100.35677700000001,20.999987,0.04178772
18,6.0,Rappel,,10.142847,161.0,,1.6428555
