Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,1,Recall,0.049342069999999995,0.015317282000000002,0.01970874,0.019293761,0.0327869
3,3,DiscoveredLabels,4.9999970000000005,13.999994000000001,60.000006000000006,17.666661,3.333331
3,3,Easiness,3.1551600000000004,18.2442,59.7996,16.4439,2.35709
3,3,Efficiency,4.95,13.86,59.64,17.5,3.3
3,3,FrequencyRecall,0.08823525,0.046788210000000004,0.07260817,0.06882848,0.10999016
3,3,Lift,1.5688630000000001,0.7596917999999999,0.99733236,1.0642215,1.4000299999999999
3,3,OracleLift,1.2550919999999999,0.6149885999999999,1.08696478,0.9030682,1.820039
6,1,Recall,0.06907889,0.037928495,0.038213057,0.039679627,0.05573773
6,4,DiscoveredLabels,3.500005,17.333343,58.166666000000006,18.166673,2.833338
6,4,Easiness,1.37864,17.2451,60.7812,18.7084,1.88656
6,4,Efficiency,1.98,20.47,55.95,18.49,2.31
6,4,FrequencyRecall,0.05263158,0.056079796,0.041380004,0.043298318,0.08941704
6,4,Lift,1.4361959999999998,1.1870006000000002,0.9205130100000001,0.9883241000000001,1.224447
6,4,OracleLift,0.957464,1.244988,0.91508372,0.881955,2.273973
9,1,Recall,0.07565784,0.057622152,0.057593318,0.061885659,0.07540987
9,5,DiscoveredLabels,2.555553,17.55554,58.444452,18.888874,2.555553
9,5,Easiness,1.30378,20.730100000000004,56.3885,20.1434,1.4341599999999999
9,5,Efficiency,0.66,17.82,58.59,20.14,1.98
9,5,FrequencyRecall,0.1,0.21349159,0.22995912000000002,0.21345662999999998,0.6166008000000001
9,5,Lift,0.50622,0.8596196,1.03904055,0.999829,1.3806
9,5,OracleLift,0.25311,0.8755386000000001,1.0331883,0.9179165,2.7612
12,1,Recall,0.07565784,0.09372718800000002,0.073907772,0.08081538999999999,0.07540987
12,6,DiscoveredLabels,1.9166667999999998,21.4166762,56.250005,18.500008599999997,1.9166667000000002
12,6,Easiness,1.0,37.5,50.0,12.5,1.0
12,6,Efficiency,0.0,32.7,49.31,17.16,0.0
12,6,FrequencyRecall,0.0,7.7333299,8.6844126,11.333331000000001,5.0
12,6,Lift,0.0,0.8720001000000001,0.9862000000000001,1.3728,0.0
12,6,OracleLift,0.0,0.8722668,0.9862000000000001,1.2408000000000001,1.65
15,1,Recall,0.08552626,0.118526624,0.091098157,0.105569633,0.08852463
15,5,DiscoveredLabels,1.7333329,21.666662900000002,55.466667,19.333328899999998,1.8000001
15,5,Easiness,1.3050336000000002,20.735438,56.383419,20.143065999999997,1.4330508
15,5,Efficiency,0.99,22.45,51.9,22.45,1.32
15,5,FrequencyRecall,0.25,0.42732806,0.41833174,0.44951491,0.972332
15,5,Lift,0.7578450000000001,1.082756,0.92049167,1.1143485,0.9186
15,5,OracleLift,0.5052300000000001,1.0985935,0.9142826100000001,0.9500825,3.4666219999999996
18,1,Recall,0.08881573,0.135667375,0.11036892,0.131416006,0.10491808000000001
18,4,DiscoveredLabels,1.5000008,20.666666,56.000006000000006,20.0555536,1.777778
18,4,Easiness,1.3784146000000002,17.243897999999998,60.782851,18.708424,1.886403
18,4,Efficiency,0.33,15.51,58.24,23.43,1.65
18,4,FrequencyRecall,0.06140351,0.084836916,0.075997734,0.09048342599999999,0.12783775
18,4,Lift,0.23927900000000002,0.8993937,0.9581626,1.2523436,0.8754180000000001
18,4,OracleLift,0.23927900000000002,0.8802783,0.94187628,1.2175555,1.924565
21,1,Recall,0.10855257,0.158643309,0.129311272,0.150345729,0.12459022000000002
21,3,DiscoveredLabels,1.5714275,20.7142661,56.238113000000006,19.6666483,1.8095226
21,3,Easiness,3.1541345,18.246596,59.799444,16.443254,2.3565430000000003
21,3,Efficiency,1.98,20.79,57.27,17.2,1.98
21,3,FrequencyRecall,0.12352934999999998,0.11797908,0.125054958,0.12300965,0.13379678
21,3,Lift,0.62843,1.1393254,0.95770606,1.046078,0.83955
21,3,OracleLift,0.523898,1.0669589,1.01924054,0.9250360000000001,0.83955
24,1,Recall,0.11184203999999999,0.177242904,0.147815689,0.17655610700000002,0.14754105
24,4,DiscoveredLabels,1.4166672,20.2500016,56.250002,20.2083393,1.8750004999999998
24,4,Easiness,1.378793,17.244481,60.783654999999996,18.706633,1.886478
24,4,Efficiency,0.33,16.83,55.95,23.76,2.31
24,4,FrequencyRecall,0.07017544,0.124095779,0.109024631,0.13637158600000002,0.17262797
24,4,Lift,0.239192,0.9759177,0.9204675899999999,1.2700749999999998,1.2246859999999997
24,4,OracleLift,0.239192,1.0339031,0.92013411,1.1113584,2.2768339999999996
27,1,Recall,0.12499991999999999,0.20167765000000004,0.16413008699999998,0.203858655,0.1639345
27,5,DiscoveredLabels,1.4074064999999998,20.481461399999997,55.518536000000005,20.7407205,1.8518509
27,5,Easiness,1.3056279999999998,20.731670999999995,56.391374,20.138098,1.433246
27,5,Efficiency,1.32,22.13,49.31,24.76,1.65
27,5,FrequencyRecall,0.45,0.6503421699999999,0.58823535,0.69214945,1.3303687
27,5,Lift,1.00848,1.0673742,0.87433195,1.229323,1.1460000000000001
27,5,OracleLift,0.25212,1.1629145,0.87997748,0.9179431,4.5840000000000005
30,1,Recall,0.12499991999999999,0.24544129,0.17967808000000002,0.21769195400000002,0.1639345
30,6,DiscoveredLabels,1.266666,22.433335000000003,54.699997999999994,19.9333344,1.6666660000000002
30,6,Easiness,1.0,37.864827,50.027030999999994,12.1080969,1.0
30,6,Efficiency,0.0,39.64,46.97,12.54,0.0
30,6,FrequencyRecall,0.0,15.3732789,15.566662,18.566667,3.0
30,6,Lift,0.0,1.0432936800000001,0.9355016500000001,1.0439550000000002,0.0
30,6,OracleLift,0.0,1.0341656000000001,0.9294323800000001,1.007325,0.99
33,1,Recall,0.13815781,0.27133481,0.19675895000000002,0.24099005699999998,0.18032795000000001
33,5,DiscoveredLabels,1.2727267,22.545432,54.454563,20.0605865,1.6666661999999999
33,5,Easiness,1.3055778,20.728523,56.404581,20.128502,1.4327845
33,5,Efficiency,1.32,23.44,51.58,21.13,1.65
33,5,FrequencyRecall,0.65,0.87666842,0.7799904,0.89279719,1.1699598999999998
33,5,Lift,1.0065,1.1305124,0.91423726,1.0492013,1.14375
33,5,OracleLift,1.0065,1.0826345000000002,0.96744219,0.8527030000000001,2.51625
36,1,Recall,0.16118412,0.29029900000000003,0.21723410999999998,0.259555727,0.19016402000000002
36,4,DiscoveredLabels,1.3611119999999999,22.111114999999998,55.111119,19.8055522,1.6111123
36,4,Easiness,1.3791811999999999,17.24454,60.785205999999995,18.704721,1.8863192999999998
36,4,Efficiency,2.31,17.17,61.96,16.83,0.99
36,4,FrequencyRecall,0.13157895,0.156361249,0.145433833,0.166762633,0.17275046
36,4,Lift,1.6737349999999998,0.9955804,1.01932123,0.8998470000000001,0.5241929999999999
36,4,OracleLift,1.195525,0.9956072,1.01356143,0.8821929000000001,1.226498
39,1,Recall,0.20394726,0.30999266000000003,0.23705238,0.27593729,0.21311485000000002
39,3,DiscoveredLabels,1.5897432,21.79485,55.512845,19.4358781,1.6666667000000002
39,3,Easiness,3.1547782,18.245070000000002,59.800635,16.442772,2.3567471999999996
39,3,Efficiency,4.29,17.83,59.91,14.85,2.31
39,3,FrequencyRecall,0.19999989999999998,0.16783683,0.179672561,0.17604816,0.19672738000000003
