Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,1,Recall,0.02302629,0.022246525,0.019927726,0.015289391999999999,0.026229520000000003
3,3,DiscoveredLabels,2.333331,20.333321,60.666672,13.999991999999999,2.666664
3,3,Easiness,1.0,1.0,0.631032,3.3593199999999994,96.0097
3,3,Efficiency,2.31,20.13,60.27,13.87,2.64
3,3,FrequencyRecall,,,5.3529409999999995,0.23204404,0.001546488
3,3,Lift,2.31,20.13,95.510497,4.1288197,0.0274972
3,3,OracleLift,1.65,20.13,95.510497,4.1288197,0.0343715
6,1,Recall,0.026315770000000002,0.040481385,0.041169368,0.03458315,0.0327869
6,4,DiscoveredLabels,1.333335,18.500005,62.66666599999999,15.833344,1.666668
6,4,Easiness,1.0,1.0,0.725602,2.38239,96.892
6,4,Efficiency,0.33,16.5,64.34,17.49,0.66
6,4,FrequencyRecall,,,3.2333328,0.26903558,0.000249626
6,4,Lift,0.33,16.5,88.67135,7.341347999999999,0.0068117
6,4,OracleLift,0.0,16.5,88.67135,7.341347999999999,0.010217550000000002
9,1,Recall,0.03947365,0.064916097,0.060768615,0.05242079,0.03606559
9,5,DiscoveredLabels,1.333332,19.77776,61.666682,15.999985000000002,1.2222210000000002
9,5,Easiness,1.0,1.0,0.260756,2.15124,97.588
9,5,Efficiency,1.32,22.11,59.31,16.18,0.33
9,5,FrequencyRecall,,,44.75,1.4848481999999998,0.000668003
9,5,Lift,1.32,22.11,227.45385000000002,7.521247999999999,0.00338156
9,5,OracleLift,0.66,22.11,227.45385000000002,7.367848,0.01352624
12,1,Recall,0.03947365,0.10393872700000001,0.078506481,0.063705813,0.03606559
12,6,DiscoveredLabels,1.0,23.7500083,59.749998999999995,14.5833394,0.9166671
12,6,Easiness,1.0,1.0,2.5,1.0,97.5
12,6,Efficiency,0.0,35.34,53.56,10.23,0.0
12,6,FrequencyRecall,0.0,,162.0,,0.0
12,6,Lift,0.0,35.34,21.424,10.23,0.0
12,6,OracleLift,0.0,33.69,21.424,10.23,0.0169231
15,1,Recall,0.05263153,0.126914625,0.09657279499999999,0.086275876,0.05573773
15,5,DiscoveredLabels,1.0666668,23.1999995,58.799997000000005,15.7999964,1.1333327
15,5,Easiness,1.0,1.0,0.261267,2.1528376,97.585912
15,5,Efficiency,1.32,20.8,54.6,20.46,1.98
15,5,FrequencyRecall,,,41.25,1.9999993,0.201737
15,5,Lift,1.32,20.8,208.98168,9.520907,0.02029038
15,5,OracleLift,0.66,20.13,207.68033,9.520907,0.03719903
18,1,Recall,0.059210469999999994,0.15061997000000002,0.115186661,0.106661743,0.07868856
18,4,DiscoveredLabels,1.0000006,22.944445,58.444453,16.277779,1.3333338000000001
18,4,Easiness,1.0,1.0,0.7252601,2.38205,96.89271500000001
18,4,Efficiency,0.66,21.46,56.27,18.49,2.31
18,4,FrequencyRecall,,,2.9166663,0.33502546,0.036445309
18,4,Lift,0.66,21.46,77.590944,7.759704,0.023840379999999998
18,4,OracleLift,0.33,21.46,77.590944,7.759704,0.02724627
21,1,Recall,0.08881570999999999,0.170313659,0.135661866,0.12413537,0.08524594
21,3,DiscoveredLabels,1.2857131999999998,22.2380739,59.000024,16.238080500000002,1.2380943
21,3,Easiness,1.0,1.0,0.6310116,3.3589616,96.01000400000001
21,3,Efficiency,2.97,17.83,61.98,15.84,0.66
21,3,FrequencyRecall,,,5.558823199999999,0.33149138,0.05567367
21,3,Lift,2.97,17.83,98.212662,4.7164372,0.00687446
21,3,OracleLift,2.64,17.83,98.212662,4.7164372,0.01031169
24,1,Recall,0.12171042,0.189642589,0.15361876200000002,0.148889581,0.10163939000000001
24,4,DiscoveredLabels,1.5416676,21.6666649,58.458336,17.041671899999997,1.2916674000000001
24,4,Easiness,1.0,1.0,0.72540282,2.3825469999999997,96.892001
24,4,Efficiency,3.3,17.49,54.3,22.44,1.65
24,4,FrequencyRecall,,,2.8333334000000003,0.41116754,0.07314031800000001
24,4,Lift,3.3,17.49,74.849768,9.418642,0.01702881
24,4,OracleLift,2.31,17.49,74.849768,9.280226,0.03065254
27,1,Recall,0.13157885,0.21590082500000002,0.170152197,0.17364390100000002,0.12131153000000001
27,5,DiscoveredLabels,1.4814805000000002,21.9259045,57.555578000000004,17.6666496,1.3703694999999998
27,5,Easiness,1.0,1.0,0.25981665,2.1564175,97.58373900000001
27,5,Efficiency,0.99,23.81,50.0,22.45,1.98
27,5,FrequencyRecall,,,38.5,2.2121204,0.39946593
27,5,Lift,0.99,23.81,192.69352999999998,10.418905,0.02029134
27,5,OracleLift,0.66,23.81,192.69352999999998,10.418905,0.023673230000000003
30,1,Recall,0.13157885,0.26185268,0.18526217,0.186749085,0.12131153000000001
30,6,DiscoveredLabels,1.3333325,23.933331,56.4,17.099998499999998,1.2333326
30,6,Easiness,1.0,1.0,2.6005380000000002,1.0,97.459462
30,6,Efficiency,0.0,41.64,45.6,11.88,0.0
30,6,FrequencyRecall,0.0,,144.0,,7.538464
30,6,Lift,0.0,41.64,18.9573,11.88,0.0
30,6,OracleLift,0.0,37.99,18.9573,11.88,0.03730837
33,1,Recall,0.15131568,0.28300513000000005,0.20529946,0.20458670699999998,0.13442629
33,5,DiscoveredLabels,1.3939385999999998,23.5151282,56.818201,17.0302878,1.2424238
33,5,Easiness,1.0,1.0,0.25901630000000003,2.1527831,97.58821300000001
33,5,Efficiency,1.98,19.14,60.6,16.17,1.32
33,5,FrequencyRecall,,,47.0,1.9999991,0.58917803
33,5,Lift,1.98,19.14,233.97301,7.5106269999999995,0.013528229999999999
33,5,OracleLift,1.32,19.14,233.97301,7.053127,0.030436260000000003
36,1,Recall,0.16118409,0.30051059,0.22610315,0.22351647700000002,0.15737712
36,4,DiscoveredLabels,1.3611122,22.888889600000002,57.361109,17.0555543,1.3333343
36,4,Easiness,1.0,1.0,0.7254235200000001,2.3828102,96.891746
36,4,Efficiency,0.99,15.85,62.94,17.18,2.31
36,4,FrequencyRecall,,,3.2999993,0.35532994,0.109960428
36,4,Lift,0.99,15.85,86.75551,7.208315,0.02384137
36,4,OracleLift,0.33,15.52,86.75551,7.06995,0.03746483
39,1,Recall,0.20394722999999998,0.31765135,0.24646883,0.240626007,0.18032795000000001
39,3,DiscoveredLabels,1.5897429,22.333311199999997,57.717974000000005,16.9487014,1.4102561
39,3,Easiness,1.0,1.0,0.6304344000000001,3.357486,96.01208199999999
39,3,Efficiency,4.29,15.51,61.63,15.52,2.31
39,3,FrequencyRecall,,,5.6764703999999995,0.42541396,0.1101876
39,3,Lift,4.29,15.51,97.73168799999999,4.624127400000001,0.02406051
39,3,OracleLift,2.97,15.51,97.73168799999999,4.4243423,0.04468172
42,1,Recall,0.21381565,0.33296864,0.26650610999999996,0.26428820000000003,0.20327878000000002
42,4,DiscoveredLabels,1.5476175999999997,21.738104399999997,57.952392,17.2857235,1.4761893000000001
42,4,Easiness,1.0,1.0,0.72556601,2.3827014,96.89173500000001
42,4,Efficiency,0.99,13.86,60.58,21.45,2.31
42,4,FrequencyRecall,,,3.1999992,0.46192930000000004,0.14628034999999998
42,4,Lift,0.99,13.86,83.484153,9.002477,0.02384039
42,4,OracleLift,0.66,13.86,83.484153,9.002477,0.02724598
