Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,1,Recall,8.666658,2.8787872999999995,1.4351847599999998,0.7272721,0.0
3,3,DiscoveredLabels,8.666658,31.666658,51.666666000000006,7.999993000000001,0.0
3,3,Easiness,8.69565,30.4348,52.1739,8.69565,1.0
3,3,Efficiency,8.58,31.36,51.27,7.92,0.0
3,3,FrequencyRecall,13.0,13.571415,12.9166783,12.0,0.0
3,3,Lift,0.9867,1.0304016999999999,0.9826754,0.9107999999999999,0.0
3,3,OracleLift,0.9867,1.0304016999999999,0.9826754,0.9107999999999999,0.0
6,1,Recall,11.666655,5.6969688,2.85185142,1.7575749999999999,2.75
6,4,DiscoveredLabels,5.833345,31.333339000000002,51.333336,9.666676,1.8333359999999999
6,4,Easiness,2.38095,33.3333,47.619,11.9048,4.7619
6,4,Efficiency,2.97,30.72,50.64,11.22,3.63
6,4,FrequencyRecall,9.0,6.6428562,7.65,6.8,5.5
6,4,Lift,1.2473999999999998,0.9216,1.06344,0.9424799999999999,0.7622999999999999
6,4,OracleLift,1.2473999999999998,0.9216,1.06344,0.9424799999999999,0.7622999999999999
9,1,Recall,11.666655,7.4545426,4.6203714,3.3030296999999997,2.75
9,5,DiscoveredLabels,3.888885,27.333314,55.44445400000001,12.1111,1.2222210000000002
9,5,Easiness,1.0,14.285699999999999,67.3469,18.3673,1.0
9,5,Efficiency,0.0,19.15,63.27,16.83,0.0
9,5,FrequencyRecall,0.0,8.285706,5.787880299999999,5.666661,0.0
9,5,Lift,0.0,1.3405,0.939464,0.9163009,0.0
9,5,OracleLift,0.0,1.3405,0.939464,0.9163009,0.0
12,1,Recall,11.666655,8.6969654,6.4722231,4.666665999999999,6.25
12,6,DiscoveredLabels,2.9166655,23.916670399999997,58.250002,12.83334,2.083333
12,6,Easiness,1.0,9.7561,68.2927,17.0732,4.87805
12,6,Efficiency,0.0,13.53,66.3,14.85,4.62
12,6,FrequencyRecall,0.0,10.25,7.142863,6.428565,7.0
12,6,Lift,0.0,1.386825,0.97082285,0.8697862999999999,0.9470999999999999
12,6,OracleLift,0.0,1.386825,0.97082285,0.8697862999999999,0.9470999999999999
15,1,Recall,11.666655,8.969692,8.222223,7.757573300000001,6.25
15,7,DiscoveredLabels,2.3333345,19.7333319,59.2,17.066661999999997,1.666667
15,7,Easiness,1.0,3.84615,57.6923,38.4615,1.0
15,7,Efficiency,0.0,2.97,62.56,33.67,0.0
15,7,FrequencyRecall,0.0,9.0,12.5999828,10.2,0.0
15,7,Lift,0.0,0.7722,1.0843727,0.87542,0.0
15,7,OracleLift,0.0,0.7722,1.0843727,0.87542,0.0
18,1,Recall,11.666655,9.848479,10.148145399999999,9.1818136,10.25
18,6,DiscoveredLabels,1.944446,18.055552600000002,60.888892000000006,16.8333358,2.2777789999999998
18,6,Easiness,1.0,9.4473596,68.421075,17.23688,4.8947388
