Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,1,Recall,9.999992,2.3333325,1.46296242,1.0606050999999999,0.0
3,3,DiscoveredLabels,9.999992,25.666656000000003,52.66667100000001,11.666656,0.0
3,3,Easiness,8.69565,30.4348,52.1739,8.69565,1.0
3,3,Efficiency,9.9,25.41,52.26,11.55,0.0
3,3,FrequencyRecall,15.0,10.999989000000001,13.1666806,17.5,0.0
3,3,Lift,1.1384999999999998,0.8349017999999999,1.0016504,1.32825,0.0
3,3,OracleLift,1.02465,1.2035597999999998,0.36052499999999993,3.9847499999999996,0.0
6,1,Recall,11.333326,5.0909094,2.9259252,2.0606055999999997,3.5
6,4,DiscoveredLabels,5.6666739999999995,27.999999,52.666667,11.33334,2.333338
6,4,Easiness,2.38095,33.3333,47.619,11.9048,4.7619
6,4,Efficiency,1.32,30.06,52.24,10.89,4.62
6,4,FrequencyRecall,4.0,6.4999996,7.9,6.6,7.0
6,4,Lift,0.5544,0.9017999999999999,1.09704,0.91476,0.9702
6,4,OracleLift,0.5544,1.1979,0.4158,2.7997199999999998,0.9702
9,1,Recall,11.333326,6.424241599999999,4.76851916,3.7878783,3.5
9,5,DiscoveredLabels,3.777774,23.555534,57.222231,13.888876,1.555554
9,5,Easiness,1.0,14.285699999999999,67.3469,18.3673,1.0
9,5,Efficiency,0.0,14.52,65.98,18.82,0.0
9,5,FrequencyRecall,0.0,6.285708,6.030304,6.333327000000001,0.0
9,5,Lift,0.0,1.0164,0.9797035,1.0246456000000002,0.0
9,5,OracleLift,0.0,2.6795999999999998,0.35769999999999996,1.9943026000000001,0.0
12,1,Recall,11.333326,7.2424227,6.6944452000000005,5.3333329,7.0
12,6,DiscoveredLabels,2.8333337999999997,19.9166718,60.249998999999995,14.666673799999998,2.3333336
12,6,Easiness,1.0,9.7561,68.2927,17.0732,4.87805
12,6,Efficiency,0.0,8.91,69.05,16.84,4.62
12,6,FrequencyRecall,0.0,6.75,7.4285784999999995,7.2857069999999995,7.0
12,6,Lift,0.0,0.9132750000000001,1.0110911,0.9863432,0.9470999999999999
12,6,OracleLift,0.0,3.348675,0.40589977999999993,2.1261447,0.47354999999999997
15,1,Recall,11.333326,7.6969679,8.2222232,8.969693,7.0
15,7,DiscoveredLabels,2.2666662,16.9333261,59.200002999999995,19.733328099999998,1.8666664
15,7,Easiness,1.0,3.84615,57.6923,38.4615,1.0
15,7,Efficiency,0.0,4.95,54.58,39.66,0.0
15,7,FrequencyRecall,0.0,15.0,10.999984199999998,12.0,0.0
15,7,Lift,0.0,1.287,0.9460529,1.03116,0.0
15,7,OracleLift,0.0,8.58,0.33748,1.2097799999999999,0.0
18,1,Recall,11.333326,8.303028,10.1018492,10.606054199999999,12.75
18,6,DiscoveredLabels,1.8888896,15.222229,60.61111700000001,19.4444444,2.8333335999999996
18,6,Easiness,1.0,9.815778400000001,68.210543,17.078984000000002,4.8947388
18,6,Efficiency,0.0,6.6,67.26,17.82,7.59
18,6,FrequencyRecall,0.0,11.75,14.678559,14.999985000000002,18.5
18,6,Lift,0.0,0.67925,0.98680505,1.0408205,1.5675
18,6,OracleLift,0.0,3.3753499999999996,0.37275135,2.112991,1.0031999999999999
21,1,Recall,11.333326,9.6060559,11.935184200000002,12.3939305,12.75
21,5,DiscoveredLabels,1.6190464,15.0952253,61.380978999999996,19.4761724,2.42857
21,5,Easiness,1.0,14.260883999999999,67.413039,18.326077,1.0
21,5,Efficiency,0.0,14.2,65.63,19.47,0.0
21,5,FrequencyRecall,0.0,12.428559,12.0302942,12.888876,0.0
21,5,Lift,0.0,0.9888024999999999,0.97134502,1.0484444,0.0
21,5,OracleLift,0.0,2.7049304000000003,0.31204497999999997,2.1667651,0.0
24,1,Recall,12.999991999999999,12.3939306,13.3703668,13.3333231,17.0
24,4,DiscoveredLabels,1.6250008,17.04167,60.166670999999994,18.3333376,2.8333344
24,4,Easiness,2.5015359999999998,33.564068999999996,47.230731,11.9743473,4.769234600000001
24,4,Efficiency,1.65,30.37,51.27,10.23,5.61
24,4,FrequencyRecall,9.0,13.071427799999999,15.65,12.8,15.5
24,4,Lift,0.6435,0.9141437,1.089053,0.8301149999999999,1.3513499999999998
24,4,OracleLift,0.6435,1.24649994,0.3853495,2.68983,1.3513499999999998
27,1,Recall,23.999991,15.3333195,14.7592552,13.9393827,17.0
27,3,DiscoveredLabels,2.6666653,18.7407224,59.037057000000004,17.037021199999998,2.5185168
27,3,Easiness,8.52,31.15,52.1,8.26,1.0
27,3,Efficiency,10.89,32.02,49.62,6.6,0.0
27,3,FrequencyRecall,31.5,24.85712,25.666664500000003,27.5,0.0
27,3,Lift,1.32,1.0208851300000001,0.94979801,0.7919999999999999,0.0
27,3,OracleLift,1.287,1.3127706700000001,0.25693332,4.818,0.0
30,1,Recall,26.999990000000004,18.696952099999997,16.064814,14.7272604,20.25
30,4,DiscoveredLabels,2.699999,20.5666664,57.833335,16.199999000000002,2.6999991999999997
30,4,Easiness,2.6177798,33.80555,46.861097,12.111111900000001,4.7344482
30,4,Efficiency,2.97,36.66,46.6,8.58,4.29
30,4,FrequencyRecall,18.0,20.999995400000003,22.7,18.0,22.0
30,4,Lift,1.0692,1.08552869,0.99351934,0.6850799999999999,0.8316000000000001
30,4,OracleLift,1.0692,1.24627982,0.37346495,2.75814,0.8316000000000001
33,1,Recall,26.999990000000004,19.7878597,18.111104,16.0302888,20.25
33,5,DiscoveredLabels,2.4545447,19.7878597,59.272751,16.0302888,2.4545449
33,5,Easiness,1.0,14.2558289,67.511635,18.23258,1.0
33,5,Efficiency,0.0,11.88,73.26,14.19,0.0
33,5,FrequencyRecall,0.0,17.571413,18.7272543,17.66665,0.0
33,5,Lift,0.0,0.8537646000000001,1.08726496,0.786644,0.0
33,5,OracleLift,0.0,2.6146757000000003,0.39611371,1.9666097999999999,0.0
36,1,Recall,26.999990000000004,20.6666467,19.990740000000002,17.7575591,23.0
36,6,DiscoveredLabels,2.2500014,18.9444397,59.972224,16.2777734,2.5555569
36,6,Easiness,1.0,10.0857322,68.257141,17.000015,4.6771447
36,6,Efficiency,0.0,9.57,67.27,18.82,3.63
