Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,1,Recall,8.999991,2.7878784000000003,1.407407,0.8787870999999999,0.0
3,3,DiscoveredLabels,8.999991,30.66666,50.666666000000006,9.666658,0.0
3,3,Easiness,8.69565,30.4348,52.1739,8.69565,1.0
3,3,Efficiency,8.91,30.37,50.28,9.57,0.0
3,3,FrequencyRecall,13.5,13.142844,12.666678,14.5,0.0
3,3,Lift,1.02465,0.9978729,0.9637003999999999,1.10055,0.0
3,3,OracleLift,1.7836500000000002,0.9876873,0.7409835,1.17645,4.62
6,1,Recall,10.333325,6.2727274,2.6296291800000002,1.8181810999999999,4.5
6,4,DiscoveredLabels,5.166675000000001,34.499997,47.33333400000001,10.000009,3.0000059999999995
6,4,Easiness,2.38095,33.3333,47.619,11.9048,4.7619
6,4,Efficiency,1.32,37.97,43.64,10.23,5.94
6,4,FrequencyRecall,4.0,8.2142836,6.6,6.2,9.0
6,4,Lift,0.5544,1.1391,0.9164399999999999,0.8593199999999999,1.2473999999999998
6,4,OracleLift,3.8808,0.9804,0.74907,1.2196799999999999,1.4553
9,1,Recall,10.333325,7.424241899999999,4.5555562,3.4545445999999997,4.5
9,5,DiscoveredLabels,3.444441,27.222201,54.666677,12.666654000000001,1.999998
9,5,Easiness,1.0,14.285699999999999,67.3469,18.3673,1.0
9,5,Efficiency,0.0,12.54,68.96,17.82,0.0
9,5,FrequencyRecall,0.0,5.428566,6.303031699999999,5.999994,0.0
9,5,Lift,0.0,0.8778,1.023952,0.9702015,0.0
9,5,OracleLift,2.97,1.3629,0.7265365,1.1504117999999999,6.6
12,1,Recall,10.333325,8.3333313,6.425926499999999,4.9393939,9.25
12,6,DiscoveredLabels,2.5833331,22.9166759,57.833332,13.583344399999998,3.0833345
12,6,Easiness,1.0,9.7561,68.2927,17.0732,4.87805
12,6,Efficiency,0.0,9.9,66.95,16.17,6.27
12,6,FrequencyRecall,0.0,7.5,7.214291499999999,6.999993000000001,9.5
12,6,Lift,0.0,1.01475,0.98034066,0.9471008999999999,1.28535
12,6,OracleLift,1.32,1.55595,0.66332183,1.4303145000000002,2.63835
15,1,Recall,10.333325,8.7878762,8.000000199999999,8.424239199999999,9.25
15,7,DiscoveredLabels,2.0666669,19.333325,57.600004,18.5333278,2.4666655
15,7,Easiness,1.0,3.84615,57.6923,38.4615,1.0
15,7,Efficiency,0.0,4.95,56.31,38.02,0.0
15,7,FrequencyRecall,0.0,15.0,11.3333221,11.5,0.0
15,7,Lift,0.0,1.287,0.9760392999999999,0.9885200000000001,0.0
15,7,OracleLift,2.97,2.6598,0.751053,0.91078,7.59
18,1,Recall,10.333325,9.8181774,9.8888849,9.8181758,13.25
18,6,DiscoveredLabels,1.7222232,18.0000042,59.333337,17.999998599999998,2.9444445999999997
18,6,Easiness,1.0,9.7368318,68.368443,17.131615999999998,4.7831598
18,6,Efficiency,0.0,11.23,67.64,15.19,5.28
18,6,FrequencyRecall,0.0,16.0,14.499985500000001,13.571415,17.5
18,6,Lift,0.0,1.14,0.9886595,0.8735661,1.0658999999999998
18,6,OracleLift,6.6,1.42215,0.73524609,1.1428233,1.8182999999999998
21,1,Recall,10.333325,11.181811,11.6851784,11.666658,13.25
21,5,DiscoveredLabels,1.4761892,17.5714126,60.095264,18.3333166,2.5238081
21,5,Easiness,1.0,14.391317999999998,67.217388,18.391294000000002,1.0
21,5,Efficiency,0.0,14.85,64.3,20.14,0.0
21,5,FrequencyRecall,0.0,11.857130999999999,12.1818091,12.777764999999999,0.0
21,5,Lift,0.0,1.0134451999999998,0.9554969099999999,1.0932306,0.0
21,5,OracleLift,3.96,1.238188,0.62485695,1.4280083,8.91
24,1,Recall,12.99999,14.666654,12.8055531,12.909080300000001,17.0
24,4,DiscoveredLabels,1.6250010000000001,20.1666645,57.625003,17.749999600000002,2.8333341
24,4,Easiness,2.5015359999999998,32.948685,47.897405,12.025629299999999,4.6666702
24,4,Efficiency,2.64,37.99,39.97,13.53,4.95
24,4,FrequencyRecall,12.0,16.4285742,12.65,14.4,16.5
24,4,Lift,1.0295999999999998,1.15307492,0.83369101,1.0810799999999998,1.0295999999999998
24,4,OracleLift,3.8609999999999998,1.04378924,0.67783003,1.05534,1.9948499999999998
27,1,Recall,21.999988000000002,17.7272559,14.175926400000002,13.636351999999999,17.0
27,3,DiscoveredLabels,2.4444429,21.6666453,56.703728,16.6666507,2.5185174
27,3,Easiness,8.65,30.4,52.4,8.56,1.0
27,3,Efficiency,8.91,33.37,48.91,7.92,0.0
27,3,FrequencyRecall,27.0,27.571407,25.0000011,26.5,0.0
27,3,Lift,1.056,1.10502816,0.93166072,0.8909999999999999,0.0
27,3,OracleLift,1.815,1.0499995800000002,0.74078192,1.65,2.64
30,1,Recall,23.333322000000003,20.7272526,15.4351796,14.969683499999999,21.25
30,4,DiscoveredLabels,2.3333322,22.799998799999997,55.566666999999995,16.4666665,2.8333325
30,4,Easiness,2.5644464,32.500004,48.527771,11.888887,4.6488926
30,4,Efficiency,1.32,32.68,44.94,14.52,5.61
30,4,FrequencyRecall,16.0,23.4999948,19.45,23.2,25.0
30,4,Lift,0.4752,1.0107895,0.93267301,1.2355200000000002,1.1880000000000002
30,4,OracleLift,5.0292,0.8988499900000001,0.7727387400000001,1.13544,1.5444000000000002
33,1,Recall,23.333322000000003,21.9090695,17.370365,16.5454392,21.25
33,5,DiscoveredLabels,2.1212112,21.9090695,56.84850900000001,16.5454392,2.575757
33,5,Easiness,1.0,14.3488523,67.395357,18.255836,1.0
33,5,Efficiency,0.0,12.87,69.29,17.16,0.0
33,5,FrequencyRecall,0.0,17.428554000000002,18.515133,18.555537,0.0
33,5,Lift,0.0,0.8811311000000001,1.02665506,0.9417768,0.0
33,5,OracleLift,5.94,1.0101928,0.77576201,1.036573,7.59
36,1,Recall,23.333322000000003,22.7272505,19.342588,17.9393772,24.75
36,6,DiscoveredLabels,1.9444459,20.8333291,58.027781000000004,16.4444429,2.7500016
36,6,Easiness,1.0,9.6000144,68.399998,17.285731000000002,4.7442878
36,6,Efficiency,0.0,8.91,70.64,15.18,4.62
36,6,FrequencyRecall,0.0,22.75,22.107143,20.142837,24.5
36,6,Lift,0.0,0.8855000000000001,1.03124369,0.86185,0.924
36,6,OracleLift,5.61,1.5411670000000002,0.7426518,1.0958750000000002,2.6235000000000004
39,1,Recall,23.333322000000003,22.9696745,20.824063000000002,21.9393729,24.75
39,7,DiscoveredLabels,1.7948712,19.435878499999998,57.666695,18.564084899999997,2.5384617
39,7,Easiness,1.0,3.8456555000000003,57.826082,38.478254,1.0
39,7,Efficiency,0.0,2.64,52.95,43.68,0.0
39,7,FrequencyRecall,0.0,23.0,21.999997899999997,24.7,0.0
39,7,Lift,0.0,0.6072,0.91923459,1.15096994,0.0
39,7,OracleLift,1.65,2.178,0.79673834,0.9482721700000001,8.58
42,1,Recall,23.333322000000003,23.9999765,22.731478000000003,23.3333106,28.25
42,6,DiscoveredLabels,1.6666651,18.8571481,58.452393,18.3333383,2.6904742999999995
42,6,Easiness,1.0,9.65625,68.15625,17.46875,4.76875
42,6,Efficiency,0.0,11.22,68.3,15.18,4.62
42,6,FrequencyRecall,0.0,31.25,29.464294,26.714265,31.5
42,6,Lift,0.0,1.2144,1.00127738,0.8641598,0.9504
42,6,OracleLift,3.63,1.514667,0.72525201,1.3071388000000002,2.838
45,1,Recall,23.333322000000003,25.0908842,24.648141,25.0605813,28.25
45,5,DiscoveredLabels,1.5555541,18.400004,59.155561,18.3777755,2.5111094
45,5,Easiness,1.0,14.45,67.225,18.325,1.0
45,5,Efficiency,0.0,11.88,68.59,18.81,0.0
45,5,FrequencyRecall,0.0,22.571408,24.787854000000003,24.888866000000004,0.0
45,5,Lift,0.0,0.8265711,1.0216937899999998,1.0391854,0.0
45,5,OracleLift,7.26,1.0540568000000001,0.75328649,1.0751141,6.6
48,1,Recall,26.666657,27.696942,26.064821000000002,26.0302772,33.0
48,4,DiscoveredLabels,1.6666657,19.0416659,58.645838000000005,17.8958318,2.7499995
48,4,Easiness,2.705452,32.454513,48.818177999999996,11.6363554,4.6054556
48,4,Efficiency,3.3,28.4,50.63,10.56,6.27
48,4,FrequencyRecall,26.0,29.6428552,27.1,29.6,34.5
