Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,1,Recall,6.999993000000001,2.6969689,1.50925894,0.8181811999999999,0.0
3,3,DiscoveredLabels,6.999993000000001,29.666656000000003,54.333333,8.999993,0.0
3,3,Easiness,1.0,1.0,1.0,4.34783,95.6522
3,3,Efficiency,6.93,29.37,53.95,8.91,0.0
3,3,FrequencyRecall,,,,27.0,0.0
3,3,Lift,6.93,29.37,53.95,2.0493,0.0
3,3,OracleLift,6.93,29.37,53.95,2.0493,0.0
6,1,Recall,10.333324,5.5757574,2.93518478,1.6363631,3.5
6,4,DiscoveredLabels,5.166676,30.666667000000004,52.833336,9.000007,2.333338
6,4,Easiness,1.0,2.38095,1.0,1.0,97.619
6,4,Efficiency,3.3,31.35,50.92,8.91,4.62
6,4,FrequencyRecall,,95.0,,,0.34146280000000007
6,4,Lift,3.3,13.167,50.92,8.91,0.04732686
6,4,OracleLift,3.3,13.167,50.92,8.91,0.04732686
9,1,Recall,10.333324,6.7272721,4.8240744,3.3939391,3.5
9,5,DiscoveredLabels,3.444441,24.666645,57.888901000000004,12.444432,1.555554
9,5,Easiness,1.0,1.0,2.04082,1.0,97.9592
9,5,Efficiency,0.0,12.54,67.61,19.14,0.0
9,5,FrequencyRecall,0.0,,204.0,,0.0
9,5,Lift,0.0,12.54,33.1289,19.14,0.0
9,5,OracleLift,0.0,12.54,33.1289,19.14,0.0
12,1,Recall,10.333324,7.454543999999999,6.8055565,4.7878786,7.5
12,6,DiscoveredLabels,2.5833327,20.500008200000003,61.250002,13.166675,2.5000002
12,6,Easiness,1.0,4.87805,2.43902,4.87805,87.8049
12,6,Efficiency,0.0,7.92,70.92,15.18,5.28
12,6,FrequencyRecall,0.0,12.0,214.0,23.0,0.4444448
12,6,Lift,0.0,1.6236,29.077199999999998,3.1119,0.06013329
12,6,OracleLift,0.0,1.6236,29.077199999999998,3.1119,0.06013329
15,1,Recall,10.333324,7.7575739,8.370371800000001,8.4545423,7.5
15,7,DiscoveredLabels,2.0666673,17.066659400000002,60.26666600000001,18.5999931,1.9999997999999999
15,7,Easiness,7.69231,1.0,3.84615,1.0,88.4615
15,7,Efficiency,0.0,3.3,55.94,39.98,0.0
15,7,FrequencyRecall,0.0,,169.0,,0.0
15,7,Lift,0.0,3.3,14.544400000000001,39.98,0.0
15,7,OracleLift,0.0,3.3,14.544400000000001,39.98,0.0
18,1,Recall,10.333324,8.5454517,10.1851824,10.333327500000001,11.5
18,6,DiscoveredLabels,1.7222234,15.6666694,61.111116,18.944451400000002,2.5555566
18,6,Easiness,1.0,5.0526336,2.468422,4.868423,87.710528
18,6,Efficiency,0.0,8.58,64.95,20.48,5.28
18,6,FrequencyRecall,0.0,17.0,206.0,38.5,7.8611091
18,6,Lift,0.0,1.6301999999999999,28.5746,4.2047,0.060017680000000004
18,6,OracleLift,0.0,1.6301999999999999,28.5746,4.2047,0.060017680000000004
21,1,Recall,10.333324,10.0909043,11.953705500000002,12.090900099999999,11.5
21,5,DiscoveredLabels,1.4761891,15.8571288,61.476217999999996,18.9999821,2.1904745
21,5,Easiness,1.0,1.0,2.0682581,1.0,98.02175100000001
21,5,Efficiency,0.0,16.83,63.3,19.14,0.0
21,5,FrequencyRecall,0.0,,200.0,,6.0625003
21,5,Lift,0.0,16.83,31.8018,19.14,0.0
21,5,OracleLift,0.0,16.83,31.8018,19.14,0.0
24,1,Recall,11.999991,12.9999896,13.2685203,13.2424134,16.25
24,4,DiscoveredLabels,1.5000009,17.8750085,59.708333,18.208337,2.7083344
24,4,Easiness,1.0,2.4233309999999997,1.0,1.0,97.666669
24,4,Efficiency,1.65,31.71,46.97,12.54,6.27
24,4,FrequencyRecall,,105.0,,,7.560973700000001
24,4,Lift,1.65,13.1721,46.97,12.54,0.06408944
24,4,OracleLift,1.65,13.1721,46.97,12.54,0.06408944
27,1,Recall,20.666655000000002,15.3333196,14.824066,14.121199999999998,16.25
27,3,DiscoveredLabels,2.2962948,18.740722599999998,59.296323,17.2592424,2.407406
27,3,Easiness,1.0,1.0,1.0,4.44,95.7
27,3,Efficiency,8.58,25.42,55.58,9.57,0.0
27,3,FrequencyRecall,,,,43.0,13.000031400000001
27,3,Lift,8.58,25.42,55.58,2.97,0.0
27,3,OracleLift,8.58,25.42,55.58,2.97,0.0
30,1,Recall,21.999989,18.5151336,16.148146999999998,15.1515016,19.75
30,4,DiscoveredLabels,2.1999988999999998,20.3666627,58.133333,16.666667399999998,2.6333323
30,4,Easiness,1.0,2.511113,1.0,1.0,97.63887000000001
30,4,Efficiency,1.32,34.68,47.28,11.22,4.62
30,4,FrequencyRecall,,120.0,,,14.609721
30,4,Lift,1.32,15.2304,47.28,11.22,0.04733147
30,4,OracleLift,1.32,15.2304,47.28,11.22,0.04733147
33,1,Recall,21.999989,19.5757384,18.18518,16.515136299999998,19.75
33,5,DiscoveredLabels,1.9999991,19.5757384,59.515182,16.515136299999998,2.3939386
33,5,Easiness,1.0,1.0,2.1399988,1.0,97.999984
33,5,Efficiency,0.0,11.55,72.95,14.85,0.0
33,5,FrequencyRecall,0.0,,234.0,,12.208338000000001
33,5,Lift,0.0,11.55,36.8348,14.85,0.0
33,5,OracleLift,0.0,11.55,36.8348,14.85,0.0
36,1,Recall,21.999989,20.6363434,20.092581,17.999983099999998,22.25
36,6,DiscoveredLabels,1.8333346,18.916666199999998,60.277781000000004,16.499999,2.4722239
36,6,Easiness,1.0,5.0957171,2.5414262,5.0100026,87.54285099999998
36,6,Efficiency,0.0,11.55,68.33,16.17,3.3
36,6,FrequencyRecall,0.0,28.5,223.0,37.0,15.1666813
36,6,Lift,0.0,2.31,31.4555,3.62175,0.038010999999999996
36,6,OracleLift,0.0,2.31,31.4555,3.62175,0.038010999999999996
39,1,Recall,21.999989,21.060585200000002,21.629621,21.636342300000003,22.25
39,7,DiscoveredLabels,1.6923070999999998,17.8204952,59.897470999999996,18.3076743,2.2820508999999998
39,7,Easiness,7.9230423000000005,1.0,3.9126121,1.0,88.30431899999999
39,7,Efficiency,0.0,4.62,54.94,39.67,0.0
39,7,FrequencyRecall,9.0,,179.0,,11.6956668
39,7,Lift,0.0,4.62,17.464100000000002,39.67,0.0
39,7,OracleLift,0.0,4.62,17.464100000000002,39.67,0.0
42,1,Recall,21.999989,22.181796,23.416659,23.3333101,25.75
42,6,DiscoveredLabels,1.5714272,17.4285766,60.214294,18.3333431,2.4523789
42,6,Easiness,1.0,4.895,2.5725,5.17625,87.65625
42,6,Efficiency,0.0,12.21,63.92,18.48,4.62
42,6,FrequencyRecall,0.0,40.5,219.0,45.5,22.472203
42,6,Lift,0.0,2.8512,31.7152,4.1844,0.05203706
42,6,OracleLift,0.0,2.8512,31.7152,4.1844,0.05203706
45,1,Recall,21.999989,23.363613,25.231482999999997,25.3030051,25.75
45,5,DiscoveredLabels,1.4666654,17.1333386,60.55556000000001,18.5555605,2.288887
45,5,Easiness,1.0,1.0,2.185,1.0,98.025
45,5,Efficiency,0.0,12.87,64.94,21.45,0.0
45,5,FrequencyRecall,0.0,,217.0,,18.312507
45,5,Lift,0.0,12.87,34.334,21.45,0.0
45,5,OracleLift,0.0,12.87,34.334,21.45,0.0
48,1,Recall,24.999988000000002,26.484823000000002,26.509263999999998,26.333307100000003,29.75
48,4,DiscoveredLabels,1.5624988000000002,18.2083376,59.645835,18.104165599999998,2.4791659
48,4,Easiness,1.0,2.543028,1.0,1.0,97.696972
48,4,Efficiency,2.97,34.06,45.68,11.22,5.28
