Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,1,Recall,0.0,0.37698396,0.24669085,0.0,0.0
3,3,DiscoveredLabels,0.0,31.666656000000003,68.33334400000001,0.0,0.0
3,3,Easiness,1.0,33.3333,66.6667,1.0,1.0
3,3,Efficiency,0.0,31.35,67.91,0.0,0.0
3,3,FrequencyRecall,0.0,47.5,51.25,0.0,0.0
3,3,Lift,0.0,0.9405,1.01865,0.0,0.0
3,3,OracleLift,0.0,0.9405,1.01865,0.0,0.0
6,1,Recall,3.4615370000000003,0.4365079,0.41395928000000004,0.16600794,0.424242
6,4,DiscoveredLabels,15.00001,18.333342000000002,57.333335,7.000011999999999,2.333338
6,4,Easiness,30.7692,7.69231,38.4615,15.3846,7.69231
6,4,Efficiency,29.7,4.95,45.94,13.86,4.62
6,4,FrequencyRecall,22.5,15.0,27.8,21.0,14.0
6,4,Lift,0.96525,0.6435,1.19444,0.9009,0.6006
6,4,OracleLift,0.96525,0.6435,1.19444,0.9009,0.6006
9,1,Recall,4.2307698,0.78968298,0.5740074900000001,0.24110676,1.6060598
9,5,DiscoveredLabels,12.22221,22.11109,53.0,6.777771,5.888883000000001
9,5,Easiness,9.52381,28.571399999999997,40.4762,7.14286,14.285699999999999
9,5,Efficiency,6.6,29.41,43.97,6.27,12.87
9,5,FrequencyRecall,5.0,7.416671699999999,7.823529499999999,6.333327000000001,6.50001
9,5,Lift,0.693,1.02935,1.08631836,0.8778,0.9009
9,5,OracleLift,0.693,1.02935,1.08631836,0.8778,0.9009
12,1,Recall,4.6923101,1.08333402,0.7340555500000001,0.5177866,1.9393931
12,6,DiscoveredLabels,10.1666718,22.7500041,50.833332,10.916674599999999,5.333335600000001
12,6,Easiness,2.6936,27.9461,44.4444,22.2222,2.6936
12,6,Efficiency,3.96,24.44,43.99,23.1,3.63
12,6,FrequencyRecall,1.5,0.8915668,1.00757578,1.060605,1.375
12,6,Lift,1.470156,0.874539,0.9897750000000001,1.0395,1.347643
12,6,OracleLift,1.470156,0.874539,0.9897750000000001,1.0395,1.347643
15,1,Recall,4.8076943,1.23809577,0.9614922199999999,0.75889329,2.1818174
15,7,DiscoveredLabels,8.3333278,20.8000002,53.266668,12.7999937,4.7999974
15,7,Easiness,0.9643200000000001,14.8505,64.8987,17.5506,1.73578
15,7,Efficiency,0.99,12.87,62.71,20.14,2.64
15,7,FrequencyRecall,0.3,0.25324673000000003,0.28083197000000004,0.33516480000000004,0.4444448
15,7,Lift,1.02663,0.8666354,0.9662741,1.1475360000000001,1.520936
15,7,OracleLift,1.02663,0.8666354,0.9662741,1.1475360000000001,1.520936
18,1,Recall,5.0384643,1.63095326,1.11792999,0.98418958,2.4242416
18,6,DiscoveredLabels,7.2777804,22.8333344,51.611119,13.833337799999999,4.444446
18,6,Easiness,2.6802732,27.979608,44.445578999999995,22.210868,2.6836746
18,6,Efficiency,1.98,32.7,43.0,18.83,2.64
18,6,FrequencyRecall,2.25,2.0843386,1.9924246600000002,1.9242406,2.375
18,6,Lift,0.72765,1.168942,0.96660249,0.8471948,0.9702
18,6,OracleLift,0.72765,1.168942,0.96660249,0.8471948,0.9702
21,1,Recall,6.3076978,1.96825447,1.26594448,1.07114631,3.5454542999999994
21,5,DiscoveredLabels,7.8095193,23.6190247,50.09524100000001,12.904751899999999,5.5714255
21,5,Easiness,9.743581999999998,28.487150999999997,40.179447,7.205131,14.384601
21,5,Efficiency,10.89,28.09,40.63,7.26,12.21
21,5,FrequencyRecall,13.25,14.500006,15.058831499999998,13.666658,12.666678999999998
21,5,Lift,1.09395,0.983119,1.00972974,1.0295999999999998,0.8472749999999999
21,5,OracleLift,1.09395,0.983119,1.00972974,1.0295999999999998,0.8472749999999999
24,1,Recall,9.9615499,2.07142905,1.38989185,1.28458487,4.2121211999999995
24,4,DiscoveredLabels,10.7916697,21.749997899999997,48.125001000000005,13.5416707,5.7916673
24,4,Easiness,31.0,8.65,36.1,15.82,8.74
24,4,Efficiency,31.35,8.58,34.01,17.82,7.26
24,4,FrequencyRecall,46.25,41.0,48.4,48.0,36.0
24,4,Lift,1.00375,0.858,0.9377,1.1055,0.726
24,4,OracleLift,1.00375,0.858,0.9377,1.1055,0.726
27,1,Recall,9.9615499,2.4880952,1.624548,1.28458487,4.2121211999999995
27,3,DiscoveredLabels,9.5925864,23.222199,49.999997,12.037027,5.1481460000000006
27,3,Easiness,1.0,35.209991,65.000009,1.0,1.0
27,3,Efficiency,0.0,34.65,64.56,0.0,0.0
27,3,FrequencyRecall,0.0,100.0,100.0,0.0,0.0
27,3,Lift,0.0,0.7820999999999999,0.9921,0.0,0.0
27,3,OracleLift,0.0,0.7820999999999999,0.9921,0.0,0.0
30,1,Recall,13.5384709,2.5833333999999994,1.766546,1.44268754,4.9696964
30,4,DiscoveredLabels,11.733325299999999,21.700006,48.933334,12.1666634,5.4666644
30,4,Easiness,30.734256000000002,8.838563,36.857122,15.057128,9.502848
30,4,Efficiency,30.72,7.92,38.96,13.2,8.25
30,4,FrequencyRecall,69.5,65.0,72.0,68.0,61.0
30,4,Lift,0.9516499,0.5544,1.076425,0.72765,0.5775
30,4,OracleLift,0.9516499,0.5544,1.076425,0.72765,0.5775
33,1,Recall,14.5384684,2.9007936,1.9193732,1.5256912299999998,6.363635899999999
33,5,DiscoveredLabels,11.4545379,22.1514932,48.333326,11.696962,6.363635899999999
33,5,Easiness,9.6388819,28.500013,40.111119,7.1944438,14.5555729
33,5,Efficiency,8.58,26.41,42.03,6.93,15.18
33,5,FrequencyRecall,19.75,21.1666692,22.5294245,20.666657,20.333342000000002
33,5,Lift,0.8910000000000001,0.9212372999999999,1.04191142,1.0296,1.0355400000000001
33,5,OracleLift,0.8910000000000001,0.9212372999999999,1.04191142,1.0296,1.0355400000000001
36,1,Recall,14.8846232,3.2023804,2.0794212,1.81027624,6.6666656
36,6,DiscoveredLabels,10.749998399999999,22.416663600000003,47.999998999999995,12.7222248,6.111112
36,6,Easiness,2.6872848,27.927851,44.457039,22.24399,2.6838484
36,6,Efficiency,2.97,25.09,43.95,23.77,3.3
36,6,FrequencyRecall,3.375,3.0000018,2.99999954,3.0151499,3.625
