Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,1,Recall,0.0,0.40079348,0.23947063,0.0,0.0
3,3,DiscoveredLabels,0.0,33.666656,66.33334400000001,0.0,0.0
3,3,Easiness,1.0,33.3333,66.6667,1.0,1.0
3,3,Efficiency,0.0,33.33,65.89,0.0,0.0
3,3,FrequencyRecall,0.0,57.333336,50.35,0.0,0.0
3,3,Lift,0.0,0.9998999999999999,0.98835,0.0,0.0
3,3,OracleLift,0.0,1.2692999999999999,0.8533499999999999,0.0,0.0
6,1,Recall,3.3076913,0.50000008,0.38026492000000006,0.18577079000000002,0.7575749999999999
6,4,DiscoveredLabels,14.333343,21.000004,52.666667,7.833345,4.166675
6,4,Easiness,30.7692,7.69231,38.4615,15.3846,7.69231
6,4,Efficiency,28.39,8.25,38.65,15.51,8.25
6,4,FrequencyRecall,22.35,30.166667000000004,26.247619,26.166664,25.0
6,4,Lift,0.922675,1.0725,1.0049,1.0081499999999999,1.0725
6,4,OracleLift,0.836875,1.6731,0.96278,1.05105,0.9438
9,1,Recall,4.4615396,0.845239,0.51383899,0.26086961000000003,2.3636356
9,5,DiscoveredLabels,12.888876,23.666644,47.44444000000001,7.3333260000000005,8.666658
9,5,Easiness,9.52381,28.571399999999997,40.4762,7.14286,14.285699999999999
9,5,Efficiency,9.9,28.72,36.68,6.27,17.49
9,5,FrequencyRecall,7.95,9.9926698,8.3986083,7.083327000000001,9.119059
9,5,Lift,1.0394999999999999,1.0051999999999999,0.9062122599999999,0.8778,1.2243000000000002
9,5,OracleLift,0.9355499999999999,1.07485,0.97958882,0.7392,1.0164
12,1,Recall,4.6923101,1.18650901,0.6630567500000001,0.56126486,2.60606
12,6,DiscoveredLabels,10.1666756,24.916667000000004,45.9166723,11.8333402,7.1666712
12,6,Easiness,2.6936,27.9461,44.4444,22.2222,2.6936
12,6,Efficiency,1.98,28.39,41.05,25.11,2.64
12,6,FrequencyRecall,0.9444440000000001,1.1409931,1.0731376400000001,1.2401617,1.0
12,6,Lift,0.735078,1.0158823,0.9236249999999999,1.12995,0.9801040000000001
12,6,OracleLift,0.735078,1.0158823,0.9605250000000001,1.0701,0.857591
15,1,Recall,4.8076942,1.3095248999999998,0.9121539900000001,0.7786561000000001,2.7272719999999997
15,7,DiscoveredLabels,8.3333244,22.0000003,50.53333,13.1333276,5.999995799999999
15,7,Easiness,0.9643200000000001,14.8505,64.8987,17.5506,1.73578
15,7,Efficiency,0.99,10.23,68.6,18.16,1.32
15,7,FrequencyRecall,0.3,0.21416009,0.34011098000000006,0.33477466,0.3274856
15,7,Lift,1.02663,0.6888635,1.05703124,1.0347189,0.760468
15,7,OracleLift,1.02663,0.7110849,1.06766308,0.9595082,0.9505850000000001
18,1,Recall,5.0384645,1.6428578099999998,1.08664235,1.0118577100000001,2.90909
18,6,DiscoveredLabels,7.2777788,23.0000002,50.166665,14.2222232,5.3333336
18,6,Easiness,2.7006816,27.938793,44.4762,22.190466,2.6938788
18,6,Efficiency,1.98,27.74,47.96,19.47,1.98
18,6,FrequencyRecall,1.597222,2.2434399,2.3099923799999997,2.1917667,1.75
18,6,Lift,0.72765,0.9926483,1.07794132,0.8766514999999999,0.72765
18,6,OracleLift,0.72765,0.9926483,1.12266813,0.8027062,0.606375
21,1,Recall,6.346160600000001,2.0039686,1.22984362,1.10276668,3.9090904
21,5,DiscoveredLabels,7.857138099999999,24.047595500000003,48.666664,13.2857034,6.1428534
21,5,Easiness,9.4871729,28.538433,40.743549,7.205131,14.025627
21,5,Efficiency,11.22,30.07,39.33,7.59,10.89
21,5,FrequencyRecall,16.55,15.965206,14.885630599999999,14.249991999999999,14.452391
21,5,Lift,1.147575,1.0481544999999999,0.9693811,1.0725,0.76791
21,5,OracleLift,1.0510499999999998,1.0949544999999998,1.02749889,1.0295999999999998,0.6091799999999999
24,1,Recall,10.153854200000001,2.09127006,1.3718410499999998,1.25296414,4.6060605
24,4,DiscoveredLabels,11.000006599999999,21.9583354,47.500001000000005,13.208335400000001,6.3333331
24,4,Easiness,31.4,7.75,38.3,15.34,7.75
24,4,Efficiency,32.67,7.26,38.98,12.54,7.59
24,4,FrequencyRecall,47.15,51.0,49.466667,43.666667,48.0
24,4,Lift,1.067,0.726,1.0206833,0.8085,0.7589999999999999
24,4,OracleLift,1.0065,2.574,0.9665666,0.7755,0.627
27,1,Recall,10.153854200000001,2.4841268,1.6137179599999998,1.25296414,4.6060605
27,3,DiscoveredLabels,9.7777707,23.185162000000002,49.666665,11.740731,5.629627500000001
27,3,Easiness,1.0,33.229989,67.000011,1.0,1.0
27,3,Efficiency,0.0,32.67,66.56,0.0,0.0
27,3,FrequencyRecall,0.0,100.0,100.0,0.0,0.0
27,3,Lift,0.0,0.7623000000000001,0.9923000000000001,0.0,0.0
27,3,OracleLift,0.0,4.9857,0.8131,0.0,0.0
30,1,Recall,13.615394000000002,2.5952382999999997,1.7400711000000002,1.46640256,5.3030303
30,4,DiscoveredLabels,11.799995,21.799999,48.199995,12.3666665,5.8333334
30,4,Easiness,30.734261,8.041421,37.877121,16.598555,7.908564
30,4,Efficiency,29.71,9.24,34.67,17.82,7.59
30,4,FrequencyRecall,69.35,76.5,69.18095199999999,69.666667,71.0
30,4,Lift,0.9819249999999999,0.6468,0.9147833,0.9355500000000001,0.5313
30,4,OracleLift,0.87395,5.0754,1.6885916,0.6818000000000001,0.462
33,1,Recall,14.576932,2.9563490000000003,1.8820689,1.55731158,6.60606
33,5,DiscoveredLabels,11.484840400000001,22.575735100000003,47.393924999999996,11.9393855,6.60606
33,5,Easiness,9.3333272,28.388908999999998,40.833334,7.166666,14.2777926
33,5,Efficiency,8.25,30.04,39.0,7.59,14.19
33,5,FrequencyRecall,22.45,23.683148799999998,21.596845,21.999989,21.61905
33,5,Lift,0.9702000000000001,1.06764,0.95172967,1.0098,1.02366
33,5,OracleLift,0.8217,1.12656,1.02325783,0.8909999999999999,0.8870399999999999
36,1,Recall,14.692317000000001,3.3333324999999996,2.0433203,1.77865558,6.969695799999999
36,6,DiscoveredLabels,10.611111800000002,23.333332999999996,47.166668,12.5000013,6.3888895
36,6,Easiness,2.7079032,27.938157,44.436427,22.216498,2.7010304
36,6,Efficiency,0.99,31.38,44.28,18.48,3.96
36,6,FrequencyRecall,1.875,3.500902,3.28600598,3.0384621,3.25
36,6,Lift,0.37726,1.1255087000000001,0.99671329,0.8314089,1.474742
36,6,OracleLift,0.37726,1.1255087000000001,1.03444192,0.8018691,1.114631
39,1,Recall,14.846164899999998,3.5039673,2.2779773,1.99604714,7.0606048999999995
39,7,DiscoveredLabels,9.8974293,22.641003,48.538450999999995,12.9487067,5.9743588999999995
39,7,Easiness,0.9642166400000001,14.863623,64.886831,17.548315,1.7369416000000002
39,7,Efficiency,1.32,14.19,64.63,18.16,0.99
39,7,FrequencyRecall,0.7,0.5188519699999999,0.65333096,0.66423449,0.5467839999999999
39,7,Lift,1.36488,0.9547839,0.99609876,1.0355682,0.5687010000000001
39,7,OracleLift,1.36488,0.9547839,0.98577394,1.035,0.947835
42,1,Recall,15.192316799999999,3.8373001999999996,2.4368229,2.24505883,7.424240999999999
42,6,DiscoveredLabels,9.4047717,23.023809999999997,48.21428,13.523819699999999,5.833334099999999
42,6,Easiness,2.7256969,27.899308,44.434025,22.253455,2.6875025
42,6,Efficiency,2.97,27.73,43.66,20.8,3.96
42,6,FrequencyRecall,3.083333,4.3855437,4.2187853,3.932382,4.75
42,6,Lift,1.086171,0.9930281999999999,0.98301924,0.9360542000000001,1.442571
42,6,OracleLift,1.086171,0.9930281999999999,1.02026475,0.8627111000000001,1.442571
45,1,Recall,16.3461602,4.1428559,2.6016847000000003,2.29248953,8.757572699999999
45,5,DiscoveredLabels,9.4444367,23.199999,48.044444000000006,12.8888893,6.422220200000001
45,5,Easiness,9.4342392,28.212093,40.969657,7.121213899999999,14.2727136
45,5,Efficiency,9.9,25.41,45.28,3.96,14.53
45,5,FrequencyRecall,30.25,30.1804029,30.405061999999997,26.499989,29.142852
45,5,Lift,1.0527,0.8988531000000001,1.1110779,0.56265,1.0078749999999999
45,5,OracleLift,0.8712000000000001,0.9799703,1.1842783799999999,0.6897,0.7332599999999999
48,1,Recall,19.769233999999997,4.2103157,2.7533094,2.48221304,9.3636328
48,4,DiscoveredLabels,10.708341800000001,22.10417,47.666667,13.083338000000001,6.4375046
48,4,Easiness,31.44,7.0,40.11,15.74,7.96
48,4,Efficiency,29.39,5.61,41.62,15.84,6.6
48,4,FrequencyRecall,91.1,92.75,93.53333,93.5,91.0
48,4,Lift,0.7592666,0.22440000000000002,0.9541999,0.528,0.264
48,4,OracleLift,0.7086665999999999,6.2308,1.8725999000000002,0.7986,0.2112
51,1,Recall,21.153851999999997,4.2420617,2.7942237999999997,2.5335966400000003,9.636359800000001
51,4,DiscoveredLabels,11.2244955,21.816323,47.387757,13.081629499999998,6.4897996000000004
51,4,Easiness,36.64,8.92,34.66,13.87,9.91
51,4,Efficiency,36.0,8.0,34.0,13.0,9.0
51,4,FrequencyRecall,100.0,100.0,100.0,100.0,100.0
51,4,Lift,0.36,0.08,0.34,0.13,0.09
51,4,OracleLift,0.31,8.08,3.31,0.1,0.09
54,1,Recall,22.230771,4.5555549,2.9434415,2.6324109399999998,10.96969
54,5,DiscoveredLabels,11.1153907,22.076913,47.038455000000006,12.8076962,6.9615416
54,5,Easiness,9.3766598,28.466662999999997,40.499997,7.4433345,14.2333278
54,5,Efficiency,9.24,26.09,40.97,8.25,14.52
54,5,FrequencyRecall,37.2,36.683147,36.963024,34.249989,36.19047
54,5,Lift,0.86625,0.9163157000000001,1.01202654,1.089,1.0329000000000002
54,5,OracleLift,0.68475,1.0021194,1.11832499,1.3034999999999999,0.7375499999999999
57,1,Recall,22.538465000000002,4.8928563,3.1010826000000002,2.9130439,11.121204800000001
57,6,DiscoveredLabels,10.654557500000001,22.418184,46.854539,13.4000115,6.6727299
57,6,Easiness,2.7228088,27.898255,44.438596,22.266662999999998,2.6736856
57,6,Efficiency,2.64,28.08,43.27,23.45,1.65
57,6,FrequencyRecall,4.2777769999999995,5.4838574,5.3016332,5.0798271999999995,5.375
57,6,Lift,0.974092,1.009645,0.9736938,1.048907,0.604609
57,6,OracleLift,0.974092,1.009645,1.0263506900000001,0.945523,0.604609
60,1,Recall,22.65385,5.0555552,3.3441634,3.0988146999999997,11.3333256
60,7,DiscoveredLabels,10.1551709,21.965521,47.913788999999994,13.517242799999998,6.4482736
60,7,Easiness,0.9631424900000001,14.865219999999999,64.886551,17.546100000000003,1.7390900000000002
60,7,Efficiency,0.99,13.53,67.01,15.51,2.31
60,7,FrequencyRecall,1.0,0.80397959,0.97090969,0.90605267,0.83041
60,7,Lift,1.02069,0.9098613,1.03277481,0.8844432000000001,1.3231190000000002
60,7,OracleLift,1.02069,0.9098613,1.0274965299999999,0.9218298,1.134102
63,1,Recall,22.961541999999998,5.34127,3.5126359000000003,3.3794475,11.6060526
63,6,DiscoveredLabels,9.7868874,22.065572000000003,47.85246,14.0163961,6.2786893
63,6,Easiness,2.7234048,27.893631,44.446811,22.251751,2.6843977
63,6,Efficiency,2.64,23.76,46.3,23.44,2.97
63,6,FrequencyRecall,5.083333,6.285336200000001,6.3376387,6.126641899999999,6.5
63,6,Lift,0.963836,0.8470098999999999,1.04092495,1.053194,1.096779
63,6,OracleLift,0.8475110000000001,0.8592546,1.08577862,0.9931184999999999,0.864129
66,1,Recall,23.961544,5.694444600000001,3.6582432999999996,3.4743096,12.8181718
66,5,DiscoveredLabels,9.734375,22.421875,47.5,13.734375,6.609375
66,5,Easiness,9.380364100000001,28.703674999999997,40.407368999999996,7.3733312,14.1851716
66,5,Efficiency,8.58,29.39,39.98,7.92,13.2
66,5,FrequencyRecall,43.3,43.487176,44.022704999999995,42.999993,42.880950000000006
66,5,Lift,0.898425,0.9920617,0.98038464,0.8613000000000001,0.904365
66,5,OracleLift,0.824175,1.0307778,0.99544899,1.3992000000000002,0.696465
69,1,Recall,25.423074999999997,6.0158736,3.799038,3.569171,14.0302911
69,5,DiscoveredLabels,9.8656828,22.626864,47.119408,13.4776107,6.910450000000001
69,5,Easiness,9.4883352,28.583328,40.416669999999996,7.2899993,14.3016711
69,5,Efficiency,12.55,26.73,38.65,7.92,13.2
69,5,FrequencyRecall,52.9,50.780223,50.520984,50.083335000000005,49.738094000000004
69,5,Lift,1.3472,0.9251317,0.94869491,0.9503999999999999,0.93324
69,5,OracleLift,1.1096000000000001,1.051086,0.96260251,1.0295999999999998,0.74976
72,1,Recall,25.884612,6.3134925,3.9651029999999996,3.8379457,14.2424118
72,6,DiscoveredLabels,9.6142893,22.72857,47.071428,13.8714275,6.714287799999999
72,6,Easiness,2.724012,27.935479,44.422937000000005,22.236553,2.6810016
72,6,Efficiency,3.96,24.75,45.61,22.45,2.31
72,6,FrequencyRecall,7.069443,7.14286,7.3745362,7.098828,7.375
72,6,Lift,1.468734,0.8837743,1.0257987,1.0086502,0.8439719999999999
72,6,OracleLift,1.600263,0.8721198,1.11654136,0.8621426,0.5754349999999999
75,1,Recall,26.038458000000002,6.507936999999999,4.1901326,4.0395267,14.515138799999999
75,7,DiscoveredLabels,9.273973999999999,22.46575,47.698628,14.0000036,6.5616452
