Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,1,Recall,0.0,0.37301569,0.24789422000000003,0.0,0.0
3,3,DiscoveredLabels,0.0,31.333321,68.666679,0.0,0.0
3,3,Easiness,1.0,33.3333,66.6667,1.0,1.0
3,3,Efficiency,0.0,31.02,68.23,0.0,0.0
3,3,FrequencyRecall,0.0,47.0,51.5,0.0,0.0
3,3,Lift,0.0,0.9306,1.02345,0.0,0.0
3,3,OracleLift,0.0,1.2375,0.37125,33.0,0.0
6,1,Recall,3.9999993000000003,0.44841265,0.38868851,0.15415023000000003,0.636363
6,4,DiscoveredLabels,17.333343,18.833339000000002,53.833336,6.50001,3.500007
6,4,Easiness,30.7692,7.69231,38.4615,15.3846,7.69231
6,4,Efficiency,34.34,6.27,38.66,12.87,6.93
6,4,FrequencyRecall,26.0,19.0,23.4,19.5,21.0
6,4,Lift,1.11605,0.8151,1.0051599999999998,0.83655,0.9009
6,4,OracleLift,0.8151,3.0888,0.33462,1.9734,0.9009
9,1,Recall,5.115386900000001,0.77777853,0.52827943,0.23715418,2.1818176
9,5,DiscoveredLabels,14.777763,21.777757,48.777775,6.66666,7.999992
9,5,Easiness,9.52381,28.571399999999997,40.4762,7.14286,14.285699999999999
9,5,Efficiency,9.57,27.44,38.31,6.93,16.83
9,5,FrequencyRecall,7.25,6.9166688,6.8235275,6.999993000000001,8.500010999999999
9,5,Lift,1.00485,0.9604,0.94648292,0.9702,1.1781
9,5,OracleLift,0.58905,1.4322,0.30165878,3.4188,1.1088
12,1,Recall,5.3461566000000005,1.10317574,0.7039712699999999,0.47035586,2.3939387
12,6,DiscoveredLabels,11.5833421,23.1666744,48.750006000000006,9.916673999999999,6.5833363
12,6,Easiness,2.6936,27.9461,44.4444,22.2222,2.6936
12,6,Efficiency,1.98,27.08,48.3,19.47,2.31
12,6,FrequencyRecall,0.75,0.9879524000000001,1.1060604600000001,0.8939385,0.875
12,6,Lift,0.735078,0.9690063999999999,1.08675,0.8761500000000001,0.857591
12,6,OracleLift,0.12251300000000001,1.5469039999999998,0.4232250000000001,1.55925,0.735078
15,1,Recall,5.4615414,1.3095240899999998,0.9374250399999999,0.65612646,2.5151508
15,7,DiscoveredLabels,9.4666589,21.999998700000003,51.933334,11.066656599999998,5.5333303
15,7,Easiness,0.9643200000000001,14.8505,64.8987,17.5506,1.73578
15,7,Efficiency,0.99,17.16,64.26,15.51,1.32
15,7,FrequencyRecall,0.3,0.33766241999999996,0.28826144000000004,0.25824189000000003,0.2222224
15,7,Lift,1.02663,1.1555133,0.99015784,0.8837273,0.760468
15,7,OracleLift,0.0,2.5554625,0.34068428000000006,2.2187204,0.0
18,1,Recall,5.8076954,1.65079489,1.10710015,0.87747029,2.7575749
18,6,DiscoveredLabels,8.388890199999999,23.111115799999997,51.111108,12.3333402,5.055557
18,6,Easiness,2.7006816,27.952398000000002,44.401369,22.24829,2.6972802
18,6,Efficiency,2.97,28.4,46.61,18.49,2.64
18,6,FrequencyRecall,1.875,2.0240976,2.17424244,1.7424224999999998,1.875
18,6,Lift,1.1088,1.0154493,1.0502000599999999,0.8309114,0.987525
18,6,OracleLift,0.606375,1.5698751000000002,0.37914810000000004,1.6172986,0.24255
21,1,Recall,6.8076982,1.99603215,1.25391105,0.9841896,3.90909
21,5,DiscoveredLabels,8.4285662,23.952357499999998,49.619045,11.8571332,6.142853199999999
21,5,Easiness,9.512813699999999,28.640997000000002,40.615344,7.153849,14.076909
21,5,Efficiency,8.58,28.71,40.31,8.91,12.54
21,5,FrequencyRecall,13.75,14.166677,14.000007499999999,15.999989000000001,14.833344
21,5,Lift,0.9116249999999999,1.004705,0.99634037,1.2012,0.8815949999999999
21,5,OracleLift,0.6756749999999999,1.4359799999999998,0.33392604,3.88245,0.7915049999999999
