Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,1,Recall,0.0,0.42460299,0.23225041000000002,0.0,0.0
3,3,DiscoveredLabels,0.0,35.666655,64.33334500000001,0.0,0.0
3,3,Easiness,1.0,33.3333,66.6667,1.0,1.0
3,3,Efficiency,0.0,35.31,63.86,0.0,0.0
3,3,FrequencyRecall,0.0,53.5,48.25,0.0,0.0
3,3,Lift,0.0,1.0593,0.9579000000000001,0.0,0.0
3,3,OracleLift,10.89,0.8913,0.7386,4.95,4.29
6,1,Recall,3.6923067000000005,0.51587317,0.37545144,0.16996051,0.575757
6,4,DiscoveredLabels,16.000013,21.666671,52.000003,7.166678999999999,3.1666729999999994
6,4,Easiness,30.7692,7.69231,38.4615,15.3846,7.69231
6,4,Efficiency,31.7,7.59,39.3,14.19,6.27
6,4,FrequencyRecall,24.0,23.0,23.8,21.5,19.0
6,4,Lift,1.03025,0.9867,1.0217999999999998,0.92235,0.8151
6,4,OracleLift,0.9119499999999999,1.5873,0.88426,1.1154000000000002,0.9867
9,1,Recall,4.9230771,0.82142926,0.52827943,0.26482219,1.787878
9,5,DiscoveredLabels,14.222208,22.999979000000003,48.777775,7.444437000000001,6.555549
9,5,Easiness,9.52381,28.571399999999997,40.4762,7.14286,14.285699999999999
9,5,Efficiency,10.56,25.43,41.97,7.92,13.2
9,5,FrequencyRecall,8.0,6.4166683,7.470587499999999,7.999994,6.666676
9,5,Lift,1.1088,0.89005,1.03690652,1.1088,0.924
9,5,OracleLift,1.48995,0.8896999999999999,0.7913298000000001,2.0342000000000002,0.9009
12,1,Recall,5.3076937,1.19444548,0.68471741,0.50592885,1.9393932999999999
12,6,DiscoveredLabels,11.5000068,25.0833384,47.416667,10.666674699999998,5.333336399999999
12,6,Easiness,2.6936,27.9461,44.4444,22.2222,2.6936
12,6,Efficiency,3.3,31.06,42.98,20.13,1.65
12,6,FrequencyRecall,1.25,1.1325308,0.98484836,0.9242414999999999,0.625
12,6,Lift,1.22513,1.1114232999999998,0.96705,0.90585,0.612565
12,6,OracleLift,2.572773,0.9457472999999998,0.832725,0.9801000000000001,2.572773
15,1,Recall,5.3846172,1.4047627299999998,0.90012036,0.73517788,2.1818178
15,7,DiscoveredLabels,9.3333265,23.5999985,49.866667,12.399994,4.7999952
15,7,Easiness,0.9643200000000001,14.8505,64.8987,17.5506,1.73578
15,7,Efficiency,0.66,17.49,59.3,19.15,2.64
15,7,FrequencyRecall,0.2,0.34415588999999996,0.26597313,0.31868137,0.4444448
15,7,Lift,0.6844199999999999,1.1777349,0.9137309599999999,1.0911274,1.520936
15,7,OracleLift,8.21304,1.3561798999999999,0.6676554,1.1099304,4.752923
18,1,Recall,5.5769261000000006,1.71428709,1.07581222,0.96837958,2.5454542
18,6,DiscoveredLabels,8.055558,24.000006199999998,49.666664,13.6111142,4.6666668
18,6,Easiness,2.6870759999999994,27.911581,44.455785999999996,22.24149,2.704083
18,6,Efficiency,1.65,25.77,48.3,19.48,3.96
18,6,FrequencyRecall,1.875,2.0722904,2.0909090800000003,1.8181801999999998,2.125
18,6,Lift,0.606375,0.9231693,1.08641454,0.8775272,1.4726249999999999
18,6,OracleLift,2.9279249999999997,0.8875229,0.8700567100000001,0.8772871000000001,3.0491999999999995
21,1,Recall,6.6153908999999995,2.07539704,1.19735291,1.0790512700000001,4.1515153
21,5,DiscoveredLabels,8.190470900000001,24.9047374,47.380945000000004,12.999989000000001,6.523806099999999
21,5,Easiness,9.4358907,28.794843,40.333293,7.076925800000001,14.35896
21,5,Efficiency,8.91,30.06,33.37,9.24,17.49
