Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,1,Recall,3.6923074000000002,1.1056921199999998,0.26341445,0.06504064,0.0
3,3,DiscoveredLabels,15.999991,45.333331,35.999993,2.666664,0.0
3,3,Easiness,17.3913,43.4783,34.7826,4.34783,1.0
3,3,Efficiency,15.84,44.94,35.66,2.64,0.0
3,3,FrequencyRecall,12.0,13.6,13.5,8.0,0.0
3,3,Lift,0.9107999999999999,1.03362,1.0252249999999998,0.6072,0.0
3,3,OracleLift,0.9107999999999999,1.03362,1.0252249999999998,0.6072,0.0
6,1,Recall,5.2307682,1.86991904,0.62682919,0.36585364,0.0
6,4,DiscoveredLabels,11.333343,38.333328,42.833333,7.500014,0.0
6,4,Easiness,7.14286,32.1429,48.2143,12.5,1.0
6,4,Efficiency,6.6,31.05,49.24,12.21,0.0
6,4,FrequencyRecall,5.0,5.222223400000001,5.518517500000001,5.285709000000001,0.0
6,4,Lift,0.924,0.966001,1.02127412,0.9768000000000001,0.0
6,4,OracleLift,0.924,0.966001,1.02127412,0.9768000000000001,0.0
9,1,Recall,5.8461523,2.57723506,0.98048715,0.74796768,0.9285715999999999
9,5,DiscoveredLabels,8.444436000000001,35.222201,44.666656,10.222212,1.444443
9,5,Easiness,2.67857,24.1071,52.6786,17.8571,2.67857
9,5,Efficiency,2.64,28.74,47.99,15.51,4.29
9,5,FrequencyRecall,2.6666650000000005,3.2222208,2.4576295,2.35,4.33333
9,5,Lift,0.9856,1.1921787,0.91099701,0.8685600000000001,1.6016
9,5,OracleLift,0.9856,1.1921787,0.91099701,0.8685600000000001,1.6016
12,1,Recall,5.9230754,2.95121894,1.42926715,1.24390234,1.5
12,6,DiscoveredLabels,6.4166701999999995,30.2500049,48.83333,12.7500054,1.7500004999999998
12,6,Easiness,0.49751200000000007,17.9104,57.7114,20.398,3.48259
12,6,Efficiency,0.33,15.19,60.95,20.13,2.64
12,6,FrequencyRecall,1.0,1.2777786999999998,1.5862085099999998,1.4878039,1.142856
12,6,Lift,0.6633,0.8481082999999999,1.0561163,0.9868597,0.7580568
12,6,OracleLift,0.6633,0.8481082999999999,1.0561163,0.9868597,0.7580568
15,1,Recall,5.9230754,3.26829168,1.91951177,1.72357722,1.5714286
15,7,DiscoveredLabels,5.1333298,26.7999967,52.46667,14.1333258,1.4666662
15,7,Easiness,0.343643,10.9966,68.7285,18.5567,1.3745699999999998
15,7,Efficiency,0.0,12.87,66.62,19.47,0.33
15,7,FrequencyRecall,0.0,1.21875,1.005,1.0925915000000002,0.25
15,7,Lift,0.0,1.1703658,0.9693210000000001,1.0492157,0.240075
15,7,OracleLift,0.0,1.1703658,0.9693210000000001,1.0492157,0.240075
18,1,Recall,5.999998399999999,3.78048718,2.3121943,2.26016174,2.2142854
18,6,DiscoveredLabels,4.3333344,25.8333336,52.666666000000006,15.4444498,1.7222224
18,6,Easiness,0.5099994999999999,17.949494,57.656582,20.399006,3.494946
18,6,Efficiency,0.33,20.81,53.36,21.8,2.97
18,6,FrequencyRecall,2.0,3.0277792999999997,2.97413976,3.0975594,2.428569
