Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,1,Recall,3.7692309,1.16260276,0.23170712999999998,0.10569104,0.0
3,3,DiscoveredLabels,16.333322,47.666666000000006,31.666658,4.333329,0.0
3,3,Easiness,17.3913,43.4783,34.7826,4.34783,1.0
3,3,Efficiency,16.17,47.26,31.36,4.29,0.0
3,3,FrequencyRecall,12.25,18.6576813,13.222218,13.0,0.0
3,3,Lift,0.9297749999999999,1.08698,0.9016,0.9867,0.0
3,3,OracleLift,0.759,1.26385,0.7785500000000001,0.9107999999999999,0.0
6,1,Recall,5.2307682,1.8861782,0.60731694,0.41463436000000004,0.0
6,4,DiscoveredLabels,11.333343,38.666665,41.500001000000005,8.50001,0.0
6,4,Easiness,7.14286,32.1429,48.2143,12.5,1.0
6,4,Efficiency,6.27,29.37,50.92,12.54,0.0
6,4,FrequencyRecall,5.2,5.535087,6.7629079999999995,5.553566000000001,2.0
6,4,Lift,0.8778,0.9137341999999999,1.0561184,1.0032,0.0
6,4,OracleLift,0.8778,0.9240008999999999,1.08391092,0.8184,0.66
9,1,Recall,5.846152,2.42276318,0.99999868,0.8780491,0.5714286
9,5,DiscoveredLabels,8.444436000000001,33.11109,45.555552,11.999988,0.888888
9,5,Easiness,2.67857,24.1071,52.6786,17.8571,2.67857
9,5,Efficiency,2.64,21.8,53.31,18.81,2.64
9,5,FrequencyRecall,3.083331,2.7757697,3.3381512,2.9428571,2.6666650000000005
9,5,Lift,0.9856,0.904297,1.01198701,1.05336,0.9856
9,5,OracleLift,1.1088,0.904297,1.04368876,0.9424800000000001,0.9856
12,1,Recall,5.9230749000000005,2.82113688,1.4243895599999998,1.42276474,1.2142857999999999
12,6,DiscoveredLabels,6.4166707,28.9166678,48.666664,14.5833429,1.4166668999999998
12,6,Easiness,0.49751200000000007,17.9104,57.7114,20.398,3.48259
12,6,Efficiency,0.33,16.17,57.66,22.11,2.97
12,6,FrequencyRecall,3.0,1.4384395,1.8857429199999998,1.7711951,1.535713
12,6,Lift,0.6633,0.902825,0.9991086,1.0839277,0.8528138999999999
12,6,OracleLift,3.3164999999999996,0.8107000000000001,1.0341104,0.9868597,0.9475709999999999
15,1,Recall,5.9230749000000005,3.1544703600000004,1.9121943000000001,1.8617888999999999,1.5714286
15,7,DiscoveredLabels,5.133329300000001,25.8666684,52.26666600000001,15.2666565,1.4666662
15,7,Easiness,0.343643,10.9966,68.7285,18.5567,1.3745699999999998
15,7,Efficiency,0.0,13.53,66.3,17.82,1.65
15,7,FrequencyRecall,0.0,1.4280304999999998,1.12321099,1.3222573,1.45
15,7,Lift,0.0,1.230385,0.9646650000000001,0.960299,1.200375
15,7,OracleLift,0.0,1.1103475,0.9447315000000001,1.1031045,1.200375
18,1,Recall,5.999998000000001,3.55284446,2.3585358,2.37398324,1.8571428
18,6,DiscoveredLabels,4.333334,24.2777742,53.722225,16.2222248,1.4444448
18,6,Easiness,0.5099994999999999,17.934343,57.707086,20.3687,3.4898955000000003
18,6,Efficiency,0.33,16.17,60.6,20.8,1.32
18,6,FrequencyRecall,2.5,2.8761277,3.4238529499999997,3.3972113000000004,1.9642840000000001
18,6,Lift,0.6534,0.8982267999999999,1.0499736,1.018596,0.3889287
18,6,OracleLift,1.3068,0.8800767999999999,1.05625752,1.0030577999999999,0.4044858
21,1,Recall,6.461535700000001,4.13008098,2.7536582,2.8130073199999996,2.3571426
21,5,DiscoveredLabels,3.9999978999999994,24.1904523,53.76191800000001,16.4761759,1.5714275999999998
21,5,Easiness,2.6788956,24.165114000000003,52.651368000000005,17.825682,2.67889561
21,5,Efficiency,1.98,23.44,53.61,17.82,2.31
21,5,FrequencyRecall,4.666662,5.6018511,6.1019105,5.7214279999999995,5.4999970000000005
21,5,Lift,0.7193999999999999,0.9682774999999999,1.01758151,1.0011653,0.89925
21,5,OracleLift,0.7193999999999999,0.9826245,1.04880415,0.8703270000000001,1.01915
24,1,Recall,8.0769188,4.9593502,3.0975601999999998,3.10569028,2.3571426
24,4,DiscoveredLabels,4.3750011,25.4166646,52.916665,15.9166703,1.3750004999999998
24,4,Easiness,7.1886799,32.283048,48.03772800000001,12.4905484,1.0
24,4,Efficiency,6.93,33.69,46.63,11.88,0.0
24,4,FrequencyRecall,10.4,11.5643282,12.0497085,10.660704,0.0
24,4,Lift,0.9327999999999999,1.03642147,0.9685154200000001,0.9577853999999999,0.0
24,4,OracleLift,0.9327999999999999,1.04670977,0.99692346,0.8245283000000001,0.0
27,1,Recall,11.6922989,6.0243915,3.3536586999999995,3.24390172,2.3571426
27,3,DiscoveredLabels,5.6296278,27.444416999999998,50.925928000000006,14.777764600000001,1.2222216000000001
27,3,Easiness,17.55,42.85,35.25,4.48,1.0
27,3,Efficiency,15.51,43.3,34.67,5.61,0.0
27,3,FrequencyRecall,24.0,29.910598,26.180552,30.0,0.0
27,3,Lift,0.8690000000000001,1.01368693,0.98665426,1.1219999999999999,0.0
27,3,OracleLift,0.737,1.10811544,0.97172577,0.9239999999999999,0.0
30,1,Recall,13.3846049,6.943090099999999,3.6878046,3.47154412,2.3571426
30,4,DiscoveredLabels,5.7999984,28.466662999999997,50.4,14.2333303,1.0999995
30,4,Easiness,7.2,32.18,48.1,12.52,1.0
30,4,Efficiency,7.26,37.33,45.31,9.24,0.0
30,4,FrequencyRecall,15.95,17.5105288,16.6265155,14.892844,0.0
30,4,Lift,0.99,1.15547449,0.94374585,0.7531067999999999,0.0
30,4,OracleLift,0.9075,1.20880537,0.91693199,0.7845354,0.0
33,1,Recall,14.2307578,7.634146100000001,3.9975609000000003,3.99999976,3.214286
33,5,DiscoveredLabels,5.606060199999999,28.454517,49.666661000000005,14.9090783,1.3636357
33,5,Easiness,2.698114,24.179242,52.613217999999996,17.820726,2.6886801200000003
33,5,Efficiency,3.63,28.09,41.98,21.45,3.96
33,5,FrequencyRecall,8.749991999999999,8.6653396,8.1125386,8.930952099999999,8.999994000000001
33,5,Lift,1.2826,1.1620001,0.79813316,1.1956131,1.6906999999999999
33,5,OracleLift,1.2826,1.1640536,0.84990265,1.0683579,1.5741
36,1,Recall,14.3076807,8.0650396,4.3902437,4.56910608,4.2857146
36,6,DiscoveredLabels,5.1666671,27.555556000000003,49.999993999999994,15.611109200000001,1.6666678
36,6,Easiness,0.52256458,17.958956,57.656409999999994,20.35896,3.5230734
36,6,Efficiency,0.33,17.49,53.29,23.1,4.95
36,6,FrequencyRecall,5.0,4.2980495,4.66100349,5.0993013000000005,4.124995999999999
36,6,Lift,0.6435,0.9754723,0.9247972299999999,1.1341121,1.3789288
36,6,OracleLift,3.2175,0.9203152,0.90759422,1.1514387,1.4708573999999999
39,1,Recall,14.3076807,8.2764212,4.9268293,4.95121998,4.7857138
39,7,DiscoveredLabels,4.7692313,26.102538,51.794876,15.6153701,1.7179486
39,7,Easiness,0.34722200000000003,10.968748,68.75,18.562511999999998,1.3715289999999998
39,7,Efficiency,0.0,8.58,73.0,15.51,2.31
39,7,FrequencyRecall,0.0,2.2102274,2.2460939,2.1023555,3.4
39,7,Lift,0.0,0.7829305000000001,1.0620339799999998,0.8351958,1.7424000000000002
39,7,OracleLift,0.0,0.7829305000000001,1.04234713,0.9065921,1.7424000000000002
42,1,Recall,14.3846038,8.6666639,5.382926599999999,5.4227647999999995,5.214284800000001
42,6,DiscoveredLabels,4.4523794,25.380951,52.547623,15.8809608,1.7380937
42,6,Easiness,0.53520801,17.963543,57.718747,20.3125,3.4999976000000004
42,6,Efficiency,0.33,15.84,61.92,19.15,1.98
